Symbol,Date,Open,High,Low,Close,Volume
DAAG,01-Jan-2014,19.40,19.50,19.30,19.35,30000
DAAG,02-Jan-2014,19.41,19.94,19.35,19.50,14000
DAAG,03-Jan-2014,19.88,20.50,19.62,20.49,47500
DAAG,06-Jan-2014,20.70,20.90,20.12,20.14,10500
DAAG,07-Jan-2014,20.06,20.07,19.50,19.70,14000
DAAG,08-Jan-2014,19.45,20.66,19.45,20.33,24000
DAAG,09-Jan-2014,20.20,20.20,19.90,19.97,6000
DAAG,10-Jan-2014,20.00,20.00,19.85,19.85,2000
DAAG,13-Jan-2014,20.40,20.49,19.90,19.90,4000
DAAG,15-Jan-2014,19.90,20.00,19.51,19.85,10000
DAAG,16-Jan-2014,19.60,19.92,19.50,19.92,9500
DAAG,17-Jan-2014,19.80,19.89,19.60,19.89,8500
DAAG,20-Jan-2014,19.88,19.88,19.30,19.51,9500
DAAG,21-Jan-2014,19.35,19.74,19.31,19.74,2000
DAAG,22-Jan-2014,19.35,19.75,19.35,19.73,6500
DAAG,23-Jan-2014,19.51,20.22,19.51,19.76,13000
DAAG,24-Jan-2014,19.99,19.99,19.50,19.50,1500
DAAG,27-Jan-2014,19.50,19.50,18.50,18.51,19000
DAAG,28-Jan-2014,18.05,18.53,18.05,18.16,4500
DAAG,29-Jan-2014,17.70,17.70,17.20,17.33,11000
DAAG,30-Jan-2014,17.50,17.75,17.16,17.40,4500
DAAG,31-Jan-2014,17.50,17.95,17.30,17.66,5500
DAAG,03-Feb-2014,18.40,18.40,17.12,17.12,4500
DAAG,04-Feb-2014,17.00,17.30,16.65,17.05,3500
DAAG,06-Feb-2014,16.85,17.02,16.55,16.66,7500
DAAG,07-Feb-2014,16.30,16.35,16.30,16.35,1500
DAAG,10-Feb-2014,16.05,16.05,15.35,15.40,10500
DAAG,11-Feb-2014,14.44,14.95,14.44,14.62,14000
DAAG,12-Feb-2014,14.50,14.69,14.05,14.37,5000
DAAG,13-Feb-2014,14.75,14.75,14.75,14.75,1000
DAAG,14-Feb-2014,14.26,14.45,14.26,14.45,1000
DAAG,17-Feb-2014,14.35,14.65,14.35,14.37,6500
DAAG,18-Feb-2014,14.00,14.38,13.37,13.50,12500
DAAG,19-Feb-2014,13.05,13.55,13.05,13.48,3500
DAAG,20-Feb-2014,13.50,13.50,13.25,13.25,2500
DAAG,21-Feb-2014,13.02,13.03,13.02,13.03,1500
DAAG,24-Feb-2014,13.99,14.02,13.40,13.99,6500
DAAG,25-Feb-2014,13.65,13.65,13.61,13.61,2000
