Symbol,Date,Open,High,Low,Close,Volume
DADX,02-Jan-2014,29.50,29.50,29.50,29.50,500
DADX,09-Jan-2014,29.11,29.11,29.11,29.11,1000
DADX,10-Jan-2014,30.50,30.56,30.50,30.56,3500
DADX,13-Jan-2014,31.90,32.08,31.90,32.08,4500
DADX,15-Jan-2014,33.50,33.68,33.50,33.68,2500
DADX,16-Jan-2014,35.36,35.36,35.36,35.36,1500
DADX,17-Jan-2014,37.12,37.12,35.00,35.10,8500
DADX,20-Jan-2014,33.60,34.50,33.60,34.50,2500
DADX,21-Jan-2014,34.00,34.95,33.60,34.29,3000
DADX,23-Jan-2014,35.88,36.00,35.80,36.00,7000
DADX,24-Jan-2014,37.80,37.80,37.80,37.80,3500
DADX,27-Jan-2014,39.69,39.69,38.00,39.69,28000
DADX,28-Jan-2014,41.59,41.59,39.40,39.90,23500
DADX,29-Jan-2014,39.01,39.01,38.80,38.88,4500
DADX,30-Jan-2014,38.30,38.30,38.30,38.30,1000
DADX,31-Jan-2014,39.00,40.21,39.00,40.00,17000
DADX,03-Feb-2014,41.00,41.80,41.00,41.80,2000
DADX,04-Feb-2014,39.71,41.10,39.71,40.50,13500
DADX,06-Feb-2014,40.10,40.80,40.10,40.10,2000
DADX,07-Feb-2014,39.10,39.10,39.00,39.01,2000
DADX,10-Feb-2014,38.10,38.10,37.06,37.06,6000
DADX,12-Feb-2014,37.99,37.99,37.99,37.99,500
DADX,13-Feb-2014,36.60,37.49,36.55,36.88,1500
DADX,18-Feb-2014,36.10,36.10,35.05,35.05,3000
DADX,20-Feb-2014,35.01,35.01,35.01,35.01,500
DADX,21-Feb-2014,34.04,34.04,34.02,34.02,7500
DADX,27-Feb-2014,33.02,33.02,32.32,32.32,4500
DADX,28-Feb-2014,31.02,31.02,30.71,30.71,1500
DADX,03-Mar-2014,30.02,30.71,30.01,30.71,1500
DADX,05-Mar-2014,29.50,29.50,29.50,29.50,500
DADX,06-Mar-2014,30.95,30.97,30.95,30.97,1000
DADX,10-Mar-2014,31.00,31.00,31.00,31.00,500
DADX,11-Mar-2014,30.21,30.21,30.20,30.21,1000
DADX,12-Mar-2014,30.01,30.01,30.00,30.00,2000
DADX,20-Mar-2014,29.35,29.35,29.01,29.10,2500
DADX,07-Apr-2014,28.65,28.65,28.65,28.65,500
DADX,08-Apr-2014,30.00,30.00,29.20,30.00,2000
DADX,14-Apr-2014,30.60,30.65,30.60,30.65,1000
DADX,15-Apr-2014,30.98,30.98,30.50,30.50,1500
DADX,24-Apr-2014,29.20,29.20,29.20,29.20,500
DADX,25-Apr-2014,29.02,29.02,29.01,29.01,1000
DADX,30-Apr-2014,28.10,28.10,28.04,28.04,1500
DADX,07-May-2014,28.50,28.50,28.50,28.50,108000
DADX,08-May-2014,29.50,29.92,29.50,29.92,3500
DADX,09-May-2014,31.41,31.41,31.41,31.41,2000
DADX,12-May-2014,32.98,32.98,31.41,32.98,6500
DADX,13-May-2014,33.98,34.30,32.62,33.06,5500
DADX,15-May-2014,34.45,34.60,34.35,34.40,4500
DADX,19-May-2014,33.10,33.10,32.75,32.75,2500
DADX,21-May-2014,33.00,33.70,32.00,33.70,3000
DADX,26-May-2014,33.33,33.33,33.33,33.33,500
DADX,28-May-2014,31.76,31.80,31.76,31.80,1500
DADX,29-May-2014,32.00,32.00,31.11,32.00,1000
DADX,02-Jun-2014,32.10,32.10,32.10,32.10,500
DADX,03-Jun-2014,31.02,31.70,31.02,31.70,1000
DADX,13-Jun-2014,31.50,31.50,31.50,31.50,1000
DADX,17-Jun-2014,31.02,31.02,31.02,31.02,500
DADX,19-Jun-2014,31.02,32.00,31.01,31.01,1500
DADX,24-Jun-2014,30.02,30.02,30.02,30.02,500
DADX,02-Jul-2014,30.01,30.01,30.00,30.00,1000
DADX,10-Jul-2014,29.02,29.02,29.02,29.02,500
DADX,15-Jul-2014,29.01,29.01,29.01,29.01,500
DADX,04-Aug-2014,28.02,28.02,28.02,28.02,500
DADX,07-Aug-2014,28.03,28.03,28.00,28.00,2000
DADX,11-Aug-2014,26.62,26.62,26.60,26.60,1000
DADX,12-Aug-2014,25.35,25.35,25.35,25.35,500
DADX,21-Aug-2014,24.30,24.90,24.25,24.90,9500
DADX,26-Aug-2014,23.70,24.50,23.70,24.50,1000
DADX,27-Aug-2014,25.45,25.45,25.45,25.45,500
DADX,28-Aug-2014,24.19,24.98,24.18,24.98,2500
DADX,29-Aug-2014,26.19,26.22,26.19,26.22,2000
DADX,03-Sep-2014,26.50,26.50,26.50,26.50,500
DADX,09-Sep-2014,26.00,27.40,26.00,27.40,1000
DADX,10-Sep-2014,27.75,28.77,27.07,28.77,5000
DADX,11-Sep-2014,28.50,29.80,28.50,29.80,1500
DADX,12-Sep-2014,29.75,31.20,29.75,30.00,2500
DADX,15-Sep-2014,30.97,31.45,30.97,31.00,3500
DADX,17-Sep-2014,30.90,31.25,30.90,31.00,1500
DADX,24-Sep-2014,31.50,32.39,31.01,32.37,9000
DADX,25-Sep-2014,31.00,31.95,30.77,31.95,12500
DADX,26-Sep-2014,31.99,32.00,31.01,31.02,3000
DADX,29-Sep-2014,30.05,30.21,30.05,30.21,1500
DADX,09-Oct-2014,30.25,30.25,30.25,30.25,1000
DADX,10-Oct-2014,30.30,30.70,30.25,30.60,3000
DADX,15-Oct-2014,31.99,32.13,31.99,32.13,7500
DADX,16-Oct-2014,33.00,33.73,33.00,33.73,8000
DADX,17-Oct-2014,35.39,35.41,35.39,35.41,5500
DADX,20-Oct-2014,36.94,37.18,36.94,37.18,6000
DADX,21-Oct-2014,38.97,38.97,36.70,38.82,5500
DADX,22-Oct-2014,39.00,39.98,37.01,37.86,4500
DADX,23-Oct-2014,36.00,39.43,35.97,39.39,37500
DADX,24-Oct-2014,38.00,38.00,37.43,37.96,5500
DADX,27-Oct-2014,36.10,36.95,36.07,36.93,4500
DADX,28-Oct-2014,35.11,35.90,35.11,35.90,1000
DADX,29-Oct-2014,36.34,36.39,36.34,36.37,2000
DADX,30-Oct-2014,35.02,36.48,35.02,36.45,2500
DADX,31-Oct-2014,35.10,37.97,35.10,37.86,11500
DADX,07-Nov-2014,36.01,36.98,36.01,36.89,8000
DADX,10-Nov-2014,36.00,36.00,35.11,35.97,7000
DADX,11-Nov-2014,36.25,36.97,36.25,36.88,4500
DADX,12-Nov-2014,36.90,36.90,35.22,36.87,8500
DADX,13-Nov-2014,36.80,38.71,36.80,38.71,63000
DADX,14-Nov-2014,39.90,40.64,39.90,40.64,20500
DADX,17-Nov-2014,42.67,42.67,42.67,42.67,2500
DADX,19-Nov-2014,46.99,46.99,43.00,43.00,26000
DADX,21-Nov-2014,44.50,44.50,42.25,42.50,8500
DADX,24-Nov-2014,44.34,44.50,43.50,44.38,8000
DADX,25-Nov-2014,45.00,45.00,45.00,45.00,2000
DADX,27-Nov-2014,44.00,44.00,44.00,44.00,500
DADX,28-Nov-2014,45.00,46.20,45.00,46.20,19000
DADX,01-Dec-2014,48.00,48.51,48.00,48.50,37500
DADX,02-Dec-2014,50.70,50.70,46.08,46.08,7000
DADX,03-Dec-2014,45.00,47.00,45.00,47.00,11500
DADX,04-Dec-2014,46.00,46.98,45.01,45.16,5500
DADX,05-Dec-2014,44.05,45.74,43.76,45.74,2500
DADX,09-Dec-2014,44.00,45.25,44.00,45.25,3500
DADX,12-Dec-2014,45.98,45.98,45.96,45.96,1500
DADX,16-Dec-2014,43.67,43.67,43.67,43.67,500
DADX,19-Dec-2014,45.30,45.30,45.30,45.30,500
DADX,02-Jan-2015,43.04,43.04,43.04,43.04,500
DADX,05-Jan-2015,41.01,41.01,40.89,40.89,3500
DADX,06-Jan-2015,39.03,39.03,38.86,38.86,2500
DADX,07-Jan-2015,40.70,40.70,40.70,40.70,1500
DADX,09-Jan-2015,40.10,40.10,40.10,40.10,3500
DADX,12-Jan-2015,39.55,39.55,39.51,39.51,1000
DADX,13-Jan-2015,38.81,40.20,38.70,40.20,3000
DADX,15-Jan-2015,41.80,42.20,40.00,40.00,4000
DADX,19-Jan-2015,40.99,40.99,40.00,40.00,1000
DADX,20-Jan-2015,40.05,41.00,40.05,41.00,2500
DADX,21-Jan-2015,41.50,42.00,41.50,42.00,1500
DADX,22-Jan-2015,43.00,44.10,43.00,44.10,9500
DADX,23-Jan-2015,46.30,46.30,46.30,46.30,500
DADX,26-Jan-2015,47.80,48.61,47.80,48.61,34500
DADX,27-Jan-2015,51.04,51.04,51.04,51.04,28500
DADX,28-Jan-2015,52.25,53.59,52.00,53.59,60000
DADX,29-Jan-2015,55.94,55.94,53.50,55.30,18500
DADX,30-Jan-2015,54.50,54.50,53.00,53.05,14500
DADX,02-Feb-2015,51.00,51.40,51.00,51.00,5500
DADX,03-Feb-2015,53.25,53.25,51.00,53.00,14500
DADX,04-Feb-2015,53.00,55.50,53.00,55.20,31500
DADX,06-Feb-2015,54.00,55.90,53.00,53.00,22000
DADX,09-Feb-2015,53.00,53.00,53.00,53.00,500
DADX,10-Feb-2015,50.51,52.90,50.51,50.51,1500
DADX,11-Feb-2015,51.00,51.00,51.00,51.00,1500
DADX,12-Feb-2015,49.00,50.50,49.00,50.50,4500
DADX,17-Feb-2015,48.00,49.00,48.00,48.00,24500
DADX,18-Feb-2015,48.00,48.00,48.00,48.00,3000
DADX,25-Feb-2015,45.60,45.60,45.60,45.60,8000
DADX,26-Feb-2015,43.60,43.60,43.32,43.32,1500
DADX,27-Feb-2015,41.16,42.00,41.16,41.16,30500
DADX,02-Mar-2015,40.10,40.10,40.10,40.10,1000
DADX,04-Mar-2015,38.11,38.25,38.10,38.10,2500
DADX,05-Mar-2015,36.20,37.70,36.20,37.70,11000
DADX,06-Mar-2015,39.00,39.00,36.51,36.51,1500
DADX,09-Mar-2015,37.50,37.50,35.50,35.51,2000
DADX,13-Mar-2015,37.19,37.19,37.19,37.19,500
DADX,16-Mar-2015,39.00,39.00,39.00,39.00,500
DADX,17-Mar-2015,40.00,40.80,39.99,40.73,28500
DADX,18-Mar-2015,40.50,40.50,40.25,40.25,6000
DADX,19-Mar-2015,40.25,40.25,40.00,40.04,3500
DADX,24-Mar-2015,40.50,40.50,39.99,39.99,3500
DADX,01-Apr-2015,38.06,38.06,38.05,38.05,1000
DADX,02-Apr-2015,39.00,39.00,39.00,39.00,500
DADX,03-Apr-2015,40.89,40.89,40.75,40.75,1000
DADX,06-Apr-2015,39.00,42.00,38.72,42.00,1500
DADX,07-Apr-2015,43.50,43.50,40.00,40.03,5000
DADX,08-Apr-2015,40.01,41.89,39.01,40.00,31500
DADX,09-Apr-2015,39.01,39.01,39.01,39.01,500
DADX,10-Apr-2015,38.52,38.52,38.52,38.52,500
DADX,14-Apr-2015,38.51,38.51,38.51,38.51,500
DADX,15-Apr-2015,38.51,38.51,38.00,38.50,4000
DADX,16-Apr-2015,39.75,39.75,39.75,39.75,2500
DADX,22-Apr-2015,39.99,39.99,38.01,39.97,1500
DADX,23-Apr-2015,39.00,39.00,39.00,39.00,500
DADX,28-Apr-2015,39.80,39.99,39.00,39.00,4000
DADX,29-Apr-2015,40.95,40.95,40.95,40.95,3000
DADX,30-Apr-2015,42.99,42.99,41.90,42.20,12000
DADX,04-May-2015,42.00,42.00,41.50,41.75,2000
DADX,05-May-2015,41.00,41.49,40.50,41.49,3000
DADX,07-May-2015,40.05,40.05,40.03,40.03,1000
DADX,11-May-2015,40.01,40.01,40.01,40.01,1000
DADX,20-May-2015,39.90,39.90,39.90,39.90,500
DADX,21-May-2015,39.50,39.50,39.50,39.50,500
DADX,22-May-2015,39.02,39.02,39.01,39.01,1500
DADX,26-May-2015,40.89,40.89,40.89,40.89,1000
DADX,27-May-2015,40.99,41.00,40.50,41.00,1500
DADX,28-May-2015,40.01,41.89,40.01,41.89,1500
DADX,01-Jun-2015,39.80,39.80,39.80,39.80,1000
DADX,03-Jun-2015,38.17,38.17,38.17,38.17,500
DADX,04-Jun-2015,38.90,38.90,38.90,38.90,500
DADX,05-Jun-2015,38.50,40.84,38.01,40.25,4000
DADX,08-Jun-2015,40.99,42.00,40.99,41.99,4500
DADX,11-Jun-2015,42.50,42.50,42.50,42.50,500
DADX,12-Jun-2015,41.50,41.50,41.50,41.50,500
DADX,17-Jun-2015,41.10,41.10,41.10,41.10,500
DADX,24-Jun-2015,41.90,43.00,41.90,43.00,5000
DADX,01-Jul-2015,44.99,44.99,44.85,44.99,2500
DADX,06-Jul-2015,44.00,44.00,44.00,44.00,500
DADX,08-Jul-2015,44.50,44.50,44.50,44.50,1000
DADX,09-Jul-2015,46.00,46.00,42.30,42.75,2000
DADX,14-Jul-2015,40.71,40.71,40.70,40.71,1000
DADX,15-Jul-2015,40.71,40.71,40.71,40.71,500
DADX,16-Jul-2015,42.00,42.00,42.00,42.00,500
DADX,22-Jul-2015,43.50,44.10,43.50,44.05,2500
DADX,23-Jul-2015,44.85,46.25,44.75,46.25,8500
DADX,24-Jul-2015,48.56,48.56,48.56,48.56,7500
DADX,27-Jul-2015,50.90,50.98,50.90,50.98,7500
DADX,28-Jul-2015,52.49,52.49,52.00,52.25,3500
DADX,29-Jul-2015,54.00,54.00,49.64,49.70,10000
DADX,30-Jul-2015,47.22,47.22,47.22,47.22,1000
DADX,31-Jul-2015,47.00,47.00,46.60,46.60,1000
DADX,03-Aug-2015,48.00,48.93,47.75,48.93,3500
DADX,04-Aug-2015,51.00,51.00,51.00,51.00,500
DADX,05-Aug-2015,51.00,51.00,49.00,49.00,5500
DADX,07-Aug-2015,50.80,51.45,50.80,50.90,4000
DADX,10-Aug-2015,53.39,53.40,51.45,51.45,6000
DADX,11-Aug-2015,52.99,52.99,51.45,51.45,5500
DADX,12-Aug-2015,51.45,52.00,51.45,51.68,11500
DADX,13-Aug-2015,53.00,53.00,52.00,52.00,4000
DADX,18-Aug-2015,51.45,51.45,51.45,51.45,7000
DADX,19-Aug-2015,50.01,50.01,50.01,50.01,500
DADX,20-Aug-2015,51.00,51.50,51.00,51.50,3000
DADX,21-Aug-2015,50.00,50.00,50.00,50.00,1000
DADX,24-Aug-2015,48.00,48.00,47.50,47.50,3500
DADX,31-Aug-2015,49.50,49.50,49.50,49.50,500
DADX,01-Sep-2015,51.50,51.97,51.00,51.00,3000
DADX,03-Sep-2015,49.50,49.50,49.50,49.50,500
DADX,17-Sep-2015,50.00,50.90,50.00,50.62,2500
DADX,18-Sep-2015,53.15,53.15,53.15,53.15,3000
DADX,21-Sep-2015,55.00,55.00,55.00,55.00,500
DADX,05-Oct-2015,51.50,51.50,51.50,51.50,500
DADX,06-Oct-2015,48.93,52.60,48.93,52.60,2000
DADX,13-Oct-2015,52.60,52.60,52.50,52.50,6500
DADX,19-Oct-2015,49.90,49.90,49.90,49.90,500
DADX,21-Oct-2015,47.50,47.50,47.50,47.50,500
DADX,22-Oct-2015,46.00,46.00,46.00,46.00,500
DADX,28-Oct-2015,48.30,48.30,48.30,48.30,2000
DADX,04-Nov-2015,46.00,46.00,46.00,46.00,500
DADX,12-Nov-2015,44.00,44.00,44.00,44.00,500
DADX,13-Nov-2015,46.20,46.20,41.83,46.20,1500
DADX,16-Nov-2015,46.20,48.51,46.20,48.51,1500
DADX,18-Nov-2015,49.98,49.98,49.98,49.98,500
