Symbol,Date,Open,High,Low,Close,Volume
DATM,25-Jan-2023,2.08,2.08,2.08,2.08,500
DATM,26-Jan-2023,3.08,3.08,3.08,3.08,1000
DATM,27-Jan-2023,4.08,4.08,4.08,4.08,1000
DATM,30-Jan-2023,5.08,5.08,5.08,5.08,36000
DATM,31-Jan-2023,6.08,6.08,6.08,6.08,26000
DATM,01-Feb-2023,7.08,7.08,7.08,7.08,6500
DATM,02-Feb-2023,8.08,8.08,7.75,8.08,193000
DATM,03-Feb-2023,8.79,8.79,7.08,7.08,625500
DATM,06-Feb-2023,6.35,7.50,6.33,6.79,117000
DATM,07-Feb-2023,6.79,6.79,5.79,5.79,238500
DATM,08-Feb-2023,5.01,5.90,4.79,5.06,386000
DATM,09-Feb-2023,5.24,5.95,5.24,5.60,89000
DATM,10-Feb-2023,5.83,5.83,5.15,5.37,29000
DATM,13-Feb-2023,5.35,5.35,4.94,4.94,42000
DATM,14-Feb-2023,4.86,5.00,4.75,5.00,24000
DATM,15-Feb-2023,4.76,5.35,4.61,4.85,17500
DATM,16-Feb-2023,4.97,4.99,4.78,4.95,2500
DATM,17-Feb-2023,4.80,4.80,4.05,4.13,157500
DATM,20-Feb-2023,4.15,4.35,4.01,4.35,18500
DATM,21-Feb-2023,4.05,4.20,3.45,3.47,270000
DATM,22-Feb-2023,3.50,3.52,3.06,3.17,257000
DATM,23-Feb-2023,3.17,3.84,2.82,2.95,103500
DATM,24-Feb-2023,3.20,3.95,3.00,3.81,1094000
DATM,27-Feb-2023,4.25,4.81,4.25,4.81,584500
DATM,28-Feb-2023,4.94,4.94,3.82,4.00,274000
DATM,01-Mar-2023,4.20,4.50,3.71,4.27,132500
DATM,02-Mar-2023,4.38,4.42,3.91,4.00,122000
DATM,03-Mar-2023,4.00,4.15,3.84,4.00,59000
DATM,06-Mar-2023,4.00,4.40,3.90,3.99,189000
DATM,07-Mar-2023,4.24,4.98,4.13,4.23,513500
DATM,08-Mar-2023,4.25,4.25,3.92,3.96,393000
DATM,09-Mar-2023,4.45,4.45,3.92,4.12,1113000
DATM,10-Mar-2023,4.10,4.25,4.03,4.08,112000
DATM,13-Mar-2023,4.10,4.11,3.80,3.83,296500
DATM,14-Mar-2023,3.83,3.83,3.52,3.65,174000
DATM,15-Mar-2023,3.55,3.83,3.50,3.76,92500
DATM,16-Mar-2023,3.65,3.74,3.55,3.69,126500
DATM,17-Mar-2023,3.62,3.78,3.62,3.66,19000
DATM,20-Mar-2023,3.50,3.55,3.45,3.50,176000
DATM,21-Mar-2023,3.46,3.50,3.40,3.44,20000
DATM,22-Mar-2023,3.66,3.66,3.40,3.44,28000
DATM,24-Mar-2023,3.63,3.63,3.30,3.34,32000
DATM,27-Mar-2023,3.49,3.49,3.00,3.17,159500
DATM,28-Mar-2023,3.06,3.15,3.02,3.02,51500
DATM,29-Mar-2023,3.16,3.39,2.99,3.02,296000
DATM,30-Mar-2023,3.00,3.21,3.00,3.21,38500
DATM,31-Mar-2023,3.29,3.29,2.98,3.01,329500
DATM,03-Apr-2023,3.00,3.16,2.91,3.00,70000
DATM,04-Apr-2023,2.95,3.09,2.90,2.99,96000
DATM,05-Apr-2023,3.00,3.09,2.96,3.00,119000
DATM,06-Apr-2023,3.00,3.01,2.90,2.94,102500
DATM,07-Apr-2023,2.91,2.98,2.90,2.97,27500
DATM,10-Apr-2023,2.81,3.02,2.75,2.94,193500
DATM,11-Apr-2023,2.95,2.97,2.70,2.72,188500
DATM,12-Apr-2023,2.72,2.72,2.57,2.70,499000
DATM,13-Apr-2023,2.80,3.57,2.50,3.42,2728000
DATM,17-Apr-2023,3.46,4.42,3.45,4.42,1525500
DATM,18-Apr-2023,4.90,5.42,4.76,5.01,2598500
DATM,19-Apr-2023,5.00,5.00,4.44,4.53,1332500
DATM,20-Apr-2023,4.44,4.94,4.02,4.52,2350000
DATM,26-Apr-2023,4.61,4.75,4.30,4.33,700500
DATM,27-Apr-2023,4.30,4.35,4.00,4.05,574500
DATM,28-Apr-2023,4.06,4.70,4.05,4.49,1549000
DATM,02-May-2023,4.60,4.70,3.95,4.04,1433000
DATM,03-May-2023,4.00,4.00,3.35,3.55,1126500
DATM,04-May-2023,3.60,3.77,3.25,3.29,699500
DATM,05-May-2023,3.30,3.68,3.20,3.31,560500
DATM,08-May-2023,3.33,3.60,3.17,3.41,1035500
DATM,09-May-2023,3.54,3.54,3.20,3.24,216500
DATM,10-May-2023,3.22,3.45,3.00,3.02,721000
DATM,11-May-2023,3.05,3.13,2.51,2.60,1018500
DATM,12-May-2023,2.55,3.10,2.28,2.35,2851500
