Symbol,Date,Open,High,Low,Close,Volume
DCR,26-Jun-2015,11.10,11.59,10.50,11.15,12372500
DCR,29-Jun-2015,11.20,11.20,10.55,11.03,2099000
DCR,30-Jun-2015,11.20,11.20,11.00,11.01,1207000
DCR,01-Jul-2015,11.04,11.05,10.99,11.00,13148500
DCR,02-Jul-2015,11.02,11.05,10.99,11.00,1994500
DCR,03-Jul-2015,11.04,11.05,10.80,10.92,2715000
DCR,06-Jul-2015,10.85,10.89,10.73,10.75,492000
DCR,07-Jul-2015,10.75,10.75,10.50,10.54,649500
DCR,08-Jul-2015,10.52,10.52,10.06,10.29,467500
DCR,09-Jul-2015,10.25,10.50,10.25,10.35,328000
DCR,10-Jul-2015,10.25,10.52,10.25,10.46,534500
DCR,13-Jul-2015,10.43,10.90,10.43,10.51,325000
DCR,14-Jul-2015,10.49,10.70,10.45,10.69,247500
DCR,15-Jul-2015,10.77,10.80,10.58,10.73,147500
DCR,16-Jul-2015,10.75,11.25,10.60,11.10,2021000
DCR,22-Jul-2015,11.00,11.09,10.90,10.96,606000
DCR,23-Jul-2015,10.78,11.05,10.78,10.87,437000
DCR,24-Jul-2015,10.83,11.05,10.75,10.79,338500
DCR,27-Jul-2015,10.72,10.84,10.51,10.65,318000
DCR,28-Jul-2015,10.51,10.81,10.51,10.60,97000
DCR,29-Jul-2015,10.70,10.70,10.46,10.51,202000
DCR,30-Jul-2015,10.65,10.79,10.50,10.52,153500
DCR,31-Jul-2015,10.52,11.05,10.52,11.01,1276000
DCR,03-Aug-2015,10.98,10.98,10.65,10.78,62000
DCR,04-Aug-2015,10.71,10.80,10.54,10.62,511000
DCR,05-Aug-2015,10.55,10.72,10.55,10.60,366500
DCR,06-Aug-2015,10.65,11.00,10.62,10.75,1283500
DCR,07-Aug-2015,10.79,10.85,10.70,10.76,49500
DCR,10-Aug-2015,10.72,10.79,10.60,10.74,73000
DCR,11-Aug-2015,10.78,10.95,10.60,10.64,628000
DCR,12-Aug-2015,10.70,10.73,10.57,10.62,182500
DCR,13-Aug-2015,10.57,10.75,10.57,10.67,77000
DCR,17-Aug-2015,10.61,10.75,10.60,10.67,291500
DCR,18-Aug-2015,10.65,10.85,10.65,10.76,385500
DCR,19-Aug-2015,10.80,10.88,10.61,10.69,862500
DCR,20-Aug-2015,10.55,10.68,10.50,10.53,279500
DCR,21-Aug-2015,10.51,10.51,10.27,10.45,246500
DCR,24-Aug-2015,10.23,10.44,9.60,9.93,470500
DCR,25-Aug-2015,9.93,10.43,9.80,10.25,285000
DCR,26-Aug-2015,10.15,10.50,10.10,10.19,299000
DCR,27-Aug-2015,10.37,10.39,10.20,10.21,22500
DCR,28-Aug-2015,10.20,10.60,10.16,10.53,197500
DCR,31-Aug-2015,10.23,10.48,10.20,10.33,97000
DCR,01-Sep-2015,10.65,10.65,10.21,10.29,137500
DCR,02-Sep-2015,10.20,10.37,10.20,10.28,228000
DCR,03-Sep-2015,10.26,10.40,10.25,10.26,77500
DCR,04-Sep-2015,10.21,10.27,10.00,10.22,55000
DCR,07-Sep-2015,10.14,10.15,9.99,10.10,637500
DCR,08-Sep-2015,9.98,10.22,9.98,10.11,190000
DCR,09-Sep-2015,10.02,10.26,10.02,10.26,52000
DCR,10-Sep-2015,10.03,10.25,10.03,10.13,26000
DCR,11-Sep-2015,10.04,10.16,10.01,10.14,21500
DCR,14-Sep-2015,10.14,10.40,10.00,10.21,447500
DCR,15-Sep-2015,10.20,10.30,10.10,10.24,46000
DCR,16-Sep-2015,10.18,10.34,10.10,10.16,24000
DCR,17-Sep-2015,10.12,10.29,10.10,10.26,45000
DCR,18-Sep-2015,10.25,10.30,10.15,10.26,122000
