Symbol,Date,Open,High,Low,Close,Volume
DKTM,01-Jan-2014,13.85,13.85,13.85,13.85,500
DKTM,02-Jan-2014,14.85,14.85,14.50,14.85,16000
DKTM,03-Jan-2014,15.80,15.85,14.61,15.45,36000
DKTM,06-Jan-2014,15.45,15.45,14.45,15.15,18000
DKTM,07-Jan-2014,14.66,15.30,14.66,15.30,3000
DKTM,08-Jan-2014,15.05,15.95,14.70,15.07,60500
DKTM,09-Jan-2014,15.00,16.07,15.00,16.07,45000
DKTM,10-Jan-2014,16.65,16.65,16.65,16.65,500
DKTM,13-Jan-2014,16.25,17.65,16.05,17.65,38500
DKTM,15-Jan-2014,18.50,18.65,18.47,18.65,7500
DKTM,16-Jan-2014,19.65,19.65,19.65,19.65,18500
DKTM,17-Jan-2014,20.62,20.65,20.59,20.64,11000
DKTM,20-Jan-2014,20.00,20.00,19.64,19.82,4000
DKTM,21-Jan-2014,20.78,20.78,18.82,18.82,8500
DKTM,22-Jan-2014,17.85,19.80,17.85,19.77,1500
DKTM,23-Jan-2014,20.19,20.19,19.00,19.00,2500
DKTM,24-Jan-2014,18.15,18.15,18.03,18.05,4500
DKTM,27-Jan-2014,17.07,17.10,17.07,17.10,1000
DKTM,28-Jan-2014,17.35,17.40,17.35,17.40,1000
DKTM,29-Jan-2014,16.55,16.55,16.55,16.55,500
DKTM,30-Jan-2014,17.00,17.49,17.00,17.49,2000
DKTM,31-Jan-2014,18.49,18.49,18.48,18.49,25500
DKTM,03-Feb-2014,19.44,19.49,18.50,19.31,7500
DKTM,04-Feb-2014,19.60,20.31,19.60,20.29,13500
DKTM,06-Feb-2014,20.88,20.88,19.50,20.00,10500
DKTM,07-Feb-2014,20.20,21.00,20.20,21.00,2000
DKTM,10-Feb-2014,21.00,21.00,21.00,21.00,1000
DKTM,11-Feb-2014,20.50,20.50,20.50,20.50,3000
DKTM,12-Feb-2014,21.40,21.52,20.40,20.93,11500
DKTM,14-Feb-2014,19.90,19.90,19.90,19.90,500
DKTM,18-Feb-2014,20.50,20.50,20.50,20.50,500
DKTM,19-Feb-2014,19.50,21.25,19.50,20.63,1500
DKTM,21-Feb-2014,19.65,20.44,19.60,20.30,2500
DKTM,25-Feb-2014,19.50,19.50,19.50,19.50,500
DKTM,26-Feb-2014,18.51,18.51,18.51,18.51,500
DKTM,28-Feb-2014,18.00,18.00,17.51,17.51,2000
DKTM,04-Mar-2014,17.70,17.70,16.51,16.51,3500
DKTM,05-Mar-2014,17.20,17.20,15.51,15.51,3500
DKTM,06-Mar-2014,16.00,16.00,16.00,16.00,500
DKTM,07-Mar-2014,16.95,16.95,15.00,15.07,10500
DKTM,10-Mar-2014,15.38,15.38,15.07,15.07,500
DKTM,12-Mar-2014,14.10,14.10,14.07,14.07,1500
DKTM,13-Mar-2014,13.15,13.15,13.07,13.07,5000
DKTM,14-Mar-2014,12.70,12.70,12.70,13.07,1000
DKTM,17-Mar-2014,12.45,12.95,12.45,12.93,1500
DKTM,25-Mar-2014,12.16,12.69,12.16,12.69,1000
DKTM,26-Mar-2014,12.21,12.21,11.69,11.69,5000
DKTM,27-Mar-2014,11.70,11.85,11.70,11.70,1000
DKTM,28-Mar-2014,11.31,11.31,10.70,10.70,2500
DKTM,31-Mar-2014,10.30,10.75,10.30,10.61,5500
DKTM,01-Apr-2014,10.70,10.70,10.50,10.50,1000
DKTM,02-Apr-2014,10.80,11.50,10.80,11.50,6500
DKTM,03-Apr-2014,11.80,12.50,11.80,12.49,9000
DKTM,04-Apr-2014,12.50,13.28,12.50,12.50,2500
DKTM,07-Apr-2014,13.20,13.20,13.20,13.20,500
DKTM,08-Apr-2014,12.41,12.80,12.35,12.58,2000
DKTM,10-Apr-2014,12.00,12.00,12.00,12.00,1000
DKTM,11-Apr-2014,11.61,12.30,11.61,12.28,1500
DKTM,18-Apr-2014,12.50,13.20,11.28,12.50,4500
DKTM,24-Apr-2014,12.39,12.50,11.50,11.50,27000
DKTM,28-Apr-2014,11.00,11.00,10.70,10.71,1500
DKTM,29-Apr-2014,10.00,10.00,10.00,10.00,500
DKTM,02-May-2014,9.11,9.50,9.00,9.00,6000
DKTM,05-May-2014,8.20,9.00,8.11,8.35,4500
DKTM,06-May-2014,8.69,8.69,8.69,8.69,1000
DKTM,12-May-2014,8.00,8.00,7.69,7.69,5500
DKTM,13-May-2014,7.49,8.40,7.49,8.40,2000
DKTM,14-May-2014,8.00,8.22,8.00,8.22,1000
DKTM,16-May-2014,8.35,9.22,8.35,9.22,6000
DKTM,19-May-2014,9.30,9.85,9.20,9.20,2000
DKTM,21-May-2014,9.00,9.55,9.00,9.55,1000
DKTM,22-May-2014,9.00,9.35,9.00,9.29,2500
DKTM,23-May-2014,8.80,8.99,8.80,8.99,1000
DKTM,26-May-2014,9.30,9.49,9.30,9.30,1000
DKTM,27-May-2014,9.00,9.60,9.00,9.20,4000
DKTM,28-May-2014,9.38,9.38,9.38,9.38,500
DKTM,29-May-2014,9.33,9.33,9.33,9.33,500
DKTM,02-Jun-2014,9.33,9.84,9.33,9.84,1500
DKTM,03-Jun-2014,9.75,10.50,9.20,10.50,2000
DKTM,04-Jun-2014,10.70,10.70,10.70,10.70,500
DKTM,05-Jun-2014,10.85,11.25,10.00,10.65,15000
DKTM,12-Jun-2014,9.71,9.71,9.70,9.70,2000
DKTM,16-Jun-2014,9.75,9.75,9.75,9.75,500
DKTM,18-Jun-2014,9.94,9.94,9.10,9.20,2000
DKTM,19-Jun-2014,9.70,9.70,9.70,9.70,500
DKTM,20-Jun-2014,10.28,10.28,9.50,10.25,4000
DKTM,23-Jun-2014,9.30,10.85,9.30,10.00,1500
DKTM,24-Jun-2014,10.50,10.85,10.50,10.85,2500
DKTM,25-Jun-2014,10.90,11.45,10.86,11.44,10500
DKTM,26-Jun-2014,11.65,11.70,11.65,11.70,1500
DKTM,27-Jun-2014,11.85,12.29,11.85,12.29,2500
DKTM,01-Jul-2014,11.60,11.84,11.60,11.60,1000
DKTM,02-Jul-2014,11.85,12.29,11.85,12.29,1000
DKTM,07-Jul-2014,11.50,11.95,11.50,11.95,12000
DKTM,16-Jul-2014,11.98,11.98,11.98,11.98,500
DKTM,17-Jul-2014,12.00,12.30,12.00,12.30,1000
DKTM,18-Jul-2014,11.60,12.40,11.60,12.40,1500
DKTM,22-Jul-2014,11.75,12.44,11.71,12.44,2500
DKTM,28-Jul-2014,11.50,12.49,11.50,12.49,1500
DKTM,04-Aug-2014,11.50,12.33,11.50,12.33,4500
DKTM,28-Aug-2014,11.79,13.25,11.79,13.25,5000
DKTM,29-Aug-2014,13.95,13.95,13.95,13.95,500
DKTM,01-Sep-2014,12.95,13.49,12.95,12.95,3500
DKTM,02-Sep-2014,12.00,12.00,12.00,12.00,500
DKTM,03-Sep-2014,11.11,12.45,11.11,12.45,2500
DKTM,16-Sep-2014,12.30,12.30,12.30,12.30,500
DKTM,17-Sep-2014,11.85,11.85,11.30,11.31,23500
DKTM,18-Sep-2014,10.40,11.90,10.34,11.85,3000
DKTM,19-Sep-2014,12.00,12.00,10.90,11.48,2000
DKTM,22-Sep-2014,10.50,10.50,10.50,10.50,500
DKTM,23-Sep-2014,10.79,10.79,9.50,9.61,4500
DKTM,24-Sep-2014,10.39,10.39,10.39,10.39,500
DKTM,25-Sep-2014,10.68,10.68,10.68,10.68,500
DKTM,29-Sep-2014,9.68,10.58,9.68,10.58,3000
DKTM,10-Oct-2014,10.48,10.48,10.48,10.48,500
DKTM,14-Oct-2014,9.48,10.34,9.48,9.99,2000
DKTM,15-Oct-2014,9.98,10.75,9.98,10.75,1500
DKTM,16-Oct-2014,9.75,10.99,9.75,10.15,4000
DKTM,17-Oct-2014,10.79,10.79,9.75,10.49,1500
DKTM,22-Oct-2014,10.00,10.75,10.00,10.75,1000
DKTM,23-Oct-2014,9.80,10.73,9.75,10.73,3500
DKTM,28-Oct-2014,9.80,9.80,9.77,9.77,1500
DKTM,29-Oct-2014,8.80,8.80,8.77,8.77,3500
DKTM,30-Oct-2014,7.80,8.20,7.77,8.20,7500
DKTM,31-Oct-2014,8.50,8.50,8.50,8.50,500
DKTM,07-Nov-2014,8.60,8.60,8.60,8.60,500
DKTM,11-Nov-2014,8.10,8.44,8.01,8.42,2000
DKTM,12-Nov-2014,8.50,8.50,8.50,8.50,500
DKTM,13-Nov-2014,7.90,8.84,7.85,8.20,4500
DKTM,14-Nov-2014,8.55,8.55,8.55,8.55,500
DKTM,18-Nov-2014,9.40,9.40,8.99,9.40,1000
DKTM,19-Nov-2014,10.35,10.35,10.35,10.35,500
DKTM,20-Nov-2014,9.35,11.00,9.35,10.48,2500
DKTM,01-Dec-2014,9.48,9.48,9.48,9.48,500
DKTM,02-Dec-2014,9.93,9.93,9.93,9.93,500
DKTM,03-Dec-2014,9.94,9.94,9.94,9.94,500
DKTM,08-Dec-2014,9.00,9.30,8.94,9.30,10000
DKTM,09-Dec-2014,9.00,9.00,8.90,8.90,3500
DKTM,10-Dec-2014,8.50,8.56,7.90,8.56,8000
