Symbol,Date,Open,High,Low,Close,Volume
DLL,01-Jan-2014,81.25,82.00,79.95,79.95,17500
DLL,02-Jan-2014,81.70,81.70,81.70,79.95,500
DLL,03-Jan-2014,80.90,81.00,80.50,80.50,3000
DLL,06-Jan-2014,78.50,79.00,76.48,77.70,13000
DLL,07-Jan-2014,74.50,75.50,73.82,74.06,36500
DLL,08-Jan-2014,75.94,77.76,75.94,77.76,37000
DLL,09-Jan-2014,81.40,81.64,78.50,81.62,82000
DLL,10-Jan-2014,81.90,85.70,81.20,85.70,65500
DLL,13-Jan-2014,88.00,89.79,84.00,85.25,59500
DLL,15-Jan-2014,86.65,89.00,86.65,87.56,27500
DLL,16-Jan-2014,89.50,90.00,86.25,87.40,28500
DLL,17-Jan-2014,91.77,91.77,86.50,87.37,33500
DLL,20-Jan-2014,89.50,89.99,86.50,87.91,9500
DLL,21-Jan-2014,89.50,89.79,87.00,87.00,9000
DLL,22-Jan-2014,85.00,85.00,82.65,84.30,55500
DLL,23-Jan-2014,82.10,84.98,82.10,83.07,13000
DLL,24-Jan-2014,80.25,80.25,78.92,78.92,29000
DLL,27-Jan-2014,75.51,75.51,74.98,74.98,42500
DLL,28-Jan-2014,73.01,75.25,71.24,72.01,107000
DLL,29-Jan-2014,72.50,73.90,71.50,71.50,49000
DLL,30-Jan-2014,72.25,75.07,71.60,74.01,129500
DLL,31-Jan-2014,75.00,77.71,74.00,76.94,87500
DLL,03-Feb-2014,78.60,80.00,77.30,78.29,46000
DLL,04-Feb-2014,78.00,82.20,74.65,81.83,101500
DLL,06-Feb-2014,84.00,85.92,82.15,85.92,37000
DLL,07-Feb-2014,88.00,88.50,84.00,84.61,25000
DLL,10-Feb-2014,84.00,85.00,80.38,81.39,91000
DLL,11-Feb-2014,81.39,83.65,81.00,81.00,16500
DLL,12-Feb-2014,83.90,85.05,83.90,85.05,32500
DLL,13-Feb-2014,89.30,89.30,86.50,89.30,49000
DLL,14-Feb-2014,93.00,93.76,90.50,91.11,133500
DLL,17-Feb-2014,90.50,95.48,90.10,91.01,142000
DLL,18-Feb-2014,93.50,93.95,89.00,92.03,91000
DLL,19-Feb-2014,94.90,95.50,89.00,90.92,173500
DLL,20-Feb-2014,89.00,90.75,87.00,88.52,93500
DLL,21-Feb-2014,89.90,92.50,88.00,91.18,99500
DLL,24-Feb-2014,91.89,95.00,91.60,92.07,123500
DLL,25-Feb-2014,90.01,90.70,87.47,87.55,31000
DLL,26-Feb-2014,83.18,84.18,83.18,83.18,197000
DLL,27-Feb-2014,81.50,84.39,80.00,83.15,36500
DLL,28-Feb-2014,80.10,84.00,80.10,84.00,9500
DLL,03-Mar-2014,86.50,88.20,84.00,86.06,143500
DLL,04-Mar-2014,87.00,87.83,85.00,85.00,113500
DLL,05-Mar-2014,86.50,86.50,86.50,86.50,1500
