Symbol,Date,Open,High,Low,Close,Volume
DMTM,02-Jan-2014,19.80,19.80,19.80,19.80,12000
DMTM,03-Jan-2014,20.80,20.80,20.00,20.00,22500
DMTM,06-Jan-2014,19.50,20.00,19.02,19.68,26000
DMTM,07-Jan-2014,20.00,20.00,19.75,19.75,1500
DMTM,08-Jan-2014,20.00,20.00,19.99,20.00,2500
DMTM,09-Jan-2014,20.25,20.25,19.50,19.75,8500
DMTM,10-Jan-2014,20.70,20.70,20.70,20.70,500
DMTM,13-Jan-2014,21.00,21.00,20.90,20.97,2000
DMTM,15-Jan-2014,21.50,22.01,20.00,22.01,14500
DMTM,16-Jan-2014,23.00,23.11,21.15,23.11,2000
DMTM,17-Jan-2014,24.00,24.00,22.01,22.47,7500
DMTM,20-Jan-2014,21.75,21.75,21.51,21.51,2500
DMTM,22-Jan-2014,22.58,22.58,22.58,22.58,500
DMTM,24-Jan-2014,21.50,21.50,21.50,21.50,1500
DMTM,27-Jan-2014,20.50,20.60,20.43,20.43,5500
DMTM,30-Jan-2014,19.50,19.50,19.50,19.50,2000
DMTM,31-Jan-2014,18.65,20.00,18.50,18.67,11000
DMTM,03-Feb-2014,17.82,17.82,17.70,17.75,3500
DMTM,04-Feb-2014,18.75,18.75,18.75,18.75,6500
DMTM,06-Feb-2014,19.75,19.75,19.10,19.10,13500
DMTM,10-Feb-2014,18.10,18.10,18.10,18.10,6000
DMTM,13-Feb-2014,18.95,19.00,17.41,17.41,6500
DMTM,14-Feb-2014,17.10,17.35,17.10,17.31,4500
DMTM,19-Feb-2014,17.50,17.50,16.41,16.59,5500
DMTM,21-Feb-2014,15.80,15.80,15.80,15.80,8000
DMTM,26-Feb-2014,16.80,16.80,16.80,16.80,1000
DMTM,27-Feb-2014,15.82,17.75,15.82,17.75,1500
DMTM,28-Feb-2014,17.25,18.50,17.00,17.26,17500
DMTM,03-Mar-2014,18.00,18.00,17.30,17.30,14500
DMTM,04-Mar-2014,18.00,18.00,16.50,16.96,15000
DMTM,05-Mar-2014,16.30,16.50,16.25,16.30,14000
DMTM,06-Mar-2014,16.65,16.70,16.21,16.27,3000
DMTM,07-Mar-2014,16.00,16.80,15.27,16.04,5500
DMTM,10-Mar-2014,15.65,15.65,15.60,15.62,1500
