Symbol,Date,Open,High,Low,Close,Volume
DOL,01-Jan-2014,5.50,5.73,5.50,5.62,155500
DOL,02-Jan-2014,5.71,6.10,5.67,5.89,1917000
DOL,03-Jan-2014,6.10,6.15,5.84,5.89,426500
DOL,06-Jan-2014,5.90,6.11,5.84,5.88,460000
DOL,07-Jan-2014,5.90,5.90,5.55,5.60,471000
DOL,08-Jan-2014,5.80,5.80,5.60,5.62,438000
DOL,09-Jan-2014,5.55,5.75,5.52,5.62,294500
DOL,10-Jan-2014,5.79,5.79,5.50,5.54,51500
DOL,13-Jan-2014,5.60,5.85,5.60,5.76,189000
DOL,15-Jan-2014,5.80,5.95,5.80,5.81,175500
DOL,16-Jan-2014,5.99,6.45,5.86,6.24,4124000
DOL,17-Jan-2014,6.25,6.44,6.05,6.07,744500
DOL,20-Jan-2014,6.23,6.25,5.95,6.01,479500
DOL,21-Jan-2014,6.13,6.16,5.89,5.91,181000
DOL,22-Jan-2014,5.86,5.99,5.77,5.81,342000
DOL,23-Jan-2014,5.95,6.25,5.80,5.82,555500
DOL,24-Jan-2014,5.83,6.10,5.56,5.90,215000
DOL,27-Jan-2014,5.80,6.12,5.70,5.99,794500
DOL,28-Jan-2014,6.10,6.64,6.10,6.40,3066500
DOL,29-Jan-2014,6.31,6.40,6.16,6.19,215000
DOL,30-Jan-2014,6.24,6.25,6.01,6.13,292000
DOL,31-Jan-2014,6.20,6.20,6.02,6.02,127500
DOL,03-Feb-2014,6.26,6.54,6.04,6.34,1032000
DOL,04-Feb-2014,6.32,6.94,6.31,6.64,2661000
DOL,06-Feb-2014,6.64,7.64,6.64,7.64,4898000
DOL,07-Feb-2014,8.09,8.47,7.55,7.70,9101000
DOL,10-Feb-2014,7.80,7.99,6.98,7.10,1841000
DOL,11-Feb-2014,7.14,7.43,6.93,7.12,987500
DOL,12-Feb-2014,7.25,8.12,7.20,8.12,4675500
DOL,13-Feb-2014,8.25,8.48,7.16,7.46,6071500
DOL,14-Feb-2014,7.45,7.45,6.95,7.03,433000
DOL,17-Feb-2014,7.00,7.15,6.60,6.72,362000
DOL,18-Feb-2014,6.87,6.87,6.20,6.37,615500
DOL,19-Feb-2014,6.55,6.66,6.35,6.36,79500
DOL,20-Feb-2014,6.39,6.56,6.31,6.53,117000
DOL,21-Feb-2014,6.65,6.75,6.46,6.74,154000
DOL,24-Feb-2014,6.81,6.87,6.60,6.75,169500
DOL,25-Feb-2014,6.70,6.85,6.50,6.51,259000
