Symbol,Date,Open,High,Low,Close,Volume
DSIL,01-Jan-2014,5.30,6.29,5.30,6.08,2034000
DSIL,02-Jan-2014,6.25,6.34,5.80,5.89,1025500
DSIL,03-Jan-2014,6.00,6.00,5.50,5.55,542500
DSIL,06-Jan-2014,5.45,5.70,5.45,5.60,250500
DSIL,07-Jan-2014,5.70,5.97,5.70,5.82,515000
DSIL,08-Jan-2014,5.76,6.55,5.76,6.26,1923500
DSIL,09-Jan-2014,6.30,6.66,6.00,6.25,934500
DSIL,10-Jan-2014,6.05,6.27,5.95,6.10,285500
DSIL,13-Jan-2014,6.10,6.20,6.00,6.01,87000
DSIL,15-Jan-2014,6.11,6.14,6.00,6.09,287000
DSIL,16-Jan-2014,6.14,6.19,5.90,5.98,74500
DSIL,17-Jan-2014,5.82,5.95,5.71,5.78,172500
DSIL,20-Jan-2014,5.80,5.84,5.63,5.66,78500
DSIL,21-Jan-2014,5.71,5.94,5.71,5.84,153500
DSIL,22-Jan-2014,5.98,6.60,5.70,6.50,1508500
DSIL,23-Jan-2014,6.40,6.70,6.08,6.14,815000
DSIL,24-Jan-2014,6.06,6.65,5.91,6.45,2093000
DSIL,27-Jan-2014,6.65,6.99,6.32,6.49,2088500
DSIL,28-Jan-2014,6.56,7.28,6.53,6.91,4170000
DSIL,29-Jan-2014,7.01,7.40,6.70,7.32,2759500
DSIL,30-Jan-2014,7.45,7.70,7.21,7.34,1732500
DSIL,31-Jan-2014,7.31,7.54,6.70,6.92,837000
DSIL,03-Feb-2014,6.73,7.04,6.55,6.61,821000
DSIL,04-Feb-2014,6.62,6.95,6.50,6.59,480500
DSIL,06-Feb-2014,6.65,6.75,6.50,6.50,128000
DSIL,07-Feb-2014,6.41,6.50,6.10,6.13,279500
DSIL,10-Feb-2014,6.11,6.14,5.65,5.83,409000
DSIL,11-Feb-2014,5.80,6.04,5.65,5.75,294500
DSIL,12-Feb-2014,5.99,6.15,5.80,5.96,524000
DSIL,13-Feb-2014,5.74,6.00,5.65,5.72,329500
DSIL,14-Feb-2014,5.70,5.74,5.50,5.60,336000
DSIL,17-Feb-2014,5.55,5.60,5.13,5.20,484000
DSIL,18-Feb-2014,5.05,5.25,4.90,5.06,498000
DSIL,19-Feb-2014,5.23,5.35,5.05,5.13,207000
DSIL,20-Feb-2014,5.25,5.25,5.02,5.09,203500
DSIL,21-Feb-2014,5.11,5.29,5.10,5.19,114000
DSIL,24-Feb-2014,5.30,5.50,5.15,5.21,102000
DSIL,25-Feb-2014,5.12,5.15,5.06,5.10,37500
DSIL,26-Feb-2014,5.10,5.10,4.93,5.00,140000
DSIL,27-Feb-2014,5.00,5.00,4.74,4.78,142500
DSIL,28-Feb-2014,4.99,5.15,4.62,4.74,204500
DSIL,03-Mar-2014,4.94,4.94,4.70,4.89,9500
DSIL,04-Mar-2014,4.80,4.95,4.80,4.90,60500
DSIL,05-Mar-2014,4.99,5.14,4.90,5.02,98000
DSIL,06-Mar-2014,5.12,5.29,5.05,5.06,332500
DSIL,07-Mar-2014,5.05,5.10,5.00,5.07,27500
DSIL,10-Mar-2014,4.95,5.20,4.95,5.05,68500
DSIL,11-Mar-2014,5.09,5.19,4.93,4.98,233000
DSIL,12-Mar-2014,5.00,5.05,4.90,4.93,228500
DSIL,13-Mar-2014,5.03,5.07,4.85,4.92,50500
DSIL,14-Mar-2014,5.00,5.10,4.85,4.90,129500
DSIL,17-Mar-2014,5.00,5.28,4.96,5.06,427000
DSIL,18-Mar-2014,5.05,5.17,4.96,5.00,43500
DSIL,19-Mar-2014,4.90,5.05,4.86,4.97,28500
DSIL,20-Mar-2014,4.91,5.15,4.91,5.01,35500
DSIL,21-Mar-2014,4.79,5.08,4.79,4.89,30000
DSIL,24-Mar-2014,4.85,4.93,4.81,4.84,57500
DSIL,25-Mar-2014,5.00,5.00,4.75,4.83,117500
DSIL,26-Mar-2014,4.99,4.99,4.76,4.76,13000
DSIL,27-Mar-2014,4.85,4.98,4.77,4.98,66500
DSIL,28-Mar-2014,5.08,5.08,4.82,4.82,13500
DSIL,31-Mar-2014,4.80,4.81,4.73,4.75,24000
DSIL,01-Apr-2014,4.90,4.93,4.75,4.81,29500
DSIL,02-Apr-2014,4.87,4.89,4.60,4.69,209000
DSIL,03-Apr-2014,4.78,4.90,4.78,4.80,320000
DSIL,04-Apr-2014,4.65,4.94,4.65,4.77,133500
DSIL,07-Apr-2014,4.84,4.84,4.78,4.78,16000
DSIL,08-Apr-2014,4.75,4.94,4.70,4.80,178000
DSIL,09-Apr-2014,4.75,4.85,4.70,4.71,99500
DSIL,10-Apr-2014,4.88,4.90,4.70,4.78,41000
DSIL,11-Apr-2014,4.90,4.99,4.65,4.80,47500
DSIL,14-Apr-2014,4.71,4.73,4.61,4.64,168000
DSIL,15-Apr-2014,4.60,4.69,4.50,4.58,134500
DSIL,16-Apr-2014,4.69,4.85,4.49,4.52,314500
DSIL,17-Apr-2014,4.70,4.70,4.39,4.41,265000
DSIL,18-Apr-2014,4.32,5.05,4.32,4.53,713500
DSIL,21-Apr-2014,4.59,4.70,4.56,4.56,68500
DSIL,22-Apr-2014,4.57,4.80,4.55,4.74,212500
DSIL,23-Apr-2014,4.80,5.74,4.80,5.65,6842000
DSIL,24-Apr-2014,5.80,6.20,5.50,5.74,4794000
DSIL,25-Apr-2014,5.79,5.79,4.82,4.98,1862000
DSIL,28-Apr-2014,5.03,5.64,5.00,5.16,2384000
DSIL,29-Apr-2014,5.10,5.20,4.82,4.99,594500
DSIL,30-Apr-2014,5.05,5.10,4.80,4.83,344500
DSIL,02-May-2014,4.70,4.74,4.40,4.48,689500
DSIL,05-May-2014,4.41,4.41,4.22,4.28,318000
DSIL,06-May-2014,4.12,4.35,4.12,4.22,67000
DSIL,07-May-2014,4.31,4.35,4.23,4.30,101000
DSIL,08-May-2014,4.37,4.79,4.26,4.62,521500
DSIL,09-May-2014,4.69,4.70,4.47,4.56,92000
DSIL,12-May-2014,4.68,4.68,4.37,4.38,60000
DSIL,13-May-2014,4.54,4.54,4.30,4.30,45000
DSIL,14-May-2014,4.53,4.89,4.47,4.77,493500
DSIL,15-May-2014,4.65,4.76,4.50,4.58,167500
DSIL,16-May-2014,4.69,4.85,4.35,4.79,343500
DSIL,19-May-2014,4.84,4.84,4.50,4.78,16500
DSIL,20-May-2014,4.83,5.00,4.71,4.73,208000
DSIL,21-May-2014,4.70,4.70,4.51,4.53,65000
DSIL,22-May-2014,4.69,4.95,4.69,4.71,307000
DSIL,23-May-2014,4.56,4.70,4.56,4.70,1500
DSIL,26-May-2014,4.53,4.85,4.22,4.75,102000
DSIL,27-May-2014,4.88,4.88,4.60,4.64,51500
DSIL,28-May-2014,4.55,4.70,4.55,4.61,53000
DSIL,29-May-2014,4.65,4.83,4.65,4.69,84000
DSIL,30-May-2014,4.61,4.69,4.55,4.59,30000
DSIL,02-Jun-2014,4.60,4.80,4.55,4.70,42500
DSIL,03-Jun-2014,4.82,4.82,4.06,4.35,231500
DSIL,04-Jun-2014,4.74,4.80,4.50,4.76,463500
DSIL,05-Jun-2014,4.87,4.94,4.46,4.51,164500
