Symbol,Date,Open,High,Low,Close,Volume
DWTM,01-Jan-2014,17.55,17.55,17.00,17.55,61500
DWTM,02-Jan-2014,18.00,18.55,17.65,18.55,73000
DWTM,03-Jan-2014,18.05,18.98,17.55,17.55,68500
DWTM,06-Jan-2014,16.75,16.75,16.55,16.55,5000
DWTM,07-Jan-2014,15.55,17.00,15.55,16.60,61500
DWTM,08-Jan-2014,16.25,16.90,16.05,16.79,18500
DWTM,09-Jan-2014,16.50,17.00,16.05,16.10,18000
DWTM,10-Jan-2014,16.30,16.50,16.30,16.50,5000
DWTM,13-Jan-2014,16.50,16.50,15.50,16.18,21500
DWTM,15-Jan-2014,17.00,17.00,15.60,16.16,26000
DWTM,16-Jan-2014,15.90,16.00,15.90,16.00,10500
DWTM,17-Jan-2014,15.70,15.70,15.70,15.70,2000
DWTM,20-Jan-2014,15.50,16.15,15.50,16.15,3500
DWTM,21-Jan-2014,15.26,16.78,15.25,16.78,2000
DWTM,22-Jan-2014,15.86,16.49,15.78,15.78,14000
DWTM,23-Jan-2014,15.50,15.50,14.78,14.78,217000
DWTM,24-Jan-2014,14.94,15.20,14.80,15.14,35500
DWTM,27-Jan-2014,15.10,15.10,14.26,14.50,18500
DWTM,28-Jan-2014,14.50,14.90,14.50,14.63,5000
DWTM,29-Jan-2014,14.50,14.50,14.50,14.50,5000
DWTM,30-Jan-2014,14.00,14.99,14.00,14.51,24000
DWTM,03-Feb-2014,14.99,14.99,14.50,14.50,11000
DWTM,04-Feb-2014,14.25,14.25,13.99,14.06,17500
DWTM,06-Feb-2014,14.97,14.97,14.27,14.60,33500
DWTM,07-Feb-2014,15.00,15.55,14.65,15.09,23000
DWTM,10-Feb-2014,14.50,15.15,14.50,14.75,14000
DWTM,11-Feb-2014,14.99,14.99,14.20,14.20,26500
DWTM,12-Feb-2014,14.85,14.90,14.85,14.90,1500
DWTM,13-Feb-2014,14.31,14.84,14.20,14.84,4500
DWTM,14-Feb-2014,14.20,14.70,14.10,14.30,2500
DWTM,18-Feb-2014,13.31,13.31,13.30,13.31,1000
DWTM,19-Feb-2014,14.07,14.07,14.07,14.07,500
DWTM,24-Feb-2014,13.51,13.51,13.50,13.50,10500
DWTM,25-Feb-2014,13.50,13.93,13.45,13.93,7500
DWTM,26-Feb-2014,13.60,14.34,13.60,14.34,3000
