Symbol,Date,Open,High,Low,Close,Volume
EFERT,20-Jan-2014,31.14,31.14,31.14,31.14,1000
EFERT,21-Jan-2014,32.69,32.69,32.69,32.69,2500
EFERT,22-Jan-2014,34.32,34.32,34.32,34.32,2000
EFERT,23-Jan-2014,36.03,36.03,36.03,36.03,12500
EFERT,24-Jan-2014,37.83,37.83,37.83,37.83,3500
EFERT,27-Jan-2014,39.72,39.72,39.72,39.72,439500
EFERT,28-Jan-2014,41.70,41.70,41.70,41.70,398500
EFERT,29-Jan-2014,43.78,43.78,43.78,43.78,245000
EFERT,30-Jan-2014,45.96,45.96,45.96,45.96,287500
EFERT,31-Jan-2014,48.25,48.25,46.00,48.25,17304500
EFERT,03-Feb-2014,49.00,49.95,48.20,48.48,6873000
EFERT,04-Feb-2014,48.50,48.50,46.35,47.00,7790500
EFERT,06-Feb-2014,47.30,47.75,46.40,46.77,3698500
EFERT,07-Feb-2014,46.51,49.10,46.51,49.09,13869000
EFERT,10-Feb-2014,49.98,51.15,48.40,49.28,12825500
EFERT,11-Feb-2014,49.55,51.74,49.50,51.46,11465000
EFERT,12-Feb-2014,52.99,54.03,52.80,54.03,1926500
EFERT,13-Feb-2014,56.73,56.73,55.51,56.73,6789500
EFERT,14-Feb-2014,57.90,59.49,54.01,55.35,17495500
EFERT,17-Feb-2014,54.52,55.98,53.60,54.14,8418500
EFERT,18-Feb-2014,54.30,54.88,52.10,53.16,7801500
EFERT,19-Feb-2014,53.40,54.85,53.40,54.13,7343500
EFERT,20-Feb-2014,54.26,54.70,53.20,54.15,4057000
EFERT,21-Feb-2014,54.43,56.85,54.00,56.85,8030000
EFERT,24-Feb-2014,59.00,59.69,58.48,59.69,6038000
EFERT,25-Feb-2014,60.50,60.85,58.11,59.04,11860000
EFERT,26-Feb-2014,59.00,61.38,58.80,59.96,8349000
EFERT,27-Feb-2014,60.25,60.98,59.05,59.73,4092000
EFERT,28-Feb-2014,60.14,60.99,59.01,59.63,7973000
EFERT,03-Mar-2014,60.21,60.39,56.65,56.67,6256500
EFERT,04-Mar-2014,55.55,56.56,54.55,55.76,6946000
EFERT,05-Mar-2014,56.28,56.98,56.05,56.31,3902500
EFERT,06-Mar-2014,56.70,57.64,56.40,57.38,5195500
EFERT,07-Mar-2014,57.99,58.18,56.80,57.13,3966000
EFERT,10-Mar-2014,57.48,57.50,56.00,56.33,3160000
EFERT,11-Mar-2014,56.60,57.95,56.40,57.17,5772500
EFERT,12-Mar-2014,57.40,59.75,57.10,59.06,15260500
EFERT,13-Mar-2014,59.85,60.49,58.02,58.29,4903000
EFERT,14-Mar-2014,58.50,59.10,57.50,57.82,2837500
EFERT,17-Mar-2014,57.82,58.24,57.25,57.53,1536000
EFERT,18-Mar-2014,57.25,57.90,57.05,57.14,1206000
EFERT,19-Mar-2014,57.35,57.98,56.70,56.92,2872500
EFERT,20-Mar-2014,57.18,57.89,56.76,57.19,3168500
EFERT,21-Mar-2014,57.25,57.65,56.50,56.83,3089000
EFERT,24-Mar-2014,56.90,57.19,56.20,56.58,1973000
EFERT,25-Mar-2014,56.95,59.40,56.95,59.40,6523000
EFERT,26-Mar-2014,60.00,60.99,59.60,59.91,12308500
EFERT,27-Mar-2014,60.00,60.48,59.11,59.57,4598000
EFERT,28-Mar-2014,59.35,59.60,58.75,58.82,1952500
EFERT,31-Mar-2014,58.80,60.00,58.40,59.70,2299000
EFERT,01-Apr-2014,60.20,62.45,60.20,60.84,9202500
EFERT,02-Apr-2014,61.00,61.25,60.50,60.60,2532000
EFERT,03-Apr-2014,60.79,61.85,60.75,61.51,5776500
EFERT,04-Apr-2014,61.74,62.30,60.91,61.22,3171000
EFERT,07-Apr-2014,61.55,62.08,60.95,61.20,2938500
EFERT,08-Apr-2014,61.50,64.26,61.45,63.66,11756500
EFERT,09-Apr-2014,63.70,63.70,62.70,62.82,3374000
EFERT,10-Apr-2014,63.25,64.15,63.15,63.48,5668000
EFERT,11-Apr-2014,63.60,66.65,63.56,66.65,11881500
