Symbol,Date,Open,High,Low,Close,Volume
EFGH,01-Jan-2014,14.10,14.10,14.10,14.10,1000
EFGH,02-Jan-2014,14.15,14.15,14.15,14.15,500
EFGH,03-Jan-2014,14.60,15.00,14.60,14.98,6000
EFGH,06-Jan-2014,14.50,14.50,14.21,14.21,5500
EFGH,07-Jan-2014,14.22,14.99,14.21,14.99,5500
EFGH,08-Jan-2014,14.42,14.65,14.42,14.55,5000
EFGH,09-Jan-2014,14.56,14.56,14.52,14.52,3000
EFGH,10-Jan-2014,14.17,14.99,14.17,14.92,5500
EFGH,13-Jan-2014,14.80,14.80,14.63,14.63,1000
EFGH,15-Jan-2014,14.66,15.00,14.61,15.00,9000
EFGH,16-Jan-2014,14.51,14.51,14.50,14.50,2000
EFGH,17-Jan-2014,14.98,15.45,14.71,15.22,4000
EFGH,20-Jan-2014,14.75,15.00,14.75,15.00,2000
EFGH,21-Jan-2014,14.66,14.70,14.66,14.66,3500
EFGH,23-Jan-2014,15.00,15.10,14.80,14.80,11000
EFGH,24-Jan-2014,14.75,14.75,14.75,14.75,500
EFGH,27-Jan-2014,14.71,14.90,14.71,14.71,1000
EFGH,28-Jan-2014,14.75,15.00,14.61,15.00,4000
EFGH,29-Jan-2014,14.75,15.00,14.75,14.81,7000
EFGH,31-Jan-2014,14.90,14.90,14.90,14.90,1000
EFGH,03-Feb-2014,14.35,15.15,14.35,14.98,3500
EFGH,06-Feb-2014,14.60,14.60,14.60,14.60,500
EFGH,07-Feb-2014,14.98,15.00,14.71,14.71,2500
EFGH,10-Feb-2014,14.95,14.95,14.37,14.37,3000
EFGH,12-Feb-2014,14.60,14.67,14.60,14.67,3500
EFGH,13-Feb-2014,14.90,14.98,14.71,14.94,6000
EFGH,14-Feb-2014,15.00,15.00,15.00,15.00,1500
EFGH,17-Feb-2014,14.56,14.56,14.10,14.21,5500
EFGH,18-Feb-2014,14.50,14.70,14.21,14.70,2500
EFGH,19-Feb-2014,14.94,15.00,14.94,15.00,2000
EFGH,20-Feb-2014,15.20,16.00,15.20,16.00,11000
EFGH,21-Feb-2014,16.59,17.00,16.59,17.00,18000
EFGH,24-Feb-2014,17.90,17.90,16.25,16.25,137000
EFGH,25-Feb-2014,15.35,15.35,15.35,15.35,500
EFGH,26-Feb-2014,14.80,15.01,14.80,15.00,3000
EFGH,27-Feb-2014,14.61,14.61,14.61,14.61,500
EFGH,04-Mar-2014,14.70,14.90,14.51,14.90,14500
EFGH,05-Mar-2014,14.23,14.90,14.23,14.62,9500
EFGH,06-Mar-2014,14.52,14.52,14.52,14.52,500
EFGH,07-Mar-2014,14.36,14.90,14.36,14.90,5500
EFGH,10-Mar-2014,14.60,14.80,14.60,14.60,6500
EFGH,11-Mar-2014,14.60,14.60,14.60,14.60,2000
EFGH,12-Mar-2014,14.75,14.90,14.67,14.90,16000
EFGH,13-Mar-2014,14.67,14.67,14.65,14.66,4000
EFGH,14-Mar-2014,14.60,14.66,14.60,14.66,1000
EFGH,17-Mar-2014,14.41,14.41,14.41,14.41,500
EFGH,18-Mar-2014,14.31,14.89,14.31,14.89,3000
EFGH,19-Mar-2014,14.46,14.46,14.46,14.46,500
EFGH,20-Mar-2014,14.85,14.85,14.52,14.71,3500
EFGH,21-Mar-2014,14.98,15.25,14.98,15.04,12500
EFGH,24-Mar-2014,14.53,14.53,14.52,14.52,1500
EFGH,25-Mar-2014,14.55,14.55,14.52,14.52,1500
EFGH,27-Mar-2014,14.60,14.80,14.60,14.80,3000
EFGH,28-Mar-2014,14.80,15.00,14.80,15.00,5500
EFGH,31-Mar-2014,14.67,14.67,14.65,14.65,2000
EFGH,01-Apr-2014,14.15,14.62,14.15,14.60,2500
EFGH,02-Apr-2014,14.95,15.00,14.95,15.00,4500
EFGH,03-Apr-2014,14.57,14.99,14.57,14.63,2000
EFGH,04-Apr-2014,14.70,14.70,14.67,14.67,1500
EFGH,08-Apr-2014,14.40,14.40,14.40,14.40,1500
EFGH,09-Apr-2014,14.43,14.50,14.42,14.50,4500
EFGH,10-Apr-2014,14.51,14.72,14.51,14.70,8000
EFGH,11-Apr-2014,15.25,15.25,14.72,15.05,7500
EFGH,14-Apr-2014,14.76,14.76,14.76,14.76,500
EFGH,15-Apr-2014,14.97,15.00,14.97,15.00,2500
EFGH,16-Apr-2014,14.65,15.00,14.65,15.00,3000
EFGH,17-Apr-2014,15.00,15.00,15.00,15.00,500
EFGH,18-Apr-2014,15.40,15.40,15.00,15.00,1000
EFGH,21-Apr-2014,14.81,14.85,14.81,14.85,2000
EFGH,22-Apr-2014,15.00,15.00,14.90,14.90,3500
EFGH,23-Apr-2014,14.91,15.10,14.91,15.10,8000
EFGH,24-Apr-2014,15.20,15.20,15.20,15.20,1000
EFGH,25-Apr-2014,15.55,16.20,15.25,16.10,25000
EFGH,29-Apr-2014,15.10,15.10,15.10,15.10,5000
EFGH,30-Apr-2014,15.10,15.10,15.10,15.10,3000
EFGH,02-May-2014,15.15,15.50,15.15,15.15,15500
EFGH,05-May-2014,14.75,14.75,14.75,14.75,2500
EFGH,06-May-2014,14.75,15.50,14.75,15.42,5500
EFGH,07-May-2014,14.76,14.81,14.76,14.81,1000
EFGH,08-May-2014,14.82,14.82,14.82,14.82,500
EFGH,14-May-2014,14.90,15.25,14.90,15.16,10000
EFGH,15-May-2014,15.25,15.25,15.25,15.25,1000
EFGH,16-May-2014,15.02,15.40,15.02,15.40,2500
EFGH,19-May-2014,15.50,15.50,15.11,15.50,16500
EFGH,20-May-2014,15.12,15.65,15.12,15.22,23500
EFGH,22-May-2014,15.10,15.50,15.10,15.50,2000
EFGH,23-May-2014,15.50,15.50,14.61,15.00,29500
EFGH,26-May-2014,15.50,15.50,15.26,15.26,1500
EFGH,27-May-2014,15.25,15.25,15.25,15.25,500
EFGH,28-May-2014,15.11,15.11,15.00,15.00,5500
EFGH,30-May-2014,15.21,15.35,15.21,15.35,2500
EFGH,02-Jun-2014,15.11,15.11,15.11,15.11,1500
EFGH,03-Jun-2014,15.01,15.50,15.01,15.01,3500
EFGH,09-Jun-2014,14.52,14.56,14.52,14.56,2500
EFGH,11-Jun-2014,14.81,15.10,14.81,15.10,6500
EFGH,13-Jun-2014,14.85,15.00,14.80,14.80,18500
EFGH,16-Jun-2014,15.00,15.00,14.65,14.65,1500
EFGH,17-Jun-2014,15.00,15.00,15.00,15.00,4500
EFGH,18-Jun-2014,15.00,15.40,15.00,15.40,8500
EFGH,19-Jun-2014,14.55,14.55,14.55,14.55,500
EFGH,23-Jun-2014,14.55,14.55,14.55,14.55,2500
EFGH,24-Jun-2014,15.25,15.40,15.00,15.30,6500
EFGH,25-Jun-2014,15.01,15.01,15.01,15.01,1000
EFGH,26-Jun-2014,15.00,15.00,15.00,15.00,500
EFGH,27-Jun-2014,15.00,15.00,15.00,15.00,500
EFGH,30-Jun-2014,15.65,15.66,15.60,15.63,14000
EFGH,01-Jul-2014,14.63,15.49,14.63,15.49,12500
EFGH,02-Jul-2014,14.70,14.70,14.70,14.70,500
EFGH,03-Jul-2014,15.00,15.00,15.00,15.00,3500
EFGH,04-Jul-2014,15.00,15.00,15.00,15.00,1000
EFGH,07-Jul-2014,14.55,14.55,14.55,14.55,1000
EFGH,08-Jul-2014,14.91,14.91,14.90,14.90,1500
EFGH,10-Jul-2014,14.40,14.40,14.40,14.40,500
EFGH,14-Jul-2014,14.25,14.25,14.25,14.25,500
EFGH,15-Jul-2014,14.15,14.15,14.15,14.15,1000
EFGH,16-Jul-2014,15.00,15.15,15.00,15.15,3500
EFGH,17-Jul-2014,15.80,16.15,15.40,16.15,8000
EFGH,18-Jul-2014,17.10,17.15,16.70,16.70,4500
EFGH,21-Jul-2014,15.72,17.70,15.72,17.62,7000
EFGH,22-Jul-2014,18.00,18.62,17.60,18.54,55000
EFGH,23-Jul-2014,19.00,19.00,17.80,18.02,2000
EFGH,24-Jul-2014,18.49,19.02,17.05,19.01,21000
EFGH,28-Jul-2014,18.01,19.73,18.01,19.70,12000
EFGH,04-Aug-2014,18.76,19.00,18.76,19.00,20000
EFGH,05-Aug-2014,19.69,19.69,18.51,18.76,3000
EFGH,06-Aug-2014,18.40,18.40,18.40,18.40,500
EFGH,07-Aug-2014,18.55,19.40,18.55,19.22,16000
EFGH,11-Aug-2014,18.32,18.50,18.32,18.50,3000
EFGH,12-Aug-2014,18.55,18.55,18.55,18.55,500
EFGH,15-Aug-2014,19.49,19.49,19.49,19.49,500
EFGH,19-Aug-2014,18.65,19.70,18.65,19.65,21000
EFGH,26-Aug-2014,18.70,18.70,18.70,18.70,500
EFGH,27-Aug-2014,18.25,18.27,18.25,18.26,3000
EFGH,28-Aug-2014,18.45,18.46,18.45,18.46,1500
EFGH,29-Aug-2014,18.15,19.46,18.15,19.46,20500
EFGH,01-Sep-2014,19.30,19.50,19.30,19.50,2500
EFGH,02-Sep-2014,19.00,19.05,19.00,19.05,4500
EFGH,03-Sep-2014,19.00,19.00,19.00,19.00,1000
EFGH,04-Sep-2014,19.50,19.50,19.50,19.50,6500
EFGH,05-Sep-2014,19.50,19.95,19.50,19.83,23000
EFGH,08-Sep-2014,18.95,19.02,18.95,19.02,52000
EFGH,09-Sep-2014,18.80,18.80,18.75,18.75,1500
EFGH,10-Sep-2014,18.80,19.00,18.80,18.81,66000
EFGH,12-Sep-2014,18.50,19.02,18.50,19.02,91500
EFGH,15-Sep-2014,18.75,18.75,18.75,18.75,1500
EFGH,16-Sep-2014,19.00,19.00,18.99,18.99,2500
EFGH,17-Sep-2014,18.90,18.90,18.62,18.62,3500
EFGH,19-Sep-2014,18.50,18.50,18.50,18.50,500
EFGH,22-Sep-2014,18.58,18.58,18.57,18.57,1500
EFGH,23-Sep-2014,18.80,18.80,18.65,18.65,1500
EFGH,24-Sep-2014,18.76,18.76,18.76,18.76,4000
EFGH,25-Sep-2014,18.65,18.65,18.63,18.65,2500
EFGH,26-Sep-2014,18.75,18.75,18.65,18.65,1500
EFGH,29-Sep-2014,18.65,18.67,18.65,18.67,3500
EFGH,01-Oct-2014,18.76,18.76,18.76,18.76,500
EFGH,09-Oct-2014,18.70,18.70,18.70,18.70,1000
EFGH,13-Oct-2014,18.65,19.20,18.65,19.20,1500
EFGH,16-Oct-2014,18.76,18.76,18.76,18.76,2000
EFGH,23-Oct-2014,19.00,19.00,19.00,19.00,1500
EFGH,27-Oct-2014,18.76,19.00,18.76,19.00,5000
EFGH,28-Oct-2014,18.35,18.35,18.35,18.35,1000
EFGH,29-Oct-2014,18.37,18.37,18.37,18.37,1500
EFGH,30-Oct-2014,18.15,18.15,18.15,18.15,500
EFGH,05-Nov-2014,18.15,18.15,18.15,18.15,1500
EFGH,06-Nov-2014,18.61,18.63,18.61,18.63,1500
EFGH,07-Nov-2014,19.00,19.00,19.00,19.00,3500
EFGH,10-Nov-2014,18.66,19.00,18.66,19.00,4000
EFGH,12-Nov-2014,19.00,19.00,19.00,19.00,1500
EFGH,14-Nov-2014,18.67,18.76,18.67,18.76,1000
EFGH,17-Nov-2014,19.00,19.00,19.00,19.00,1000
EFGH,18-Nov-2014,18.65,18.71,18.65,18.71,2000
EFGH,19-Nov-2014,18.69,18.69,18.68,18.68,3000
EFGH,20-Nov-2014,18.53,18.75,18.53,18.75,2500
EFGH,21-Nov-2014,18.53,18.61,18.53,18.61,1000
EFGH,24-Nov-2014,18.31,18.31,18.31,18.31,2000
EFGH,25-Nov-2014,18.15,18.51,18.15,18.51,1000
EFGH,26-Nov-2014,18.51,18.51,18.51,18.51,1000
EFGH,27-Nov-2014,18.51,18.51,18.51,18.51,1500
EFGH,02-Dec-2014,18.26,18.26,18.26,18.26,500
EFGH,03-Dec-2014,17.31,18.60,17.31,18.50,5500
EFGH,04-Dec-2014,18.15,18.60,18.15,18.60,1500
EFGH,05-Dec-2014,18.15,18.15,18.15,18.15,1000
EFGH,08-Dec-2014,18.65,18.65,18.65,18.65,1000
EFGH,09-Dec-2014,18.17,18.17,18.16,18.16,2000
EFGH,10-Dec-2014,18.50,18.70,18.50,18.70,6500
EFGH,11-Dec-2014,18.35,19.00,18.35,19.00,7000
EFGH,12-Dec-2014,18.38,18.38,18.38,18.38,500
EFGH,16-Dec-2014,18.12,18.15,18.11,18.15,3000
EFGH,17-Dec-2014,18.15,18.15,18.15,18.15,500
EFGH,18-Dec-2014,18.31,18.31,18.31,18.31,500
EFGH,19-Dec-2014,18.15,18.15,18.15,18.15,500
EFGH,23-Dec-2014,18.31,18.33,18.31,18.33,1500
EFGH,24-Dec-2014,18.32,19.10,18.32,19.10,2500
EFGH,31-Dec-2014,18.55,18.75,18.55,18.75,1500
EFGH,02-Jan-2015,18.52,18.53,18.52,18.53,2500
EFGH,05-Jan-2015,18.35,18.37,18.35,18.37,1000
EFGH,06-Jan-2015,18.32,18.32,18.32,18.32,500
EFGH,08-Jan-2015,18.33,18.51,18.33,18.51,1000
EFGH,12-Jan-2015,18.62,18.64,18.62,18.64,3000
EFGH,13-Jan-2015,18.65,18.70,18.65,18.67,7000
EFGH,14-Jan-2015,18.12,18.12,18.12,18.12,1000
EFGH,15-Jan-2015,18.13,18.15,18.13,18.15,1500
EFGH,20-Jan-2015,18.55,18.55,18.55,18.55,500
EFGH,21-Jan-2015,18.00,18.25,18.00,18.25,3500
EFGH,22-Jan-2015,18.12,18.14,18.12,18.14,4000
EFGH,23-Jan-2015,18.02,18.02,18.02,18.02,500
EFGH,26-Jan-2015,18.15,18.15,18.15,18.15,500
EFGH,27-Jan-2015,18.35,18.50,18.35,18.37,2500
EFGH,28-Jan-2015,18.50,18.60,18.40,18.53,3000
EFGH,29-Jan-2015,18.40,18.40,18.40,18.40,1000
EFGH,02-Feb-2015,18.40,18.40,18.40,18.40,500
EFGH,03-Feb-2015,18.51,18.51,18.51,18.51,1000
EFGH,06-Feb-2015,18.52,18.52,18.31,18.31,1000
EFGH,09-Feb-2015,18.51,18.51,18.51,18.51,1500
EFGH,10-Feb-2015,18.47,18.50,18.32,18.32,2000
EFGH,11-Feb-2015,18.32,18.32,18.32,18.32,1000
EFGH,12-Feb-2015,18.32,18.32,18.31,18.31,3500
EFGH,16-Feb-2015,18.31,18.31,18.11,18.11,1500
EFGH,17-Feb-2015,18.90,19.00,18.70,19.00,17000
EFGH,18-Feb-2015,19.00,19.00,19.00,19.00,500
EFGH,19-Feb-2015,19.00,19.00,19.00,19.00,2000
EFGH,20-Feb-2015,19.10,19.10,18.35,18.35,1000
EFGH,23-Feb-2015,18.61,18.99,18.61,18.99,2000
EFGH,24-Feb-2015,18.99,18.99,18.25,18.25,24000
EFGH,25-Feb-2015,18.25,18.35,18.25,18.35,2000
EFGH,26-Feb-2015,18.50,18.50,18.35,18.35,1500
EFGH,27-Feb-2015,18.15,18.15,18.15,18.15,1000
EFGH,02-Mar-2015,18.50,18.50,18.35,18.35,2000
EFGH,03-Mar-2015,18.50,18.99,18.06,18.99,3000
EFGH,06-Mar-2015,18.10,18.10,18.10,18.10,500
EFGH,09-Mar-2015,18.10,18.10,18.00,18.01,3500
EFGH,10-Mar-2015,18.70,18.70,18.50,18.50,1500
EFGH,16-Mar-2015,18.01,18.50,18.01,18.01,1500
EFGH,17-Mar-2015,18.00,18.00,18.00,18.00,2000
EFGH,18-Mar-2015,17.96,18.10,17.96,18.00,4000
EFGH,19-Mar-2015,18.01,18.01,18.01,18.01,3000
EFGH,20-Mar-2015,17.78,18.00,17.78,18.00,1500
EFGH,24-Mar-2015,18.99,18.99,18.99,18.99,2000
EFGH,25-Mar-2015,18.50,18.50,18.10,18.28,8000
EFGH,26-Mar-2015,18.25,18.25,18.05,18.25,3000
EFGH,27-Mar-2015,18.50,18.50,18.00,18.01,4000
EFGH,30-Mar-2015,17.26,18.00,17.26,17.53,6500
EFGH,31-Mar-2015,18.53,18.53,18.53,18.53,500
EFGH,01-Apr-2015,18.50,18.50,18.50,18.50,500
EFGH,02-Apr-2015,19.35,19.50,19.25,19.50,13000
EFGH,03-Apr-2015,19.00,19.00,19.00,19.00,500
EFGH,06-Apr-2015,19.05,19.05,19.05,19.05,500
EFGH,07-Apr-2015,19.00,19.00,19.00,19.00,1000
EFGH,08-Apr-2015,19.00,19.00,19.00,19.00,4000
EFGH,09-Apr-2015,19.00,20.00,19.00,19.77,6000
EFGH,13-Apr-2015,20.00,20.00,20.00,20.00,500
EFGH,14-Apr-2015,19.60,20.80,19.60,20.80,1000
EFGH,15-Apr-2015,19.76,20.00,19.76,20.00,1000
EFGH,16-Apr-2015,20.50,20.50,20.50,20.50,4000
EFGH,21-Apr-2015,20.50,21.00,20.50,21.00,4000
EFGH,22-Apr-2015,21.00,21.50,21.00,21.24,4500
EFGH,23-Apr-2015,21.94,22.30,21.94,22.30,11000
EFGH,24-Apr-2015,23.41,23.41,23.41,23.41,500
EFGH,27-Apr-2015,24.58,24.58,24.58,24.58,27500
EFGH,28-Apr-2015,25.80,25.80,25.80,25.80,500
EFGH,29-Apr-2015,27.09,27.09,27.07,27.09,131000
EFGH,30-Apr-2015,28.44,28.44,28.44,28.44,61000
EFGH,04-May-2015,29.79,29.86,29.00,29.48,78000
EFGH,05-May-2015,29.16,29.74,28.01,29.37,55500
EFGH,06-May-2015,29.98,30.33,28.26,28.52,79000
EFGH,07-May-2015,28.50,29.00,28.10,28.24,23000
EFGH,08-May-2015,28.84,28.85,26.90,27.36,20500
EFGH,11-May-2015,28.50,28.50,26.10,26.20,23000
EFGH,12-May-2015,27.45,27.51,27.00,27.51,14500
EFGH,13-May-2015,28.87,28.87,28.30,28.83,17500
EFGH,14-May-2015,29.42,30.24,29.42,29.81,24000
EFGH,15-May-2015,29.00,29.39,28.75,29.39,6500
EFGH,18-May-2015,30.00,30.00,29.00,29.45,13000
EFGH,19-May-2015,29.40,29.41,29.40,29.41,1000
EFGH,20-May-2015,28.91,28.91,28.15,28.50,12000
EFGH,21-May-2015,28.05,28.94,28.05,28.94,1000
EFGH,22-May-2015,28.15,29.99,28.15,28.25,14500
EFGH,25-May-2015,28.00,28.00,27.60,27.81,5500
EFGH,26-May-2015,28.30,29.10,28.30,29.04,10500
EFGH,27-May-2015,29.10,30.49,29.00,30.35,37000
