Symbol,Date,Open,High,Low,Close,Volume
ELCM,16-Jan-2014,66.50,66.50,66.50,66.50,1000
ELCM,17-Jan-2014,63.18,63.18,63.18,63.18,1000
ELCM,20-Jan-2014,60.05,64.48,60.05,64.48,3000
ELCM,23-Jan-2014,66.90,66.95,66.90,66.93,1000
ELCM,06-Feb-2014,67.90,67.95,67.90,67.95,1000
ELCM,14-Feb-2014,67.90,67.95,67.90,67.95,1000
ELCM,21-Feb-2014,69.32,69.37,69.32,69.37,1000
ELCM,20-Mar-2014,60.40,60.45,60.40,60.45,1000
ELCM,27-Mar-2014,62.90,62.96,62.90,62.96,1000
ELCM,28-Mar-2014,65.89,65.90,65.89,65.90,1000
ELCM,01-Apr-2014,68.94,69.00,68.94,69.00,1000
ELCM,03-Apr-2014,69.89,69.94,69.89,69.94,1000
ELCM,04-Apr-2014,72.80,72.85,72.80,72.85,1000
ELCM,07-Apr-2014,74.70,74.76,74.70,74.76,1000
ELCM,17-Apr-2014,66.44,66.45,66.44,66.45,1000
ELCM,23-Apr-2014,68.90,68.95,68.90,68.95,1000
ELCM,25-Apr-2014,66.48,66.48,65.48,65.48,1500
ELCM,28-May-2014,65.85,65.90,65.85,65.90,1000
ELCM,02-Jun-2014,66.90,66.95,66.90,66.95,1000
ELCM,06-Jun-2014,61.82,61.82,61.82,61.82,2500
ELCM,10-Jun-2014,62.45,62.51,62.45,62.51,1000
ELCM,11-Jun-2014,63.90,63.95,63.90,63.95,1000
ELCM,12-Jun-2014,64.90,64.95,64.90,64.95,1000
ELCM,13-Jun-2014,67.80,67.86,67.80,67.86,1000
ELCM,20-Jun-2014,69.95,70.00,69.95,70.00,1000
ELCM,10-Jul-2014,54.66,54.70,54.66,54.70,1000
ELCM,22-Jul-2014,49.38,49.38,49.38,49.38,500
ELCM,08-Sep-2014,46.65,46.72,46.65,46.72,1000
ELCM,11-Sep-2014,45.53,45.53,45.53,45.53,2000
ELCM,15-Sep-2014,47.75,47.80,47.75,47.80,1000
ELCM,16-Sep-2014,49.75,49.80,49.75,49.80,1000
ELCM,17-Sep-2014,49.70,49.70,49.70,49.70,500
ELCM,25-Sep-2014,44.40,44.80,44.40,44.80,1500
ELCM,22-Oct-2014,42.00,42.00,41.33,41.33,1000
ELCM,23-Oct-2014,39.27,39.27,39.27,39.27,500
ELCM,24-Oct-2014,37.31,37.31,37.31,37.31,500
ELCM,27-Oct-2014,39.00,39.00,35.50,35.50,1000
ELCM,29-Oct-2014,33.75,33.80,33.75,33.78,1000
ELCM,30-Oct-2014,32.12,32.15,32.12,32.15,1000
ELCM,31-Oct-2014,30.55,30.60,30.55,30.60,1000
ELCM,14-Nov-2014,35.77,35.77,35.77,35.77,500
ELCM,18-Nov-2014,37.55,37.55,37.55,37.55,500
ELCM,19-Nov-2014,39.42,39.42,39.42,39.42,500
ELCM,26-Nov-2014,50.29,50.29,50.29,50.29,500
ELCM,27-Nov-2014,52.80,52.80,52.80,52.80,500
ELCM,28-Nov-2014,50.16,55.40,50.16,55.40,1000
ELCM,01-Dec-2014,58.17,58.17,58.17,58.17,500
ELCM,02-Dec-2014,60.00,60.00,60.00,60.00,500
ELCM,03-Dec-2014,63.00,63.00,63.00,63.00,1000
ELCM,05-Dec-2014,66.10,66.15,59.95,65.95,3000
ELCM,09-Dec-2014,62.67,62.67,62.67,62.67,500
ELCM,10-Dec-2014,59.55,59.55,59.55,59.55,500
ELCM,12-Dec-2014,62.45,62.50,62.45,62.50,1000
ELCM,15-Dec-2014,62.45,65.60,59.40,59.40,2500
ELCM,19-Dec-2014,62.30,62.37,62.30,62.37,1000
ELCM,22-Dec-2014,65.30,65.35,65.30,65.35,1000
ELCM,24-Dec-2014,68.56,68.61,68.56,68.61,1000
ELCM,29-Dec-2014,71.95,72.00,71.95,72.00,1000
ELCM,30-Dec-2014,74.95,75.00,74.95,75.00,1000
ELCM,04-Feb-2015,51.75,51.75,51.75,51.75,1000
