Symbol,Date,Open,High,Low,Close,Volume
ELSM,01-Jan-2014,109.00,109.21,105.00,109.21,11000
ELSM,02-Jan-2014,114.60,114.67,114.60,114.67,12000
ELSM,03-Jan-2014,119.90,120.40,116.30,116.34,12000
ELSM,06-Jan-2014,113.10,115.00,110.53,110.53,8500
ELSM,07-Jan-2014,108.50,108.50,105.01,105.13,15500
ELSM,08-Jan-2014,110.38,110.38,107.00,110.38,5500
ELSM,09-Jan-2014,115.70,115.80,106.00,106.99,10500
ELSM,10-Jan-2014,106.00,107.00,104.50,107.00,4000
ELSM,13-Jan-2014,105.01,105.05,105.01,105.05,1500
ELSM,15-Jan-2014,105.35,109.35,105.35,107.38,7500
ELSM,16-Jan-2014,111.75,111.80,107.00,107.00,4500
ELSM,17-Jan-2014,109.00,110.50,107.25,110.50,4000
ELSM,20-Jan-2014,111.85,112.00,111.85,112.00,1000
ELSM,21-Jan-2014,115.00,117.60,115.00,117.60,21000
ELSM,22-Jan-2014,116.00,123.48,116.00,123.48,15500
ELSM,23-Jan-2014,129.65,129.65,129.65,129.65,7000
ELSM,24-Jan-2014,135.90,136.13,135.90,136.13,6000
ELSM,27-Jan-2014,142.93,142.93,142.93,142.93,8000
ELSM,28-Jan-2014,150.00,150.07,140.00,141.03,81500
ELSM,29-Jan-2014,142.00,142.10,135.10,135.91,18000
ELSM,30-Jan-2014,130.02,132.99,129.12,132.70,11000
ELSM,31-Jan-2014,132.50,133.00,132.50,133.00,2500
ELSM,03-Feb-2014,137.99,139.65,137.95,137.95,8000
ELSM,04-Feb-2014,144.70,144.84,135.00,135.00,14500
ELSM,10-Feb-2014,136.00,136.00,128.26,128.50,7500
ELSM,11-Feb-2014,125.00,125.00,122.08,122.10,6000
ELSM,12-Feb-2014,125.00,126.00,123.00,123.00,10500
ELSM,13-Feb-2014,123.00,123.00,123.00,123.00,500
ELSM,14-Feb-2014,117.10,125.10,116.85,124.94,4500
ELSM,17-Feb-2014,125.00,125.00,118.70,118.70,4000
ELSM,18-Feb-2014,113.25,115.00,113.00,115.00,3000
ELSM,19-Feb-2014,115.05,115.15,111.05,111.41,6000
ELSM,20-Feb-2014,109.00,109.00,107.00,107.50,7500
ELSM,21-Feb-2014,110.25,112.87,110.00,112.87,4000
ELSM,24-Feb-2014,115.00,115.00,110.00,112.25,2500
ELSM,25-Feb-2014,114.50,117.00,108.00,111.00,19000
ELSM,27-Feb-2014,106.30,109.00,105.50,108.00,3000
ELSM,28-Feb-2014,110.25,110.25,110.25,110.25,500
ELSM,03-Mar-2014,107.11,107.25,107.10,107.13,2500
ELSM,04-Mar-2014,110.48,110.49,110.48,110.49,1000
ELSM,05-Mar-2014,112.49,113.00,112.00,112.00,2500
ELSM,06-Mar-2014,112.00,113.00,109.00,109.50,3000
ELSM,07-Mar-2014,108.00,112.00,108.00,108.23,9500
ELSM,11-Mar-2014,103.75,103.85,102.82,102.82,5000
ELSM,12-Mar-2014,98.25,98.25,97.68,97.68,6000
ELSM,13-Mar-2014,95.10,95.10,92.80,92.80,22000
ELSM,14-Mar-2014,96.40,97.44,96.40,97.44,7500
ELSM,17-Mar-2014,100.00,100.00,92.57,92.89,48000
ELSM,18-Mar-2014,91.00,93.00,91.00,91.00,7500
ELSM,20-Mar-2014,88.50,89.99,87.50,89.95,2500
ELSM,26-Mar-2014,90.00,90.00,90.00,90.00,500
ELSM,27-Mar-2014,90.00,90.00,90.00,90.00,2000
ELSM,28-Mar-2014,88.00,90.00,87.00,87.00,12000
ELSM,31-Mar-2014,88.88,88.88,88.88,88.88,500
ELSM,01-Apr-2014,88.00,88.00,87.00,87.00,2000
ELSM,02-Apr-2014,88.88,90.00,88.02,88.02,4000
ELSM,03-Apr-2014,89.49,91.00,89.00,91.00,3000
ELSM,04-Apr-2014,88.20,89.00,88.00,88.00,3000
ELSM,07-Apr-2014,87.50,87.50,87.00,87.00,3500
ELSM,08-Apr-2014,85.00,88.00,85.00,88.00,3500
ELSM,09-Apr-2014,87.50,88.00,86.20,86.20,11500
ELSM,10-Apr-2014,87.00,88.00,84.75,85.56,13000
ELSM,11-Apr-2014,86.49,86.49,81.29,81.29,18000
ELSM,14-Apr-2014,83.85,83.85,78.00,78.00,8500
ELSM,15-Apr-2014,75.30,75.30,75.30,75.30,2000
ELSM,16-Apr-2014,76.00,77.00,76.00,77.00,1500
ELSM,17-Apr-2014,76.05,76.05,76.00,76.00,1500
ELSM,18-Apr-2014,79.75,79.80,77.51,78.50,54000
ELSM,21-Apr-2014,80.90,81.00,78.01,78.01,12000
ELSM,22-Apr-2014,78.99,79.00,77.02,77.10,5000
ELSM,23-Apr-2014,75.03,75.03,74.50,74.50,4500
ELSM,24-Apr-2014,73.01,73.01,70.78,70.78,9500
ELSM,25-Apr-2014,69.01,70.00,69.01,70.00,3000
ELSM,28-Apr-2014,70.00,70.00,69.05,69.10,5000
ELSM,29-Apr-2014,69.10,72.10,69.10,71.20,10000
ELSM,30-Apr-2014,71.00,74.49,71.00,73.50,6000
ELSM,02-May-2014,75.98,77.10,75.00,75.00,6000
ELSM,05-May-2014,76.00,76.00,75.00,75.00,2500
ELSM,06-May-2014,75.00,75.00,72.50,72.50,2000
ELSM,07-May-2014,73.00,73.00,70.01,70.01,5000
ELSM,08-May-2014,72.90,73.50,72.90,73.50,2500
ELSM,12-May-2014,76.25,76.25,76.25,76.25,500
ELSM,13-May-2014,75.50,75.50,75.50,75.50,1500
ELSM,14-May-2014,76.49,77.49,76.00,76.50,9500
ELSM,15-May-2014,77.99,77.99,76.55,76.55,3500
ELSM,16-May-2014,76.25,78.00,76.25,77.95,19500
ELSM,19-May-2014,76.99,77.00,76.30,76.65,3500
ELSM,20-May-2014,77.00,77.00,75.25,75.25,4000
ELSM,21-May-2014,76.00,76.40,76.00,76.40,1500
ELSM,23-May-2014,77.00,77.00,77.00,77.00,500
ELSM,26-May-2014,76.00,77.00,76.00,77.00,1500
ELSM,27-May-2014,77.99,78.99,77.99,78.70,9000
ELSM,28-May-2014,78.00,78.00,77.60,77.60,2500
ELSM,29-May-2014,77.99,80.25,77.99,80.00,10000
ELSM,30-May-2014,79.50,79.50,77.51,77.51,7500
ELSM,02-Jun-2014,78.00,78.00,77.00,77.00,8500
ELSM,03-Jun-2014,78.99,79.00,76.00,76.45,5500
ELSM,04-Jun-2014,78.00,80.27,78.00,80.26,26000
ELSM,05-Jun-2014,81.00,82.94,78.25,80.00,11000
ELSM,06-Jun-2014,78.00,78.00,76.30,76.30,5000
ELSM,09-Jun-2014,75.00,75.00,72.49,73.75,19500
ELSM,10-Jun-2014,74.95,74.95,74.00,74.00,2500
ELSM,12-Jun-2014,73.10,75.90,71.00,75.90,32000
ELSM,13-Jun-2014,74.93,75.00,74.30,74.50,3500
ELSM,16-Jun-2014,74.99,77.90,74.99,77.90,3000
ELSM,17-Jun-2014,74.25,74.25,74.10,74.18,2000
ELSM,18-Jun-2014,75.40,75.49,75.40,75.45,1000
ELSM,19-Jun-2014,72.65,73.00,72.00,72.00,6500
ELSM,20-Jun-2014,74.50,74.50,74.50,74.50,5000
ELSM,26-Jun-2014,72.51,74.00,72.50,74.00,3500
ELSM,30-Jun-2014,73.95,73.95,73.95,73.95,500
ELSM,01-Jul-2014,74.00,75.00,74.00,75.00,3500
ELSM,03-Jul-2014,74.25,75.00,74.25,75.00,2500
ELSM,04-Jul-2014,74.00,74.00,74.00,74.00,1000
ELSM,07-Jul-2014,75.49,75.50,75.49,75.50,1500
ELSM,08-Jul-2014,75.45,75.45,75.45,75.45,500
ELSM,11-Jul-2014,73.06,73.06,73.05,73.05,1500
ELSM,16-Jul-2014,73.01,73.01,73.01,73.01,500
ELSM,18-Jul-2014,73.25,73.50,73.25,73.45,2500
ELSM,23-Jul-2014,73.90,73.90,73.90,73.90,500
ELSM,24-Jul-2014,72.00,72.00,72.00,72.00,500
ELSM,28-Jul-2014,74.00,74.00,74.00,74.00,500
ELSM,04-Aug-2014,70.51,70.51,70.50,70.50,1000
ELSM,11-Aug-2014,66.98,67.51,66.98,67.51,1500
ELSM,12-Aug-2014,69.99,70.00,69.99,70.00,1000
ELSM,13-Aug-2014,68.50,71.95,68.25,71.56,7000
ELSM,18-Aug-2014,69.05,69.05,69.05,69.05,500
ELSM,21-Aug-2014,72.00,72.50,72.00,72.50,3500
ELSM,22-Aug-2014,70.30,70.30,70.30,70.30,500
ELSM,26-Aug-2014,72.00,72.00,72.00,72.00,1500
ELSM,27-Aug-2014,70.25,70.25,70.00,70.00,1000
ELSM,01-Sep-2014,70.11,72.95,70.00,72.95,7000
ELSM,02-Sep-2014,71.25,71.25,70.05,70.05,3000
ELSM,04-Sep-2014,73.30,73.50,73.30,73.50,4000
ELSM,05-Sep-2014,73.50,73.50,73.00,73.00,1500
ELSM,08-Sep-2014,73.50,73.99,73.50,73.99,1000
ELSM,09-Sep-2014,74.90,77.50,72.50,75.17,48500
ELSM,10-Sep-2014,75.00,78.92,75.00,78.92,22000
ELSM,11-Sep-2014,80.48,82.86,80.48,82.86,10000
ELSM,12-Sep-2014,86.50,87.00,86.50,87.00,19000
ELSM,15-Sep-2014,89.98,91.35,89.88,91.35,28500
ELSM,16-Sep-2014,94.98,95.91,93.31,95.90,35500
ELSM,17-Sep-2014,96.50,96.50,94.50,94.50,4500
ELSM,18-Sep-2014,93.00,94.25,91.01,92.00,7500
ELSM,19-Sep-2014,92.50,94.00,92.25,92.64,10500
ELSM,22-Sep-2014,89.25,89.25,88.10,88.10,8500
ELSM,23-Sep-2014,86.00,88.00,84.00,85.20,14000
ELSM,24-Sep-2014,82.15,89.46,82.15,87.10,7500
ELSM,25-Sep-2014,86.78,91.45,86.00,91.01,94000
ELSM,26-Sep-2014,93.49,93.49,90.00,90.20,40500
ELSM,29-Sep-2014,90.00,90.50,90.00,90.50,1000
ELSM,30-Sep-2014,87.00,88.00,86.55,88.00,2000
ELSM,01-Oct-2014,89.00,89.00,88.00,88.00,6500
ELSM,02-Oct-2014,87.30,89.00,87.30,88.00,7500
ELSM,03-Oct-2014,87.00,88.50,87.00,88.30,3500
ELSM,09-Oct-2014,89.00,89.00,89.00,89.00,500
ELSM,10-Oct-2014,88.25,90.90,88.25,90.90,2500
ELSM,13-Oct-2014,91.00,93.00,88.10,93.00,22500
ELSM,14-Oct-2014,92.00,93.50,92.00,92.40,5000
ELSM,15-Oct-2014,92.50,92.50,90.00,90.50,5000
ELSM,16-Oct-2014,88.26,90.05,88.25,89.38,11500
ELSM,17-Oct-2014,91.30,93.84,91.30,93.84,84000
ELSM,20-Oct-2014,84.00,84.00,83.10,84.00,14000
ELSM,21-Oct-2014,85.00,88.20,85.00,88.20,14000
ELSM,22-Oct-2014,89.55,90.55,89.55,90.00,3500
ELSM,23-Oct-2014,90.00,92.00,90.00,91.50,10000
ELSM,24-Oct-2014,91.50,91.50,90.00,90.00,13000
ELSM,27-Oct-2014,91.00,93.00,91.00,93.00,4000
ELSM,28-Oct-2014,94.00,95.00,88.35,88.95,53500
ELSM,29-Oct-2014,85.30,85.30,85.01,85.13,2000
ELSM,30-Oct-2014,82.31,83.50,82.31,83.50,1000
ELSM,05-Nov-2014,83.00,83.00,82.01,82.01,2500
ELSM,06-Nov-2014,80.01,81.25,80.01,80.50,3500
ELSM,07-Nov-2014,81.00,84.25,81.00,84.00,7500
ELSM,10-Nov-2014,84.30,84.50,84.00,84.00,4500
ELSM,11-Nov-2014,84.05,85.00,84.00,85.00,2500
ELSM,12-Nov-2014,85.00,85.00,85.00,85.00,1000
ELSM,13-Nov-2014,87.90,89.00,87.90,89.00,6000
ELSM,14-Nov-2014,90.00,90.00,85.30,89.00,12000
ELSM,17-Nov-2014,87.00,87.00,87.00,87.00,1000
ELSM,18-Nov-2014,87.00,87.00,87.00,87.00,1500
ELSM,19-Nov-2014,85.30,85.30,83.30,84.00,5000
ELSM,28-Nov-2014,81.50,82.99,81.19,82.99,2500
