Symbol,Date,Open,High,Low,Close,Volume
ENGRO,01-Jan-2014,159.49,160.60,158.80,159.58,1146900
ENGRO,02-Jan-2014,160.98,164.40,160.98,161.97,4297200
ENGRO,03-Jan-2014,162.60,164.90,162.10,162.77,3286800
ENGRO,06-Jan-2014,163.00,165.25,161.60,162.82,2957400
ENGRO,07-Jan-2014,162.50,170.85,162.50,170.09,8755200
ENGRO,08-Jan-2014,171.50,174.99,166.50,168.84,4855900
ENGRO,09-Jan-2014,166.00,169.85,165.00,166.36,3480300
ENGRO,10-Jan-2014,166.36,168.19,165.05,166.56,2006000
ENGRO,13-Jan-2014,166.00,166.85,164.21,166.07,874700
ENGRO,15-Jan-2014,166.50,170.29,166.50,168.17,3588400
ENGRO,16-Jan-2014,168.56,172.00,168.00,171.04,5995300
ENGRO,17-Jan-2014,179.59,179.59,178.50,179.59,6452300
ENGRO,20-Jan-2014,181.45,188.56,181.45,188.12,7194600
ENGRO,21-Jan-2014,189.11,192.20,186.11,186.91,5244000
ENGRO,22-Jan-2014,187.49,188.80,184.62,186.20,4982200
ENGRO,23-Jan-2014,186.60,189.74,184.01,184.78,4194700
ENGRO,24-Jan-2014,185.00,185.36,176.50,179.57,7410200
ENGRO,27-Jan-2014,180.00,180.59,172.00,173.96,3479300
ENGRO,28-Jan-2014,174.10,178.10,173.00,175.05,5570500
ENGRO,29-Jan-2014,176.25,177.19,174.50,175.30,2454800
ENGRO,30-Jan-2014,176.25,177.90,175.70,176.38,2646800
ENGRO,31-Jan-2014,176.75,181.49,176.75,178.26,7513700
ENGRO,03-Feb-2014,178.55,180.32,178.27,178.97,3893700
ENGRO,04-Feb-2014,179.00,179.30,176.20,177.02,2288800
ENGRO,06-Feb-2014,177.50,179.50,177.25,177.91,3149500
ENGRO,07-Feb-2014,177.70,179.35,175.56,176.34,1907700
ENGRO,10-Feb-2014,177.30,177.40,168.10,171.64,2950300
ENGRO,11-Feb-2014,172.00,176.40,170.00,174.43,3261500
ENGRO,12-Feb-2014,177.50,183.15,177.30,183.15,8880700
ENGRO,13-Feb-2014,185.00,191.98,183.20,187.38,11885200
ENGRO,14-Feb-2014,187.51,188.49,178.02,180.88,10467700
ENGRO,17-Feb-2014,179.65,180.89,174.00,175.34,3040600
ENGRO,18-Feb-2014,175.50,177.15,171.00,176.19,4611900
ENGRO,19-Feb-2014,176.76,178.00,170.01,171.15,3698700
ENGRO,20-Feb-2014,171.90,175.38,169.06,173.43,6686600
ENGRO,21-Feb-2014,173.51,182.10,173.36,182.10,7192800
ENGRO,24-Feb-2014,185.50,191.00,184.15,189.96,10609600
ENGRO,25-Feb-2014,189.00,189.39,182.01,182.83,5382800
ENGRO,26-Feb-2014,181.80,185.00,180.50,182.40,3342700
ENGRO,27-Feb-2014,182.70,185.90,182.10,184.36,2954600
ENGRO,28-Feb-2014,184.99,190.99,184.51,188.75,7886900
ENGRO,03-Mar-2014,192.00,192.80,181.25,182.51,4824900
ENGRO,04-Mar-2014,182.51,184.48,179.51,182.23,3933100
ENGRO,05-Mar-2014,184.00,184.60,182.40,183.43,3169400
ENGRO,06-Mar-2014,183.97,187.39,183.41,186.13,3613000
ENGRO,07-Mar-2014,187.70,189.98,185.45,186.98,5200700
ENGRO,10-Mar-2014,186.70,189.49,185.01,187.26,2783200
ENGRO,11-Mar-2014,187.97,196.62,187.61,196.62,9651600
ENGRO,12-Mar-2014,198.20,200.45,193.50,194.63,7089000
ENGRO,13-Mar-2014,195.01,196.15,189.50,190.25,2542000
ENGRO,14-Mar-2014,190.50,196.20,190.00,194.06,3780900
ENGRO,17-Mar-2014,190.51,190.95,187.00,187.27,1699400
ENGRO,18-Mar-2014,187.30,189.00,185.70,187.16,3641700
ENGRO,19-Mar-2014,187.50,189.70,186.23,186.61,2525700
ENGRO,20-Mar-2014,186.20,187.85,183.01,185.98,2790500
ENGRO,21-Mar-2014,186.99,187.35,182.61,184.31,2348900
ENGRO,24-Mar-2014,184.35,187.30,181.16,185.25,3817600
ENGRO,25-Mar-2014,186.63,188.85,185.80,187.17,4438400
ENGRO,26-Mar-2014,186.00,188.50,185.55,186.01,3355900
ENGRO,27-Mar-2014,186.82,187.72,186.20,186.54,1966800
ENGRO,28-Mar-2014,187.10,189.15,186.26,186.69,4027600
ENGRO,31-Mar-2014,187.50,187.95,186.03,186.47,1288200
ENGRO,01-Apr-2014,187.50,191.00,187.06,188.37,5426600
ENGRO,02-Apr-2014,189.10,192.80,189.00,191.88,6580200
ENGRO,03-Apr-2014,193.25,197.00,192.85,194.45,7788700
ENGRO,04-Apr-2014,194.00,195.13,191.12,192.62,2449600
ENGRO,07-Apr-2014,193.79,194.50,191.51,193.95,2269100
ENGRO,08-Apr-2014,195.45,203.64,195.45,203.64,8570100
ENGRO,09-Apr-2014,204.99,206.40,201.80,204.09,6383100
ENGRO,10-Apr-2014,205.00,214.25,204.05,211.87,8776400
ENGRO,11-Apr-2014,214.00,215.99,209.50,213.86,6672900
ENGRO,14-Apr-2014,215.00,217.49,213.51,214.02,4639900
ENGRO,15-Apr-2014,214.80,216.69,211.70,212.98,4561500
ENGRO,16-Apr-2014,213.60,214.40,209.82,210.38,2914400
ENGRO,17-Apr-2014,210.97,210.97,203.10,208.68,3653900
ENGRO,18-Apr-2014,209.80,216.20,207.26,213.06,7346300
ENGRO,21-Apr-2014,213.75,213.75,206.11,208.98,3820500
ENGRO,22-Apr-2014,210.01,210.85,207.05,207.81,3003100
ENGRO,23-Apr-2014,208.00,209.39,198.01,199.75,5307100
ENGRO,24-Apr-2014,200.50,202.70,197.56,200.68,3139400
ENGRO,25-Apr-2014,201.49,202.09,198.05,199.24,1843500
ENGRO,28-Apr-2014,200.00,200.48,195.50,196.34,836800
ENGRO,29-Apr-2014,197.50,197.50,188.00,190.04,1881000
ENGRO,30-Apr-2014,191.31,199.54,190.50,198.63,3657700
ENGRO,02-May-2014,198.01,206.50,197.01,203.16,5446300
ENGRO,05-May-2014,203.50,204.00,198.35,201.27,2320000
ENGRO,06-May-2014,200.45,201.45,195.55,197.06,1714300
ENGRO,07-May-2014,197.07,199.00,194.50,196.58,2976500
ENGRO,08-May-2014,192.05,196.89,190.00,195.17,2219600
ENGRO,09-May-2014,195.75,196.50,193.45,194.05,1165000
ENGRO,12-May-2014,194.26,195.82,190.50,191.34,613200
ENGRO,13-May-2014,190.51,193.00,189.15,191.98,942000
ENGRO,14-May-2014,192.97,196.79,191.60,194.14,1149300
ENGRO,15-May-2014,194.60,198.90,194.60,196.77,1428100
ENGRO,16-May-2014,196.85,200.70,196.15,197.88,2980600
ENGRO,19-May-2014,196.50,198.00,195.15,197.59,1023500
ENGRO,20-May-2014,198.75,201.39,198.10,200.09,2683200
ENGRO,21-May-2014,200.50,202.73,197.06,197.79,2705200
ENGRO,22-May-2014,197.75,198.40,196.00,196.25,838600
ENGRO,23-May-2014,196.00,198.00,194.00,196.64,702500
ENGRO,26-May-2014,197.40,197.99,195.25,197.26,709500
ENGRO,27-May-2014,198.00,201.25,197.85,199.60,2173900
