Symbol,Date,Open,High,Low,Close,Volume
EPCL,01-Jan-2014,13.45,14.41,13.40,14.41,6794500
EPCL,02-Jan-2014,14.50,15.25,14.50,14.79,6666500
EPCL,03-Jan-2014,15.06,15.79,14.75,15.66,5895000
EPCL,06-Jan-2014,16.24,16.66,15.72,16.66,7080000
EPCL,07-Jan-2014,16.70,17.10,15.66,15.72,15180000
EPCL,08-Jan-2014,15.80,15.90,15.25,15.57,6797500
EPCL,09-Jan-2014,15.50,16.05,15.50,15.65,4121000
EPCL,10-Jan-2014,15.57,15.57,14.92,15.00,4832000
EPCL,13-Jan-2014,14.96,15.25,14.55,14.79,3700500
EPCL,15-Jan-2014,14.77,15.13,14.77,14.85,1883000
EPCL,16-Jan-2014,14.82,14.99,14.52,14.72,1353000
EPCL,17-Jan-2014,15.29,15.33,15.00,15.07,1561500
EPCL,20-Jan-2014,15.20,15.42,14.79,15.37,2123000
EPCL,21-Jan-2014,15.30,16.10,15.30,15.74,4386000
EPCL,22-Jan-2014,15.70,15.90,15.50,15.52,1162500
EPCL,23-Jan-2014,15.69,15.90,15.25,15.48,1465500
EPCL,24-Jan-2014,15.68,15.68,15.01,15.15,1576000
EPCL,27-Jan-2014,15.39,15.39,14.85,14.94,694500
EPCL,28-Jan-2014,15.15,15.75,15.00,15.42,1574000
EPCL,29-Jan-2014,15.42,15.59,15.15,15.19,239000
EPCL,30-Jan-2014,15.21,15.38,15.00,15.08,397000
EPCL,31-Jan-2014,15.30,15.33,15.00,15.02,711500
EPCL,03-Feb-2014,15.29,16.02,15.20,15.94,8758000
EPCL,04-Feb-2014,16.04,16.38,15.70,15.92,6415000
EPCL,06-Feb-2014,16.05,16.20,15.90,16.00,1486000
EPCL,07-Feb-2014,16.01,16.39,16.00,16.06,3103500
EPCL,10-Feb-2014,16.10,16.11,15.52,15.67,910500
EPCL,11-Feb-2014,15.70,16.00,15.65,15.92,1085500
EPCL,12-Feb-2014,16.08,16.33,15.97,16.19,2384000
EPCL,13-Feb-2014,16.25,16.27,15.89,15.96,1119500
EPCL,14-Feb-2014,15.86,16.10,15.66,15.72,479000
EPCL,17-Feb-2014,15.95,16.00,15.20,15.46,631000
EPCL,18-Feb-2014,15.50,15.50,15.00,15.33,730500
EPCL,19-Feb-2014,15.39,15.47,15.05,15.16,400500
EPCL,20-Feb-2014,15.11,15.29,14.87,14.89,490000
EPCL,21-Feb-2014,14.97,15.44,14.83,15.30,1174000
EPCL,24-Feb-2014,15.30,15.49,15.12,15.20,698500
EPCL,25-Feb-2014,15.25,15.34,14.90,14.98,364000
EPCL,26-Feb-2014,15.00,15.00,14.76,14.80,306500
EPCL,27-Feb-2014,14.99,14.99,14.56,14.75,550500
EPCL,28-Feb-2014,14.61,15.10,14.61,15.00,639000
EPCL,03-Mar-2014,15.32,15.32,14.82,14.87,261000
EPCL,04-Mar-2014,14.90,15.13,14.85,15.07,337000
EPCL,05-Mar-2014,15.18,15.18,14.95,15.05,651000
EPCL,06-Mar-2014,15.23,15.25,15.00,15.06,510500
EPCL,07-Mar-2014,15.11,15.20,15.03,15.08,253500
EPCL,10-Mar-2014,15.06,15.31,15.00,15.08,1101000
EPCL,11-Mar-2014,15.06,15.35,15.06,15.18,810500
EPCL,12-Mar-2014,15.11,15.30,15.00,15.02,870000
EPCL,13-Mar-2014,15.10,15.31,15.03,15.11,528000
EPCL,14-Mar-2014,15.11,15.20,14.75,14.86,296000
EPCL,17-Mar-2014,15.13,15.14,14.85,14.91,262500
EPCL,18-Mar-2014,14.95,14.98,14.83,14.86,131000
EPCL,19-Mar-2014,14.90,14.95,14.71,14.74,486500
EPCL,20-Mar-2014,14.77,15.00,14.71,14.79,271000
EPCL,21-Mar-2014,14.75,14.84,14.44,14.60,690000
EPCL,24-Mar-2014,14.50,14.75,14.35,14.42,431500
EPCL,25-Mar-2014,14.65,14.80,14.44,14.71,306500
EPCL,26-Mar-2014,14.53,15.05,14.53,14.87,1044500
EPCL,27-Mar-2014,15.00,15.20,14.85,15.12,1899000
EPCL,28-Mar-2014,15.26,15.92,15.25,15.62,3563500
EPCL,31-Mar-2014,15.79,15.80,15.40,15.47,532000
EPCL,01-Apr-2014,15.60,15.74,15.45,15.59,716500
EPCL,02-Apr-2014,15.60,15.94,15.60,15.72,1134000
EPCL,03-Apr-2014,15.75,15.98,15.65,15.72,2951000
EPCL,04-Apr-2014,15.73,15.93,15.57,15.65,514500
EPCL,07-Apr-2014,15.61,16.05,15.57,15.85,1751500
EPCL,08-Apr-2014,15.90,16.40,15.86,16.29,4798000
EPCL,09-Apr-2014,16.35,16.57,16.01,16.36,2449000
EPCL,10-Apr-2014,16.50,16.60,16.11,16.27,1008000
EPCL,11-Apr-2014,16.40,16.40,15.92,16.00,1242000
EPCL,14-Apr-2014,16.00,16.10,15.80,15.81,439500
EPCL,15-Apr-2014,15.75,15.92,15.56,15.64,1317000
EPCL,16-Apr-2014,15.75,15.92,15.65,15.80,391500
EPCL,17-Apr-2014,15.75,16.80,15.70,16.78,7314500
EPCL,18-Apr-2014,17.05,17.25,16.64,16.75,4461500
EPCL,21-Apr-2014,16.80,16.85,16.33,16.44,1511000
EPCL,22-Apr-2014,16.35,16.65,16.35,16.49,762500
EPCL,23-Apr-2014,16.58,16.61,16.15,16.19,1763000
EPCL,24-Apr-2014,16.25,16.39,15.20,15.31,3833000
EPCL,25-Apr-2014,15.45,15.50,14.83,14.87,890500
EPCL,28-Apr-2014,14.90,15.00,14.81,14.82,211000
EPCL,29-Apr-2014,14.82,14.85,14.30,14.48,467000
EPCL,30-Apr-2014,14.57,14.94,14.40,14.62,851500
EPCL,02-May-2014,14.70,15.15,14.70,15.13,1989000
EPCL,05-May-2014,15.05,15.14,14.80,14.81,273000
EPCL,06-May-2014,14.82,15.20,14.65,14.97,1238500
EPCL,07-May-2014,15.08,15.19,14.75,14.80,324500
EPCL,08-May-2014,14.75,14.76,14.60,14.70,883500
EPCL,09-May-2014,14.67,15.11,14.67,14.73,1748500
EPCL,12-May-2014,14.65,14.80,14.40,14.53,220500
EPCL,13-May-2014,14.50,14.75,14.40,14.59,197000
EPCL,14-May-2014,14.70,14.85,14.65,14.68,183500
EPCL,15-May-2014,14.55,14.80,14.50,14.54,1252000
EPCL,16-May-2014,14.60,15.15,14.50,14.93,2190000
EPCL,19-May-2014,14.90,15.08,14.68,14.74,489000
EPCL,20-May-2014,14.80,15.15,14.78,14.81,2006000
EPCL,21-May-2014,14.94,14.94,14.55,14.60,1034500
EPCL,22-May-2014,14.65,14.70,14.55,14.56,339000
EPCL,23-May-2014,14.56,14.74,14.56,14.70,149500
EPCL,26-May-2014,14.61,14.75,14.61,14.72,140500
EPCL,27-May-2014,14.63,14.79,14.61,14.65,121500
EPCL,28-May-2014,14.63,14.90,14.62,14.83,360500
EPCL,29-May-2014,14.66,14.95,14.66,14.80,261500
EPCL,30-May-2014,14.65,14.95,14.65,14.73,227000
EPCL,02-Jun-2014,14.75,14.99,14.66,14.73,867000
EPCL,03-Jun-2014,14.71,14.90,14.41,14.65,576000
EPCL,04-Jun-2014,14.50,14.89,14.50,14.61,434500
EPCL,05-Jun-2014,14.65,14.80,14.41,14.49,287000
EPCL,06-Jun-2014,14.60,14.65,14.50,14.52,160500
EPCL,09-Jun-2014,14.52,14.59,14.33,14.40,69000
EPCL,10-Jun-2014,14.41,14.50,14.40,14.45,140000
EPCL,11-Jun-2014,14.65,14.75,14.45,14.49,295000
EPCL,12-Jun-2014,14.41,14.69,14.41,14.50,113500
EPCL,13-Jun-2014,14.55,14.59,14.44,14.48,284500
EPCL,16-Jun-2014,14.45,14.45,14.20,14.25,237500
EPCL,17-Jun-2014,14.21,14.25,14.00,14.00,495500
EPCL,18-Jun-2014,14.20,14.25,14.00,14.02,272500
EPCL,19-Jun-2014,13.91,14.09,13.60,13.88,349000
EPCL,20-Jun-2014,13.88,14.12,13.70,13.75,94500
EPCL,23-Jun-2014,13.61,14.15,13.53,13.86,120000
EPCL,24-Jun-2014,13.95,13.95,13.71,13.78,62000
EPCL,25-Jun-2014,13.80,14.04,13.70,13.70,802500
EPCL,26-Jun-2014,13.70,14.13,13.70,13.83,195500
EPCL,27-Jun-2014,13.86,13.93,13.70,13.75,114000
EPCL,30-Jun-2014,13.70,13.85,13.53,13.53,178500
EPCL,01-Jul-2014,13.55,13.60,13.50,13.56,73500
EPCL,02-Jul-2014,13.50,13.80,13.50,13.56,82000
EPCL,03-Jul-2014,13.55,13.67,13.50,13.53,118500
EPCL,04-Jul-2014,13.55,13.65,13.43,13.51,83000
EPCL,07-Jul-2014,13.50,13.50,13.35,13.36,85000
EPCL,08-Jul-2014,13.31,13.50,13.30,13.36,46000
EPCL,09-Jul-2014,13.34,13.35,13.31,13.31,25000
EPCL,10-Jul-2014,13.35,13.45,13.30,13.30,83500
EPCL,11-Jul-2014,13.27,13.49,13.10,13.26,61500
EPCL,14-Jul-2014,13.30,13.45,13.25,13.32,94000
EPCL,15-Jul-2014,13.27,13.30,13.25,13.26,412500
EPCL,16-Jul-2014,13.32,13.40,13.30,13.31,189000
EPCL,17-Jul-2014,13.47,13.49,13.25,13.40,109500
EPCL,18-Jul-2014,13.50,13.59,13.20,13.23,121500
EPCL,21-Jul-2014,13.44,13.44,13.30,13.37,163000
EPCL,22-Jul-2014,13.40,13.43,13.30,13.38,55000
EPCL,23-Jul-2014,13.30,13.60,13.30,13.50,309000
EPCL,24-Jul-2014,13.65,13.89,13.21,13.33,184500
EPCL,28-Jul-2014,13.55,13.55,13.40,13.48,80000
EPCL,04-Aug-2014,13.30,13.30,13.10,13.22,178000
EPCL,05-Aug-2014,13.05,13.70,13.05,13.27,292000
EPCL,06-Aug-2014,13.22,13.40,12.60,12.77,765000
EPCL,07-Aug-2014,12.78,12.90,12.45,12.67,444000
EPCL,08-Aug-2014,12.62,12.69,12.30,12.36,484000
EPCL,11-Aug-2014,12.25,12.25,11.36,11.36,440000
EPCL,12-Aug-2014,11.06,11.30,11.00,11.15,323000
EPCL,13-Aug-2014,11.20,11.49,11.20,11.43,324000
EPCL,15-Aug-2014,11.55,11.90,11.45,11.62,447500
EPCL,18-Aug-2014,11.64,11.75,11.50,11.54,314000
EPCL,19-Aug-2014,11.35,11.80,11.00,11.30,50500
EPCL,20-Aug-2014,11.59,11.59,11.00,11.35,253000
EPCL,21-Aug-2014,11.50,11.51,11.37,11.46,97500
EPCL,22-Aug-2014,11.35,11.60,11.27,11.47,124500
EPCL,25-Aug-2014,11.40,11.45,11.05,11.18,101000
EPCL,26-Aug-2014,11.45,11.45,11.16,11.21,164500
EPCL,27-Aug-2014,11.24,11.25,11.00,11.23,137500
EPCL,28-Aug-2014,11.11,11.20,10.95,11.08,134000
EPCL,29-Aug-2014,11.74,11.74,11.21,11.30,205000
EPCL,01-Sep-2014,10.65,11.50,10.65,11.38,179500
EPCL,02-Sep-2014,11.36,11.55,11.35,11.50,358500
EPCL,03-Sep-2014,11.60,11.70,11.41,11.62,135000
EPCL,04-Sep-2014,11.75,11.95,11.51,11.70,264000
EPCL,05-Sep-2014,11.57,11.70,11.41,11.56,127500
