Symbol,Date,Open,High,Low,Close,Volume
EPQL,27-Oct-2014,42.00,42.00,39.05,39.92,1656000
EPQL,28-Oct-2014,39.91,40.90,39.71,40.10,1023000
EPQL,29-Oct-2014,40.10,40.94,39.71,39.87,1066500
EPQL,30-Oct-2014,40.00,40.00,39.21,39.27,576000
EPQL,31-Oct-2014,39.12,39.38,38.40,38.54,537500
EPQL,05-Nov-2014,38.36,38.80,38.11,38.21,629500
EPQL,06-Nov-2014,38.49,40.12,38.15,40.12,994000
EPQL,07-Nov-2014,42.12,42.12,42.12,42.12,326500
EPQL,10-Nov-2014,42.69,42.69,40.70,40.89,1793000
EPQL,11-Nov-2014,41.10,41.70,40.52,41.00,1229500
EPQL,12-Nov-2014,41.20,41.69,41.01,41.15,976000
EPQL,13-Nov-2014,41.25,42.90,41.00,42.03,2105500
EPQL,14-Nov-2014,42.15,43.68,42.10,43.08,2362000
EPQL,17-Nov-2014,43.00,44.40,42.70,42.91,3517000
EPQL,18-Nov-2014,43.19,43.50,42.80,43.22,1111500
EPQL,19-Nov-2014,43.44,43.70,42.80,42.94,1003000
EPQL,20-Nov-2014,42.92,42.92,41.90,42.12,693500
EPQL,21-Nov-2014,42.13,42.68,42.01,42.45,479000
EPQL,24-Nov-2014,42.35,43.74,42.35,42.70,1264500
EPQL,25-Nov-2014,43.00,43.00,42.41,42.55,465500
EPQL,26-Nov-2014,42.80,43.05,42.60,42.61,288000
EPQL,27-Nov-2014,42.55,42.95,42.20,42.35,384500
EPQL,28-Nov-2014,42.26,42.63,42.13,42.33,234000
EPQL,01-Dec-2014,42.59,43.40,42.50,43.21,924500
EPQL,02-Dec-2014,43.20,43.90,43.17,43.52,894500
EPQL,03-Dec-2014,43.75,44.30,43.55,43.83,1038500
EPQL,04-Dec-2014,43.90,44.40,43.90,44.05,727000
EPQL,05-Dec-2014,44.11,44.90,44.11,44.55,1100500
EPQL,08-Dec-2014,42.99,42.99,42.30,42.40,335000
EPQL,09-Dec-2014,42.40,42.40,41.90,41.96,428000
EPQL,10-Dec-2014,41.90,42.09,41.55,41.60,368500
EPQL,11-Dec-2014,41.62,42.25,41.52,41.63,291500
EPQL,12-Dec-2014,41.52,41.65,41.22,41.40,136000
EPQL,15-Dec-2014,41.50,41.50,41.01,41.22,165000
EPQL,16-Dec-2014,41.30,41.30,40.00,40.24,335000
EPQL,17-Dec-2014,40.94,40.94,40.10,40.32,129000
EPQL,18-Dec-2014,40.75,41.25,40.41,40.53,179500
EPQL,19-Dec-2014,40.90,40.90,39.81,40.08,137000
EPQL,22-Dec-2014,40.20,41.00,40.02,40.69,239500
EPQL,23-Dec-2014,40.20,41.10,40.20,40.54,215500
