Symbol,Date,Open,High,Low,Close,Volume
ESBL,01-Jan-2014,3.25,3.50,3.25,3.50,3500
ESBL,02-Jan-2014,3.30,3.30,3.30,3.30,10000
ESBL,03-Jan-2014,3.40,3.40,3.40,3.40,500
ESBL,06-Jan-2014,3.48,3.64,3.48,3.53,56000
ESBL,07-Jan-2014,3.70,3.74,3.70,3.70,2000
ESBL,08-Jan-2014,3.11,3.22,3.11,3.22,2000
ESBL,09-Jan-2014,3.16,3.16,3.16,3.16,500
ESBL,10-Jan-2014,3.49,3.49,3.49,3.49,500
ESBL,13-Jan-2014,3.22,3.22,3.22,3.22,2500
ESBL,16-Jan-2014,3.30,3.45,3.30,3.45,13000
ESBL,17-Jan-2014,3.41,3.41,3.41,3.41,1000
ESBL,23-Jan-2014,3.41,3.49,3.30,3.42,19500
ESBL,19-Feb-2014,3.05,3.44,3.00,3.00,9500
ESBL,20-Feb-2014,3.05,3.05,3.00,3.00,103000
ESBL,25-Feb-2014,3.00,3.00,3.00,3.00,1000
ESBL,26-Feb-2014,3.00,3.00,3.00,3.00,5000
ESBL,03-Mar-2014,3.00,3.02,3.00,3.02,3500
ESBL,05-Mar-2014,3.00,3.00,3.00,3.00,11000
ESBL,06-Mar-2014,3.40,3.40,3.40,3.40,1000
ESBL,13-Mar-2014,3.05,3.05,2.90,2.90,8000
ESBL,17-Mar-2014,2.81,2.97,2.80,2.82,235500
ESBL,18-Mar-2014,2.98,2.99,2.98,2.99,1000
ESBL,21-Mar-2014,2.60,2.98,2.60,2.77,402000
ESBL,24-Mar-2014,2.95,2.95,2.95,2.95,500
ESBL,26-Mar-2014,2.97,3.38,2.97,2.99,415500
ESBL,27-Mar-2014,2.70,2.70,2.70,2.70,1000
ESBL,28-Mar-2014,2.80,2.80,2.80,2.80,500
ESBL,31-Mar-2014,2.80,2.80,2.80,2.80,1500
ESBL,01-Apr-2014,2.66,2.66,2.66,2.66,4000
ESBL,03-Apr-2014,2.95,3.00,2.95,3.00,56500
ESBL,04-Apr-2014,3.33,3.33,3.01,3.15,36000
ESBL,09-Apr-2014,3.15,3.15,3.15,3.15,500
ESBL,10-Apr-2014,3.15,3.15,3.15,3.15,100000
ESBL,16-Apr-2014,3.15,3.15,3.14,3.15,2000
ESBL,21-Apr-2014,3.00,3.00,3.00,3.00,32000
ESBL,22-Apr-2014,3.00,3.00,3.00,3.00,173500
ESBL,23-Apr-2014,3.00,3.00,3.00,3.00,7500
ESBL,30-Apr-2014,2.60,2.99,2.60,2.99,1500
ESBL,12-May-2014,2.68,2.68,2.67,2.67,5000
ESBL,13-May-2014,2.75,2.75,2.75,2.75,8500
ESBL,15-May-2014,2.95,3.49,2.95,3.22,1000
ESBL,22-May-2014,3.25,3.34,3.25,3.34,3000
ESBL,26-May-2014,3.34,3.34,3.34,3.34,1000
ESBL,30-May-2014,3.45,3.45,3.00,3.00,424500
ESBL,04-Jun-2014,2.64,2.64,2.52,2.52,4000
ESBL,05-Jun-2014,2.62,2.94,2.50,2.56,209500
ESBL,06-Jun-2014,2.79,2.79,2.79,2.79,500
ESBL,10-Jun-2014,2.56,2.56,2.56,2.56,144000
ESBL,11-Jun-2014,2.70,2.75,2.55,2.55,12500
ESBL,13-Jun-2014,2.51,2.79,2.51,2.54,16500
ESBL,18-Jun-2014,2.40,2.60,2.40,2.60,7500
ESBL,19-Jun-2014,2.75,2.75,2.75,2.75,500
ESBL,01-Jul-2014,3.47,3.47,3.47,3.47,1000
ESBL,02-Jul-2014,2.52,2.76,2.47,2.64,83500
ESBL,03-Jul-2014,2.75,2.75,2.75,2.75,6000
ESBL,08-Jul-2014,2.40,2.40,2.40,2.40,10000
ESBL,10-Jul-2014,2.69,2.69,2.69,2.69,1000
ESBL,16-Jul-2014,2.30,2.30,2.30,2.30,500
ESBL,22-Jul-2014,2.70,2.74,2.70,2.72,1000
