Symbol,Date,Open,High,Low,Close,Volume
EXIDE,02-Jan-2014,378.00,378.00,378.00,378.00,800
EXIDE,06-Jan-2014,378.99,379.00,375.01,375.01,600
EXIDE,07-Jan-2014,372.00,374.00,372.00,374.00,1000
EXIDE,08-Jan-2014,370.00,375.00,370.00,373.01,2600
EXIDE,09-Jan-2014,373.00,377.00,370.00,376.00,1600
EXIDE,10-Jan-2014,372.00,388.00,372.00,372.39,2100
EXIDE,13-Jan-2014,373.75,391.00,372.00,373.05,4000
EXIDE,15-Jan-2014,374.00,374.00,371.50,373.50,1200
EXIDE,16-Jan-2014,370.01,371.50,370.00,370.79,1600
EXIDE,17-Jan-2014,371.00,372.00,370.00,370.00,1300
EXIDE,20-Jan-2014,373.00,373.73,369.00,369.29,5200
EXIDE,21-Jan-2014,370.00,370.99,370.00,370.70,1000
EXIDE,22-Jan-2014,371.10,379.10,371.10,378.24,6300
EXIDE,23-Jan-2014,379.90,380.00,370.00,372.27,5300
EXIDE,24-Jan-2014,370.01,374.00,370.00,370.28,3200
EXIDE,27-Jan-2014,368.03,368.03,353.10,353.12,2300
EXIDE,28-Jan-2014,345.00,350.00,345.00,348.06,1500
EXIDE,29-Jan-2014,345.00,347.95,345.00,347.95,300
EXIDE,30-Jan-2014,342.99,342.99,342.00,342.22,600
EXIDE,31-Jan-2014,348.84,348.84,348.84,348.84,200
EXIDE,03-Feb-2014,343.00,343.00,334.00,335.00,3900
EXIDE,04-Feb-2014,330.03,330.03,323.01,330.00,4000
EXIDE,06-Feb-2014,328.00,330.00,328.00,328.50,1400
EXIDE,07-Feb-2014,321.01,325.00,321.01,322.00,900
EXIDE,10-Feb-2014,322.01,322.01,317.00,318.50,2500
EXIDE,11-Feb-2014,318.51,324.99,318.00,323.50,1400
EXIDE,12-Feb-2014,323.61,323.61,323.60,323.61,200
EXIDE,14-Feb-2014,329.95,329.98,322.00,325.00,1600
EXIDE,17-Feb-2014,326.00,326.00,322.50,325.00,1700
EXIDE,18-Feb-2014,326.00,329.99,326.00,329.00,800
EXIDE,21-Feb-2014,332.10,334.99,328.01,330.00,2200
EXIDE,24-Feb-2014,334.99,334.99,334.99,334.99,100
EXIDE,25-Feb-2014,330.04,330.04,325.01,325.01,400
EXIDE,26-Feb-2014,329.99,329.99,325.01,328.80,800
EXIDE,28-Feb-2014,325.00,325.00,321.01,321.01,1100
EXIDE,03-Mar-2014,325.00,325.00,325.00,321.01,100
EXIDE,05-Mar-2014,323.00,323.00,320.00,320.00,1400
EXIDE,06-Mar-2014,324.99,329.95,324.99,327.00,600
EXIDE,07-Mar-2014,329.49,331.90,329.49,330.23,4000
EXIDE,10-Mar-2014,328.90,339.00,328.90,338.02,1900
EXIDE,11-Mar-2014,335.50,337.99,334.00,336.00,1700
EXIDE,12-Mar-2014,334.10,334.10,331.11,332.00,1400
EXIDE,13-Mar-2014,335.00,336.50,332.00,333.37,1000
EXIDE,14-Mar-2014,334.95,335.00,334.95,335.00,300
EXIDE,17-Mar-2014,338.00,338.25,335.00,335.00,500
EXIDE,18-Mar-2014,335.00,335.00,332.50,332.50,1200
EXIDE,19-Mar-2014,335.00,338.70,334.95,338.70,2600
EXIDE,20-Mar-2014,339.00,340.00,339.00,340.00,200
EXIDE,21-Mar-2014,340.00,343.00,338.00,341.60,2400
EXIDE,24-Mar-2014,338.00,342.00,337.51,340.85,2400
EXIDE,25-Mar-2014,340.85,342.00,340.85,342.00,400
EXIDE,26-Mar-2014,344.75,359.10,344.75,354.03,6000
EXIDE,27-Mar-2014,362.00,371.73,362.00,371.73,4400
EXIDE,28-Mar-2014,390.00,390.31,371.00,371.17,19300
EXIDE,31-Mar-2014,367.11,371.00,363.26,369.73,7700
EXIDE,01-Apr-2014,370.00,370.10,370.00,370.00,1200
EXIDE,02-Apr-2014,369.00,379.00,369.00,379.00,1800
EXIDE,03-Apr-2014,378.00,378.50,373.01,376.00,1400
EXIDE,04-Apr-2014,372.00,377.80,372.00,373.32,2400
