Symbol,Date,Open,High,Low,Close,Volume
FANM,01-Jan-2014,5.10,5.10,5.10,5.10,20000
FANM,02-Jan-2014,5.00,5.00,4.99,5.00,46500
FANM,03-Jan-2014,5.00,5.00,5.00,5.00,10000
FANM,06-Jan-2014,4.65,4.65,4.65,4.65,1000
FANM,07-Jan-2014,5.00,5.00,5.00,5.00,500
FANM,08-Jan-2014,4.99,4.99,4.99,4.99,500
FANM,13-Jan-2014,5.30,5.30,5.30,5.30,500
FANM,21-Jan-2014,5.89,5.89,5.89,5.89,500
FANM,23-Jan-2014,5.80,5.80,5.80,5.80,14500
FANM,24-Jan-2014,5.85,5.90,5.37,5.90,42000
FANM,27-Jan-2014,5.57,5.80,5.57,5.80,10500
FANM,28-Jan-2014,5.31,5.87,5.31,5.87,45000
FANM,29-Jan-2014,6.00,6.00,5.60,5.60,12000
FANM,04-Feb-2014,5.51,6.14,4.60,5.50,52000
FANM,10-Feb-2014,5.40,5.60,5.30,5.30,8500
FANM,12-Feb-2014,5.40,5.40,5.40,5.40,2000
FANM,13-Feb-2014,5.49,5.50,5.49,5.50,1000
FANM,14-Feb-2014,5.00,5.49,5.00,5.49,1000
FANM,17-Feb-2014,5.00,5.00,5.00,5.00,10500
FANM,21-Feb-2014,5.00,5.00,4.70,4.70,6500
FANM,25-Feb-2014,4.70,4.71,4.70,4.70,57000
FANM,26-Feb-2014,4.60,5.55,4.55,5.55,12500
FANM,27-Feb-2014,5.45,5.45,5.45,5.45,500
FANM,03-Mar-2014,5.84,5.85,5.84,5.84,2000
FANM,05-Mar-2014,5.20,5.60,5.20,5.60,3000
FANM,06-Mar-2014,5.00,5.00,5.00,5.00,1000
FANM,11-Mar-2014,5.05,5.05,5.00,5.00,8000
FANM,13-Mar-2014,5.00,5.00,5.00,5.00,18500
FANM,14-Mar-2014,4.85,4.85,4.85,4.85,500
FANM,17-Mar-2014,5.00,5.00,5.00,5.00,21500
FANM,20-Mar-2014,5.00,5.00,5.00,5.00,10000
FANM,24-Mar-2014,5.84,5.84,5.10,5.10,5500
FANM,26-Mar-2014,5.11,5.11,5.00,5.01,11500
FANM,28-Mar-2014,5.10,5.10,5.10,5.10,2000
FANM,31-Mar-2014,5.30,5.30,5.30,5.30,1000
FANM,02-Apr-2014,5.11,5.11,5.11,5.11,2000
FANM,03-Apr-2014,5.35,5.35,5.00,5.00,18000
FANM,04-Apr-2014,5.90,5.95,5.00,5.50,18000
FANM,07-Apr-2014,5.40,5.99,5.20,5.70,18000
FANM,08-Apr-2014,5.50,5.98,5.21,5.83,11500
FANM,09-Apr-2014,5.75,5.75,5.50,5.50,6000
FANM,10-Apr-2014,5.22,5.22,5.22,5.22,500
FANM,11-Apr-2014,5.50,5.50,5.50,5.50,13500
FANM,14-Apr-2014,5.10,5.10,5.10,5.10,21000
FANM,15-Apr-2014,5.48,5.48,5.48,5.48,2000
FANM,17-Apr-2014,5.48,5.48,5.02,5.12,24500
FANM,18-Apr-2014,5.10,5.15,5.05,5.15,22000
FANM,21-Apr-2014,5.30,5.50,5.20,5.50,55000
FANM,22-Apr-2014,5.78,5.93,5.75,5.78,43500
FANM,23-Apr-2014,5.90,6.10,5.90,6.00,196500
FANM,24-Apr-2014,6.25,6.25,6.00,6.00,41000
FANM,25-Apr-2014,6.10,6.24,6.00,6.24,14500
FANM,28-Apr-2014,6.06,6.06,6.00,6.06,7500
FANM,29-Apr-2014,5.90,5.98,5.81,5.81,10000
FANM,02-May-2014,6.53,6.53,6.53,6.53,500
FANM,05-May-2014,6.08,6.08,6.00,6.00,1000
FANM,14-May-2014,5.65,5.65,5.51,5.54,31500
FANM,15-May-2014,6.33,6.33,5.54,6.08,22000
FANM,16-May-2014,6.07,6.39,6.07,6.39,10000
FANM,20-May-2014,5.58,6.19,5.58,6.18,20500
FANM,23-May-2014,5.85,5.85,5.85,5.85,14500
FANM,26-May-2014,6.17,6.20,6.17,6.17,90000
FANM,28-May-2014,6.00,6.00,6.00,6.00,2000
FANM,29-May-2014,6.05,6.05,6.00,6.00,31000
FANM,30-May-2014,6.00,6.00,6.00,6.00,10000
FANM,02-Jun-2014,6.10,6.10,6.00,6.00,12000
FANM,03-Jun-2014,6.10,6.23,6.10,6.23,3000
FANM,04-Jun-2014,6.11,6.25,6.11,6.15,55000
FANM,05-Jun-2014,6.00,6.00,6.00,6.00,50000
FANM,09-Jun-2014,6.00,6.00,6.00,6.00,50000
FANM,10-Jun-2014,6.25,6.25,6.25,6.25,500
FANM,11-Jun-2014,6.00,6.00,6.00,6.00,500
FANM,12-Jun-2014,6.27,6.50,6.27,6.50,10000
FANM,13-Jun-2014,6.29,6.29,6.29,6.29,2000
FANM,16-Jun-2014,6.30,6.30,6.30,6.30,500
FANM,17-Jun-2014,6.00,6.00,6.00,6.00,500
FANM,18-Jun-2014,6.00,6.00,6.00,6.00,104500
FANM,19-Jun-2014,6.00,6.00,6.00,6.00,500
FANM,16-Jul-2014,5.75,5.75,5.75,5.75,25000
FANM,17-Jul-2014,5.80,5.80,5.75,5.75,12000
FANM,05-Aug-2014,5.55,5.55,5.55,5.55,25000
FANM,13-Aug-2014,5.98,6.00,5.98,6.00,14000
FANM,18-Aug-2014,6.40,6.45,6.40,6.45,4000
FANM,20-Aug-2014,6.00,6.24,6.00,6.05,38000
FANM,21-Aug-2014,6.25,6.25,6.18,6.18,3500
FANM,22-Aug-2014,6.17,6.17,6.12,6.12,35000
FANM,25-Aug-2014,6.12,6.12,6.10,6.10,10000
FANM,26-Aug-2014,6.07,6.07,6.07,6.07,3000
FANM,28-Aug-2014,6.19,6.19,6.00,6.00,11000
FANM,29-Aug-2014,6.05,6.05,5.95,6.00,99000
FANM,01-Sep-2014,6.05,6.05,6.05,6.05,500
FANM,02-Sep-2014,5.97,6.05,5.97,5.98,35500
FANM,03-Sep-2014,6.05,6.10,6.05,6.10,41000
FANM,04-Sep-2014,6.09,6.09,6.01,6.01,16000
FANM,09-Sep-2014,6.00,6.00,5.80,6.00,114000
FANM,10-Sep-2014,6.10,6.25,6.10,6.25,21000
FANM,11-Sep-2014,6.19,6.19,6.19,6.19,2000
FANM,12-Sep-2014,6.10,6.40,6.10,6.32,9000
FANM,15-Sep-2014,6.49,6.49,6.07,6.07,4000
FANM,18-Sep-2014,6.25,6.25,6.25,6.25,2500
FANM,22-Sep-2014,6.20,6.26,6.20,6.25,11000
FANM,24-Sep-2014,6.24,6.25,6.10,6.24,18000
FANM,26-Sep-2014,6.24,6.25,6.24,6.25,49500
FANM,29-Sep-2014,6.25,6.25,6.25,6.25,10000
FANM,30-Sep-2014,6.25,6.25,6.25,6.25,20000
FANM,01-Oct-2014,6.25,6.25,6.25,6.25,25000
FANM,03-Oct-2014,5.80,6.00,5.25,5.94,10491500
FANM,09-Oct-2014,6.15,6.15,5.76,5.78,676000
FANM,10-Oct-2014,5.68,5.95,5.68,5.83,494000
FANM,13-Oct-2014,5.85,6.40,5.80,6.20,1516000
FANM,14-Oct-2014,6.32,6.32,6.18,6.30,410000
FANM,15-Oct-2014,6.26,7.10,6.25,6.96,2535500
FANM,16-Oct-2014,7.18,7.75,6.85,7.42,3212500
FANM,17-Oct-2014,7.55,7.80,7.04,7.34,880000
FANM,20-Oct-2014,7.40,7.45,7.00,7.07,363500
FANM,21-Oct-2014,7.19,7.28,6.90,7.18,642500
FANM,22-Oct-2014,7.16,7.16,7.02,7.08,39500
FANM,23-Oct-2014,7.09,7.10,6.08,6.13,2518500
FANM,24-Oct-2014,6.15,6.55,6.15,6.46,408500
FANM,27-Oct-2014,6.00,6.00,5.42,5.60,24500
FANM,28-Oct-2014,5.50,5.55,5.45,5.54,58500
FANM,29-Oct-2014,5.64,5.64,5.32,5.37,12500
FANM,30-Oct-2014,5.25,5.80,5.25,5.56,210000
FANM,31-Oct-2014,5.71,5.80,5.71,5.80,10000
FANM,05-Nov-2014,5.41,5.51,5.41,5.49,49000
FANM,06-Nov-2014,5.31,5.50,5.31,5.50,164500
FANM,07-Nov-2014,5.50,5.50,5.50,5.50,10000
FANM,10-Nov-2014,5.65,5.75,5.50,5.73,44500
FANM,11-Nov-2014,5.30,5.64,5.30,5.49,11500
FANM,12-Nov-2014,5.30,5.50,5.25,5.50,38000
FANM,13-Nov-2014,5.50,5.75,5.50,5.55,178500
FANM,14-Nov-2014,5.69,5.88,5.45,5.50,182500
FANM,17-Nov-2014,5.68,5.68,5.55,5.55,2500
FANM,18-Nov-2014,5.40,5.40,5.27,5.30,127000
FANM,19-Nov-2014,5.40,5.40,5.30,5.30,8000
FANM,20-Nov-2014,5.40,5.50,5.00,5.01,465500
FANM,21-Nov-2014,5.14,5.30,5.10,5.16,24500
FANM,24-Nov-2014,5.30,5.35,5.30,5.32,16000
FANM,26-Nov-2014,5.25,5.25,5.25,5.25,3500
FANM,27-Nov-2014,5.30,5.30,5.15,5.15,19000
FANM,28-Nov-2014,5.25,5.50,5.25,5.30,80000
FANM,01-Dec-2014,5.30,5.35,5.24,5.25,43000
FANM,02-Dec-2014,5.30,5.35,5.30,5.31,50000
FANM,03-Dec-2014,5.25,5.35,5.25,5.31,68500
