Symbol,Date,Open,High,Low,Close,Volume
FCCL,01-Jan-2014,16.18,16.68,16.01,16.56,28201000
FCCL,02-Jan-2014,16.59,16.70,16.20,16.24,13485000
FCCL,03-Jan-2014,16.33,16.45,16.06,16.24,9748000
FCCL,06-Jan-2014,16.40,16.43,16.00,16.04,8151000
FCCL,07-Jan-2014,16.15,16.15,15.70,15.85,13336000
FCCL,08-Jan-2014,15.91,16.09,15.75,15.96,10020500
FCCL,09-Jan-2014,15.94,16.24,15.75,15.85,15559000
FCCL,10-Jan-2014,15.80,15.94,15.66,15.81,5642000
FCCL,13-Jan-2014,15.95,15.95,15.71,15.75,4767500
FCCL,15-Jan-2014,15.80,15.94,15.65,15.79,3981500
FCCL,16-Jan-2014,15.81,15.85,15.60,15.69,3389500
FCCL,17-Jan-2014,15.70,16.25,15.70,16.09,13003500
FCCL,20-Jan-2014,16.29,16.65,16.26,16.46,19010500
FCCL,21-Jan-2014,16.59,16.60,16.28,16.31,6083000
FCCL,22-Jan-2014,16.30,16.50,16.06,16.17,5442500
FCCL,23-Jan-2014,16.21,16.67,16.10,16.37,20941000
FCCL,24-Jan-2014,16.45,16.47,16.04,16.08,12192000
FCCL,27-Jan-2014,16.13,16.13,15.73,15.79,7021500
FCCL,28-Jan-2014,15.75,16.09,15.67,15.89,5366500
FCCL,29-Jan-2014,15.90,16.22,15.77,16.07,8498000
FCCL,30-Jan-2014,16.20,16.35,15.93,16.21,8094500
FCCL,31-Jan-2014,16.25,16.98,16.07,16.84,38683000
FCCL,03-Feb-2014,16.97,17.09,16.55,16.61,18626000
FCCL,04-Feb-2014,16.60,16.62,16.30,16.52,8064500
FCCL,06-Feb-2014,16.66,16.89,16.51,16.68,10848000
FCCL,07-Feb-2014,16.75,16.75,16.33,16.39,6068000
FCCL,10-Feb-2014,16.40,16.40,15.67,15.93,13694000
FCCL,11-Feb-2014,16.11,16.17,15.81,15.97,6302000
FCCL,12-Feb-2014,16.00,16.25,16.00,16.13,6707500
FCCL,13-Feb-2014,16.11,16.40,16.11,16.23,7325500
FCCL,14-Feb-2014,16.14,16.19,15.82,15.86,5260500
