Symbol,Date,Open,High,Low,Close,Volume
FCEPL,01-Jan-2014,105.00,105.80,104.00,104.37,858500
FCEPL,02-Jan-2014,105.65,109.58,105.25,109.58,5644000
FCEPL,03-Jan-2014,110.25,110.98,108.10,108.32,1789000
FCEPL,06-Jan-2014,108.15,112.90,108.15,111.98,3250500
FCEPL,07-Jan-2014,112.30,117.57,111.50,117.31,5042000
FCEPL,08-Jan-2014,117.40,117.90,114.62,115.21,1783000
FCEPL,09-Jan-2014,115.49,118.50,114.12,115.23,1745000
FCEPL,10-Jan-2014,115.01,116.20,114.25,114.64,368500
FCEPL,13-Jan-2014,114.20,115.46,113.70,113.99,569500
FCEPL,15-Jan-2014,113.60,115.50,111.70,112.60,1871500
FCEPL,16-Jan-2014,113.09,113.50,110.25,111.15,1674500
FCEPL,17-Jan-2014,113.50,114.40,112.52,112.79,2359000
FCEPL,20-Jan-2014,113.11,113.50,107.50,108.23,4023500
FCEPL,21-Jan-2014,108.00,108.00,104.00,104.16,3028500
FCEPL,22-Jan-2014,103.80,106.45,101.60,104.14,2048500
FCEPL,23-Jan-2014,104.50,104.90,102.17,102.86,1420000
FCEPL,24-Jan-2014,102.86,108.00,101.50,108.00,6682000
FCEPL,27-Jan-2014,110.00,110.20,106.50,107.58,3364000
FCEPL,28-Jan-2014,108.00,108.25,106.00,106.16,2257500
FCEPL,29-Jan-2014,106.00,106.60,104.50,104.93,951000
FCEPL,30-Jan-2014,104.26,105.00,103.00,103.64,1442000
FCEPL,31-Jan-2014,103.75,103.75,101.25,102.01,1781500
FCEPL,03-Feb-2014,101.99,103.50,101.20,102.55,1335500
FCEPL,04-Feb-2014,103.00,104.10,102.05,102.74,1638500
FCEPL,06-Feb-2014,103.00,103.60,102.12,102.47,531000
FCEPL,07-Feb-2014,102.96,103.25,100.65,102.13,893000
FCEPL,10-Feb-2014,102.01,102.10,97.70,98.74,1218000
FCEPL,11-Feb-2014,99.00,99.30,98.00,98.84,450500
FCEPL,12-Feb-2014,99.30,102.20,99.30,101.43,2158000
FCEPL,13-Feb-2014,102.30,105.19,101.91,103.10,3311500
FCEPL,14-Feb-2014,103.20,105.70,102.00,102.98,2293000
FCEPL,17-Feb-2014,102.98,103.50,98.55,99.36,1360000
FCEPL,18-Feb-2014,99.00,100.24,95.72,98.31,1944500
FCEPL,19-Feb-2014,99.15,99.70,96.01,96.53,746500
FCEPL,20-Feb-2014,97.20,97.45,95.30,96.47,457500
