Symbol,Date,Open,High,Low,Close,Volume
FCSC,01-Jan-2014,3.00,3.09,2.95,3.05,44500
FCSC,02-Jan-2014,3.09,3.54,3.03,3.38,1349500
FCSC,03-Jan-2014,3.31,3.40,3.31,3.32,85500
FCSC,06-Jan-2014,3.44,3.44,3.26,3.26,12500
FCSC,07-Jan-2014,3.25,3.35,3.25,3.27,48000
FCSC,08-Jan-2014,3.21,3.61,3.21,3.58,966000
FCSC,09-Jan-2014,3.58,3.61,3.42,3.49,83000
FCSC,10-Jan-2014,3.51,3.56,3.42,3.52,61500
FCSC,13-Jan-2014,3.60,3.60,3.41,3.45,109000
FCSC,15-Jan-2014,3.41,3.65,3.35,3.47,431500
FCSC,16-Jan-2014,3.59,3.94,3.53,3.70,1698500
FCSC,17-Jan-2014,3.75,3.80,3.56,3.58,477000
FCSC,20-Jan-2014,3.55,3.70,3.53,3.56,563000
FCSC,21-Jan-2014,3.51,3.52,3.41,3.48,30000
FCSC,22-Jan-2014,3.44,3.46,3.40,3.41,64000
FCSC,23-Jan-2014,3.41,3.50,3.35,3.41,73000
FCSC,24-Jan-2014,3.40,3.40,3.30,3.31,56000
FCSC,27-Jan-2014,3.40,3.50,3.26,3.30,236500
FCSC,28-Jan-2014,3.32,3.50,3.32,3.40,318500
FCSC,29-Jan-2014,3.55,3.55,3.33,3.38,135500
FCSC,30-Jan-2014,3.51,3.51,3.35,3.41,88000
FCSC,31-Jan-2014,3.40,3.50,3.30,3.31,305500
FCSC,03-Feb-2014,3.36,3.40,3.25,3.25,22500
FCSC,04-Feb-2014,3.38,3.40,3.27,3.39,174500
FCSC,06-Feb-2014,3.34,3.47,3.34,3.40,120500
FCSC,07-Feb-2014,3.48,3.80,3.40,3.44,1005500
FCSC,10-Feb-2014,3.35,3.55,3.25,3.40,94000
FCSC,11-Feb-2014,3.24,3.38,3.23,3.30,173000
FCSC,12-Feb-2014,3.35,3.35,3.23,3.25,52000
FCSC,13-Feb-2014,3.30,3.42,3.25,3.26,508500
FCSC,14-Feb-2014,3.38,3.47,3.28,3.30,79500
FCSC,17-Feb-2014,3.32,3.32,3.20,3.21,25500
FCSC,18-Feb-2014,3.16,3.18,3.01,3.13,95000
FCSC,19-Feb-2014,3.19,3.19,3.18,3.18,1500
FCSC,20-Feb-2014,3.18,3.18,3.02,3.02,13000
