Symbol,Date,Open,High,Low,Close,Volume
FECTC,01-Jan-2014,45.15,46.86,45.15,46.86,183500
FECTC,02-Jan-2014,47.50,48.00,46.60,47.47,255000
FECTC,03-Jan-2014,47.95,48.75,47.30,48.59,219000
FECTC,06-Jan-2014,49.00,51.01,48.00,51.01,326000
FECTC,07-Jan-2014,53.25,53.56,52.25,53.56,848500
FECTC,08-Jan-2014,54.05,55.73,53.25,53.74,772500
FECTC,09-Jan-2014,54.10,56.15,54.00,55.16,1042500
FECTC,10-Jan-2014,55.40,56.00,54.50,54.92,201500
FECTC,13-Jan-2014,55.00,55.20,54.00,54.53,130500
FECTC,15-Jan-2014,54.60,54.60,52.99,53.08,147500
FECTC,16-Jan-2014,53.18,53.80,51.76,52.05,149500
FECTC,17-Jan-2014,52.10,52.60,51.50,52.00,146000
FECTC,20-Jan-2014,53.01,53.50,52.01,52.72,105500
FECTC,21-Jan-2014,53.00,54.70,53.00,54.00,237000
FECTC,22-Jan-2014,54.40,56.20,53.50,55.06,526000
FECTC,23-Jan-2014,55.45,57.81,55.40,56.85,1116000
FECTC,24-Jan-2014,56.80,56.80,55.00,55.36,318000
FECTC,27-Jan-2014,54.65,54.65,52.66,52.78,156000
FECTC,28-Jan-2014,52.85,53.50,51.76,52.14,91500
FECTC,29-Jan-2014,52.00,52.60,51.75,52.29,22000
FECTC,30-Jan-2014,52.49,52.49,51.10,51.69,42000
FECTC,31-Jan-2014,50.45,54.27,50.40,54.27,336500
FECTC,03-Feb-2014,54.75,56.98,54.75,55.45,943500
FECTC,04-Feb-2014,54.99,55.05,53.66,54.45,119500
FECTC,06-Feb-2014,54.56,57.17,54.00,56.03,614000
FECTC,07-Feb-2014,56.50,58.83,56.25,56.92,1189000
FECTC,10-Feb-2014,57.10,58.90,55.60,56.79,556000
FECTC,11-Feb-2014,57.00,58.99,56.52,57.88,732500
FECTC,12-Feb-2014,58.01,60.50,58.01,60.27,503500
FECTC,13-Feb-2014,60.70,61.65,59.76,60.00,777000
FECTC,14-Feb-2014,60.00,60.00,58.02,58.44,140500
FECTC,17-Feb-2014,58.00,58.02,55.52,55.90,320500
FECTC,18-Feb-2014,55.56,56.49,53.50,56.01,228500
FECTC,19-Feb-2014,56.99,57.98,56.90,57.03,269000
FECTC,20-Feb-2014,56.12,57.00,55.50,55.53,46000
FECTC,21-Feb-2014,56.00,58.00,55.50,57.87,282000
FECTC,24-Feb-2014,58.50,58.50,56.50,56.94,340000
FECTC,25-Feb-2014,56.50,57.00,55.51,55.92,48000
FECTC,26-Feb-2014,56.80,57.00,53.15,53.69,330000
FECTC,27-Feb-2014,52.21,53.80,51.50,53.17,123500
FECTC,28-Feb-2014,53.00,55.70,52.52,54.98,133500
FECTC,03-Mar-2014,55.18,56.59,55.00,55.34,67500
FECTC,04-Mar-2014,55.00,56.49,55.00,56.07,71000
FECTC,05-Mar-2014,55.70,56.42,55.50,55.52,22000
FECTC,06-Mar-2014,56.05,57.25,56.05,56.91,190000
FECTC,07-Mar-2014,56.26,56.65,55.00,55.66,73000
FECTC,10-Mar-2014,55.50,56.10,55.50,55.97,31000
FECTC,11-Mar-2014,55.05,56.80,55.05,56.40,64000
FECTC,12-Mar-2014,56.70,56.70,56.00,56.07,32500
FECTC,13-Mar-2014,56.00,56.90,55.35,56.26,75500
FECTC,14-Mar-2014,56.70,56.90,55.75,56.18,63000
FECTC,17-Mar-2014,54.50,55.45,54.50,54.99,6000
FECTC,18-Mar-2014,53.56,55.00,53.56,54.51,14000
FECTC,19-Mar-2014,54.74,54.75,53.70,54.00,25500
FECTC,20-Mar-2014,54.65,55.90,53.15,53.46,49000
FECTC,21-Mar-2014,53.99,53.99,52.00,52.25,12000
FECTC,24-Mar-2014,52.60,52.60,51.81,51.81,52500
FECTC,25-Mar-2014,52.00,54.40,51.31,54.40,223000
FECTC,26-Mar-2014,56.30,56.30,54.50,54.57,100000
FECTC,27-Mar-2014,54.50,55.20,54.00,54.13,32000
FECTC,28-Mar-2014,54.10,54.25,51.70,52.03,76500
FECTC,31-Mar-2014,52.40,52.92,51.75,52.48,59000
FECTC,01-Apr-2014,52.48,55.10,52.25,54.94,377500
FECTC,02-Apr-2014,55.00,55.50,54.80,55.00,67500
FECTC,03-Apr-2014,55.20,55.75,55.00,55.25,91000
FECTC,04-Apr-2014,53.10,53.90,52.49,52.60,269500
FECTC,07-Apr-2014,52.60,53.00,52.11,52.27,42000
FECTC,08-Apr-2014,53.79,53.79,51.50,52.03,39500
FECTC,09-Apr-2014,52.05,53.00,52.00,52.43,87500
FECTC,10-Apr-2014,53.98,54.00,52.00,52.09,118000
FECTC,11-Apr-2014,52.00,52.50,51.15,51.55,53500
FECTC,14-Apr-2014,51.75,52.00,51.00,51.09,178000
FECTC,15-Apr-2014,50.72,52.50,50.72,52.20,99500
FECTC,16-Apr-2014,52.95,52.95,51.78,51.99,35500
FECTC,17-Apr-2014,51.50,51.90,50.90,51.66,156500
FECTC,18-Apr-2014,52.00,52.45,51.05,51.93,46000
FECTC,21-Apr-2014,51.10,51.80,51.05,51.13,10500
FECTC,22-Apr-2014,51.05,52.00,51.05,52.00,24500
FECTC,23-Apr-2014,52.25,52.25,51.05,52.00,24500
FECTC,24-Apr-2014,52.05,54.60,52.00,54.60,309500
FECTC,25-Apr-2014,54.45,55.40,53.10,54.36,90500
FECTC,28-Apr-2014,54.40,54.50,52.80,52.97,75000
FECTC,29-Apr-2014,52.75,52.89,51.51,52.22,53500
FECTC,30-Apr-2014,52.10,54.83,52.00,54.72,175000
FECTC,02-May-2014,54.80,54.80,53.66,53.91,94500
FECTC,05-May-2014,53.15,54.00,52.70,52.70,26500
FECTC,06-May-2014,52.50,53.00,52.50,52.89,7000
FECTC,07-May-2014,53.00,53.53,52.62,52.86,18000
FECTC,08-May-2014,53.90,53.90,52.77,53.45,2500
FECTC,09-May-2014,52.51,53.93,52.06,53.41,9500
FECTC,12-May-2014,52.51,53.00,50.74,50.95,128000
FECTC,13-May-2014,50.40,50.40,49.00,49.12,202000
FECTC,14-May-2014,49.98,50.34,49.30,49.85,53000
FECTC,15-May-2014,50.33,50.50,49.98,50.25,74000
FECTC,16-May-2014,50.25,50.25,49.60,49.97,46000
FECTC,19-May-2014,49.95,50.50,49.52,50.00,75000
FECTC,20-May-2014,49.91,50.00,48.15,48.74,57000
FECTC,21-May-2014,49.01,49.49,48.60,48.60,22000
FECTC,22-May-2014,48.65,48.65,48.00,48.24,44500
FECTC,23-May-2014,48.90,48.90,47.75,47.83,11000
FECTC,26-May-2014,48.00,48.59,48.00,48.50,1500
FECTC,27-May-2014,48.99,49.50,48.99,49.26,29000
FECTC,28-May-2014,49.49,51.00,49.49,50.02,67000
FECTC,29-May-2014,50.50,51.98,50.50,50.92,93500
FECTC,30-May-2014,50.90,51.00,49.80,50.19,51500
FECTC,02-Jun-2014,51.00,52.50,51.00,51.53,266500
FECTC,03-Jun-2014,52.00,52.00,49.50,50.23,59500
FECTC,04-Jun-2014,50.50,51.24,49.00,49.37,125500
FECTC,05-Jun-2014,50.19,50.50,49.50,49.88,21500
FECTC,06-Jun-2014,50.24,50.24,49.51,49.99,77000
FECTC,09-Jun-2014,50.20,50.20,48.50,48.65,69000
FECTC,10-Jun-2014,49.34,49.35,49.34,49.35,2000
FECTC,11-Jun-2014,49.95,50.50,49.76,49.95,130500
FECTC,12-Jun-2014,50.00,50.70,50.00,50.49,59500
FECTC,13-Jun-2014,50.90,51.00,50.50,50.78,57500
FECTC,16-Jun-2014,50.50,50.50,50.00,50.06,52000
FECTC,17-Jun-2014,50.05,50.10,49.50,49.50,39500
FECTC,18-Jun-2014,49.50,49.99,49.40,49.51,6500
FECTC,19-Jun-2014,49.03,49.03,48.50,49.00,94000
FECTC,20-Jun-2014,48.51,48.51,48.50,48.50,22000
FECTC,23-Jun-2014,48.90,49.89,48.90,49.50,16000
FECTC,24-Jun-2014,49.05,50.99,49.05,50.78,53000
FECTC,25-Jun-2014,50.31,51.50,49.05,49.34,72000
FECTC,26-Jun-2014,49.99,50.00,49.99,50.00,22500
FECTC,27-Jun-2014,50.00,50.30,50.00,50.04,33000
FECTC,30-Jun-2014,49.20,50.25,49.20,50.00,5000
FECTC,01-Jul-2014,50.00,50.10,50.00,50.00,1500
FECTC,02-Jul-2014,49.45,50.20,49.45,50.00,3000
FECTC,03-Jul-2014,49.30,50.40,49.30,50.04,22000
FECTC,04-Jul-2014,50.00,50.70,50.00,50.25,22000
FECTC,07-Jul-2014,50.10,51.30,50.01,50.15,33500
FECTC,08-Jul-2014,50.17,50.25,50.17,50.25,2000
FECTC,09-Jul-2014,50.21,50.21,50.00,50.00,20500
FECTC,10-Jul-2014,49.70,49.70,49.55,49.63,1000
FECTC,11-Jul-2014,49.06,49.11,49.05,49.10,2500
FECTC,14-Jul-2014,50.00,50.74,49.60,49.91,31500
FECTC,15-Jul-2014,50.00,51.92,49.99,50.45,151000
FECTC,16-Jul-2014,51.20,51.98,50.60,50.77,80500
FECTC,17-Jul-2014,51.50,53.30,51.30,53.30,188500
FECTC,18-Jul-2014,54.50,55.96,54.50,55.07,351500
FECTC,21-Jul-2014,55.50,57.69,55.12,57.45,352000
FECTC,22-Jul-2014,57.98,58.55,56.10,57.91,171500
FECTC,23-Jul-2014,57.80,58.75,57.00,57.69,219000
FECTC,24-Jul-2014,57.52,58.39,54.81,55.10,270500
FECTC,28-Jul-2014,55.00,55.50,52.50,55.20,154000
FECTC,04-Aug-2014,53.11,53.11,52.44,52.44,23000
FECTC,05-Aug-2014,54.80,54.80,50.00,51.23,151500
FECTC,06-Aug-2014,50.35,50.95,50.00,50.30,36500
FECTC,07-Aug-2014,49.00,51.40,49.00,51.02,334500
FECTC,08-Aug-2014,50.00,50.05,49.80,49.88,28500
FECTC,11-Aug-2014,48.00,48.00,47.39,47.39,15500
FECTC,12-Aug-2014,45.75,47.90,45.03,45.03,371000
FECTC,13-Aug-2014,43.62,46.20,43.50,44.70,147000
FECTC,15-Aug-2014,45.25,46.93,45.25,46.83,131000
FECTC,18-Aug-2014,48.00,48.50,46.76,47.15,26500
FECTC,19-Aug-2014,46.50,46.50,44.80,45.73,162500
FECTC,20-Aug-2014,44.75,46.50,44.50,45.07,60500
FECTC,21-Aug-2014,46.40,46.90,45.50,46.00,93500
FECTC,22-Aug-2014,46.50,46.50,45.50,45.84,31500
FECTC,25-Aug-2014,44.17,45.00,44.17,44.62,29000
FECTC,26-Aug-2014,43.86,44.61,43.00,43.51,91500
FECTC,27-Aug-2014,42.51,42.51,41.34,42.24,69500
FECTC,28-Aug-2014,41.00,42.49,41.00,42.19,30000
FECTC,29-Aug-2014,43.74,44.29,43.00,44.26,99500
FECTC,01-Sep-2014,44.00,44.00,42.05,43.03,80000
FECTC,02-Sep-2014,44.50,45.18,44.00,45.18,37500
FECTC,03-Sep-2014,47.24,47.43,47.00,47.42,133000
FECTC,04-Sep-2014,48.39,48.40,47.30,47.70,54000
FECTC,05-Sep-2014,47.50,47.90,45.32,46.49,27000
FECTC,08-Sep-2014,46.50,47.00,45.10,45.27,52000
FECTC,09-Sep-2014,45.00,46.99,44.90,45.55,54500
FECTC,10-Sep-2014,45.66,47.25,45.50,46.89,75000
FECTC,11-Sep-2014,47.25,49.23,46.70,48.89,209500
FECTC,12-Sep-2014,49.00,49.50,48.00,48.71,71000
FECTC,15-Sep-2014,49.84,49.84,47.50,48.20,20500
FECTC,16-Sep-2014,48.50,49.45,47.51,48.86,132500
FECTC,17-Sep-2014,49.00,49.00,48.00,48.03,80000
FECTC,18-Sep-2014,48.80,48.80,47.81,48.25,87500
FECTC,19-Sep-2014,47.85,48.59,47.25,47.25,20000
FECTC,22-Sep-2014,47.75,48.85,47.50,48.63,66000
FECTC,23-Sep-2014,48.20,50.40,48.20,48.57,460000
FECTC,24-Sep-2014,48.25,49.40,48.25,48.56,103000
FECTC,25-Sep-2014,48.01,48.10,47.10,47.50,38000
FECTC,26-Sep-2014,47.05,47.35,46.50,46.65,45000
FECTC,29-Sep-2014,46.07,46.07,45.55,45.55,8500
FECTC,30-Sep-2014,46.00,46.00,45.00,45.85,69000
FECTC,01-Oct-2014,46.50,46.80,45.86,46.47,54500
FECTC,02-Oct-2014,46.00,46.49,46.00,46.21,20000
FECTC,03-Oct-2014,46.12,47.48,46.12,46.98,27500
FECTC,09-Oct-2014,46.98,47.02,46.25,46.50,18000
FECTC,10-Oct-2014,46.50,47.00,46.39,46.90,38000
FECTC,13-Oct-2014,47.20,47.69,47.00,47.46,59000
FECTC,14-Oct-2014,47.50,48.50,47.21,48.48,86000
FECTC,15-Oct-2014,47.50,48.40,47.50,47.65,67000
FECTC,16-Oct-2014,47.89,47.95,47.09,47.42,16500
FECTC,17-Oct-2014,46.25,47.00,45.60,45.96,21500
FECTC,20-Oct-2014,45.26,45.26,45.16,45.18,9000
FECTC,21-Oct-2014,45.50,45.80,45.00,45.55,58500
FECTC,22-Oct-2014,46.40,47.82,46.00,47.62,251500
FECTC,23-Oct-2014,48.25,49.87,48.00,49.71,154500
FECTC,24-Oct-2014,50.00,50.35,48.00,48.57,130500
FECTC,27-Oct-2014,47.80,48.00,47.30,48.00,25500
FECTC,28-Oct-2014,48.00,48.40,48.00,48.00,26000
FECTC,29-Oct-2014,48.50,49.25,48.01,48.15,183500
FECTC,30-Oct-2014,49.49,50.55,48.00,50.55,425500
FECTC,31-Oct-2014,52.40,53.07,52.01,53.07,214000
FECTC,05-Nov-2014,55.72,55.72,55.00,55.72,279000
FECTC,06-Nov-2014,58.50,58.50,58.50,58.50,159000
FECTC,07-Nov-2014,58.50,60.90,56.50,60.52,665000
FECTC,10-Nov-2014,61.75,62.75,60.00,60.37,771000
FECTC,11-Nov-2014,60.50,63.38,60.50,63.35,1764500
FECTC,12-Nov-2014,64.24,65.49,62.95,63.67,718000
FECTC,13-Nov-2014,64.30,64.30,60.49,60.72,499500
FECTC,14-Nov-2014,61.50,61.50,59.02,60.21,139000
FECTC,17-Nov-2014,61.50,62.85,60.90,61.29,267500
FECTC,18-Nov-2014,60.30,64.35,60.00,64.16,918000
FECTC,19-Nov-2014,64.50,65.00,63.00,64.00,366000
FECTC,20-Nov-2014,63.00,63.00,61.00,61.65,76000
FECTC,21-Nov-2014,61.75,63.00,61.65,62.46,55000
FECTC,24-Nov-2014,62.95,64.72,61.25,61.99,227500
FECTC,25-Nov-2014,63.00,63.00,60.00,60.98,130500
FECTC,26-Nov-2014,60.97,64.02,60.97,64.02,467500
FECTC,27-Nov-2014,64.85,66.49,64.85,65.74,787500
FECTC,28-Nov-2014,66.00,69.02,65.00,69.02,1681500
FECTC,01-Dec-2014,70.79,72.47,70.11,71.89,547000
FECTC,02-Dec-2014,72.50,75.48,72.50,74.92,377000
FECTC,03-Dec-2014,75.50,78.66,75.20,78.60,1013500
FECTC,04-Dec-2014,79.00,79.78,75.10,75.95,539500
FECTC,05-Dec-2014,76.95,77.50,75.66,75.85,132500
FECTC,08-Dec-2014,75.01,76.00,74.10,74.65,93000
FECTC,09-Dec-2014,74.50,78.38,74.50,78.38,650000
FECTC,10-Dec-2014,79.10,80.99,76.65,77.19,447000
FECTC,11-Dec-2014,79.40,80.25,77.20,77.56,750000
FECTC,12-Dec-2014,77.60,81.43,77.00,81.43,483500
