Symbol,Date,Open,High,Low,Close,Volume
FEM,01-Jan-2014,6.75,7.54,6.51,7.48,219000
FEM,02-Jan-2014,7.52,7.86,6.90,7.10,31500
FEM,03-Jan-2014,7.00,7.20,6.75,7.07,6000
FEM,06-Jan-2014,6.80,6.80,6.15,6.20,289000
FEM,07-Jan-2014,6.25,6.70,6.25,6.39,20500
FEM,08-Jan-2014,6.65,6.85,5.98,5.98,298500
FEM,09-Jan-2014,5.70,6.39,5.70,6.00,96000
FEM,10-Jan-2014,6.00,6.00,6.00,6.00,212500
FEM,13-Jan-2014,6.30,6.49,6.00,6.06,46000
FEM,15-Jan-2014,6.15,6.40,5.91,6.14,42000
FEM,16-Jan-2014,5.90,6.10,5.71,6.10,2000
FEM,17-Jan-2014,6.10,6.10,6.00,6.00,18000
FEM,20-Jan-2014,6.14,6.15,6.14,6.15,1000
FEM,21-Jan-2014,5.90,6.14,5.90,6.00,46000
FEM,22-Jan-2014,6.00,6.14,6.00,6.14,72500
FEM,23-Jan-2014,5.80,6.25,5.80,6.15,62500
FEM,24-Jan-2014,5.83,6.22,5.83,6.05,18000
FEM,27-Jan-2014,6.19,6.20,6.15,6.15,6500
FEM,28-Jan-2014,6.00,6.30,6.00,6.05,106000
FEM,29-Jan-2014,6.20,6.40,6.05,6.24,113500
FEM,30-Jan-2014,6.50,7.24,6.15,6.84,462000
FEM,31-Jan-2014,6.85,6.85,6.55,6.76,51500
FEM,03-Feb-2014,6.56,6.75,6.56,6.71,85500
FEM,04-Feb-2014,6.19,6.35,6.10,6.22,62500
FEM,06-Feb-2014,6.03,6.15,6.00,6.11,87000
FEM,07-Feb-2014,6.00,6.25,6.00,6.00,36000
FEM,10-Feb-2014,5.88,5.88,5.70,5.78,26000
FEM,11-Feb-2014,6.00,6.10,5.95,6.10,21000
FEM,12-Feb-2014,5.90,6.01,5.90,6.00,39500
FEM,13-Feb-2014,6.00,6.10,5.90,5.90,19000
FEM,14-Feb-2014,5.87,6.00,5.85,6.00,9000
FEM,17-Feb-2014,6.00,6.00,5.80,5.88,7500
FEM,18-Feb-2014,5.95,5.95,5.50,5.85,23500
FEM,19-Feb-2014,5.67,5.99,5.67,5.80,9000
FEM,20-Feb-2014,5.85,5.85,5.85,5.85,500
FEM,21-Feb-2014,5.90,5.90,5.90,5.90,15000
FEM,24-Feb-2014,5.60,5.60,5.60,5.60,1000
FEM,25-Feb-2014,5.83,5.83,5.83,5.83,4000
FEM,26-Feb-2014,5.80,5.80,5.33,5.43,22000
FEM,27-Feb-2014,5.50,5.50,5.25,5.30,16000
FEM,28-Feb-2014,5.40,5.89,5.15,5.70,13500
FEM,04-Mar-2014,5.70,5.80,5.25,5.25,13000
FEM,05-Mar-2014,5.70,5.70,5.30,5.55,63500
FEM,06-Mar-2014,5.20,5.80,5.20,5.63,69000
FEM,07-Mar-2014,6.00,6.00,5.55,5.80,9500
FEM,10-Mar-2014,5.35,5.74,5.35,5.74,9000
FEM,11-Mar-2014,5.74,5.74,5.74,5.74,1000
FEM,12-Mar-2014,5.90,5.90,5.70,5.70,6000
FEM,13-Mar-2014,5.55,5.55,5.55,5.55,1500
FEM,19-Mar-2014,5.25,5.95,5.25,5.42,172500
