Symbol,Date,Open,High,Low,Close,Volume
FFBL,01-Jan-2014,43.99,44.60,43.72,44.48,901000
FFBL,02-Jan-2014,44.80,44.80,43.80,44.65,2453000
FFBL,03-Jan-2014,44.89,45.00,44.01,44.11,649000
FFBL,06-Jan-2014,44.10,44.59,43.92,44.03,872000
FFBL,07-Jan-2014,44.00,44.68,43.95,44.44,1197000
FFBL,08-Jan-2014,44.38,45.10,44.12,44.65,1877500
FFBL,09-Jan-2014,44.93,45.08,43.80,44.10,3568500
FFBL,10-Jan-2014,44.12,44.80,43.90,44.08,2438500
FFBL,13-Jan-2014,44.05,44.49,43.51,43.69,1325000
FFBL,15-Jan-2014,43.85,44.49,43.65,43.81,1354000
FFBL,16-Jan-2014,44.30,44.49,43.70,43.83,1754500
FFBL,17-Jan-2014,44.25,44.25,43.34,43.47,1501500
FFBL,20-Jan-2014,43.74,43.85,43.40,43.59,452500
FFBL,21-Jan-2014,43.81,43.99,43.50,43.74,648000
FFBL,22-Jan-2014,44.22,44.24,43.55,43.88,1902500
FFBL,23-Jan-2014,44.10,44.20,43.61,43.93,2382500
FFBL,24-Jan-2014,44.00,44.55,43.70,43.91,3865000
FFBL,27-Jan-2014,44.28,44.35,42.51,42.96,5095500
FFBL,28-Jan-2014,43.20,43.38,42.70,42.77,1550500
FFBL,29-Jan-2014,42.70,43.00,42.10,42.64,2036500
FFBL,30-Jan-2014,42.40,43.00,42.30,42.78,1183000
FFBL,31-Jan-2014,42.98,43.00,42.36,42.43,1309000
FFBL,03-Feb-2014,42.56,42.89,42.50,42.70,518000
FFBL,04-Feb-2014,42.80,42.80,42.20,42.63,789000
FFBL,06-Feb-2014,42.52,43.00,42.50,42.97,1016000
FFBL,07-Feb-2014,42.98,43.10,42.70,42.83,533500
FFBL,10-Feb-2014,43.00,43.09,42.41,42.67,636500
FFBL,11-Feb-2014,42.66,42.89,42.60,42.68,294500
FFBL,12-Feb-2014,42.65,43.10,42.55,42.89,885500
FFBL,13-Feb-2014,42.99,43.15,42.51,42.65,813000
FFBL,14-Feb-2014,42.75,42.75,42.50,42.53,343000
FFBL,17-Feb-2014,42.55,43.25,42.31,42.94,923500
FFBL,18-Feb-2014,42.93,42.94,42.10,42.71,533000
FFBL,19-Feb-2014,42.70,43.39,42.69,42.94,2299000
FFBL,20-Feb-2014,42.65,43.70,42.65,43.42,1017000
FFBL,21-Feb-2014,42.92,43.80,42.92,43.60,267000
FFBL,24-Feb-2014,43.75,44.05,43.40,43.90,1398000
FFBL,25-Feb-2014,43.76,44.21,43.50,43.52,1767500
FFBL,26-Feb-2014,43.65,43.85,43.45,43.49,238500
FFBL,27-Feb-2014,43.78,43.78,43.05,43.28,232000
FFBL,28-Feb-2014,43.21,44.00,43.10,43.80,668500
FFBL,03-Mar-2014,43.99,44.10,43.73,43.77,182500
FFBL,04-Mar-2014,43.52,43.94,43.50,43.84,317500
FFBL,05-Mar-2014,43.98,44.00,43.50,43.83,1246000
FFBL,06-Mar-2014,43.90,44.25,43.80,44.06,1894500
FFBL,07-Mar-2014,44.10,44.70,43.91,44.43,1856500
