Symbol,Date,Open,High,Low,Close,Volume
FFLM,01-Jan-2014,2.45,2.60,2.45,2.58,43500
FFLM,03-Jan-2014,2.60,2.60,2.60,2.60,1000
FFLM,06-Jan-2014,2.60,3.00,2.60,3.00,15500
FFLM,07-Jan-2014,2.60,2.62,2.60,2.62,3500
FFLM,08-Jan-2014,2.88,3.00,2.82,2.99,44500
FFLM,09-Jan-2014,2.80,2.80,2.80,2.80,3000
FFLM,10-Jan-2014,2.70,2.70,2.70,2.70,500
FFLM,13-Jan-2014,3.20,3.20,3.00,3.00,10500
FFLM,15-Jan-2014,2.81,2.86,2.81,2.86,4500
FFLM,16-Jan-2014,3.15,3.20,3.00,3.00,7500
FFLM,17-Jan-2014,2.85,3.00,2.80,2.80,15000
FFLM,20-Jan-2014,2.60,3.00,2.60,3.00,18500
FFLM,21-Jan-2014,2.80,3.17,2.65,2.90,26500
FFLM,22-Jan-2014,3.00,3.00,2.99,3.00,12500
FFLM,23-Jan-2014,3.15,4.00,3.15,4.00,488000
FFLM,24-Jan-2014,4.40,5.00,4.20,5.00,382500
FFLM,27-Jan-2014,5.15,6.00,5.15,6.00,713500
FFLM,28-Jan-2014,6.80,6.90,5.80,6.75,1333500
FFLM,29-Jan-2014,6.99,7.00,6.20,6.24,353500
FFLM,30-Jan-2014,6.75,6.75,6.05,6.24,72000
FFLM,31-Jan-2014,5.70,6.35,5.70,6.35,1000
FFLM,03-Feb-2014,6.80,6.80,5.40,6.25,249500
FFLM,04-Feb-2014,6.15,6.15,6.15,6.15,500
FFLM,06-Feb-2014,5.20,5.94,5.15,5.57,33500
FFLM,07-Feb-2014,5.49,5.65,5.05,5.13,22000
FFLM,10-Feb-2014,5.49,5.75,4.90,5.21,134500
FFLM,11-Feb-2014,5.20,5.39,5.20,5.30,201000
FFLM,12-Feb-2014,5.48,5.48,5.02,5.48,1500
FFLM,13-Feb-2014,5.74,5.74,4.50,4.62,132500
FFLM,14-Feb-2014,4.99,5.23,4.54,5.17,5500
FFLM,17-Feb-2014,5.15,5.15,4.60,4.83,30500
FFLM,18-Feb-2014,4.51,4.85,4.02,4.60,17000
FFLM,19-Feb-2014,4.51,4.96,4.45,4.45,10500
FFLM,20-Feb-2014,4.00,4.35,4.00,4.10,113500
FFLM,21-Feb-2014,4.69,4.69,4.69,4.10,1000
FFLM,24-Feb-2014,4.59,4.60,4.59,4.60,1000
FFLM,25-Feb-2014,4.70,4.70,4.06,4.41,4500
FFLM,26-Feb-2014,4.44,4.89,4.44,4.78,10500
FFLM,27-Feb-2014,4.96,4.96,4.96,4.78,1000
FFLM,28-Feb-2014,4.90,4.90,4.90,4.90,500
FFLM,03-Mar-2014,4.95,4.95,4.95,4.95,1000
FFLM,04-Mar-2014,4.79,4.79,4.79,4.79,500
FFLM,05-Mar-2014,4.11,4.73,4.11,4.73,1000
FFLM,06-Mar-2014,4.75,4.88,4.75,4.88,1000
FFLM,07-Mar-2014,3.98,4.92,3.98,4.90,29500
FFLM,10-Mar-2014,4.31,4.78,4.31,4.78,2000
FFLM,11-Mar-2014,4.55,4.97,4.22,4.59,29000
FFLM,12-Mar-2014,4.50,4.78,4.50,4.57,2000
FFLM,13-Mar-2014,4.99,5.00,4.15,4.15,3000
FFLM,14-Mar-2014,4.74,4.74,4.30,4.30,10500
FFLM,17-Mar-2014,4.15,4.47,4.00,4.09,16000
FFLM,18-Mar-2014,4.11,4.11,4.00,4.00,35500
FFLM,19-Mar-2014,4.00,4.00,4.00,4.00,500
FFLM,20-Mar-2014,3.97,4.00,3.97,4.00,6500
FFLM,21-Mar-2014,4.05,4.20,4.05,4.13,2500
FFLM,24-Mar-2014,3.45,3.97,3.43,3.96,2000
FFLM,25-Mar-2014,4.48,4.49,3.70,3.80,22000
FFLM,26-Mar-2014,3.64,3.97,3.64,3.97,1000
FFLM,27-Mar-2014,3.95,3.95,3.95,3.95,500
FFLM,28-Mar-2014,3.84,3.84,3.70,3.70,17500
FFLM,31-Mar-2014,3.40,3.90,3.40,3.40,1000
FFLM,01-Apr-2014,3.88,4.36,3.38,3.63,6500
FFLM,02-Apr-2014,3.61,4.00,3.54,3.92,9000
FFLM,03-Apr-2014,3.66,3.96,3.64,3.89,25500
FFLM,04-Apr-2014,3.89,3.95,3.50,3.82,49500
FFLM,08-Apr-2014,3.89,3.90,3.64,3.89,3500
FFLM,09-Apr-2014,3.90,3.90,3.80,3.88,5000
