Symbol,Date,Open,High,Low,Close,Volume
FFLR1,09-Nov-2021,3.61,4.28,3.28,3.28,28810500
FFLR1,10-Nov-2021,3.00,3.19,2.75,2.82,10622000
FFLR1,11-Nov-2021,2.78,2.79,2.41,2.47,8000500
FFLR1,12-Nov-2021,2.50,2.67,2.28,2.36,4787500
FFLR1,15-Nov-2021,2.31,2.40,1.85,1.88,7569000
FFLR1,16-Nov-2021,1.88,2.02,1.71,1.83,4999000
FFLR1,17-Nov-2021,1.83,1.88,1.49,1.51,5671000
FFLR1,18-Nov-2021,1.53,1.70,1.45,1.55,4625500
FFLR1,19-Nov-2021,1.47,2.10,1.47,1.86,10576500
FFLR1,22-Nov-2021,1.77,1.77,1.55,1.60,4336000
FFLR1,23-Nov-2021,1.52,1.67,1.44,1.53,8992500
FFLR1,24-Nov-2021,1.47,1.48,1.13,1.17,8675500
FFLR1,25-Nov-2021,1.15,1.28,1.05,1.13,3695000
FFLR1,26-Nov-2021,1.13,1.32,1.10,1.13,7084500
FFLR1,29-Nov-2021,1.00,1.13,0.76,0.82,14852000
FFLR1,30-Nov-2021,0.84,0.97,0.69,0.74,18370000
FFLR1,01-Dec-2021,0.61,0.94,0.57,0.69,37065500
