Symbol,Date,Open,High,Low,Close,Volume
FFL,01-Jan-2014,42.26,45.50,42.26,43.34,1500
FFL,02-Jan-2014,41.18,41.25,41.18,41.25,2000
FFL,03-Jan-2014,42.00,42.00,42.00,42.00,500
FFL,06-Jan-2014,41.10,44.10,41.01,44.10,18000
FFL,07-Jan-2014,46.30,46.30,44.50,46.30,67000
FFL,08-Jan-2014,48.61,48.61,48.60,48.61,11500
FFL,09-Jan-2014,51.04,51.04,51.04,51.04,1000
FFL,10-Jan-2014,48.50,53.59,48.50,53.59,25000
FFL,13-Jan-2014,56.25,56.26,56.25,56.26,2000
FFL,15-Jan-2014,59.07,59.07,59.07,59.07,6000
FFL,16-Jan-2014,60.99,62.02,58.50,60.00,12000
FFL,17-Jan-2014,62.00,63.00,62.00,63.00,2500
FFL,20-Jan-2014,65.90,65.90,60.00,60.00,1000
FFL,21-Jan-2014,58.00,60.00,58.00,60.00,1500
FFL,23-Jan-2014,61.00,61.00,59.00,59.00,1500
FFL,28-Jan-2014,60.00,60.00,60.00,60.00,500
FFL,30-Jan-2014,57.00,57.00,57.00,57.00,500
FFL,31-Jan-2014,58.00,58.00,58.00,58.00,500
FFL,03-Feb-2014,57.00,57.00,57.00,57.00,500
FFL,04-Feb-2014,59.85,59.85,59.20,59.40,1500
FFL,06-Feb-2014,59.50,59.50,59.50,59.50,1500
FFL,14-Feb-2014,58.00,58.00,58.00,58.00,500
FFL,26-Feb-2014,57.40,57.40,57.40,57.40,500
FFL,27-Feb-2014,54.55,54.55,54.55,54.55,500
FFL,05-Mar-2014,55.00,55.00,55.00,55.00,500
FFL,20-Mar-2014,54.99,54.99,54.99,54.99,500
FFL,26-Mar-2014,55.50,55.50,55.50,55.50,500
FFL,03-Apr-2014,55.99,55.99,55.99,55.99,500
FFL,04-Apr-2014,55.01,55.01,55.01,55.01,500
FFL,08-Apr-2014,54.90,54.90,54.90,54.90,500
FFL,09-Apr-2014,54.89,54.90,52.16,52.16,4500
FFL,14-Apr-2014,49.65,49.65,49.60,49.60,1000
FFL,15-Apr-2014,47.12,47.12,47.12,47.12,500
FFL,16-Apr-2014,44.77,44.81,44.77,44.81,2000
FFL,30-Apr-2014,42.62,42.62,42.57,42.57,2000
FFL,05-May-2014,40.55,42.49,40.45,40.45,7000
FFL,06-May-2014,39.00,40.50,39.00,40.50,1000
FFL,07-May-2014,40.49,42.52,39.01,42.51,4500
FFL,08-May-2014,44.44,44.63,44.44,44.63,3000
FFL,09-May-2014,46.86,46.86,46.86,46.86,1000
FFL,12-May-2014,49.20,49.20,49.20,49.20,8000
FFL,13-May-2014,51.66,51.66,51.66,51.66,2000
FFL,14-May-2014,54.24,54.24,54.24,54.24,3000
FFL,15-May-2014,56.95,56.95,56.95,56.95,1500
FFL,20-May-2014,65.90,65.90,65.90,65.90,1000
FFL,21-May-2014,69.19,69.19,69.19,69.19,4000
FFL,22-May-2014,72.64,72.64,72.64,72.64,1000
FFL,26-May-2014,80.08,80.08,72.46,72.46,12500
FFL,28-May-2014,66.81,66.81,66.81,66.81,2500
FFL,29-May-2014,63.47,69.99,63.47,69.00,6000
FFL,30-May-2014,70.00,70.99,70.00,70.90,10000
FFL,03-Jun-2014,40.04,40.04,40.04,40.04,3500
FFL,05-Jun-2014,44.14,44.14,44.00,44.14,4500
FFL,06-Jun-2014,46.34,46.34,46.00,46.34,7000
FFL,09-Jun-2014,44.90,44.90,44.15,44.15,3500
FFL,10-Jun-2014,44.99,44.99,44.99,44.99,500
FFL,11-Jun-2014,42.75,42.75,42.75,42.75,500
FFL,12-Jun-2014,43.90,44.80,43.90,44.80,1000
FFL,16-Jun-2014,45.96,45.96,45.96,45.96,500
FFL,23-Jun-2014,45.25,45.25,45.25,45.25,500
FFL,24-Jun-2014,44.00,46.50,44.00,44.50,4500
FFL,27-Jun-2014,44.60,44.60,44.00,44.00,1500
FFL,30-Jun-2014,41.80,46.00,41.80,44.45,7500
FFL,08-Jul-2014,40.90,40.90,40.90,40.90,1000
FFL,09-Jul-2014,38.86,39.50,38.86,38.86,2500
FFL,14-Jul-2014,36.30,38.40,36.30,38.40,2000
