Symbol,Date,Open,High,Low,Close,Volume
FIMM,19-Mar-2014,65.00,65.00,65.00,65.00,500
FIMM,20-Mar-2014,61.75,61.75,61.75,61.75,500
FIMM,21-Mar-2014,58.67,58.67,58.67,58.67,2000
FIMM,07-Apr-2014,55.74,55.74,55.74,55.74,1000
FIMM,17-Apr-2014,53.25,53.25,53.25,53.25,500
FIMM,12-Sep-2014,66.27,66.27,66.27,66.27,500
FIMM,17-Sep-2014,62.96,62.96,62.96,62.96,500
FIMM,27-Nov-2014,52.32,52.32,52.32,52.32,500
FIMM,08-Jan-2015,49.71,49.71,49.71,49.71,500
FIMM,14-Jan-2015,47.23,47.23,47.23,47.23,500
FIMM,24-Apr-2015,56.80,56.80,51.40,51.40,5000
FIMM,06-May-2015,53.00,53.00,53.00,53.00,500
FIMM,22-May-2015,55.65,55.65,55.65,55.65,500
FIMM,11-Jun-2015,53.00,53.00,53.00,53.00,500
FIMM,01-Sep-2015,71.40,71.40,71.40,71.40,500
FIMM,02-Sep-2015,74.97,74.97,74.97,74.97,500
FIMM,16-Sep-2015,78.71,78.71,78.71,78.71,1000
FIMM,17-Sep-2015,82.64,82.64,82.64,82.64,500
FIMM,18-Sep-2015,86.77,86.77,86.77,86.77,500
FIMM,23-Sep-2015,89.00,89.00,88.99,89.00,1500
FIMM,29-Sep-2015,93.00,93.00,93.00,93.00,1000
FIMM,01-Oct-2015,95.00,95.00,95.00,95.00,1000
FIMM,05-Oct-2015,99.00,99.00,99.00,99.00,1000
FIMM,07-Oct-2015,95.00,95.00,95.00,95.00,500
FIMM,08-Oct-2015,90.45,95.00,90.45,95.00,1000
FIMM,13-Oct-2015,90.00,90.00,90.00,90.00,500
FIMM,16-Oct-2015,85.50,85.50,85.50,85.50,500
FIMM,20-Oct-2015,89.50,89.50,89.50,89.50,500
FIMM,27-Oct-2015,85.05,85.05,85.05,85.05,500
FIMM,28-Oct-2015,80.80,80.80,80.80,80.80,500
FIMM,05-Nov-2015,76.76,76.76,76.76,76.76,1000
FIMM,20-Nov-2015,69.35,69.35,69.35,69.35,500
FIMM,25-Apr-2016,70.00,70.00,70.00,70.00,500
FIMM,06-May-2016,80.30,80.30,80.30,80.30,500
FIMM,10-May-2016,87.15,87.15,87.15,87.15,500
FIMM,12-May-2016,96.07,96.07,96.07,96.07,500
FIMM,16-May-2016,100.00,100.87,95.99,100.34,3500
FIMM,17-May-2016,105.35,105.35,105.30,105.30,1500
FIMM,18-May-2016,110.56,110.56,110.56,110.56,1500
FIMM,06-Jun-2016,116.00,116.00,116.00,116.00,500
FIMM,26-Sep-2016,116.00,124.95,116.00,117.49,1400
FIMM,27-Sep-2016,123.36,123.36,123.36,123.36,600
FIMM,29-Sep-2016,132.09,132.09,132.09,132.09,600
FIMM,04-Oct-2016,139.33,139.33,139.33,139.33,800
FIMM,06-Oct-2016,153.60,153.60,153.60,153.60,200
FIMM,07-Oct-2016,148.68,148.68,148.68,148.68,400
FIMM,10-Oct-2016,156.11,156.11,156.11,156.11,3700
FIMM,13-Oct-2016,163.90,163.90,163.90,163.90,700
FIMM,14-Oct-2016,172.00,172.00,172.00,172.00,700
FIMM,17-Oct-2016,170.00,180.59,165.00,178.32,2500
FIMM,18-Oct-2016,184.99,187.23,184.99,186.75,1200
FIMM,19-Oct-2016,194.99,196.08,194.00,195.54,1000
FIMM,20-Oct-2016,205.31,205.31,205.31,205.31,500
FIMM,21-Oct-2016,215.57,215.57,215.57,215.57,1400
FIMM,24-Oct-2016,226.34,226.34,220.00,226.32,600
FIMM,25-Oct-2016,226.32,226.32,226.32,226.32,100
FIMM,27-Oct-2016,226.32,226.32,226.32,226.32,400
FIMM,28-Oct-2016,215.10,215.10,215.10,215.10,800
FIMM,31-Oct-2016,205.00,205.00,205.00,205.00,400
FIMM,02-Nov-2016,205.00,209.99,195.00,197.50,700
FIMM,16-Nov-2016,197.50,197.50,197.50,197.50,100
FIMM,22-Nov-2016,205.00,207.37,205.00,207.37,900
FIMM,23-Nov-2016,216.99,217.73,216.99,217.70,1100
FIMM,24-Nov-2016,224.99,224.99,217.00,224.99,1600
FIMM,06-Dec-2016,224.99,224.99,224.99,224.99,100
FIMM,02-Jan-2017,225.00,225.00,225.00,225.00,200
FIMM,25-Jan-2017,225.00,225.00,225.00,225.00,300
FIMM,14-Feb-2017,225.00,225.00,225.00,225.00,100
FIMM,20-Feb-2017,230.00,230.00,230.00,230.00,1300
FIMM,12-Apr-2017,230.50,230.50,230.50,230.50,500
FIMM,22-Aug-2017,220.00,220.00,220.00,220.00,500
FIMM,06-Sep-2017,210.00,210.00,210.00,210.00,500
FIMM,08-Sep-2017,210.00,210.00,210.00,210.00,100
FIMM,11-Sep-2017,210.00,210.00,210.00,210.00,100
FIMM,01-Mar-2018,210.00,210.00,210.00,210.00,1000
FIMM,24-Apr-2018,220.50,220.50,220.50,220.50,300
FIMM,25-Apr-2018,220.50,220.50,220.50,220.50,100
FIMM,10-May-2018,219.57,219.57,219.57,219.57,100
FIMM,09-Dec-2019,84.00,84.00,83.34,83.34,1500
FIMM,10-Dec-2019,79.18,80.00,79.18,79.39,1100
FIMM,11-Dec-2019,83.00,83.33,75.43,75.43,2300
FIMM,12-Dec-2019,79.20,79.20,79.16,79.18,600
FIMM,13-Dec-2019,79.18,79.18,79.18,79.18,100
FIMM,16-Dec-2019,79.18,79.18,79.18,79.18,100
FIMM,17-Dec-2019,83.13,83.13,83.13,83.13,100
FIMM,18-Dec-2019,83.13,83.13,83.13,83.13,300
FIMM,19-Dec-2019,83.13,83.13,83.13,83.13,100
FIMM,24-Dec-2019,83.13,83.13,83.13,83.13,100
FIMM,27-Dec-2019,83.13,83.13,83.13,83.13,100
FIMM,03-Aug-2020,89.36,89.36,89.36,89.36,500
FIMM,02-Oct-2020,96.06,96.06,96.06,96.06,500
FIMM,07-Oct-2020,96.00,96.00,96.00,96.00,1000
FIMM,08-Oct-2020,88.81,88.81,88.81,88.81,500
FIMM,09-Oct-2020,95.47,95.47,95.47,95.47,1000
FIMM,12-Oct-2020,102.63,102.63,102.63,102.63,1000
FIMM,13-Oct-2020,101.99,102.00,101.99,102.00,1000
FIMM,14-Oct-2020,109.65,109.65,109.65,109.65,1000
FIMM,15-Oct-2020,117.87,117.87,117.87,117.87,1000
FIMM,16-Oct-2020,126.71,126.71,115.00,126.70,2000
FIMM,19-Oct-2020,136.20,136.20,136.20,136.20,1000
FIMM,20-Oct-2020,146.40,146.40,146.40,146.40,500
FIMM,21-Oct-2020,156.99,156.99,156.99,156.99,500
FIMM,22-Oct-2020,167.99,167.99,146.00,167.99,1000
FIMM,28-Oct-2020,155.40,170.00,155.40,170.00,1000
FIMM,02-Dec-2020,168.00,168.00,145.50,149.99,1500
FIMM,03-Dec-2020,138.75,138.75,138.75,138.75,500
FIMM,04-Dec-2020,128.50,128.50,128.35,128.35,1000
FIMM,08-Dec-2020,119.01,119.01,119.00,119.00,1000
FIMM,09-Dec-2020,110.11,110.11,110.11,110.11,500
FIMM,10-Dec-2020,101.88,101.88,101.88,101.88,500
FIMM,11-Dec-2020,94.51,94.51,94.51,94.51,500
FIMM,24-Dec-2020,89.00,89.00,89.00,89.00,500
FIMM,12-Jan-2021,110.55,110.55,95.21,95.21,1000
FIMM,19-Jan-2021,89.00,89.00,89.00,89.00,500
FIMM,21-Jan-2021,95.67,95.67,95.67,95.67,100
FIMM,22-Jan-2021,95.67,95.67,95.67,95.67,100
FIMM,25-Jan-2021,95.67,95.67,95.67,95.67,100
FIMM,26-Jan-2021,95.67,95.67,95.67,95.67,100
FIMM,27-Jan-2021,95.67,95.67,95.67,95.67,100
FIMM,28-Jan-2021,95.67,95.67,95.67,95.67,100
FIMM,01-Feb-2021,95.67,95.67,95.67,95.67,100
FIMM,02-Feb-2021,95.67,95.67,95.67,95.67,100
FIMM,03-Feb-2021,95.67,95.67,95.67,95.67,100
FIMM,09-Feb-2021,95.67,95.67,95.67,95.67,100
FIMM,10-Feb-2021,95.67,95.67,95.67,95.67,100
FIMM,12-Mar-2021,110.55,110.55,110.55,110.55,500
FIMM,15-Mar-2021,118.84,118.84,115.00,117.88,400
FIMM,16-Mar-2021,126.72,126.72,126.72,126.72,700
FIMM,17-Mar-2021,136.22,136.22,136.22,136.22,200
FIMM,18-Mar-2021,146.43,146.43,146.43,146.43,200
FIMM,19-Mar-2021,157.41,157.41,157.41,157.41,200
FIMM,22-Mar-2021,169.19,169.19,169.19,169.19,200
FIMM,25-Mar-2021,181.00,181.00,156.51,164.50,1700
FIMM,29-Mar-2021,164.50,164.50,164.50,164.50,100
FIMM,31-Mar-2021,152.17,152.17,152.17,152.17,400
FIMM,01-Apr-2021,163.00,163.00,163.00,163.00,200
FIMM,08-Apr-2021,150.78,150.78,150.78,150.78,400
FIMM,09-Apr-2021,139.50,140.01,139.50,139.76,200
FIMM,12-Apr-2021,129.51,129.51,129.51,129.51,300
FIMM,13-Apr-2021,119.81,119.81,119.81,119.81,300
FIMM,14-Apr-2021,111.51,111.51,111.51,111.51,300
FIMM,16-Apr-2021,103.15,103.15,103.15,103.15,300
FIMM,19-Apr-2021,107.00,107.00,98.00,98.00,800
FIMM,03-May-2021,102.00,102.00,102.00,102.00,300
FIMM,17-May-2021,102.00,102.00,102.00,102.00,100
FIMM,19-May-2021,109.65,109.65,109.65,109.65,100
