Symbol,Date,Open,High,Low,Close,Volume
FLYNGR1,24-Feb-2022,1.00,1.50,0.83,1.19,38422500
FLYNGR1,25-Feb-2022,1.40,1.48,1.01,1.09,15397500
FLYNGR1,28-Feb-2022,1.13,1.13,0.90,0.99,12934500
FLYNGR1,01-Mar-2022,1.00,1.05,0.76,0.86,7997500
FLYNGR1,02-Mar-2022,0.80,0.90,0.75,0.81,7546000
FLYNGR1,03-Mar-2022,0.82,0.85,0.65,0.67,8851500
FLYNGR1,04-Mar-2022,0.69,0.85,0.64,0.67,11416000
FLYNGR1,07-Mar-2022,0.70,0.70,0.46,0.48,11439500
FLYNGR1,08-Mar-2022,0.48,0.55,0.45,0.47,4365500
FLYNGR1,09-Mar-2022,0.46,0.54,0.38,0.40,6695000
FLYNGR1,10-Mar-2022,0.45,0.47,0.35,0.37,11616500
FLYNGR1,11-Mar-2022,0.32,0.35,0.22,0.26,7843500
FLYNGR1,14-Mar-2022,0.26,0.26,0.14,0.16,11632500
FLYNGR1,15-Mar-2022,0.16,0.31,0.12,0.14,10223500
FLYNGR1,16-Mar-2022,0.17,0.23,0.07,0.09,22346000
FLYNGR1,17-Mar-2022,0.08,0.13,0.01,0.01,36233500
