Symbol,Date,Open,High,Low,Close,Volume
FPJM,01-Jan-2014,1.98,1.98,1.82,1.86,93500
FPJM,02-Jan-2014,1.90,2.20,1.90,2.02,555500
FPJM,03-Jan-2014,1.93,2.20,1.93,2.05,376000
FPJM,06-Jan-2014,2.05,2.19,2.01,2.02,156500
FPJM,07-Jan-2014,2.02,2.15,2.00,2.05,607000
FPJM,08-Jan-2014,2.02,2.10,1.99,2.05,468000
FPJM,09-Jan-2014,2.05,2.15,2.01,2.09,201000
FPJM,10-Jan-2014,1.87,2.10,1.86,2.03,194000
FPJM,13-Jan-2014,2.10,2.31,2.03,2.18,349000
FPJM,15-Jan-2014,2.29,2.50,2.25,2.32,403000
FPJM,16-Jan-2014,2.32,2.33,2.20,2.30,155500
FPJM,17-Jan-2014,2.30,2.30,2.21,2.23,58000
FPJM,20-Jan-2014,2.25,2.25,2.00,2.15,136000
FPJM,21-Jan-2014,2.15,2.20,2.03,2.05,194500
FPJM,22-Jan-2014,2.02,2.08,1.92,2.06,132500
FPJM,23-Jan-2014,2.06,2.18,2.01,2.05,457000
FPJM,24-Jan-2014,2.05,2.30,2.04,2.15,317000
FPJM,27-Jan-2014,2.18,2.29,2.15,2.26,224000
FPJM,28-Jan-2014,2.35,2.60,2.20,2.54,916500
FPJM,29-Jan-2014,2.60,3.01,2.45,2.90,1392500
FPJM,30-Jan-2014,2.81,2.90,2.67,2.75,188000
FPJM,31-Jan-2014,2.55,2.80,2.50,2.53,240000
FPJM,03-Feb-2014,2.47,2.65,2.33,2.35,227000
FPJM,04-Feb-2014,2.03,2.49,2.03,2.30,29500
FPJM,06-Feb-2014,2.39,2.39,2.23,2.23,19000
FPJM,07-Feb-2014,2.35,2.48,2.21,2.24,154000
FPJM,10-Feb-2014,2.20,2.38,2.15,2.16,59500
FPJM,11-Feb-2014,2.30,2.54,2.30,2.38,162000
FPJM,12-Feb-2014,2.40,2.54,2.37,2.40,76000
FPJM,13-Feb-2014,2.41,2.41,2.40,2.40,34000
FPJM,14-Feb-2014,2.40,2.40,2.30,2.30,49000
FPJM,17-Feb-2014,2.21,2.34,2.15,2.22,94000
FPJM,18-Feb-2014,2.20,2.27,2.15,2.27,28000
FPJM,19-Feb-2014,2.16,2.22,2.15,2.18,9000
FPJM,20-Feb-2014,2.16,2.32,2.15,2.32,8000
FPJM,21-Feb-2014,2.25,2.25,2.20,2.25,13000
FPJM,24-Feb-2014,2.30,2.30,2.30,2.30,1500
FPJM,25-Feb-2014,2.25,2.25,2.10,2.25,59500
FPJM,26-Feb-2014,2.20,3.25,2.20,3.25,2994000
FPJM,27-Feb-2014,3.50,3.99,3.22,3.44,2547000
FPJM,28-Feb-2014,3.13,3.59,2.90,3.08,421500
FPJM,03-Mar-2014,3.00,3.20,2.90,2.93,234000
FPJM,04-Mar-2014,2.91,3.00,2.75,2.83,92000
FPJM,05-Mar-2014,2.90,3.00,2.85,3.00,154500
FPJM,06-Mar-2014,3.05,3.24,3.00,3.01,89500
FPJM,07-Mar-2014,3.10,3.12,2.98,3.09,73500
FPJM,10-Mar-2014,3.15,3.25,2.86,3.09,44500
FPJM,11-Mar-2014,3.14,3.28,3.10,3.16,150500
FPJM,12-Mar-2014,3.06,3.25,3.06,3.20,111500
FPJM,13-Mar-2014,3.15,3.28,3.10,3.25,79000
FPJM,14-Mar-2014,3.40,3.50,3.25,3.28,4000
FPJM,17-Mar-2014,3.20,3.38,3.20,3.28,3500
FPJM,18-Mar-2014,3.40,3.40,3.20,3.20,20500
FPJM,19-Mar-2014,3.13,3.29,3.13,3.25,39500
FPJM,20-Mar-2014,3.20,3.30,3.20,3.30,72000
FPJM,21-Mar-2014,3.45,3.50,3.30,3.45,133000
FPJM,24-Mar-2014,3.40,3.44,3.40,3.44,66500
FPJM,25-Mar-2014,3.45,3.80,3.45,3.66,770500
FPJM,26-Mar-2014,3.65,3.69,3.48,3.48,378000
FPJM,27-Mar-2014,3.52,3.64,3.52,3.59,46500
FPJM,28-Mar-2014,3.30,3.80,3.30,3.52,90000
FPJM,31-Mar-2014,3.50,3.75,3.50,3.74,619500
FPJM,01-Apr-2014,3.70,3.94,3.60,3.91,285500
FPJM,02-Apr-2014,4.02,4.15,3.95,4.06,523000
FPJM,03-Apr-2014,4.09,4.25,4.02,4.11,766500
FPJM,04-Apr-2014,4.01,4.18,3.85,3.90,108500
FPJM,07-Apr-2014,3.90,4.05,3.90,4.00,200500
