Symbol,Date,Open,High,Low,Close,Volume
FPRM,08-Jan-2014,13.70,13.70,13.60,13.60,1500
FPRM,10-Jan-2014,14.00,14.00,13.90,13.90,2000
FPRM,13-Jan-2014,14.10,14.10,14.00,14.05,2000
FPRM,16-Jan-2014,14.30,14.30,14.30,14.30,1000
FPRM,17-Jan-2014,14.20,14.20,14.20,14.20,1000
FPRM,20-Jan-2014,14.11,14.11,14.11,14.11,500
FPRM,22-Jan-2014,14.50,14.50,14.50,14.50,7000
FPRM,23-Jan-2014,14.40,14.45,14.35,14.40,8000
FPRM,29-Jan-2014,14.05,14.05,14.00,14.03,2000
FPRM,30-Jan-2014,14.20,14.20,14.20,14.20,1000
FPRM,10-Feb-2014,13.60,13.60,13.50,13.50,1500
FPRM,18-Feb-2014,13.00,13.00,12.50,12.50,4000
FPRM,21-Feb-2014,13.47,13.47,13.10,13.10,1000
FPRM,03-Mar-2014,14.10,14.10,14.10,14.10,2500
FPRM,10-Mar-2014,15.10,15.10,15.08,15.10,3500
FPRM,11-Mar-2014,15.20,15.20,15.20,15.20,4000
FPRM,07-Apr-2014,15.20,15.20,15.20,15.20,10000
FPRM,14-Apr-2014,14.25,14.25,14.25,14.25,1500
FPRM,17-Apr-2014,14.50,14.50,14.50,14.50,500
FPRM,14-May-2014,13.55,13.55,13.50,13.50,2500
FPRM,15-May-2014,13.50,13.50,13.50,13.50,2500
FPRM,08-Sep-2014,14.45,14.45,14.45,14.45,1000
FPRM,09-Sep-2014,15.45,15.45,15.45,15.45,2000
FPRM,15-Sep-2014,14.45,14.45,14.45,14.45,5500
FPRM,25-Sep-2014,13.50,13.50,13.50,13.50,500
FPRM,29-Sep-2014,14.00,14.00,14.00,14.00,500
FPRM,01-Oct-2014,14.80,14.80,14.60,14.60,2500
FPRM,02-Oct-2014,15.00,15.00,15.00,15.00,2000
FPRM,03-Oct-2014,16.00,16.00,16.00,16.00,2000
FPRM,09-Oct-2014,17.00,17.00,17.00,17.00,500
FPRM,10-Oct-2014,18.00,18.00,18.00,18.00,5500
FPRM,13-Oct-2014,19.00,19.00,19.00,19.00,16500
FPRM,14-Oct-2014,19.97,20.00,19.50,20.00,16500
FPRM,15-Oct-2014,20.40,20.93,19.21,19.40,7500
FPRM,16-Oct-2014,18.68,18.76,18.68,18.76,1500
FPRM,20-Oct-2014,19.15,19.20,19.15,19.20,1500
FPRM,21-Oct-2014,18.25,18.86,18.25,18.86,4000
FPRM,22-Oct-2014,18.55,19.55,18.55,19.52,19500
FPRM,23-Oct-2014,15.60,15.80,15.56,15.57,7000
FPRM,24-Oct-2014,14.60,15.10,14.57,15.10,1500
FPRM,27-Oct-2014,15.00,15.00,15.00,15.00,1000
