Symbol,Date,Open,High,Low,Close,Volume
FTMM,27-Jan-2016,21.56,21.56,21.56,21.56,500
FTMM,08-Feb-2016,30.29,30.29,30.29,30.29,500
FTMM,14-Jul-2016,44.71,44.71,44.71,44.71,500
FTMM,29-Jan-2018,47.51,50.49,47.00,50.49,126000
FTMM,13-Feb-2018,53.00,55.66,53.00,55.66,5000
FTMM,14-Feb-2018,54.00,54.00,54.00,54.00,1000
FTMM,15-Feb-2018,51.30,51.30,51.30,51.30,6000
FTMM,16-Feb-2018,53.84,53.86,48.74,48.74,28000
FTMM,19-Feb-2018,49.49,49.49,49.49,49.49,500
FTMM,20-Feb-2018,47.99,48.00,47.02,47.02,27000
FTMM,21-Feb-2018,48.00,48.00,47.50,47.50,2000
FTMM,23-Feb-2018,48.00,48.00,48.00,48.00,23000
FTMM,27-Feb-2018,45.60,46.50,45.60,46.02,5000
FTMM,02-Mar-2018,41.32,41.32,41.32,41.32,3000
FTMM,05-Mar-2018,39.26,39.26,39.26,39.26,2500
FTMM,06-Mar-2018,37.30,38.74,37.30,38.74,12000
FTMM,07-Mar-2018,40.64,40.64,36.81,36.82,2500
FTMM,09-Mar-2018,35.00,35.00,35.00,35.00,500
FTMM,12-Mar-2018,33.25,33.25,33.25,33.25,100500
FTMM,20-Mar-2018,34.90,34.90,34.90,34.90,500
FTMM,22-Mar-2018,36.64,36.64,36.64,36.64,500
FTMM,26-Mar-2018,34.85,34.85,34.85,34.85,5500
FTMM,28-Mar-2018,35.00,36.40,35.00,36.40,6000
FTMM,04-Apr-2018,38.00,38.00,38.00,38.00,5000
FTMM,09-Apr-2018,36.10,36.10,36.10,36.10,10500
FTMM,10-Apr-2018,37.80,37.85,34.30,34.30,242000
FTMM,11-Apr-2018,34.09,34.09,32.59,32.59,581000
FTMM,12-Apr-2018,30.97,30.97,30.97,30.97,459000
FTMM,13-Apr-2018,29.43,30.70,29.43,29.48,1445000
FTMM,16-Apr-2018,29.97,30.40,29.61,29.98,605500
FTMM,17-Apr-2018,29.90,30.35,29.50,30.00,647000
FTMM,18-Apr-2018,30.00,30.25,29.80,29.95,271500
FTMM,19-Apr-2018,29.99,30.00,29.50,30.00,234500
FTMM,20-Apr-2018,30.00,30.99,29.60,30.48,345000
FTMM,23-Apr-2018,29.80,30.99,29.80,30.09,56000
FTMM,24-Apr-2018,30.10,30.60,29.90,30.51,58500
FTMM,25-Apr-2018,30.90,30.90,29.90,30.26,32000
FTMM,26-Apr-2018,30.80,31.50,30.00,30.32,52000
FTMM,27-Apr-2018,31.50,31.50,30.10,30.63,39000
FTMM,30-Apr-2018,30.00,30.50,29.50,30.00,574500
FTMM,02-May-2018,28.65,29.50,28.65,29.50,1000
FTMM,03-May-2018,29.15,29.85,29.00,29.04,20000
FTMM,04-May-2018,28.90,29.80,28.90,29.80,2000
FTMM,07-May-2018,28.61,29.00,28.61,29.00,3500
FTMM,09-May-2018,29.00,29.49,27.55,28.89,8500
FTMM,10-May-2018,29.80,29.80,29.80,29.80,1000
FTMM,11-May-2018,28.80,28.80,28.80,28.80,1000
FTMM,14-May-2018,27.50,28.56,27.50,28.06,32000
FTMM,15-May-2018,28.00,28.94,28.00,28.75,8000
FTMM,16-May-2018,29.00,29.00,28.00,28.00,4000
FTMM,17-May-2018,28.00,29.00,28.00,28.76,13500
FTMM,18-May-2018,27.60,29.50,27.60,28.90,15500
FTMM,21-May-2018,29.89,29.90,28.05,28.53,4500
FTMM,22-May-2018,29.35,29.39,29.35,29.39,1000
FTMM,23-May-2018,29.98,30.00,29.98,30.00,4000
FTMM,24-May-2018,28.50,29.85,28.50,29.40,5500
FTMM,25-May-2018,29.78,29.79,29.78,29.79,1000
FTMM,28-May-2018,28.33,29.51,28.31,28.94,12500
FTMM,29-May-2018,28.95,29.49,28.50,29.01,10500
FTMM,30-May-2018,29.25,29.40,28.50,28.75,381000
FTMM,31-May-2018,28.50,29.00,28.48,28.62,45000
FTMM,05-Jun-2018,28.69,28.69,28.69,28.69,500
FTMM,06-Jun-2018,27.51,28.97,27.50,28.28,54500
FTMM,07-Jun-2018,29.64,29.65,28.01,29.27,162000
FTMM,11-Jun-2018,28.50,28.50,27.95,27.95,7500
FTMM,12-Jun-2018,26.75,29.24,26.75,28.00,68500
FTMM,20-Jun-2018,28.80,28.80,28.80,28.80,1000
FTMM,21-Jun-2018,27.36,27.36,27.36,27.36,1000
FTMM,22-Jun-2018,26.01,26.74,26.01,26.38,1000
FTMM,25-Jun-2018,25.07,25.07,25.07,25.07,3500
FTMM,27-Jun-2018,25.00,26.32,25.00,25.54,21500
FTMM,28-Jun-2018,26.70,26.80,26.70,26.75,1000
FTMM,03-Jul-2018,25.99,25.99,25.99,25.99,1500
FTMM,05-Jul-2018,26.99,27.04,24.51,25.43,24000
FTMM,06-Jul-2018,26.49,26.49,26.49,26.49,500
FTMM,09-Jul-2018,25.17,25.17,25.17,25.17,500
FTMM,10-Jul-2018,26.24,26.25,26.24,26.25,1000
FTMM,11-Jul-2018,26.50,27.44,26.50,27.44,2000
FTMM,13-Jul-2018,26.07,27.97,26.07,27.02,1500
FTMM,17-Jul-2018,24.58,26.90,24.58,25.97,6500
FTMM,18-Jul-2018,24.68,26.00,24.68,26.00,6000
FTMM,20-Jul-2018,24.70,25.75,24.70,25.75,3000
FTMM,24-Jul-2018,25.00,25.00,24.47,24.64,5000
FTMM,30-Jul-2018,24.00,25.50,23.65,25.35,17000
FTMM,31-Jul-2018,24.10,24.10,24.09,24.09,338500
