Symbol,Date,Open,High,Low,Close,Volume
FZCM,01-Jan-2014,180.21,180.21,180.21,180.21,400
FZCM,02-Jan-2014,189.22,189.22,181.25,189.22,3700
FZCM,03-Jan-2014,198.00,198.68,191.10,192.10,1600
FZCM,06-Jan-2014,192.00,201.70,190.99,201.70,2900
FZCM,07-Jan-2014,205.00,205.00,205.00,201.70,100
FZCM,09-Jan-2014,200.00,200.00,195.00,195.00,1300
FZCM,10-Jan-2014,186.00,199.99,185.25,193.00,800
FZCM,13-Jan-2014,199.00,199.00,190.00,190.00,2000
FZCM,15-Jan-2014,181.10,181.10,180.50,180.50,700
FZCM,16-Jan-2014,175.00,175.00,171.50,171.75,1000
FZCM,17-Jan-2014,171.00,180.33,171.00,180.33,400
FZCM,20-Jan-2014,186.00,187.54,186.00,187.54,400
FZCM,22-Jan-2014,196.00,196.91,196.00,196.91,1400
FZCM,23-Jan-2014,206.75,206.75,206.74,206.75,500
FZCM,24-Jan-2014,200.00,200.00,200.00,206.75,100
FZCM,27-Jan-2014,197.00,197.00,196.42,196.42,500
FZCM,30-Jan-2014,194.00,195.00,194.00,195.00,400
FZCM,04-Feb-2014,195.00,195.00,195.00,195.00,100
FZCM,13-Feb-2014,190.05,190.50,190.05,190.20,300
FZCM,14-Feb-2014,199.00,199.00,199.00,199.00,400
FZCM,20-Feb-2014,200.00,200.00,200.00,199.00,300
FZCM,21-Feb-2014,200.00,203.00,200.00,203.00,400
FZCM,19-Mar-2014,200.18,200.18,200.18,200.18,200
FZCM,08-Apr-2014,189.50,189.50,189.12,189.31,4100
FZCM,18-Apr-2014,178.49,178.50,178.49,178.50,300
FZCM,23-Apr-2014,167.00,167.00,167.00,167.00,200
FZCM,30-Apr-2014,159.00,168.90,159.00,163.95,200
FZCM,13-May-2014,160.00,167.00,156.00,161.50,3500
FZCM,16-May-2014,153.00,162.00,153.00,162.00,2100
FZCM,22-May-2014,153.90,153.90,153.90,153.90,700
FZCM,23-May-2014,148.00,148.00,146.21,146.21,2300
FZCM,26-May-2014,138.90,152.00,138.90,138.90,5800
FZCM,27-May-2014,138.00,145.00,138.00,142.00,3500
FZCM,28-May-2014,142.00,148.99,138.00,146.00,2200
FZCM,29-May-2014,151.93,153.30,151.93,153.30,1700
FZCM,30-May-2014,159.00,160.00,155.00,159.74,1700
FZCM,02-Jun-2014,152.54,152.54,151.80,151.80,700
FZCM,03-Jun-2014,157.74,157.74,148.00,148.00,500
FZCM,04-Jun-2014,145.00,145.00,145.00,145.00,2000
FZCM,05-Jun-2014,145.00,149.00,145.00,149.00,2500
FZCM,06-Jun-2014,150.00,150.00,145.00,145.00,700
FZCM,09-Jun-2014,138.12,143.00,138.12,142.33,800
FZCM,10-Jun-2014,140.00,149.00,140.00,143.00,600
FZCM,11-Jun-2014,150.15,150.15,150.15,150.15,1000
FZCM,16-Jun-2014,143.13,157.65,143.00,145.00,1400
FZCM,19-Jun-2014,138.00,138.00,138.00,138.00,400
FZCM,20-Jun-2014,138.00,138.00,138.00,138.00,100
FZCM,23-Jun-2014,144.20,144.90,144.20,144.38,400
FZCM,24-Jun-2014,142.50,142.50,142.10,142.30,200
FZCM,25-Jun-2014,149.41,149.41,149.41,149.41,900
FZCM,27-Jun-2014,145.00,155.00,145.00,155.00,3900
FZCM,03-Jul-2014,155.00,155.00,155.00,155.00,100
FZCM,09-Jul-2014,147.25,147.25,147.25,147.25,600
FZCM,10-Jul-2014,140.00,140.00,140.00,140.00,1500
FZCM,16-Jul-2014,133.00,135.00,133.00,133.00,3000
FZCM,21-Jul-2014,130.05,138.99,126.41,138.99,1000
FZCM,22-Jul-2014,142.00,142.50,142.00,142.25,200
FZCM,04-Aug-2014,142.25,142.25,142.25,142.25,100
FZCM,06-Aug-2014,135.25,135.25,135.14,135.16,700
FZCM,08-Aug-2014,135.25,135.25,132.12,132.56,300
FZCM,19-Aug-2014,124.70,124.70,124.70,124.70,500
FZCM,20-Aug-2014,129.00,129.00,120.03,125.41,700
FZCM,26-Aug-2014,119.50,119.50,119.20,119.40,300
FZCM,27-Aug-2014,113.75,119.40,113.43,119.40,200
FZCM,01-Sep-2014,119.40,119.40,119.40,119.40,100
FZCM,02-Sep-2014,115.00,123.50,115.00,123.50,5500
FZCM,03-Sep-2014,125.00,129.00,121.00,127.78,6200
FZCM,04-Sep-2014,133.99,133.99,131.85,132.92,200
FZCM,05-Sep-2014,137.90,137.90,135.00,135.00,900
FZCM,08-Sep-2014,137.49,137.98,128.30,128.66,2700
FZCM,09-Sep-2014,125.00,125.90,125.00,125.90,400
FZCM,10-Sep-2014,122.00,122.00,120.05,121.51,400
FZCM,11-Sep-2014,127.56,127.58,127.56,127.58,700
FZCM,12-Sep-2014,133.00,133.00,127.30,133.00,6200
FZCM,15-Sep-2014,130.00,130.00,128.80,129.80,700
FZCM,19-Sep-2014,129.80,129.80,129.80,129.80,100
FZCM,23-Sep-2014,123.50,123.50,123.40,123.40,400
FZCM,24-Sep-2014,117.23,128.00,117.23,120.82,300
FZCM,25-Sep-2014,126.34,126.86,126.34,126.86,1100
FZCM,26-Sep-2014,133.20,133.20,133.00,133.20,1900
FZCM,29-Sep-2014,139.86,139.86,139.86,139.86,700
FZCM,30-Sep-2014,146.84,146.85,146.84,146.85,2300
FZCM,01-Oct-2014,154.19,154.19,145.50,147.75,3900
FZCM,09-Oct-2014,145.00,145.00,140.39,144.58,1100
FZCM,10-Oct-2014,145.00,147.05,145.00,146.08,3700
FZCM,13-Oct-2014,139.06,140.00,139.05,139.08,400
FZCM,15-Oct-2014,134.00,134.00,133.00,133.06,400
FZCM,16-Oct-2014,133.06,133.06,133.06,133.06,100
FZCM,23-Oct-2014,135.10,139.69,134.95,139.50,900
FZCM,24-Oct-2014,137.00,137.00,137.00,137.00,100
FZCM,27-Oct-2014,131.14,132.00,131.14,131.57,300
FZCM,28-Oct-2014,131.30,131.31,131.00,131.16,400
FZCM,30-Oct-2014,135.00,137.71,135.00,135.50,600
FZCM,31-Oct-2014,137.72,140.00,137.72,140.00,300
FZCM,05-Nov-2014,133.00,134.00,133.00,133.09,1500
FZCM,07-Nov-2014,136.00,139.74,136.00,139.73,1300
FZCM,10-Nov-2014,139.73,139.73,139.73,139.73,100
FZCM,11-Nov-2014,139.73,139.73,139.73,139.73,100
FZCM,12-Nov-2014,140.00,144.50,140.00,143.13,2300
FZCM,13-Nov-2014,145.00,150.00,145.00,148.75,3100
FZCM,14-Nov-2014,150.00,150.00,141.35,141.35,1000
FZCM,18-Nov-2014,140.10,140.10,140.00,140.00,500
FZCM,19-Nov-2014,140.00,140.00,140.00,140.00,100
FZCM,25-Nov-2014,133.01,133.01,133.01,133.01,500
FZCM,26-Nov-2014,130.00,131.00,130.00,130.50,200
FZCM,28-Nov-2014,130.50,130.50,130.50,130.50,100
FZCM,02-Dec-2014,126.00,130.00,126.00,128.06,300
FZCM,03-Dec-2014,133.00,134.46,128.08,134.46,3400
FZCM,04-Dec-2014,140.00,141.18,139.00,141.18,2900
FZCM,05-Dec-2014,148.23,148.23,148.23,148.23,2200
FZCM,08-Dec-2014,155.64,155.64,155.64,155.64,900
FZCM,09-Dec-2014,163.42,163.42,163.42,163.42,400
FZCM,10-Dec-2014,171.59,171.59,159.48,165.07,14400
FZCM,11-Dec-2014,169.10,172.00,165.00,171.00,5300
FZCM,12-Dec-2014,174.99,179.55,172.00,179.55,6100
FZCM,15-Dec-2014,188.40,188.52,187.49,188.52,5300
FZCM,16-Dec-2014,196.96,197.94,192.00,197.94,10900
FZCM,17-Dec-2014,207.83,207.83,191.00,192.25,3000
FZCM,18-Dec-2014,200.00,200.00,182.64,182.64,1600
FZCM,19-Dec-2014,173.51,173.51,173.51,173.51,500
FZCM,22-Dec-2014,164.84,178.86,164.84,174.43,500
FZCM,23-Dec-2014,165.73,179.00,165.73,170.05,1500
FZCM,24-Dec-2014,178.50,178.50,161.55,161.55,2200
FZCM,26-Dec-2014,153.52,169.62,153.48,153.51,3300
FZCM,29-Dec-2014,145.84,151.95,145.84,148.98,1300
FZCM,30-Dec-2014,142.00,150.00,142.00,149.67,500
FZCM,31-Dec-2014,150.00,157.00,150.00,152.33,900
FZCM,01-Jan-2015,155.00,159.94,155.00,159.94,2400
FZCM,02-Jan-2015,167.90,167.93,163.50,165.00,5900
FZCM,05-Jan-2015,165.00,165.00,160.60,160.63,500
FZCM,06-Jan-2015,163.99,164.00,152.60,154.16,1700
FZCM,07-Jan-2015,147.00,155.00,147.00,150.00,1500
FZCM,08-Jan-2015,150.00,150.00,150.00,150.00,100
FZCM,12-Jan-2015,146.15,146.50,146.00,146.50,600
FZCM,13-Jan-2015,144.00,153.00,144.00,149.67,500
