Symbol,Date,Open,High,Low,Close,Volume
GADT,01-Jan-2014,219.00,226.50,218.00,222.09,25800
GADT,02-Jan-2014,224.50,229.00,220.00,225.89,29600
GADT,03-Jan-2014,224.50,227.90,223.00,223.31,11100
GADT,06-Jan-2014,220.01,220.25,217.01,218.18,7000
GADT,07-Jan-2014,218.00,220.00,212.50,216.00,25500
GADT,08-Jan-2014,216.00,223.70,215.00,220.88,45000
GADT,09-Jan-2014,223.00,224.00,219.50,220.92,23700
GADT,10-Jan-2014,219.00,223.00,219.00,221.00,5700
GADT,13-Jan-2014,221.00,230.00,220.60,228.76,46800
GADT,15-Jan-2014,230.00,240.19,230.00,240.19,56600
GADT,16-Jan-2014,245.00,251.99,243.00,248.10,29200
GADT,17-Jan-2014,253.90,260.50,252.00,260.50,42600
GADT,20-Jan-2014,267.00,273.52,267.00,273.52,5000
GADT,21-Jan-2014,287.19,287.19,287.19,287.19,2100
GADT,22-Jan-2014,301.54,301.54,301.54,301.54,111700
GADT,23-Jan-2014,316.61,316.61,316.61,316.61,22400
GADT,24-Jan-2014,332.44,332.44,301.00,315.12,44900
GADT,27-Jan-2014,304.10,308.99,299.37,299.37,60500
GADT,28-Jan-2014,297.00,297.00,284.41,286.80,72000
GADT,29-Jan-2014,285.00,287.95,282.00,285.86,12700
GADT,30-Jan-2014,280.00,286.00,280.00,283.73,2800
GADT,31-Jan-2014,280.00,297.91,280.00,297.91,31400
GADT,03-Feb-2014,312.80,312.80,312.80,312.80,1200
GADT,04-Feb-2014,328.44,328.44,316.00,318.32,89600
GADT,06-Feb-2014,320.00,330.00,316.00,319.11,24100
GADT,07-Feb-2014,315.00,317.00,303.16,304.79,13800
GADT,10-Feb-2014,314.90,314.90,289.56,290.63,14200
GADT,11-Feb-2014,294.99,294.99,280.00,290.37,25800
GADT,12-Feb-2014,291.00,292.75,285.00,290.13,11700
GADT,13-Feb-2014,290.00,297.60,288.50,288.50,4700
GADT,14-Feb-2014,283.01,284.10,283.00,284.10,700
GADT,17-Feb-2014,275.00,285.00,269.90,269.90,8900
GADT,18-Feb-2014,272.00,272.95,256.50,263.36,27200
GADT,19-Feb-2014,269.40,269.50,250.20,250.86,66200
GADT,20-Feb-2014,251.80,253.00,240.00,242.14,10300
GADT,21-Feb-2014,243.00,247.00,231.00,240.97,31300
GADT,24-Feb-2014,244.00,246.75,240.00,240.80,19500
GADT,25-Feb-2014,245.00,252.84,245.00,252.84,81500
GADT,26-Feb-2014,255.00,257.01,240.20,240.20,39000
GADT,27-Feb-2014,237.00,239.00,228.19,228.19,70800
GADT,28-Feb-2014,224.85,239.59,224.25,237.65,119800
GADT,03-Mar-2014,239.90,239.90,235.00,236.27,42400
GADT,04-Mar-2014,237.84,242.90,236.00,240.88,87200
GADT,05-Mar-2014,242.00,252.92,240.00,252.92,51600
GADT,06-Mar-2014,259.00,265.56,257.40,259.96,85000
GADT,07-Mar-2014,262.00,262.50,250.01,253.97,17500
GADT,10-Mar-2014,248.00,249.90,244.00,246.50,10400
GADT,11-Mar-2014,246.50,246.50,234.18,235.39,35500
GADT,12-Mar-2014,231.00,236.00,227.00,230.27,42000
GADT,13-Mar-2014,232.98,236.00,224.00,226.71,83400
GADT,14-Mar-2014,228.00,236.00,228.00,229.92,108600
GADT,17-Mar-2014,231.00,239.10,230.51,234.01,194600
GADT,18-Mar-2014,235.00,235.00,222.31,222.45,148400
GADT,19-Mar-2014,220.25,225.00,218.00,222.41,26600
GADT,20-Mar-2014,222.00,223.74,218.00,218.51,13500
GADT,21-Mar-2014,221.00,221.00,213.00,213.53,99200
GADT,24-Mar-2014,208.00,212.00,206.50,211.13,44800
GADT,25-Mar-2014,212.00,213.00,210.00,212.03,12100
