Symbol,Date,Open,High,Low,Close,Volume
GAL,18-May-2023,33.31,33.31,33.20,33.30,18500
GAL,19-May-2023,33.10,33.50,33.10,33.38,59500
GAL,22-May-2023,33.02,33.30,32.71,32.82,35018
GAL,23-May-2023,33.00,33.15,32.65,32.76,19105
GAL,24-May-2023,33.20,33.21,32.50,32.51,18435
GAL,25-May-2023,33.15,33.15,32.11,32.16,5618
GAL,26-May-2023,32.05,32.20,30.00,30.22,32886
GAL,29-May-2023,31.99,31.99,30.33,30.55,43817
GAL,30-May-2023,31.45,31.45,30.31,30.83,9172
GAL,31-May-2023,31.50,31.50,30.80,30.92,49266
GAL,01-Jun-2023,30.99,31.45,30.96,31.11,7184
GAL,02-Jun-2023,32.20,32.20,31.13,31.73,3700
GAL,05-Jun-2023,31.99,31.99,31.00,31.24,13641
GAL,06-Jun-2023,31.68,32.80,31.21,32.30,143305
GAL,07-Jun-2023,32.86,33.32,31.92,32.87,102581
GAL,08-Jun-2023,32.99,32.99,31.98,32.09,36928
GAL,09-Jun-2023,32.48,33.60,32.01,32.59,73399
GAL,12-Jun-2023,33.30,33.30,31.56,31.89,35080
GAL,13-Jun-2023,32.25,32.95,31.56,32.36,53156
GAL,14-Jun-2023,32.85,32.85,31.36,31.84,22667
GAL,15-Jun-2023,32.50,32.50,30.65,31.44,32885
GAL,16-Jun-2023,32.27,32.27,30.80,30.84,15314
GAL,19-Jun-2023,30.52,30.70,30.00,30.02,22216
GAL,20-Jun-2023,30.99,30.99,29.56,29.89,6739
GAL,21-Jun-2023,30.75,30.75,29.25,29.30,16717
GAL,22-Jun-2023,30.95,30.95,29.20,29.28,10504
GAL,23-Jun-2023,29.90,31.48,28.71,31.48,208058
GAL,26-Jun-2023,30.51,33.84,30.51,33.84,83841
GAL,27-Jun-2023,34.00,36.38,34.00,36.38,302643
GAL,03-Jul-2023,39.11,39.11,39.11,39.11,43374
GAL,04-Jul-2023,40.75,40.79,38.10,38.76,437619
GAL,05-Jul-2023,39.84,39.84,38.26,38.69,243102
GAL,06-Jul-2023,38.90,40.00,38.00,38.82,237986
GAL,07-Jul-2023,39.39,39.48,38.05,38.32,162080
GAL,10-Jul-2023,40.00,41.19,39.05,41.19,324860
GAL,11-Jul-2023,42.00,44.28,42.00,44.28,436496
GAL,12-Jul-2023,44.95,45.00,41.82,42.85,650893
GAL,13-Jul-2023,43.90,46.06,42.30,44.94,985674
GAL,14-Jul-2023,45.70,47.40,43.58,45.34,311138
GAL,17-Jul-2023,45.13,46.88,44.75,45.01,167446
GAL,18-Jul-2023,45.10,45.50,43.05,43.35,83433
