Symbol,Date,Open,High,Low,Close,Volume
GATI,20-Jan-2014,171.00,171.00,169.58,169.58,500
GATI,21-Jan-2014,175.00,178.05,175.00,177.53,300
GATI,22-Jan-2014,181.00,186.40,177.10,181.75,400
GATI,23-Jan-2014,190.00,190.83,190.00,190.83,1500
GATI,24-Jan-2014,200.37,200.37,200.37,200.37,1100
GATI,31-Jan-2014,205.00,205.00,205.00,200.37,700
GATI,10-Feb-2014,190.40,190.40,190.40,200.37,100
GATI,11-Feb-2014,193.00,193.00,193.00,200.37,500
GATI,24-Feb-2014,191.00,191.00,191.00,200.37,100
GATI,25-Feb-2014,190.36,190.36,190.36,200.37,100
GATI,07-Mar-2014,190.00,190.00,190.00,200.00,100
GATI,02-Apr-2014,200.00,200.00,200.00,200.00,100
GATI,18-Apr-2014,184.30,184.30,184.30,184.30,100
GATI,05-May-2014,175.09,175.09,175.09,175.09,1700
GATI,06-May-2014,170.00,170.00,170.00,170.00,300
GATI,12-May-2014,170.10,172.00,170.10,171.05,200
GATI,14-May-2014,169.80,170.00,169.80,169.89,900
GATI,15-May-2014,170.00,170.00,170.00,170.00,500
GATI,26-May-2014,170.00,170.00,170.00,170.00,1000
GATI,27-May-2014,170.00,170.00,170.00,170.00,100
GATI,29-May-2014,170.00,175.00,170.00,175.00,1100
GATI,03-Jun-2014,170.00,171.00,170.00,170.50,200
GATI,04-Jun-2014,170.00,170.00,170.00,170.00,300
GATI,05-Jun-2014,170.00,170.00,170.00,170.00,500
GATI,01-Jul-2014,170.00,170.00,170.00,170.00,500
GATI,07-Jul-2014,165.00,166.00,165.00,166.00,1700
GATI,11-Jul-2014,170.00,170.00,170.00,170.00,600
GATI,21-Aug-2014,170.00,170.00,170.00,170.00,400
GATI,03-Sep-2014,170.00,170.00,170.00,170.00,1000
GATI,09-Sep-2014,170.00,175.00,170.00,175.00,700
GATI,23-Sep-2014,175.00,175.00,175.00,175.00,200
GATI,21-Oct-2014,164.00,164.00,163.40,163.52,500
GATI,23-Oct-2014,160.06,160.06,160.00,160.00,500
GATI,27-Oct-2014,160.50,160.50,160.00,160.25,500
GATI,12-Nov-2014,157.75,159.95,157.75,159.95,600
GATI,13-Nov-2014,158.00,160.00,158.00,160.00,600
GATI,14-Nov-2014,160.00,160.00,160.00,160.00,100
GATI,17-Nov-2014,160.00,160.00,160.00,160.00,100
GATI,18-Nov-2014,160.00,160.00,160.00,160.00,100
GATI,19-Nov-2014,160.00,160.00,160.00,160.00,600
GATI,01-Dec-2014,162.99,162.99,162.99,162.99,500
GATI,02-Dec-2014,160.00,160.00,160.00,160.00,400
GATI,09-Dec-2014,160.00,163.00,160.00,161.50,500
GATI,19-Dec-2014,163.00,163.00,163.00,163.00,200
