Symbol,Date,Open,High,Low,Close,Volume
GATM,01-Jan-2014,47.58,47.58,45.50,47.58,1370500
GATM,02-Jan-2014,48.99,49.95,48.45,49.95,978000
GATM,03-Jan-2014,52.44,52.44,52.44,52.44,215500
GATM,06-Jan-2014,55.06,55.06,53.60,55.06,838000
GATM,07-Jan-2014,56.49,57.81,56.30,57.81,727000
GATM,08-Jan-2014,60.70,60.70,59.50,60.70,618500
GATM,09-Jan-2014,63.73,63.73,57.67,58.81,2349500
GATM,10-Jan-2014,56.76,59.01,55.87,55.87,1198000
GATM,13-Jan-2014,54.01,57.25,53.25,53.92,1995000
GATM,15-Jan-2014,55.00,56.61,55.00,56.61,299500
GATM,16-Jan-2014,59.44,59.44,54.32,54.92,2498500
GATM,17-Jan-2014,55.10,57.66,54.17,57.66,1047500
GATM,20-Jan-2014,60.54,60.54,60.54,60.54,310000
GATM,21-Jan-2014,63.56,63.56,61.00,63.56,2315000
GATM,22-Jan-2014,64.00,65.66,62.80,63.47,1255500
GATM,23-Jan-2014,63.06,63.50,60.30,60.36,715000
GATM,24-Jan-2014,59.75,60.88,57.65,58.96,454500
GATM,27-Jan-2014,58.99,60.00,56.40,57.31,515000
GATM,28-Jan-2014,57.30,60.17,57.30,60.17,205500
GATM,29-Jan-2014,63.17,63.17,63.17,63.17,209500
GATM,30-Jan-2014,66.32,66.32,62.05,62.43,2151000
GATM,31-Jan-2014,63.41,63.41,61.02,61.98,340000
GATM,03-Feb-2014,62.69,63.00,61.30,61.45,458000
GATM,04-Feb-2014,61.50,61.50,58.90,59.17,451500
GATM,06-Feb-2014,59.30,62.12,59.30,60.60,1200500
GATM,07-Feb-2014,61.24,61.55,58.00,58.47,442500
GATM,10-Feb-2014,58.85,60.50,57.00,58.11,420500
GATM,11-Feb-2014,58.87,61.00,57.90,60.32,413000
GATM,12-Feb-2014,61.23,62.20,60.90,61.30,540500
GATM,13-Feb-2014,61.38,61.70,58.95,59.44,303500
GATM,14-Feb-2014,59.04,59.87,57.60,57.80,199500
GATM,17-Feb-2014,58.10,59.50,55.51,56.37,266000
GATM,18-Feb-2014,56.50,57.75,53.56,56.65,406000
GATM,19-Feb-2014,56.80,57.79,55.10,55.59,125500
GATM,20-Feb-2014,55.50,56.50,54.00,54.51,91000
GATM,21-Feb-2014,54.00,55.60,53.45,54.84,160500
GATM,24-Feb-2014,55.70,55.70,54.35,54.59,63500
GATM,25-Feb-2014,54.55,54.95,51.95,52.32,239500
GATM,26-Feb-2014,52.25,52.25,49.71,49.76,257500
GATM,27-Feb-2014,49.99,49.99,47.28,47.28,322000
GATM,28-Feb-2014,46.85,47.50,45.50,46.00,423500
GATM,03-Mar-2014,47.50,47.55,46.26,46.58,333000
GATM,04-Mar-2014,46.02,48.90,46.00,48.90,468500
GATM,05-Mar-2014,51.34,51.34,51.34,51.34,172000
GATM,06-Mar-2014,53.90,53.90,52.90,53.90,1047000
GATM,07-Mar-2014,54.40,54.79,52.70,53.29,285500
GATM,10-Mar-2014,53.75,54.40,50.63,50.71,362000
GATM,11-Mar-2014,50.89,50.89,49.50,50.08,125000
GATM,12-Mar-2014,50.00,50.50,47.80,48.30,223500
GATM,13-Mar-2014,48.10,48.80,47.10,47.65,198500
GATM,14-Mar-2014,47.95,50.03,47.95,50.03,379000
GATM,17-Mar-2014,51.00,52.53,50.80,52.53,180500
GATM,18-Mar-2014,53.50,54.14,51.11,51.66,413000
GATM,19-Mar-2014,51.30,51.80,50.40,51.08,90000
GATM,20-Mar-2014,51.00,51.00,49.00,49.64,170000
