Symbol,Date,Open,High,Low,Close,Volume
GCILB,25-Nov-2022,11.00,11.00,10.00,11.00,2500
GCILB,28-Nov-2022,12.00,12.00,10.50,11.99,63500
GCILB,29-Nov-2022,12.00,12.01,12.00,12.00,128000
GCILB,30-Nov-2022,12.00,12.00,11.51,11.52,50500
GCILB,01-Dec-2022,11.50,11.50,11.50,11.50,13000
GCILB,02-Dec-2022,11.95,12.50,11.95,12.50,21500
GCILB,05-Dec-2022,11.80,13.49,11.80,12.75,81500
GCILB,06-Dec-2022,12.25,12.75,12.25,12.58,48500
GCILB,07-Dec-2022,12.25,12.74,12.25,12.74,30000
GCILB,08-Dec-2022,12.75,13.00,12.50,12.77,16000
GCILB,09-Dec-2022,12.74,13.48,12.05,13.07,14500
GCILB,12-Dec-2022,13.25,13.47,12.75,13.31,22500
GCILB,14-Dec-2022,13.29,13.98,13.29,13.90,45500
GCILB,15-Dec-2022,13.90,13.90,13.90,13.90,1000
GCILB,20-Dec-2022,13.50,13.50,13.50,13.50,155000
GCILB,21-Dec-2022,12.49,12.49,12.49,12.49,500
GCILB,22-Dec-2022,11.60,12.00,11.55,11.55,3000
GCILB,23-Dec-2022,12.29,12.29,10.55,10.81,41000
GCILB,26-Dec-2022,10.50,10.81,9.81,9.98,24500
GCILB,27-Dec-2022,10.19,10.19,8.98,8.98,28500
GCILB,28-Dec-2022,8.50,9.30,7.98,8.15,8000
GCILB,29-Dec-2022,8.50,8.50,7.21,7.54,11500
GCILB,30-Dec-2022,7.54,7.54,6.54,6.81,19500
GCILB,02-Jan-2023,7.15,7.35,7.00,7.35,6500
GCILB,05-Jan-2023,7.35,7.35,7.00,7.00,3500
GCILB,06-Jan-2023,7.00,7.00,7.00,7.00,500
GCILB,09-Jan-2023,7.00,7.00,7.00,7.00,2000
GCILB,12-Jan-2023,7.00,7.00,6.85,6.99,2500
GCILB,13-Jan-2023,6.99,6.99,6.99,6.99,500
GCILB,16-Jan-2023,6.90,7.25,6.90,7.25,50500
GCILB,17-Jan-2023,7.43,7.43,6.61,7.40,6000
GCILB,18-Jan-2023,7.21,7.40,7.21,7.21,8000
GCILB,20-Jan-2023,6.71,7.34,6.21,6.68,5054500
GCILB,23-Jan-2023,6.05,6.49,5.71,6.00,5648000
GCILB,24-Jan-2023,5.85,6.31,5.20,5.95,4005000
GCILB,25-Jan-2023,6.29,6.29,6.01,6.19,10000
GCILB,26-Jan-2023,5.75,6.19,5.33,5.93,23000
GCILB,27-Jan-2023,5.63,5.98,5.61,5.98,8500
GCILB,30-Jan-2023,5.65,5.75,5.36,5.54,37500
GCILB,31-Jan-2023,5.50,5.85,5.50,5.82,3000
GCILB,01-Feb-2023,5.82,5.88,5.82,5.88,2500
GCILB,02-Feb-2023,5.88,5.90,5.88,5.90,3500
GCILB,03-Feb-2023,5.62,5.96,5.61,5.96,8500
GCILB,06-Feb-2023,5.92,5.99,5.92,5.97,5000
GCILB,07-Feb-2023,6.00,6.00,5.80,5.87,9500
GCILB,08-Feb-2023,5.96,6.74,5.87,6.64,103000
GCILB,09-Feb-2023,6.75,6.75,6.32,6.54,10500
GCILB,10-Feb-2023,6.01,6.55,5.61,5.83,8000
GCILB,13-Feb-2023,5.60,6.40,5.60,6.40,6000
GCILB,14-Feb-2023,5.80,6.39,5.80,6.39,1000
GCILB,20-Feb-2023,6.39,6.39,6.39,6.39,1500
GCILB,28-Feb-2023,6.00,6.00,6.00,6.00,2000
GCILB,01-Mar-2023,6.00,6.00,6.00,6.00,500
GCILB,02-Mar-2023,6.00,6.00,6.00,6.00,500
GCILB,06-Mar-2023,6.23,6.23,5.70,6.20,5000
GCILB,08-Mar-2023,6.10,6.50,6.10,6.50,3500
GCILB,09-Mar-2023,6.50,7.24,5.81,6.94,8500
GCILB,10-Mar-2023,6.70,7.94,6.70,7.80,9000
GCILB,13-Mar-2023,8.69,8.69,7.80,8.69,168500
GCILB,14-Mar-2023,8.70,8.70,8.70,8.70,1000
GCILB,16-Mar-2023,8.50,9.25,8.50,8.72,13500
GCILB,20-Mar-2023,8.50,8.50,8.50,8.50,500
GCILB,21-Mar-2023,8.50,8.50,8.50,8.50,500
GCILB,31-Mar-2023,8.50,8.50,8.50,8.50,500
GCILB,11-Apr-2023,8.50,8.50,8.50,8.50,500
GCILB,12-Apr-2023,7.75,7.75,7.75,7.75,500
GCILB,13-Apr-2023,8.75,8.75,8.75,8.75,1500
GCILB,17-Apr-2023,9.74,9.75,9.74,9.75,21500
GCILB,19-Apr-2023,9.50,9.50,9.50,9.50,9000
GCILB,20-Apr-2023,9.50,9.50,9.50,9.50,6000
GCILB,27-Apr-2023,9.50,9.50,9.50,9.50,1000
GCILB,28-Apr-2023,9.50,9.50,9.49,9.50,25000
GCILB,02-May-2023,9.50,9.75,9.50,9.75,8000
GCILB,03-May-2023,9.75,9.76,9.75,9.76,3500
GCILB,04-May-2023,9.75,9.75,9.75,9.75,10000
GCILB,08-May-2023,9.52,9.52,9.30,9.30,13500
