Symbol,Date,Open,High,Low,Close,Volume
GEMBLUEX,25-Jan-2024,18.50,18.50,18.50,18.50,367000
GEMBLUEX,29-Jan-2024,17.25,17.26,17.25,17.26,1500
GEMBLUEX,09-Feb-2024,17.00,17.00,17.00,17.00,1000
GEMBLUEX,14-Feb-2024,17.01,17.01,17.00,17.00,2000
GEMBLUEX,19-Feb-2024,15.79,18.35,15.79,18.35,1500
GEMBLUEX,20-Feb-2024,19.73,19.73,19.73,19.73,500
GEMBLUEX,27-Feb-2024,18.26,18.26,18.26,18.26,500
GEMBLUEX,06-Mar-2024,18.00,18.00,18.00,18.00,1000
GEMBLUEX,14-Mar-2024,17.10,17.10,17.10,17.10,500
GEMBLUEX,22-Mar-2024,18.35,18.35,18.35,18.35,500
GEMBLUEX,17-Apr-2024,17.00,17.00,17.00,17.00,500
GEMBLUEX,18-Apr-2024,17.10,17.10,17.10,17.10,500
GEMBLUEX,19-Apr-2024,17.25,17.25,17.25,17.25,500
GEMBLUEX,22-Apr-2024,18.25,18.25,17.00,17.25,19500
GEMBLUEX,29-Apr-2024,17.00,18.54,17.00,18.54,2000
GEMBLUEX,30-Apr-2024,19.90,19.93,17.15,19.93,7000
GEMBLUEX,02-May-2024,21.40,21.42,21.40,21.42,2500
GEMBLUEX,03-May-2024,23.00,23.03,23.00,23.03,9500
GEMBLUEX,06-May-2024,24.75,24.76,24.75,24.76,4500
GEMBLUEX,07-May-2024,26.62,26.62,26.62,26.62,10500
GEMBLUEX,08-May-2024,28.60,28.62,28.60,28.62,10500
GEMBLUEX,09-May-2024,30.77,30.77,30.77,30.77,6500
GEMBLUEX,10-May-2024,33.08,33.08,33.08,33.08,5500
GEMBLUEX,13-May-2024,33.08,35.56,30.60,34.89,4000
GEMBLUEX,30-May-2024,28.62,28.62,24.38,24.38,2
GEMBLUEX,31-May-2024,22.43,22.45,22.43,22.45,500
GEMBLUEX,06-Jun-2024,21.00,23.99,21.00,22.47,4133
GEMBLUEX,10-Jun-2024,24.11,24.11,24.11,22.47,1
GEMBLUEX,12-Jun-2024,21.41,21.41,21.40,21.40,21524
GEMBLUEX,24-Jun-2024,19.50,19.50,19.50,19.50,1000
GEMBLUEX,26-Jun-2024,18.00,18.10,18.00,18.02,596
GEMBLUEX,28-Jun-2024,16.50,16.50,16.50,16.50,500
GEMBLUEX,04-Jul-2024,17.50,17.99,17.50,16.50,24
GEMBLUEX,05-Jul-2024,17.99,17.99,17.99,17.99,4000
GEMBLUEX,08-Jul-2024,19.70,19.70,19.70,19.70,1
GEMBLUEX,09-Jul-2024,21.57,21.57,21.57,21.57,183
GEMBLUEX,10-Jul-2024,23.62,23.62,23.62,23.62,1
GEMBLUEX,11-Jul-2024,25.86,25.86,25.86,25.86,1501
GEMBLUEX,12-Jul-2024,28.32,28.32,28.32,28.32,501
GEMBLUEX,15-Jul-2024,31.01,31.01,31.01,31.01,4824
GEMBLUEX,18-Jul-2024,33.96,33.96,33.96,33.96,23852
GEMBLUEX,19-Jul-2024,37.19,37.19,37.19,37.19,1202
GEMBLUEX,22-Jul-2024,40.91,40.91,40.91,40.91,2310
GEMBLUEX,23-Jul-2024,45.00,45.00,45.00,45.00,5201
GEMBLUEX,24-Jul-2024,49.50,49.50,40.50,49.50,39849
GEMBLUEX,25-Jul-2024,50.90,54.45,50.90,54.45,12380
GEMBLUEX,26-Jul-2024,52.00,53.00,50.00,52.60,2500
GEMBLUEX,29-Jul-2024,52.50,53.00,50.00,53.00,5527
GEMBLUEX,30-Jul-2024,52.00,52.00,51.00,51.00,2000
GEMBLUEX,31-Jul-2024,55.00,56.10,55.00,56.10,4395
GEMBLUEX,01-Aug-2024,60.00,61.71,60.00,61.71,3601
GEMBLUEX,02-Aug-2024,67.88,67.88,67.00,67.88,19996
GEMBLUEX,05-Aug-2024,72.85,72.85,72.85,67.88,14
GEMBLUEX,06-Aug-2024,68.50,68.50,68.50,67.88,1
GEMBLUEX,07-Aug-2024,69.00,69.00,69.00,67.88,1
GEMBLUEX,09-Aug-2024,67.00,67.00,67.00,67.88,3
GEMBLUEX,15-Aug-2024,62.00,62.00,61.11,67.88,101
GEMBLUEX,19-Aug-2024,60.50,61.00,60.50,60.50,15100
GEMBLUEX,21-Aug-2024,66.53,66.53,54.45,54.78,1030
GEMBLUEX,22-Aug-2024,59.00,60.25,59.00,59.85,2501
GEMBLUEX,23-Aug-2024,53.87,64.99,53.87,61.82,9384
GEMBLUEX,28-Aug-2024,67.00,67.00,60.00,62.50,3110
GEMBLUEX,29-Aug-2024,56.25,68.75,56.25,61.66,2400
GEMBLUEX,30-Aug-2024,62.00,62.00,55.49,61.66,105
GEMBLUEX,02-Sep-2024,55.49,55.49,55.49,61.66,40
GEMBLUEX,03-Sep-2024,55.49,55.49,55.49,61.66,10
GEMBLUEX,05-Sep-2024,62.50,62.50,62.50,62.50,500
GEMBLUEX,09-Sep-2024,64.90,64.90,56.25,62.50,51
GEMBLUEX,11-Sep-2024,63.00,63.00,63.00,62.50,10
GEMBLUEX,16-Sep-2024,56.25,56.25,56.25,62.50,50
GEMBLUEX,18-Sep-2024,66.89,66.89,66.89,62.50,1
GEMBLUEX,25-Sep-2024,56.25,64.90,56.25,63.39,8505
GEMBLUEX,26-Sep-2024,57.05,57.05,57.05,63.39,104
GEMBLUEX,30-Sep-2024,57.05,57.05,57.05,63.39,50
GEMBLUEX,15-Oct-2024,57.04,57.04,57.04,63.38,104
GEMBLUEX,17-Oct-2024,57.04,63.20,57.04,63.20,10005
GEMBLUEX,23-Oct-2024,48.81,59.65,48.81,55.67,68204
GEMBLUEX,24-Oct-2024,50.10,50.10,50.10,55.67,200
GEMBLUEX,28-Oct-2024,50.10,50.10,50.10,55.67,100
