Symbol,Date,Open,High,Low,Close,Volume
GEMMEL,13-Jun-2024,22.90,23.40,20.00,21.26,14896
GEMMEL,14-Jun-2024,21.10,23.07,19.45,20.00,8221
GEMMEL,20-Jun-2024,21.70,21.70,19.12,21.70,8653
GEMMEL,24-Jun-2024,19.75,23.65,19.75,19.75,1910
GEMMEL,25-Jun-2024,20.00,20.00,20.00,20.00,15500
GEMMEL,26-Jun-2024,20.00,21.50,20.00,20.94,10805
GEMMEL,27-Jun-2024,21.80,21.80,20.11,20.94,197
GEMMEL,28-Jun-2024,22.82,22.82,22.09,22.09,6250
GEMMEL,02-Jul-2024,23.10,23.10,23.10,22.09,400
GEMMEL,03-Jul-2024,23.10,23.10,22.95,22.95,3310
GEMMEL,05-Jul-2024,20.88,23.50,20.88,22.95,101
GEMMEL,09-Jul-2024,22.00,23.50,22.00,22.02,905
GEMMEL,10-Jul-2024,23.50,23.50,22.89,22.98,1800
GEMMEL,11-Jul-2024,20.80,23.00,20.80,22.73,3501
GEMMEL,12-Jul-2024,24.61,24.61,24.61,22.73,2
GEMMEL,19-Jul-2024,20.57,20.57,20.57,22.73,1
GEMMEL,23-Jul-2024,20.50,20.50,20.50,20.50,1500
GEMMEL,24-Jul-2024,18.46,22.55,18.46,19.72,1080
GEMMEL,30-Jul-2024,21.65,21.65,21.65,21.65,500
GEMMEL,02-Aug-2024,21.50,21.50,21.50,21.65,14
GEMMEL,09-Aug-2024,19.50,19.50,19.50,19.50,11200
GEMMEL,16-Aug-2024,17.55,21.35,17.55,19.50,223
GEMMEL,19-Aug-2024,19.50,19.50,19.50,19.50,500
GEMMEL,20-Aug-2024,20.95,20.95,20.95,19.50,5
GEMMEL,21-Aug-2024,20.00,20.00,19.00,19.07,5086
GEMMEL,22-Aug-2024,19.00,19.00,19.00,19.07,109
GEMMEL,23-Aug-2024,19.00,19.01,19.00,19.00,4030
GEMMEL,27-Aug-2024,19.00,19.00,19.00,19.00,4000
GEMMEL,28-Aug-2024,19.00,19.00,19.00,19.00,10
GEMMEL,29-Aug-2024,19.00,19.00,18.00,18.11,17242
GEMMEL,02-Sep-2024,19.50,19.50,19.50,18.11,16
GEMMEL,03-Sep-2024,19.50,19.50,17.50,18.11,229
GEMMEL,06-Sep-2024,16.60,19.50,16.60,19.50,11583
GEMMEL,10-Sep-2024,20.00,20.00,20.00,19.50,50
GEMMEL,12-Sep-2024,19.90,19.90,18.10,19.50,195
GEMMEL,13-Sep-2024,19.50,19.70,19.50,19.70,10450
GEMMEL,16-Sep-2024,19.90,19.90,19.90,19.70,1
GEMMEL,18-Sep-2024,19.95,19.95,19.95,19.70,1
GEMMEL,19-Sep-2024,21.66,21.66,20.01,19.70,121
GEMMEL,20-Sep-2024,20.50,20.50,19.65,19.70,493
GEMMEL,24-Sep-2024,18.00,18.00,18.00,19.70,1
GEMMEL,25-Sep-2024,19.10,21.66,19.10,19.70,502
GEMMEL,26-Sep-2024,21.67,21.67,21.67,19.70,2
GEMMEL,27-Sep-2024,21.67,21.67,21.67,19.70,1
GEMMEL,30-Sep-2024,21.67,21.67,21.00,19.70,11
GEMMEL,03-Oct-2024,20.50,20.50,20.50,19.70,12
GEMMEL,07-Oct-2024,20.01,20.01,20.00,19.70,31
GEMMEL,09-Oct-2024,19.51,20.10,19.50,20.10,2014
GEMMEL,11-Oct-2024,19.50,19.50,19.50,20.10,101
GEMMEL,17-Oct-2024,19.50,19.50,19.50,20.10,10
GEMMEL,30-Oct-2024,22.11,22.11,19.01,21.80,1501
GEMMEL,31-Oct-2024,19.71,19.71,19.71,21.80,5
