Symbol,Date,Open,High,Low,Close,Volume
GEMSPNL,28-Apr-2022,22.50,22.65,21.01,21.10,1593000
GEMSPNL,06-May-2022,21.79,22.39,19.52,19.52,183000
GEMSPNL,09-May-2022,20.85,20.85,18.06,18.06,210000
GEMSPNL,10-May-2022,19.40,19.40,16.81,17.15,98000
GEMSPNL,11-May-2022,18.40,18.40,16.50,17.45,41500
GEMSPNL,12-May-2022,18.39,18.75,18.00,18.50,103000
GEMSPNL,13-May-2022,19.00,19.00,18.95,18.95,41000
GEMSPNL,16-May-2022,19.45,19.49,19.45,19.45,36000
GEMSPNL,17-May-2022,20.50,20.50,19.80,19.87,87000
GEMSPNL,18-May-2022,19.84,20.45,19.84,20.39,96500
GEMSPNL,19-May-2022,19.95,19.95,19.95,19.95,68000
GEMSPNL,20-May-2022,21.35,21.35,19.95,19.95,60000
GEMSPNL,23-May-2022,18.55,18.95,18.55,18.95,45500
GEMSPNL,24-May-2022,20.20,20.20,20.20,20.20,32000
GEMSPNL,25-May-2022,18.70,18.70,18.70,18.70,5000
GEMSPNL,26-May-2022,18.00,18.00,18.00,18.00,1000
GEMSPNL,27-May-2022,17.25,17.25,16.65,16.70,56000
GEMSPNL,30-May-2022,16.50,17.95,15.70,17.76,110000
GEMSPNL,31-May-2022,17.95,18.00,17.95,17.95,100000
GEMSPNL,01-Jun-2022,17.45,17.50,17.45,17.45,50000
GEMSPNL,02-Jun-2022,17.40,17.40,17.40,17.40,50000
GEMSPNL,03-Jun-2022,16.95,17.00,16.95,16.95,30000
GEMSPNL,06-Jun-2022,16.50,16.50,16.50,16.50,40500
GEMSPNL,07-Jun-2022,17.70,17.70,17.70,17.70,50000
GEMSPNL,08-Jun-2022,18.75,18.75,16.50,16.50,1000
GEMSPNL,10-Jun-2022,17.70,17.70,17.70,17.70,20000
GEMSPNL,13-Jun-2022,16.50,16.50,16.38,16.38,1000
GEMSPNL,14-Jun-2022,15.50,15.50,15.50,15.50,53000
GEMSPNL,15-Jun-2022,14.61,16.50,14.55,16.50,22500
GEMSPNL,17-Jun-2022,16.20,17.50,16.20,17.47,25000
GEMSPNL,21-Jun-2022,17.50,18.78,17.50,18.52,50000
GEMSPNL,22-Jun-2022,19.45,19.90,19.45,19.89,50000
GEMSPNL,27-Jun-2022,20.45,20.95,20.45,20.95,2000
GEMSPNL,29-Jun-2022,19.31,19.31,19.31,19.31,500
GEMSPNL,04-Jul-2022,20.74,20.74,20.74,20.74,500
GEMSPNL,13-Jul-2022,19.19,19.19,19.19,19.19,5000
GEMSPNL,15-Jul-2022,17.76,17.76,17.76,17.76,1000
GEMSPNL,18-Jul-2022,16.43,16.43,16.43,16.43,5000
GEMSPNL,19-Jul-2022,16.43,16.43,16.43,16.43,10000
GEMSPNL,21-Jul-2022,15.20,15.20,15.20,15.20,2500
GEMSPNL,22-Jul-2022,14.20,16.30,14.06,14.55,18500
GEMSPNL,26-Jul-2022,13.56,14.25,13.56,14.09,25500
GEMSPNL,27-Jul-2022,13.25,13.25,13.04,13.04,1000
GEMSPNL,28-Jul-2022,14.04,14.04,12.65,12.65,3500
GEMSPNL,29-Jul-2022,12.01,13.60,12.01,13.60,10000
GEMSPNL,01-Aug-2022,13.00,13.60,12.58,12.58,95000
GEMSPNL,02-Aug-2022,13.55,13.55,13.55,13.55,500
GEMSPNL,03-Aug-2022,13.00,14.00,13.00,13.59,79000
GEMSPNL,04-Aug-2022,13.00,13.00,13.00,13.00,26000
GEMSPNL,05-Aug-2022,13.00,13.90,13.00,13.23,100500
GEMSPNL,10-Aug-2022,14.20,14.20,14.20,14.20,500
GEMSPNL,11-Aug-2022,13.50,13.50,13.15,13.15,19000
GEMSPNL,12-Aug-2022,13.00,13.50,13.00,13.25,11000
GEMSPNL,15-Aug-2022,13.00,14.25,13.00,14.08,529000
GEMSPNL,16-Aug-2022,13.26,14.50,13.26,14.27,19000
GEMSPNL,17-Aug-2022,13.31,14.75,13.22,13.64,9500
GEMSPNL,18-Aug-2022,13.10,13.10,13.10,13.10,10000
GEMSPNL,23-Aug-2022,14.10,14.10,14.10,14.10,7500
GEMSPNL,24-Aug-2022,14.15,15.15,14.00,14.25,50500
GEMSPNL,25-Aug-2022,15.15,15.31,14.75,15.22,100500
GEMSPNL,26-Aug-2022,15.21,16.36,14.08,16.06,130000
GEMSPNL,29-Aug-2022,15.00,17.26,15.00,17.19,208500
