Symbol,Date,Open,High,Low,Close,Volume
GEMUNSL,06-Dec-2021,64.99,66.99,60.13,65.09,1310500
GEMUNSL,07-Dec-2021,62.00,62.00,60.40,60.43,4500
GEMUNSL,08-Dec-2021,63.45,63.45,57.00,57.00,3500
GEMUNSL,09-Dec-2021,60.00,61.27,56.50,59.68,10500
GEMUNSL,10-Dec-2021,59.68,64.00,59.68,64.00,1500
GEMUNSL,13-Dec-2021,65.49,65.49,59.20,60.62,19000
GEMUNSL,14-Dec-2021,63.99,63.99,56.16,56.16,1000
GEMUNSL,15-Dec-2021,60.37,60.37,51.95,60.17,16500
GEMUNSL,16-Dec-2021,62.00,62.00,56.17,59.79,5500
GEMUNSL,17-Dec-2021,62.00,62.00,56.00,61.00,1500
GEMUNSL,20-Dec-2021,58.00,61.50,56.43,60.70,4000
GEMUNSL,22-Dec-2021,56.50,61.00,56.50,60.23,4000
GEMUNSL,23-Dec-2021,56.61,60.50,56.60,59.61,6000
GEMUNSL,24-Dec-2021,57.00,61.00,56.00,60.37,8000
GEMUNSL,27-Dec-2021,60.00,60.00,60.00,60.00,1000
GEMUNSL,28-Dec-2021,57.00,61.00,57.00,60.20,5500
GEMUNSL,29-Dec-2021,58.00,60.90,57.00,60.18,13000
GEMUNSL,30-Dec-2021,57.00,59.99,57.00,57.45,16000
GEMUNSL,31-Dec-2021,57.00,60.50,57.00,60.00,8000
GEMUNSL,03-Jan-2022,64.50,64.50,58.60,60.63,3500
GEMUNSL,04-Jan-2022,57.05,60.50,57.05,60.50,1500
GEMUNSL,05-Jan-2022,57.50,61.00,57.00,60.05,7500
GEMUNSL,06-Jan-2022,57.26,60.00,57.26,60.00,2000
GEMUNSL,07-Jan-2022,57.26,60.45,57.26,59.13,6500
GEMUNSL,10-Jan-2022,59.00,61.00,56.21,59.83,10000
GEMUNSL,12-Jan-2022,60.00,61.00,57.50,58.25,5500
GEMUNSL,13-Jan-2022,54.50,61.00,54.50,59.75,8500
GEMUNSL,14-Jan-2022,58.00,60.50,58.00,60.09,6000
GEMUNSL,17-Jan-2022,57.02,60.09,57.02,58.70,9000
GEMUNSL,18-Jan-2022,58.50,59.95,58.50,59.44,6000
GEMUNSL,19-Jan-2022,58.50,59.93,58.50,59.85,5000
GEMUNSL,20-Jan-2022,59.00,60.91,59.00,60.25,4500
