Symbol,Date,Open,High,Low,Close,Volume
GGGL,27-May-2015,15.00,15.00,15.00,15.00,230000
GGGL,29-May-2015,16.99,16.99,16.99,16.99,500
GGGL,02-Jun-2015,18.97,18.97,17.55,18.97,2621000
GGGL,03-Jun-2015,19.35,19.97,19.08,19.97,1997500
GGGL,04-Jun-2015,20.97,20.97,20.85,20.97,459000
GGGL,05-Jun-2015,22.01,22.01,19.93,19.93,2691000
GGGL,08-Jun-2015,18.93,20.49,18.93,20.23,1492500
GGGL,09-Jun-2015,20.08,20.19,19.22,19.33,538500
GGGL,10-Jun-2015,19.35,19.60,18.51,18.82,365000
GGGL,11-Jun-2015,18.95,19.68,18.81,19.25,630000
GGGL,12-Jun-2015,19.30,19.54,18.85,19.23,301000
GGGL,15-Jun-2015,19.26,19.40,18.50,18.65,244000
GGGL,16-Jun-2015,18.52,18.90,18.50,18.64,103500
GGGL,17-Jun-2015,18.55,19.64,18.50,19.64,530000
GGGL,18-Jun-2015,20.34,20.64,19.99,20.04,1720500
GGGL,19-Jun-2015,20.00,20.15,19.60,19.72,224500
GGGL,22-Jun-2015,19.35,19.36,19.02,19.12,89000
GGGL,23-Jun-2015,19.09,19.30,18.81,18.93,68000
GGGL,24-Jun-2015,19.29,19.40,18.91,19.11,953500
GGGL,25-Jun-2015,18.95,19.39,18.30,18.45,498500
GGGL,26-Jun-2015,18.64,18.74,18.11,18.29,216500
GGGL,29-Jun-2015,18.11,18.99,18.00,18.82,430000
GGGL,30-Jun-2015,18.70,19.18,18.50,18.74,76000
GGGL,01-Jul-2015,18.99,19.74,18.87,19.53,921500
GGGL,02-Jul-2015,19.25,20.10,19.25,19.60,832500
GGGL,03-Jul-2015,19.51,19.52,19.20,19.30,142500
GGGL,06-Jul-2015,19.16,19.30,18.55,18.86,418500
GGGL,07-Jul-2015,19.00,19.75,18.70,19.62,901000
GGGL,08-Jul-2015,20.40,20.62,19.90,20.22,1606500
GGGL,09-Jul-2015,20.40,21.23,19.90,21.23,1918500
GGGL,10-Jul-2015,21.75,22.29,20.80,21.10,1705000
GGGL,13-Jul-2015,21.25,21.25,20.05,20.21,724500
GGGL,14-Jul-2015,20.49,20.49,19.40,19.62,482000
GGGL,15-Jul-2015,19.50,20.20,19.40,19.75,631000
GGGL,16-Jul-2015,19.75,19.95,19.41,19.65,446000
GGGL,22-Jul-2015,19.90,20.19,19.50,19.93,624000
GGGL,23-Jul-2015,19.65,19.94,19.55,19.63,233000
GGGL,24-Jul-2015,19.85,19.85,19.10,19.28,332000
GGGL,27-Jul-2015,19.06,19.30,18.28,18.28,779000
GGGL,28-Jul-2015,18.21,18.75,17.76,18.44,250000
GGGL,29-Jul-2015,18.70,18.88,18.26,18.45,178000
GGGL,30-Jul-2015,18.74,18.94,18.20,18.34,380500
GGGL,31-Jul-2015,18.35,18.49,18.15,18.19,45000
GGGL,03-Aug-2015,18.20,18.40,18.17,18.27,48500
GGGL,04-Aug-2015,18.49,18.75,18.40,18.49,183500
GGGL,05-Aug-2015,18.70,18.70,18.26,18.32,72500
GGGL,06-Aug-2015,18.39,18.78,18.27,18.59,281000
GGGL,07-Aug-2015,18.70,18.75,18.40,18.45,124500
GGGL,10-Aug-2015,18.50,19.45,18.30,19.45,1173500
GGGL,11-Aug-2015,19.61,20.40,19.36,20.20,1257500
GGGL,12-Aug-2015,20.10,21.21,20.10,21.21,2678000
GGGL,13-Aug-2015,22.27,22.27,22.27,22.27,282500
GGGL,17-Aug-2015,23.38,23.38,22.38,23.38,9388500
GGGL,18-Aug-2015,24.54,24.54,22.22,22.22,11884500
GGGL,19-Aug-2015,22.00,22.20,21.11,21.15,3954500
GGGL,20-Aug-2015,21.15,21.35,20.10,20.14,1557000
GGGL,21-Aug-2015,19.86,19.91,19.14,19.14,1575500
GGGL,24-Aug-2015,18.49,18.49,18.14,18.14,321000
GGGL,25-Aug-2015,17.52,18.99,17.14,18.86,2850500
GGGL,26-Aug-2015,18.50,18.89,17.86,18.03,1190500
GGGL,27-Aug-2015,18.20,18.65,18.15,18.46,483500
GGGL,28-Aug-2015,18.65,19.20,18.32,18.93,996500
GGGL,31-Aug-2015,18.76,19.93,18.71,19.93,1481500
GGGL,01-Sep-2015,20.45,20.49,19.26,19.51,1566500
GGGL,02-Sep-2015,19.65,20.51,19.00,20.51,1928000
GGGL,03-Sep-2015,21.00,21.29,20.55,20.79,1926000
GGGL,04-Sep-2015,20.99,21.01,19.90,20.06,962000
GGGL,07-Sep-2015,20.00,20.00,19.06,19.07,463000
GGGL,08-Sep-2015,19.25,19.50,18.07,19.07,897500
GGGL,09-Sep-2015,19.01,19.44,18.76,18.98,370500
GGGL,10-Sep-2015,18.95,19.97,18.66,19.71,602000
GGGL,11-Sep-2015,19.75,20.50,19.25,19.49,1002000
GGGL,14-Sep-2015,19.88,19.88,18.66,18.89,245500
GGGL,15-Sep-2015,18.32,18.99,18.20,18.60,248500
GGGL,16-Sep-2015,18.88,19.00,18.66,18.84,50000
GGGL,17-Sep-2015,18.65,19.30,18.50,18.61,161500
GGGL,18-Sep-2015,18.65,18.74,18.21,18.26,163500
GGGL,21-Sep-2015,18.25,18.25,18.00,18.13,121500
GGGL,22-Sep-2015,18.16,18.50,18.16,18.20,232500
GGGL,23-Sep-2015,18.16,18.30,17.95,18.01,182000
GGGL,28-Sep-2015,18.17,18.17,17.11,17.25,191000
GGGL,29-Sep-2015,16.76,17.00,16.55,16.70,164000
GGGL,30-Sep-2015,17.11,17.40,16.50,16.98,432000
GGGL,01-Oct-2015,17.28,17.30,16.80,17.22,200000
GGGL,02-Oct-2015,17.20,17.55,17.17,17.42,155000
