Symbol,Date,Open,High,Low,Close,Volume
GHNI,01-Jan-2014,18.21,18.62,17.70,18.46,137500
GHNI,02-Jan-2014,18.47,18.90,18.00,18.67,68000
GHNI,03-Jan-2014,19.10,19.10,18.22,18.46,17500
GHNI,06-Jan-2014,18.45,19.38,18.30,19.23,44000
GHNI,07-Jan-2014,19.37,19.49,18.60,19.11,59000
GHNI,08-Jan-2014,19.98,20.00,19.20,19.31,165000
GHNI,09-Jan-2014,19.50,19.90,18.88,18.99,35500
GHNI,10-Jan-2014,19.69,19.69,18.80,19.24,7500
GHNI,13-Jan-2014,19.20,19.20,18.67,18.75,21000
GHNI,15-Jan-2014,18.50,19.00,18.50,18.70,24000
GHNI,16-Jan-2014,19.00,19.00,18.40,18.63,9000
GHNI,17-Jan-2014,19.29,19.29,17.71,18.00,30500
GHNI,20-Jan-2014,17.90,19.00,17.90,19.00,84500
GHNI,21-Jan-2014,19.89,20.00,19.40,20.00,175500
GHNI,22-Jan-2014,20.70,20.75,20.05,20.36,237500
GHNI,23-Jan-2014,20.11,20.65,19.55,19.76,92000
GHNI,24-Jan-2014,19.50,20.39,19.50,20.00,55000
GHNI,27-Jan-2014,20.49,20.49,19.30,20.24,24000
GHNI,28-Jan-2014,20.00,21.25,19.56,20.92,153500
GHNI,29-Jan-2014,21.93,21.96,21.93,21.96,38000
GHNI,30-Jan-2014,23.05,23.05,23.05,23.05,1500
GHNI,31-Jan-2014,24.20,24.20,24.20,24.20,3000
GHNI,03-Feb-2014,25.41,25.41,25.41,25.41,35000
GHNI,04-Feb-2014,24.95,24.95,24.14,24.14,354500
GHNI,06-Feb-2014,23.50,24.10,22.94,23.96,207000
GHNI,07-Feb-2014,23.56,23.95,22.90,23.01,57000
GHNI,10-Feb-2014,23.50,24.16,21.86,23.71,256000
GHNI,11-Feb-2014,24.40,24.89,24.00,24.89,191000
GHNI,12-Feb-2014,25.70,26.13,25.50,26.13,92500
GHNI,13-Feb-2014,27.43,27.43,26.40,27.07,372500
GHNI,14-Feb-2014,27.90,28.42,26.00,26.63,355500
GHNI,17-Feb-2014,25.41,26.25,25.30,25.30,75500
GHNI,18-Feb-2014,24.50,26.56,24.30,26.40,238500
GHNI,19-Feb-2014,27.00,27.70,25.99,26.04,171000
GHNI,20-Feb-2014,26.10,26.10,25.50,25.70,50000
GHNI,21-Feb-2014,24.65,26.78,24.65,26.44,187500
GHNI,24-Feb-2014,26.02,27.49,26.02,26.50,146500
GHNI,25-Feb-2014,26.50,26.50,26.20,26.21,43000
GHNI,26-Feb-2014,25.51,26.64,25.41,26.50,108500
GHNI,27-Feb-2014,25.18,25.18,25.18,25.18,29000
GHNI,03-Mar-2014,23.00,23.00,23.00,24.21,2500
GHNI,04-Mar-2014,23.00,23.00,23.00,23.00,20500
GHNI,05-Mar-2014,21.87,24.00,21.87,22.62,341000
GHNI,06-Mar-2014,22.00,23.34,21.75,22.04,175000
