Symbol,Date,Open,High,Low,Close,Volume
GOC,01-Jan-2014,45.05,49.05,45.05,49.05,3000
GOC,02-Jan-2014,51.50,51.50,51.50,51.50,500
GOC,03-Jan-2014,54.07,54.07,50.10,50.10,17000
GOC,06-Jan-2014,51.40,52.59,50.25,52.50,9000
GOC,07-Jan-2014,53.50,54.12,53.00,53.00,8500
GOC,08-Jan-2014,54.00,54.00,53.00,53.00,2500
GOC,09-Jan-2014,51.10,51.25,51.10,51.12,2000
GOC,10-Jan-2014,48.75,51.50,48.75,51.50,1500
GOC,15-Jan-2014,52.82,54.07,52.82,54.07,10500
GOC,16-Jan-2014,56.77,56.77,55.00,56.55,26000
GOC,17-Jan-2014,58.50,59.37,58.00,59.37,9500
GOC,20-Jan-2014,59.75,62.00,59.75,60.70,8000
GOC,21-Jan-2014,62.00,62.00,58.25,58.25,3500
GOC,23-Jan-2014,60.00,60.00,58.00,58.00,4000
GOC,27-Jan-2014,55.10,55.35,55.10,55.35,1000
GOC,28-Jan-2014,54.25,58.11,54.00,54.63,36000
GOC,29-Jan-2014,52.90,52.90,52.50,52.50,2000
GOC,30-Jan-2014,50.50,52.45,50.50,51.15,3500
GOC,31-Jan-2014,52.90,53.70,52.90,53.70,13000
GOC,03-Feb-2014,56.35,56.38,56.35,56.38,6000
GOC,04-Feb-2014,59.19,59.19,59.15,59.19,20500
GOC,07-Feb-2014,64.11,64.11,64.11,64.11,2000
GOC,10-Feb-2014,66.00,66.00,60.91,60.91,22500
GOC,11-Feb-2014,58.50,59.00,57.87,57.90,7500
GOC,12-Feb-2014,57.75,59.00,57.75,57.75,6500
GOC,13-Feb-2014,57.50,60.63,57.50,60.63,11000
GOC,14-Feb-2014,60.00,63.65,60.00,61.00,12000
GOC,17-Feb-2014,61.50,61.50,58.00,58.00,4000
GOC,18-Feb-2014,55.11,55.35,55.10,55.11,3000
GOC,19-Feb-2014,52.55,52.55,52.36,52.39,4000
GOC,20-Feb-2014,50.00,50.10,50.00,50.10,1500
GOC,24-Feb-2014,52.49,52.50,52.30,52.50,3000
GOC,25-Feb-2014,53.00,53.00,49.88,49.92,6500
GOC,26-Feb-2014,48.30,48.45,47.43,48.08,4000
GOC,27-Feb-2014,47.50,47.50,47.25,47.25,2500
GOC,03-Mar-2014,48.11,48.11,48.11,48.11,500
GOC,04-Mar-2014,47.50,47.50,47.26,47.50,1000
GOC,05-Mar-2014,49.00,49.87,49.00,49.62,5500
GOC,06-Mar-2014,50.69,52.10,50.02,51.00,13000
GOC,10-Mar-2014,48.81,48.81,48.81,48.81,500
GOC,11-Mar-2014,51.00,51.25,51.00,51.25,3000
GOC,12-Mar-2014,53.81,53.81,53.81,53.81,1000
GOC,13-Mar-2014,56.50,56.50,54.75,56.45,8000
GOC,14-Mar-2014,54.00,56.50,53.75,56.50,2000
GOC,18-Mar-2014,57.50,57.50,55.01,55.88,2000
GOC,19-Mar-2014,54.01,54.01,54.00,54.00,1000
GOC,20-Mar-2014,54.90,56.70,53.26,54.50,18000
GOC,24-Mar-2014,53.10,53.10,51.78,51.78,5000
GOC,25-Mar-2014,52.01,52.01,52.00,52.00,1000
GOC,26-Mar-2014,52.50,52.50,52.00,52.00,2500
GOC,27-Mar-2014,54.59,54.60,53.00,53.00,4000
GOC,31-Mar-2014,54.70,54.70,54.70,54.70,500
GOC,03-Apr-2014,54.70,54.70,54.70,54.70,1000
GOC,04-Apr-2014,54.25,54.25,54.25,54.25,1000
GOC,07-Apr-2014,52.00,52.00,52.00,52.00,1000
GOC,11-Apr-2014,50.00,50.00,49.50,49.50,2000
GOC,14-Apr-2014,49.32,49.32,48.00,48.13,8500
GOC,15-Apr-2014,47.85,49.89,47.71,49.89,2000
GOC,16-Apr-2014,49.65,50.00,49.65,50.00,3500
GOC,17-Apr-2014,51.45,52.50,51.45,52.00,8000
GOC,18-Apr-2014,54.00,54.60,52.00,52.00,9000
GOC,23-Apr-2014,50.60,50.60,49.41,49.47,7000
GOC,25-Apr-2014,49.00,49.00,49.00,49.00,1000
GOC,28-Apr-2014,50.00,50.10,49.80,49.80,4000
GOC,05-May-2014,49.25,49.25,49.25,49.25,500
GOC,06-May-2014,49.35,49.35,49.28,49.28,2000
GOC,09-May-2014,48.00,48.00,48.00,48.00,2000
GOC,14-May-2014,48.05,48.05,48.00,48.00,1000
GOC,20-May-2014,48.25,48.25,48.25,48.25,3000
GOC,21-May-2014,48.25,48.25,48.25,48.25,1000
GOC,26-May-2014,48.50,50.66,48.50,50.66,2500
GOC,27-May-2014,50.50,52.45,50.50,51.00,2000
GOC,28-May-2014,49.50,49.50,49.50,49.50,500
GOC,03-Jun-2014,51.11,51.95,51.11,51.95,2500
GOC,06-Jun-2014,54.50,54.54,54.50,54.54,2000
GOC,09-Jun-2014,56.50,57.26,56.50,57.26,3500
GOC,10-Jun-2014,59.90,60.12,59.00,60.12,8500
GOC,11-Jun-2014,63.12,63.12,63.12,63.12,500
GOC,16-Jun-2014,73.04,73.04,66.10,72.90,67500
GOC,17-Jun-2014,75.00,76.54,72.00,74.93,15500
GOC,18-Jun-2014,76.00,76.75,73.25,73.25,17500
GOC,19-Jun-2014,72.01,75.00,70.00,72.50,11500
GOC,23-Jun-2014,72.00,74.00,72.00,74.00,1000
GOC,24-Jun-2014,70.30,73.50,70.30,72.08,4500
GOC,25-Jun-2014,72.10,75.68,68.48,75.68,90000
GOC,26-Jun-2014,76.00,79.46,72.30,79.46,132500
GOC,27-Jun-2014,83.43,83.43,75.49,75.49,67000
GOC,30-Jun-2014,71.72,78.00,71.72,71.72,20000
GOC,01-Jul-2014,68.30,72.99,68.14,71.95,25500
GOC,03-Jul-2014,68.70,70.50,68.36,68.36,6000
GOC,04-Jul-2014,70.00,71.00,70.00,71.00,2500
GOC,07-Jul-2014,67.45,67.45,67.45,67.45,500
GOC,08-Jul-2014,67.80,69.00,64.08,68.97,33000
GOC,16-Jul-2014,68.90,68.90,65.61,65.61,3000
GOC,17-Jul-2014,67.00,68.85,67.00,68.00,2000
GOC,18-Jul-2014,68.90,70.00,65.00,66.03,4000
