Symbol,Date,Open,High,Low,Close,Volume
GRR,28-Dec-2022,10.59,11.39,10.00,10.80,1534500
GRR,29-Dec-2022,11.00,11.23,10.81,10.87,327000
GRR,30-Dec-2022,10.85,11.50,10.52,10.74,46500
GRR,02-Jan-2023,9.80,10.51,9.80,10.30,41000
GRR,03-Jan-2023,10.00,10.72,10.00,10.50,39500
GRR,04-Jan-2023,10.24,10.70,10.24,10.58,18500
GRR,05-Jan-2023,10.50,10.60,10.36,10.39,16500
GRR,06-Jan-2023,10.36,10.60,10.36,10.50,113500
GRR,09-Jan-2023,10.30,10.50,10.20,10.50,334000
GRR,10-Jan-2023,10.50,10.58,10.50,10.52,126500
GRR,11-Jan-2023,10.55,10.60,10.55,10.55,10500
GRR,12-Jan-2023,10.75,10.75,10.55,10.60,2911500
GRR,13-Jan-2023,10.60,10.60,10.40,10.54,237500
GRR,16-Jan-2023,10.50,10.50,10.50,10.50,15500
GRR,17-Jan-2023,10.50,10.50,10.40,10.40,46500
GRR,18-Jan-2023,9.60,10.51,9.60,10.50,53000
GRR,19-Jan-2023,10.51,10.52,10.50,10.50,7000
GRR,20-Jan-2023,10.50,10.50,10.48,10.49,221000
GRR,23-Jan-2023,10.07,10.52,10.07,10.52,54500
GRR,24-Jan-2023,10.50,10.59,10.50,10.50,6500
GRR,25-Jan-2023,10.50,10.51,10.50,10.51,4000
GRR,26-Jan-2023,10.50,10.52,10.50,10.50,93000
GRR,27-Jan-2023,10.50,10.50,10.50,10.50,86000
GRR,30-Jan-2023,10.75,10.75,10.55,10.55,14000
GRR,31-Jan-2023,10.10,10.60,10.10,10.35,21000
GRR,01-Feb-2023,10.25,10.50,10.25,10.50,1417000
GRR,02-Feb-2023,10.20,10.45,10.20,10.45,3000
GRR,03-Feb-2023,10.30,10.31,10.30,10.30,2000
GRR,06-Feb-2023,10.12,10.31,10.12,10.31,3500
GRR,07-Feb-2023,10.32,10.50,9.95,10.30,119000
GRR,08-Feb-2023,10.10,10.13,10.10,10.10,3500
GRR,09-Feb-2023,10.30,10.30,10.10,10.10,8000
GRR,10-Feb-2023,10.01,10.12,10.00,10.10,6500
GRR,13-Feb-2023,10.20,10.20,10.04,10.04,3000
GRR,14-Feb-2023,10.03,10.04,10.03,10.03,2500
GRR,15-Feb-2023,10.01,10.02,10.00,10.00,8500
GRR,16-Feb-2023,10.00,10.05,10.00,10.00,5000
GRR,17-Feb-2023,10.00,10.00,9.94,9.94,3000
GRR,20-Feb-2023,9.85,9.89,9.00,9.75,28000
GRR,21-Feb-2023,9.31,9.90,9.03,9.69,42500
GRR,22-Feb-2023,10.30,10.30,9.31,9.70,7500
GRR,23-Feb-2023,9.40,9.40,9.01,9.20,3500
GRR,24-Feb-2023,9.60,10.15,9.13,9.83,37000
GRR,27-Feb-2023,9.50,10.00,9.50,10.00,93000
GRR,28-Feb-2023,10.00,10.00,9.85,9.90,29000
GRR,01-Mar-2023,9.31,9.80,9.31,9.80,6500
GRR,02-Mar-2023,9.56,9.80,9.56,9.65,5000
GRR,03-Mar-2023,9.80,9.80,9.80,9.80,1000
GRR,06-Mar-2023,9.98,9.98,9.90,9.90,23500
GRR,08-Mar-2023,9.95,9.99,9.85,9.85,18000
GRR,09-Mar-2023,9.90,9.95,9.90,9.95,5000
GRR,10-Mar-2023,9.95,9.95,9.95,9.95,2000
GRR,13-Mar-2023,9.88,9.95,9.62,9.90,278500
GRR,14-Mar-2023,9.57,9.78,9.57,9.78,1000
GRR,16-Mar-2023,9.75,9.80,9.75,9.80,2500
GRR,17-Mar-2023,9.77,9.77,9.70,9.70,1000
GRR,20-Mar-2023,9.95,9.95,9.75,9.75,7500
GRR,21-Mar-2023,9.85,9.89,9.80,9.80,2000
GRR,22-Mar-2023,9.90,9.90,9.80,9.80,3000
GRR,27-Mar-2023,9.80,9.80,9.80,9.80,500
GRR,28-Mar-2023,9.80,9.80,9.80,9.80,500
GRR,29-Mar-2023,9.73,9.73,9.50,9.57,2000
GRR,31-Mar-2023,9.80,9.80,9.80,9.80,9000
GRR,03-Apr-2023,9.55,9.80,9.55,9.55,1500
GRR,04-Apr-2023,9.79,9.79,9.60,9.60,1500
GRR,06-Apr-2023,9.55,9.75,9.55,9.75,1000
GRR,10-Apr-2023,9.89,9.89,9.30,9.47,3000
GRR,11-Apr-2023,9.60,9.88,9.35,9.49,3000
GRR,12-Apr-2023,9.33,9.42,9.30,9.30,12500
GRR,13-Apr-2023,9.41,9.41,8.32,9.24,9000
GRR,17-Apr-2023,9.50,9.50,9.24,9.50,5500
