Symbol,Date,Open,High,Low,Close,Volume
GTYR,01-Jan-2014,52.79,53.00,51.75,52.50,17500
GTYR,02-Jan-2014,52.10,52.50,51.50,51.93,37000
GTYR,03-Jan-2014,52.11,54.25,52.00,54.00,174500
GTYR,06-Jan-2014,54.00,54.00,52.67,52.80,27500
GTYR,07-Jan-2014,53.00,53.75,52.65,53.04,122000
GTYR,08-Jan-2014,52.50,53.00,51.75,51.98,97500
GTYR,09-Jan-2014,52.00,52.50,52.00,52.22,112500
GTYR,10-Jan-2014,52.00,54.25,52.00,53.35,136000
GTYR,13-Jan-2014,53.00,53.50,52.77,52.90,5000
GTYR,15-Jan-2014,52.51,54.70,52.51,53.41,138500
GTYR,16-Jan-2014,53.70,56.08,53.70,56.08,531000
GTYR,17-Jan-2014,56.98,57.47,54.00,54.05,115500
GTYR,20-Jan-2014,54.40,54.60,53.80,54.01,68500
GTYR,21-Jan-2014,54.20,54.95,53.80,53.80,54500
GTYR,22-Jan-2014,54.50,55.00,53.76,54.50,31500
GTYR,23-Jan-2014,53.10,54.85,53.10,53.57,20500
GTYR,24-Jan-2014,53.02,56.24,53.02,56.24,87500
GTYR,27-Jan-2014,57.00,57.00,53.43,53.64,75000
GTYR,28-Jan-2014,54.45,56.00,53.50,54.40,27500
GTYR,29-Jan-2014,53.10,54.95,53.10,54.64,12500
GTYR,30-Jan-2014,55.00,55.00,53.50,53.53,27500
GTYR,31-Jan-2014,54.00,54.00,53.76,53.83,5000
GTYR,03-Feb-2014,54.00,54.00,53.00,53.05,78500
GTYR,04-Feb-2014,53.00,53.00,51.00,52.63,25500
GTYR,06-Feb-2014,52.99,55.26,52.90,55.26,205500
GTYR,07-Feb-2014,56.85,58.02,53.50,56.74,671500
GTYR,10-Feb-2014,57.10,57.10,53.91,53.91,231000
GTYR,11-Feb-2014,53.00,53.65,52.00,52.74,115000
GTYR,12-Feb-2014,53.70,55.37,53.50,55.02,143000
GTYR,13-Feb-2014,55.50,55.50,53.50,53.92,27500
GTYR,14-Feb-2014,54.50,56.48,51.23,51.37,315000
GTYR,17-Feb-2014,50.02,51.49,49.50,49.51,164000
GTYR,18-Feb-2014,49.40,50.10,48.75,49.63,88000
GTYR,19-Feb-2014,50.20,50.20,49.50,49.99,13000
GTYR,20-Feb-2014,49.99,50.60,49.00,50.24,29500
GTYR,21-Feb-2014,50.75,51.39,49.50,50.19,197000
GTYR,24-Feb-2014,50.75,51.00,50.05,50.13,29500
GTYR,25-Feb-2014,50.00,50.75,50.00,50.50,62000
GTYR,26-Feb-2014,51.00,51.00,49.95,50.06,25000
GTYR,27-Feb-2014,49.50,49.50,48.51,48.70,11000
GTYR,28-Feb-2014,49.50,49.99,48.80,48.98,19500
GTYR,03-Mar-2014,46.60,50.10,46.60,48.65,19500
GTYR,04-Mar-2014,48.00,49.45,48.00,49.06,13500
GTYR,05-Mar-2014,49.01,50.00,48.99,49.70,46000
GTYR,06-Mar-2014,49.51,51.00,49.51,50.15,41000
GTYR,07-Mar-2014,49.70,50.80,49.50,49.80,66500
GTYR,10-Mar-2014,49.70,51.00,49.70,50.82,102500
GTYR,11-Mar-2014,51.90,52.60,51.00,51.87,184000
GTYR,12-Mar-2014,52.35,54.46,52.00,53.42,291000
GTYR,13-Mar-2014,54.00,54.59,53.51,53.74,119500
GTYR,14-Mar-2014,54.00,54.00,53.00,53.08,34000
GTYR,17-Mar-2014,53.40,53.40,52.51,52.79,24500
GTYR,18-Mar-2014,53.01,53.20,51.75,52.02,50500
GTYR,19-Mar-2014,52.80,54.62,52.80,54.62,231000
GTYR,20-Mar-2014,55.26,55.50,53.00,53.48,206500
GTYR,21-Mar-2014,52.80,53.60,51.75,52.15,51000
GTYR,24-Mar-2014,52.00,52.00,51.81,51.82,4500
GTYR,25-Mar-2014,51.80,53.70,51.80,52.59,36500
GTYR,26-Mar-2014,52.10,53.00,52.02,52.07,30000
GTYR,27-Mar-2014,52.90,53.60,52.10,52.16,87500
GTYR,28-Mar-2014,52.90,53.15,51.90,51.95,47500
GTYR,31-Mar-2014,52.50,52.51,51.20,51.38,36000
GTYR,01-Apr-2014,52.00,52.50,51.45,51.74,73500
GTYR,02-Apr-2014,52.00,53.75,52.00,52.60,174500
GTYR,03-Apr-2014,53.00,53.60,52.10,52.49,101500
GTYR,04-Apr-2014,52.40,53.90,52.40,53.35,159500
GTYR,07-Apr-2014,53.25,56.01,53.10,56.01,524000
GTYR,08-Apr-2014,57.00,58.81,56.15,58.81,493500
GTYR,09-Apr-2014,61.75,61.75,59.75,61.48,1399000
GTYR,10-Apr-2014,62.00,62.49,59.50,61.85,451500
GTYR,11-Apr-2014,61.80,64.94,61.50,64.94,568500
GTYR,14-Apr-2014,66.70,68.00,64.20,65.47,713500
GTYR,15-Apr-2014,65.05,68.74,65.00,68.74,395500
GTYR,16-Apr-2014,70.85,71.99,69.80,71.35,336000
GTYR,17-Apr-2014,72.00,72.00,67.79,67.86,328500
GTYR,18-Apr-2014,65.15,69.00,65.15,66.35,74000
GTYR,21-Apr-2014,67.00,67.00,64.00,64.59,194000
GTYR,22-Apr-2014,64.20,67.81,64.20,67.81,289500
GTYR,23-Apr-2014,69.90,70.40,67.00,68.05,359500
GTYR,24-Apr-2014,68.40,71.45,67.50,71.45,417000
GTYR,25-Apr-2014,73.00,73.40,69.50,69.75,154500
GTYR,28-Apr-2014,70.45,70.45,66.27,66.84,121500
GTYR,29-Apr-2014,65.51,69.75,65.51,69.11,154000
GTYR,30-Apr-2014,69.60,70.50,68.50,69.00,117000
GTYR,02-May-2014,69.25,71.65,68.00,69.19,309000
GTYR,05-May-2014,68.50,69.00,67.00,67.98,70500
GTYR,06-May-2014,67.50,68.25,66.26,66.86,194500
GTYR,07-May-2014,67.00,67.10,66.00,66.09,57500
