Symbol,Date,Open,High,Low,Close,Volume
GUSM,01-Jan-2014,5.48,6.08,5.25,5.96,171000
GUSM,02-Jan-2014,5.90,5.90,5.25,5.34,58500
GUSM,03-Jan-2014,5.50,5.50,4.52,4.75,54500
GUSM,06-Jan-2014,4.51,4.51,3.80,4.04,167000
GUSM,07-Jan-2014,3.83,4.50,3.82,4.46,20000
GUSM,08-Jan-2014,4.45,5.25,4.45,4.95,81500
GUSM,09-Jan-2014,4.75,5.10,4.75,4.99,14000
GUSM,13-Jan-2014,4.50,4.50,4.50,4.50,1000
GUSM,15-Jan-2014,4.20,4.50,4.20,4.25,38000
GUSM,16-Jan-2014,4.12,4.40,4.01,4.40,28500
GUSM,21-Jan-2014,4.90,5.40,4.90,5.40,272000
GUSM,22-Jan-2014,6.00,6.40,5.02,6.40,372500
GUSM,23-Jan-2014,6.89,6.90,6.00,6.21,99000
GUSM,24-Jan-2014,5.53,6.15,5.50,6.10,75000
GUSM,27-Jan-2014,6.00,6.10,5.75,5.80,6000
GUSM,28-Jan-2014,5.41,6.10,5.41,6.00,24000
GUSM,29-Jan-2014,6.50,6.70,6.01,6.21,38500
GUSM,30-Jan-2014,6.10,6.48,6.10,6.19,28500
GUSM,31-Jan-2014,6.30,6.30,5.80,5.80,3000
GUSM,03-Feb-2014,5.90,5.90,5.81,5.81,7500
GUSM,04-Feb-2014,5.60,5.65,5.51,5.65,1500
GUSM,06-Feb-2014,5.50,5.50,5.50,5.50,1000
GUSM,10-Feb-2014,5.10,5.10,4.80,4.84,7500
GUSM,11-Feb-2014,5.40,5.40,4.70,4.93,2000
GUSM,12-Feb-2014,5.40,5.40,5.20,5.20,1000
GUSM,13-Feb-2014,5.40,5.40,5.21,5.21,1500
GUSM,14-Feb-2014,5.00,5.00,4.85,4.85,2500
GUSM,17-Feb-2014,5.10,5.10,4.80,4.80,1500
GUSM,18-Feb-2014,4.80,4.80,4.80,4.80,2500
GUSM,24-Feb-2014,5.00,5.00,5.00,5.00,500
GUSM,25-Feb-2014,4.96,4.96,4.96,5.00,500
GUSM,26-Feb-2014,4.51,4.51,4.50,4.50,9000
GUSM,27-Feb-2014,4.35,4.50,4.30,4.50,1500
GUSM,28-Feb-2014,4.27,4.44,4.00,4.44,6000
GUSM,03-Mar-2014,4.00,4.00,4.00,4.00,2500
GUSM,04-Mar-2014,4.45,4.45,4.00,4.00,1500
GUSM,06-Mar-2014,4.20,4.45,4.20,4.45,2500
GUSM,07-Mar-2014,4.50,4.70,4.50,4.70,1000
GUSM,10-Mar-2014,4.73,4.73,4.45,4.73,1000
GUSM,12-Mar-2014,4.40,4.40,4.40,4.40,1500
GUSM,13-Mar-2014,4.15,4.15,3.86,3.92,6000
GUSM,14-Mar-2014,4.20,4.24,4.20,4.24,7000
GUSM,17-Mar-2014,4.25,4.30,4.25,4.30,2000
GUSM,18-Mar-2014,4.30,4.55,4.30,4.55,2000
GUSM,21-Mar-2014,4.10,4.10,4.02,4.02,2500
