Symbol,Date,Open,High,Low,Close,Volume
GVGL,01-Jan-2014,16.69,17.00,16.69,16.89,9500
GVGL,02-Jan-2014,17.00,17.00,16.90,16.90,2500
GVGL,03-Jan-2014,17.40,17.45,17.40,17.45,1500
GVGL,06-Jan-2014,17.44,17.79,17.44,17.79,3000
GVGL,08-Jan-2014,17.00,18.11,17.00,17.50,26500
GVGL,09-Jan-2014,17.80,18.00,17.40,17.40,6500
GVGL,10-Jan-2014,17.35,17.98,17.35,17.89,15000
GVGL,13-Jan-2014,17.95,18.89,17.95,18.89,65000
GVGL,15-Jan-2014,19.89,19.89,18.89,19.89,36500
GVGL,16-Jan-2014,20.89,20.89,20.87,20.89,48500
GVGL,17-Jan-2014,21.66,21.93,21.01,21.93,62000
GVGL,20-Jan-2014,22.99,23.02,22.00,23.02,65000
GVGL,21-Jan-2014,24.17,24.17,24.00,24.17,36500
GVGL,22-Jan-2014,25.00,25.00,23.00,23.39,63500
GVGL,23-Jan-2014,22.77,23.30,22.23,22.55,58000
GVGL,24-Jan-2014,22.31,22.31,21.65,21.98,13500
GVGL,27-Jan-2014,21.66,21.74,20.89,21.10,20500
GVGL,28-Jan-2014,21.10,21.25,20.35,20.87,7000
GVGL,29-Jan-2014,20.50,21.50,20.45,21.20,8500
GVGL,30-Jan-2014,21.25,22.00,21.20,21.92,18500
GVGL,31-Jan-2014,21.75,22.00,21.55,22.00,11500
GVGL,03-Feb-2014,21.75,21.75,21.21,21.21,4000
GVGL,04-Feb-2014,21.00,21.00,20.90,20.90,6000
GVGL,06-Feb-2014,21.50,21.94,21.00,21.23,24000
GVGL,07-Feb-2014,21.25,21.25,20.75,21.00,6500
GVGL,10-Feb-2014,20.60,20.60,20.25,20.50,4500
GVGL,11-Feb-2014,20.10,20.10,20.06,20.06,30500
GVGL,12-Feb-2014,20.30,20.35,20.30,20.30,1500
GVGL,13-Feb-2014,21.00,21.31,20.20,20.20,14500
GVGL,14-Feb-2014,20.15,20.50,20.15,20.45,2500
GVGL,17-Feb-2014,20.02,20.25,19.43,19.43,11000
GVGL,18-Feb-2014,19.00,19.00,18.45,18.49,5500
GVGL,19-Feb-2014,18.99,19.00,18.75,18.75,2000
GVGL,20-Feb-2014,18.50,18.70,18.10,18.27,18500
GVGL,21-Feb-2014,18.00,18.88,18.00,18.88,1500
GVGL,24-Feb-2014,17.91,19.85,17.90,19.41,11500
GVGL,26-Feb-2014,21.30,21.30,21.30,21.30,2000
GVGL,27-Feb-2014,20.24,20.24,20.24,20.24,16000
GVGL,28-Feb-2014,19.23,21.00,19.23,19.23,12500
GVGL,03-Mar-2014,18.30,19.00,18.25,18.25,4000
GVGL,04-Mar-2014,18.50,18.50,17.75,17.75,3000
GVGL,05-Mar-2014,18.25,18.25,18.05,18.25,12000
GVGL,06-Mar-2014,18.45,18.45,18.35,18.35,1000
GVGL,07-Mar-2014,18.50,19.35,18.50,19.29,26500
GVGL,10-Mar-2014,19.39,19.39,19.39,19.39,500
GVGL,11-Mar-2014,18.85,19.24,18.85,18.85,1000
GVGL,12-Mar-2014,19.10,19.50,19.00,19.26,14500
GVGL,13-Mar-2014,19.30,19.30,18.85,18.85,4000
GVGL,14-Mar-2014,19.20,19.20,19.00,19.20,6500
GVGL,17-Mar-2014,19.75,19.75,19.00,19.00,7000
GVGL,18-Mar-2014,18.85,18.85,18.81,18.81,1000
GVGL,19-Mar-2014,19.10,19.17,18.80,18.80,2500
GVGL,20-Mar-2014,19.10,19.47,18.50,18.57,7500
GVGL,21-Mar-2014,19.07,19.14,18.50,18.98,5000
GVGL,24-Mar-2014,18.80,19.00,18.25,19.00,6500
GVGL,25-Mar-2014,19.00,19.10,19.00,19.10,6000
GVGL,26-Mar-2014,19.24,20.10,19.00,20.10,82500
GVGL,27-Mar-2014,20.95,21.10,20.21,20.82,40500
GVGL,28-Mar-2014,20.33,20.50,20.01,20.08,10000
GVGL,31-Mar-2014,19.41,20.00,19.35,20.00,5000
GVGL,01-Apr-2014,20.40,21.00,20.40,20.75,2000
GVGL,02-Apr-2014,20.55,20.75,20.55,20.75,11000
GVGL,03-Apr-2014,20.31,20.50,20.10,20.15,5500
GVGL,04-Apr-2014,20.42,21.15,20.42,21.04,17000
GVGL,07-Apr-2014,22.09,22.09,22.00,22.09,31500
GVGL,08-Apr-2014,23.19,23.19,23.19,23.19,7500
GVGL,09-Apr-2014,24.34,24.34,22.55,22.81,57000
GVGL,11-Apr-2014,22.00,22.79,21.70,22.29,7000
GVGL,14-Apr-2014,22.49,22.49,21.35,21.67,7500
GVGL,15-Apr-2014,22.00,22.24,22.00,22.24,1500
GVGL,16-Apr-2014,22.00,22.10,21.65,21.65,23000
GVGL,17-Apr-2014,21.95,22.22,21.95,22.00,5000
GVGL,18-Apr-2014,21.90,22.90,21.90,22.00,3500
GVGL,21-Apr-2014,21.65,21.65,21.50,21.51,3500
GVGL,22-Apr-2014,21.00,21.00,21.00,21.00,4000
GVGL,23-Apr-2014,20.50,21.00,20.50,20.50,1500
GVGL,24-Apr-2014,21.44,21.52,21.44,21.52,9500
GVGL,25-Apr-2014,22.58,22.59,22.44,22.44,23000
GVGL,28-Apr-2014,22.01,23.56,22.01,23.56,174000
GVGL,29-Apr-2014,24.69,24.69,22.39,22.39,186000
GVGL,30-Apr-2014,21.28,21.28,21.28,21.28,42500
GVGL,02-May-2014,20.22,21.00,20.22,20.22,76000
GVGL,05-May-2014,19.51,20.49,19.21,19.50,29500
GVGL,06-May-2014,19.50,19.50,19.00,19.07,16500
GVGL,07-May-2014,19.50,19.50,19.05,19.05,4000
GVGL,08-May-2014,19.00,19.50,18.75,19.50,6000
GVGL,09-May-2014,19.99,19.99,19.50,19.50,2000
GVGL,12-May-2014,19.50,19.99,19.50,19.50,2500
GVGL,13-May-2014,19.50,19.50,19.50,19.50,1000
GVGL,14-May-2014,19.50,19.50,19.50,19.50,500
GVGL,15-May-2014,19.15,19.15,19.01,19.01,3000
GVGL,16-May-2014,18.81,20.01,18.81,19.99,3500
GVGL,19-May-2014,20.39,20.49,19.30,19.49,28500
GVGL,20-May-2014,19.40,19.50,19.40,19.50,4000
GVGL,22-May-2014,19.50,19.50,19.25,19.25,4000
GVGL,23-May-2014,19.50,19.50,19.30,19.30,11000
GVGL,26-May-2014,19.30,19.30,19.30,19.30,500
GVGL,27-May-2014,19.35,19.35,19.32,19.33,1500
GVGL,28-May-2014,19.72,19.75,19.60,19.60,2500
GVGL,29-May-2014,19.85,19.85,19.50,19.85,1500
GVGL,30-May-2014,19.15,19.25,19.15,19.25,36500
GVGL,02-Jun-2014,20.00,20.00,20.00,20.00,1000
GVGL,03-Jun-2014,19.33,19.33,19.33,19.33,500
GVGL,05-Jun-2014,19.30,19.30,19.30,19.30,500
GVGL,06-Jun-2014,19.10,19.10,19.04,19.05,2500
GVGL,09-Jun-2014,19.03,19.03,19.00,19.00,2500
GVGL,12-Jun-2014,18.75,18.75,18.75,18.75,500
GVGL,17-Jun-2014,18.55,18.55,18.55,18.55,2000
GVGL,18-Jun-2014,18.51,18.51,18.51,18.51,1000
GVGL,27-Jun-2014,19.47,19.51,19.47,19.51,3000
GVGL,02-Jul-2014,19.00,19.00,19.00,19.00,500
GVGL,10-Jul-2014,19.40,19.40,19.40,19.40,500
GVGL,14-Jul-2014,18.66,18.66,18.40,18.40,11500
GVGL,15-Jul-2014,18.40,18.40,18.40,18.40,2000
GVGL,16-Jul-2014,18.40,18.40,18.40,18.40,1000
GVGL,17-Jul-2014,18.40,18.40,18.01,18.02,3000
GVGL,04-Aug-2014,17.55,17.55,17.02,17.03,7000
GVGL,06-Aug-2014,17.00,17.03,17.00,17.03,1500
GVGL,07-Aug-2014,17.00,17.00,17.00,17.00,1500
GVGL,08-Aug-2014,16.62,16.62,16.61,16.61,3000
GVGL,11-Aug-2014,16.00,16.00,15.65,15.65,2000
GVGL,12-Aug-2014,15.75,15.75,15.75,15.75,500
GVGL,15-Aug-2014,15.90,15.90,15.90,15.90,500
GVGL,20-Aug-2014,15.55,15.55,15.55,15.55,5000
GVGL,21-Aug-2014,16.55,16.55,16.55,16.55,1000
GVGL,22-Aug-2014,16.00,16.00,15.75,15.75,2500
GVGL,02-Sep-2014,15.00,15.75,15.00,15.75,2000
GVGL,04-Sep-2014,15.20,16.75,15.01,16.00,8500
GVGL,08-Sep-2014,15.50,15.75,15.00,15.38,49000
GVGL,09-Sep-2014,15.01,15.70,14.52,15.11,48000
GVGL,10-Sep-2014,15.50,15.50,15.20,15.40,5500
GVGL,11-Sep-2014,15.51,16.24,15.50,15.64,14500
GVGL,12-Sep-2014,15.32,15.40,15.30,15.40,5000
GVGL,15-Sep-2014,15.90,15.90,15.90,15.90,1000
GVGL,17-Sep-2014,15.40,15.40,15.40,15.40,1000
GVGL,18-Sep-2014,15.40,15.85,15.40,15.85,3000
GVGL,19-Sep-2014,15.40,16.40,15.40,15.73,2500
GVGL,22-Sep-2014,15.60,15.80,15.60,15.80,3000
GVGL,23-Sep-2014,16.00,16.00,15.66,15.74,11500
GVGL,24-Sep-2014,15.75,16.49,15.75,16.16,26500
GVGL,25-Sep-2014,16.10,16.20,15.60,15.68,8500
GVGL,26-Sep-2014,15.75,15.75,15.75,15.75,1000
GVGL,29-Sep-2014,15.65,15.65,15.65,15.65,500
GVGL,01-Oct-2014,15.51,15.51,15.27,15.27,10000
GVGL,02-Oct-2014,15.50,15.50,15.35,15.35,7000
GVGL,03-Oct-2014,15.51,15.57,15.51,15.57,2000
GVGL,10-Oct-2014,16.19,16.19,16.19,16.19,500
GVGL,13-Oct-2014,15.50,16.10,15.50,16.09,12500
GVGL,15-Oct-2014,16.48,16.48,15.65,15.80,4500
GVGL,16-Oct-2014,15.99,15.99,15.99,15.99,1000
GVGL,17-Oct-2014,16.45,16.99,16.43,16.99,20000
GVGL,20-Oct-2014,16.99,17.80,16.99,17.00,6500
GVGL,21-Oct-2014,17.00,17.00,17.00,17.00,3500
GVGL,22-Oct-2014,17.00,17.00,17.00,17.00,3500
GVGL,23-Oct-2014,17.00,17.00,17.00,17.00,10500
GVGL,29-Oct-2014,16.51,16.60,16.00,16.00,5000
GVGL,30-Oct-2014,16.01,16.01,16.00,16.00,2500
GVGL,31-Oct-2014,15.75,15.99,15.50,15.92,10000
GVGL,05-Nov-2014,15.70,16.92,15.70,16.78,19000
GVGL,07-Nov-2014,16.26,16.99,16.25,16.99,3500
GVGL,10-Nov-2014,17.45,17.99,17.35,17.89,34500
GVGL,11-Nov-2014,17.01,17.30,17.01,17.30,8500
GVGL,12-Nov-2014,16.52,17.49,16.52,17.49,1500
GVGL,13-Nov-2014,16.85,17.70,16.85,17.50,16500
GVGL,14-Nov-2014,17.25,17.99,17.25,17.99,7000
GVGL,17-Nov-2014,17.80,17.80,17.80,17.80,3000
GVGL,18-Nov-2014,17.50,17.70,17.50,17.70,2000
GVGL,20-Nov-2014,17.01,17.45,16.70,17.45,6000
GVGL,21-Nov-2014,17.00,18.00,17.00,17.95,10000
GVGL,26-Nov-2014,17.01,17.50,17.01,17.50,1000
GVGL,28-Nov-2014,17.50,17.50,17.50,17.50,8500
GVGL,01-Dec-2014,18.00,18.00,18.00,18.00,500
GVGL,02-Dec-2014,17.01,18.00,17.01,18.00,2500
GVGL,03-Dec-2014,18.10,18.10,18.10,18.10,4000
GVGL,04-Dec-2014,18.39,18.88,18.39,18.88,6000
GVGL,05-Dec-2014,18.20,18.95,18.20,18.32,6000
GVGL,08-Dec-2014,17.80,18.50,17.80,18.35,8000
GVGL,09-Dec-2014,18.00,18.00,18.00,18.00,1000
GVGL,10-Dec-2014,18.00,18.00,18.00,18.00,6000
GVGL,12-Dec-2014,17.90,18.50,17.90,18.50,16500
GVGL,15-Dec-2014,18.99,18.99,18.05,18.50,5000
GVGL,16-Dec-2014,18.45,18.45,18.00,18.19,13000
GVGL,17-Dec-2014,18.45,18.50,18.25,18.25,6000
GVGL,18-Dec-2014,18.25,18.25,18.25,18.25,2000
GVGL,19-Dec-2014,17.55,18.00,17.55,18.00,1000
GVGL,23-Dec-2014,18.50,18.50,18.00,18.00,3000
GVGL,26-Dec-2014,18.00,18.00,18.00,18.00,500
GVGL,29-Dec-2014,18.00,18.00,18.00,18.00,1500
GVGL,02-Jan-2015,18.00,18.00,18.00,18.00,5000
GVGL,05-Jan-2015,17.70,18.00,17.50,18.00,6000
GVGL,06-Jan-2015,17.50,17.50,17.50,17.50,4500
GVGL,07-Jan-2015,17.80,17.80,17.80,17.80,500
GVGL,08-Jan-2015,18.00,18.00,18.00,18.00,2000
GVGL,09-Jan-2015,18.48,18.48,18.48,18.48,500
GVGL,12-Jan-2015,18.48,18.94,18.48,18.94,8500
GVGL,13-Jan-2015,18.95,18.95,18.94,18.94,3000
GVGL,14-Jan-2015,18.40,18.40,18.25,18.32,1500
GVGL,15-Jan-2015,17.61,18.50,17.61,18.30,13500
GVGL,16-Jan-2015,18.02,18.02,17.75,17.75,2000
GVGL,20-Jan-2015,18.23,18.75,18.23,18.75,5500
GVGL,21-Jan-2015,19.75,19.75,19.75,19.75,5000
GVGL,22-Jan-2015,20.75,20.75,20.75,20.75,7500
GVGL,23-Jan-2015,21.78,21.78,21.78,21.78,14000
GVGL,26-Jan-2015,22.86,22.86,22.86,22.86,15500
GVGL,27-Jan-2015,23.00,24.00,22.50,24.00,202000
GVGL,28-Jan-2015,24.40,25.20,24.00,24.33,182000
GVGL,29-Jan-2015,24.50,24.50,23.75,23.75,49500
GVGL,30-Jan-2015,23.50,23.72,23.25,23.43,14500
GVGL,02-Feb-2015,23.05,23.49,22.35,23.30,43000
GVGL,03-Feb-2015,23.10,23.10,23.00,23.00,15500
GVGL,04-Feb-2015,22.75,22.90,22.25,22.25,18000
GVGL,06-Feb-2015,22.00,22.00,21.75,21.83,4500
GVGL,09-Feb-2015,21.25,21.41,20.75,21.25,10500
GVGL,10-Feb-2015,22.31,22.31,20.32,20.92,17000
GVGL,11-Feb-2015,21.10,21.10,21.10,21.10,2000
GVGL,12-Feb-2015,20.80,20.80,20.75,20.75,5000
GVGL,13-Feb-2015,21.40,21.78,21.25,21.25,3500
GVGL,16-Feb-2015,21.00,21.00,21.00,21.00,1000
GVGL,18-Feb-2015,21.50,21.50,21.00,21.00,7000
GVGL,19-Feb-2015,21.00,21.00,20.75,20.75,1000
GVGL,20-Feb-2015,20.75,21.78,20.55,21.11,29000
GVGL,23-Feb-2015,21.60,22.16,20.06,20.06,41000
GVGL,24-Feb-2015,19.06,19.06,19.06,19.06,20500
GVGL,25-Feb-2015,18.10,18.10,18.06,18.06,11500
GVGL,26-Feb-2015,17.10,18.25,17.10,17.30,22000
GVGL,02-Mar-2015,17.00,17.00,16.30,16.30,9500
GVGL,03-Mar-2015,15.60,15.75,15.30,15.68,48500
GVGL,04-Mar-2015,16.00,16.25,16.00,16.00,9500
GVGL,06-Mar-2015,17.00,17.00,17.00,17.00,2000
GVGL,09-Mar-2015,18.00,18.00,17.17,17.56,21000
GVGL,10-Mar-2015,17.50,18.00,17.50,18.00,5000
GVGL,11-Mar-2015,17.80,17.80,17.20,17.20,11500
GVGL,13-Mar-2015,17.50,17.50,17.20,17.27,11500
GVGL,16-Mar-2015,17.30,17.30,17.20,17.26,3500
GVGL,17-Mar-2015,16.50,17.30,16.50,17.27,3500
GVGL,18-Mar-2015,17.25,17.25,17.15,17.15,27000
GVGL,19-Mar-2015,17.25,17.25,17.20,17.20,11500
GVGL,20-Mar-2015,17.00,17.00,17.00,17.00,1500
GVGL,26-Mar-2015,16.40,16.40,16.20,16.27,4500
GVGL,30-Mar-2015,15.27,15.27,15.27,15.27,2000
GVGL,31-Mar-2015,15.25,15.25,15.25,15.25,3000
GVGL,02-Apr-2015,16.25,16.25,16.25,16.25,500
GVGL,07-Apr-2015,16.40,16.40,16.40,16.40,1500
GVGL,09-Apr-2015,16.20,16.20,16.20,16.20,500
GVGL,23-Apr-2015,15.60,15.60,15.60,15.60,500
GVGL,24-Apr-2015,16.60,16.60,16.60,16.60,2000
GVGL,28-Apr-2015,17.60,17.60,17.20,17.60,10000
GVGL,29-Apr-2015,17.60,18.00,16.60,16.89,10000
GVGL,04-May-2015,17.00,17.00,17.00,17.00,3500
GVGL,05-May-2015,17.00,17.00,17.00,17.00,1000
GVGL,06-May-2015,17.70,18.00,17.70,17.80,6000
GVGL,07-May-2015,18.00,18.00,17.75,17.75,1500
GVGL,08-May-2015,18.00,18.50,18.00,18.50,4000
GVGL,11-May-2015,18.00,18.25,18.00,18.00,9000
GVGL,12-May-2015,18.00,18.00,18.00,18.00,2000
GVGL,13-May-2015,18.00,18.00,18.00,18.00,3000
GVGL,14-May-2015,18.00,18.00,18.00,18.00,500
GVGL,15-May-2015,18.49,18.50,18.49,18.50,16500
GVGL,18-May-2015,18.50,18.50,18.00,18.00,2500
GVGL,27-May-2015,18.00,18.10,18.00,18.10,6000
GVGL,28-May-2015,18.00,18.00,18.00,18.00,5000
GVGL,29-May-2015,18.30,18.55,18.30,18.54,8000
GVGL,01-Jun-2015,18.55,19.00,18.55,18.64,9000
GVGL,02-Jun-2015,18.50,18.50,18.50,18.50,5000
GVGL,03-Jun-2015,18.50,18.50,18.50,18.50,11500
GVGL,05-Jun-2015,18.50,18.50,18.50,18.50,1000
GVGL,08-Jun-2015,18.50,18.50,18.50,18.50,3000
GVGL,09-Jun-2015,18.50,18.50,18.50,18.50,4000
GVGL,10-Jun-2015,18.45,19.45,18.45,19.45,2000
GVGL,11-Jun-2015,19.50,19.60,19.00,19.00,9500
GVGL,12-Jun-2015,18.65,19.00,18.65,18.83,2000
GVGL,15-Jun-2015,18.75,18.75,18.75,18.75,9000
GVGL,16-Jun-2015,18.30,18.30,18.30,18.30,1000
GVGL,17-Jun-2015,18.60,18.80,18.60,18.80,1000
GVGL,18-Jun-2015,18.80,19.50,18.60,19.00,15500
GVGL,19-Jun-2015,19.30,19.75,19.30,19.75,9000
GVGL,22-Jun-2015,19.00,19.00,18.75,18.75,2500
GVGL,23-Jun-2015,17.86,17.86,17.83,17.83,2000
GVGL,24-Jun-2015,18.49,18.83,18.49,18.83,5500
GVGL,26-Jun-2015,18.83,18.83,18.83,18.83,500
GVGL,30-Jun-2015,18.20,18.75,18.20,18.75,3500
GVGL,01-Jul-2015,19.25,19.50,19.15,19.38,9000
GVGL,02-Jul-2015,19.60,19.60,19.60,19.60,1500
GVGL,03-Jul-2015,20.15,20.50,20.00,20.00,1500
GVGL,06-Jul-2015,19.50,19.50,19.50,19.50,3000
GVGL,07-Jul-2015,19.50,19.50,19.50,19.50,12000
GVGL,08-Jul-2015,20.50,20.50,20.00,20.15,2500
GVGL,09-Jul-2015,20.00,20.20,19.70,20.00,34500
GVGL,10-Jul-2015,20.00,20.00,19.42,19.44,14000
GVGL,14-Jul-2015,19.50,19.88,19.50,19.88,8000
GVGL,15-Jul-2015,19.75,20.40,19.75,19.75,5000
GVGL,16-Jul-2015,20.00,20.25,20.00,20.25,10500
GVGL,23-Jul-2015,19.51,19.52,19.50,19.50,13000
GVGL,24-Jul-2015,19.20,19.33,19.10,19.33,21500
GVGL,27-Jul-2015,19.00,19.01,19.00,19.00,12500
GVGL,28-Jul-2015,19.10,19.30,19.10,19.30,8000
GVGL,29-Jul-2015,19.05,19.05,19.03,19.03,2000
GVGL,30-Jul-2015,19.35,19.50,19.35,19.35,3000
GVGL,31-Jul-2015,19.15,19.15,19.11,19.12,2500
GVGL,04-Aug-2015,19.40,20.12,19.40,19.90,13500
GVGL,05-Aug-2015,19.60,19.80,19.10,19.12,11500
GVGL,06-Aug-2015,19.50,19.80,19.50,19.74,17500
GVGL,07-Aug-2015,20.44,20.74,20.44,20.70,53000
GVGL,10-Aug-2015,19.82,19.82,19.70,19.81,17500
GVGL,11-Aug-2015,19.80,20.81,19.56,20.34,20500
GVGL,12-Aug-2015,21.35,21.35,21.35,21.35,14000
GVGL,17-Aug-2015,23.20,23.20,23.20,23.20,8000
GVGL,18-Aug-2015,24.36,24.36,24.36,24.36,31000
GVGL,19-Aug-2015,25.57,25.57,25.57,25.57,500
GVGL,20-Aug-2015,26.84,26.84,26.84,26.84,10000
GVGL,21-Aug-2015,28.18,28.18,27.51,28.18,239000
GVGL,24-Aug-2015,28.49,28.95,26.78,26.78,113500
GVGL,25-Aug-2015,25.51,28.11,25.51,28.11,79500
GVGL,26-Aug-2015,29.30,29.51,28.50,29.51,48500
GVGL,27-Aug-2015,30.98,30.98,30.98,30.98,12000
GVGL,28-Aug-2015,32.52,32.52,32.52,32.52,22500
GVGL,31-Aug-2015,34.14,34.14,34.14,34.14,10000
GVGL,01-Sep-2015,35.84,35.84,35.84,35.84,28000
GVGL,02-Sep-2015,37.63,37.63,34.10,36.37,112500
GVGL,03-Sep-2015,36.00,36.00,34.56,34.56,34500
GVGL,04-Sep-2015,32.84,32.84,32.84,32.84,15000
GVGL,07-Sep-2015,31.20,31.20,31.20,31.20,2500
GVGL,08-Sep-2015,29.64,32.76,29.64,32.45,101500
GVGL,09-Sep-2015,32.06,34.07,31.20,34.07,80000
GVGL,10-Sep-2015,33.65,33.89,32.42,32.64,36500
GVGL,11-Sep-2015,32.99,32.99,31.75,32.27,24500
GVGL,14-Sep-2015,30.71,32.80,30.67,32.18,36500
GVGL,15-Sep-2015,31.20,31.80,31.20,31.52,4500
GVGL,16-Sep-2015,31.50,31.50,31.50,31.50,2500
GVGL,17-Sep-2015,32.80,32.80,30.20,30.60,13000
GVGL,18-Sep-2015,30.80,30.80,29.07,29.21,12500
GVGL,21-Sep-2015,28.75,30.00,28.15,30.00,8500
