Symbol,Date,Open,High,Low,Close,Volume
HABSM,01-Jan-2014,29.35,29.40,28.92,28.95,49500
HABSM,02-Jan-2014,29.20,29.49,29.00,29.05,84500
HABSM,03-Jan-2014,29.15,29.40,28.90,28.99,85000
HABSM,06-Jan-2014,29.07,29.20,28.00,28.11,333500
HABSM,07-Jan-2014,28.39,28.75,28.30,28.60,153500
HABSM,08-Jan-2014,28.75,28.75,28.55,28.63,57500
HABSM,09-Jan-2014,28.75,29.65,28.62,29.36,473500
HABSM,10-Jan-2014,29.50,29.80,29.30,29.49,181500
HABSM,13-Jan-2014,29.55,30.96,29.55,30.72,817000
HABSM,15-Jan-2014,30.91,31.90,30.91,31.25,362000
HABSM,16-Jan-2014,31.50,31.55,30.51,30.96,218500
HABSM,17-Jan-2014,28.40,29.01,28.35,28.66,84000
HABSM,20-Jan-2014,28.77,29.10,28.50,28.85,52500
HABSM,21-Jan-2014,28.99,30.29,28.70,30.29,227000
HABSM,22-Jan-2014,31.80,31.80,31.80,31.80,34500
HABSM,23-Jan-2014,33.39,33.39,33.39,33.39,27500
HABSM,24-Jan-2014,35.05,35.05,34.00,35.05,920000
HABSM,27-Jan-2014,36.00,36.80,35.25,36.80,639500
HABSM,28-Jan-2014,38.64,38.64,34.96,35.01,979000
HABSM,29-Jan-2014,33.26,35.00,33.26,34.32,533000
HABSM,30-Jan-2014,32.73,33.25,32.61,32.63,321500
HABSM,31-Jan-2014,31.80,34.26,31.80,34.12,334500
HABSM,03-Feb-2014,34.75,34.75,33.10,33.96,137000
HABSM,04-Feb-2014,33.14,33.14,32.30,32.30,50500
HABSM,06-Feb-2014,32.05,32.99,31.00,31.20,320500
HABSM,07-Feb-2014,31.50,31.50,30.10,31.02,112500
HABSM,10-Feb-2014,31.30,31.30,29.50,30.14,66500
HABSM,11-Feb-2014,30.01,31.64,30.01,31.54,206500
HABSM,12-Feb-2014,31.64,33.11,31.64,33.04,262500
HABSM,13-Feb-2014,32.26,33.10,31.57,32.37,133500
HABSM,14-Feb-2014,33.00,33.00,31.90,32.01,57500
HABSM,17-Feb-2014,31.50,31.60,30.41,30.41,75500
HABSM,18-Feb-2014,30.00,31.73,29.50,31.27,149000
HABSM,19-Feb-2014,31.50,31.94,30.49,30.50,110000
HABSM,20-Feb-2014,30.25,32.02,30.25,31.64,26000
HABSM,21-Feb-2014,31.00,33.20,31.00,32.17,84000
HABSM,24-Feb-2014,31.90,32.00,31.51,31.51,16500
HABSM,25-Feb-2014,32.00,32.00,31.00,31.00,35000
HABSM,26-Feb-2014,30.04,30.20,29.71,29.90,45000
HABSM,28-Feb-2014,30.00,30.50,30.00,30.00,20500
HABSM,03-Mar-2014,30.00,30.40,30.00,30.02,11000
HABSM,04-Mar-2014,30.40,30.40,30.00,30.06,15500
HABSM,05-Mar-2014,29.85,30.00,29.85,30.00,5000
HABSM,06-Mar-2014,30.98,31.40,30.98,31.10,49500
HABSM,07-Mar-2014,31.40,31.70,31.03,31.11,32500
HABSM,10-Mar-2014,30.62,31.00,30.55,31.00,18500
HABSM,11-Mar-2014,31.10,31.35,30.01,30.58,58500
HABSM,12-Mar-2014,30.99,30.99,30.50,30.68,11000
HABSM,13-Mar-2014,30.89,31.25,30.75,30.90,30000
HABSM,14-Mar-2014,30.50,31.00,30.50,30.77,13500
HABSM,17-Mar-2014,30.35,31.00,30.35,31.00,1500
HABSM,18-Mar-2014,30.99,30.99,30.10,30.79,15500
HABSM,19-Mar-2014,30.99,32.00,30.75,31.84,171500
HABSM,20-Mar-2014,32.00,32.90,31.76,32.50,35000
HABSM,21-Mar-2014,32.00,33.50,31.50,32.86,62000
HABSM,24-Mar-2014,32.50,32.50,31.50,31.50,76000
HABSM,25-Mar-2014,31.00,32.60,31.00,31.50,86500
HABSM,26-Mar-2014,30.81,32.50,30.81,32.44,84500
HABSM,27-Mar-2014,32.03,32.50,32.00,32.50,5000
HABSM,28-Mar-2014,32.98,34.12,32.50,34.00,308000
HABSM,31-Mar-2014,34.95,34.95,33.16,33.29,129500
HABSM,01-Apr-2014,33.30,34.00,32.80,33.54,122500
HABSM,02-Apr-2014,34.00,34.64,33.50,34.45,86500
HABSM,03-Apr-2014,34.88,35.64,34.42,34.93,188000
HABSM,04-Apr-2014,35.50,35.50,34.20,34.77,33000
HABSM,07-Apr-2014,35.34,35.34,34.00,34.30,35500
HABSM,08-Apr-2014,34.00,35.30,34.00,34.64,228000
HABSM,09-Apr-2014,34.60,34.90,34.30,34.50,51000
HABSM,10-Apr-2014,34.30,34.50,34.21,34.23,19500
HABSM,11-Apr-2014,33.91,35.10,33.01,34.65,289000
HABSM,14-Apr-2014,34.99,36.38,33.95,34.16,229000
HABSM,15-Apr-2014,34.75,34.75,33.75,34.37,69000
HABSM,16-Apr-2014,33.85,34.50,33.00,34.45,211000
HABSM,17-Apr-2014,33.71,34.50,33.60,34.00,63000
HABSM,18-Apr-2014,34.74,34.95,33.68,34.00,6500
HABSM,21-Apr-2014,33.50,33.70,33.00,33.70,13000
HABSM,22-Apr-2014,33.49,33.50,33.20,33.28,11500
HABSM,23-Apr-2014,33.00,33.50,32.15,32.83,71000
HABSM,24-Apr-2014,32.18,32.95,31.95,32.70,39000
HABSM,25-Apr-2014,33.00,33.40,32.02,32.10,23000
HABSM,29-Apr-2014,32.00,33.00,31.25,32.68,149000
HABSM,30-Apr-2014,32.50,33.50,31.90,32.93,155000
HABSM,02-May-2014,32.11,32.50,31.99,32.02,49500
HABSM,05-May-2014,32.00,32.30,31.66,32.18,38000
HABSM,06-May-2014,31.50,32.35,31.24,31.97,23000
HABSM,07-May-2014,31.50,31.95,31.40,31.90,5000
HABSM,08-May-2014,32.85,32.85,32.85,32.85,500
HABSM,09-May-2014,31.95,32.85,31.75,31.76,101500
HABSM,13-May-2014,32.00,32.00,31.40,31.40,10000
HABSM,14-May-2014,31.25,32.00,30.80,31.28,60000
HABSM,15-May-2014,31.50,31.80,31.20,31.25,17500
HABSM,16-May-2014,31.20,31.50,31.05,31.20,7500
HABSM,19-May-2014,31.00,31.45,31.00,31.40,21000
HABSM,20-May-2014,31.50,32.97,31.50,32.97,423000
HABSM,21-May-2014,33.89,34.61,33.12,34.61,338000
HABSM,22-May-2014,35.39,36.34,34.90,36.12,455000
HABSM,23-May-2014,36.60,37.10,35.75,36.70,85500
HABSM,26-May-2014,36.50,36.90,36.01,36.49,61500
HABSM,27-May-2014,36.49,37.30,36.00,36.35,376500
HABSM,28-May-2014,36.40,36.55,34.54,34.78,447000
HABSM,29-May-2014,34.50,35.45,33.50,34.60,89500
HABSM,30-May-2014,34.31,36.30,34.26,35.20,70000
HABSM,02-Jun-2014,35.10,35.66,34.70,34.70,16000
HABSM,03-Jun-2014,35.20,35.74,34.70,34.91,196500
HABSM,04-Jun-2014,34.01,35.89,34.01,34.55,25500
HABSM,05-Jun-2014,34.51,35.00,34.51,35.00,2500
HABSM,06-Jun-2014,35.00,35.24,34.33,34.36,3000
HABSM,09-Jun-2014,34.25,35.89,34.25,35.38,32500
HABSM,10-Jun-2014,35.00,35.84,35.00,35.44,77000
HABSM,11-Jun-2014,36.89,37.21,35.55,36.74,127500
HABSM,12-Jun-2014,36.90,38.57,36.20,36.69,156000
HABSM,13-Jun-2014,36.65,36.70,36.00,36.30,8000
HABSM,16-Jun-2014,36.10,37.60,35.42,35.98,68000
HABSM,17-Jun-2014,35.50,35.50,34.55,35.43,35500
HABSM,18-Jun-2014,35.00,35.00,35.00,35.00,3000
HABSM,19-Jun-2014,35.80,35.89,35.05,35.41,6000
HABSM,20-Jun-2014,36.58,36.58,34.25,35.58,37000
HABSM,23-Jun-2014,34.52,35.50,34.52,35.36,25500
HABSM,24-Jun-2014,36.50,36.50,35.20,35.94,105000
HABSM,25-Jun-2014,36.24,36.24,35.00,35.21,12000
HABSM,26-Jun-2014,35.00,36.40,35.00,35.51,28000
HABSM,30-Jun-2014,36.00,36.50,36.00,36.50,15000
HABSM,01-Jul-2014,35.10,35.90,35.01,35.17,11000
HABSM,03-Jul-2014,35.20,35.20,35.20,35.20,1000
HABSM,09-Jul-2014,36.00,36.00,36.00,36.00,1500
HABSM,14-Jul-2014,34.50,36.50,34.50,36.02,37000
HABSM,15-Jul-2014,35.65,36.25,35.65,36.14,11000
HABSM,16-Jul-2014,36.40,36.75,36.35,36.35,10000
HABSM,17-Jul-2014,37.49,37.49,36.00,36.90,6500
HABSM,18-Jul-2014,37.98,37.98,36.15,36.75,17000
HABSM,21-Jul-2014,36.50,36.74,36.50,36.72,7000
HABSM,23-Jul-2014,37.30,37.30,36.40,36.70,40000
HABSM,24-Jul-2014,36.99,37.30,36.99,37.11,26000
HABSM,28-Jul-2014,37.00,37.92,35.85,37.41,62500
HABSM,04-Aug-2014,36.20,37.80,36.00,37.00,28500
HABSM,05-Aug-2014,36.90,36.90,36.90,36.90,3500
HABSM,07-Aug-2014,37.25,38.49,37.00,37.84,55000
HABSM,08-Aug-2014,36.50,37.45,36.50,37.27,15500
HABSM,11-Aug-2014,35.50,36.10,35.41,36.10,32500
HABSM,12-Aug-2014,34.61,35.90,34.61,35.02,47000
HABSM,13-Aug-2014,35.50,35.50,34.49,34.70,60500
HABSM,15-Aug-2014,36.30,36.30,34.01,35.77,45000
HABSM,18-Aug-2014,35.00,36.39,35.00,35.60,59500
HABSM,19-Aug-2014,35.50,36.00,34.61,35.48,31000
HABSM,21-Aug-2014,36.29,36.29,35.55,35.73,4000
HABSM,22-Aug-2014,36.50,36.50,35.00,35.70,4500
HABSM,27-Aug-2014,36.00,36.00,36.00,36.00,500
HABSM,28-Aug-2014,35.00,35.69,34.75,35.69,3000
HABSM,29-Aug-2014,37.39,37.40,34.70,35.00,24000
HABSM,01-Sep-2014,33.61,34.98,33.61,34.98,14500
HABSM,02-Sep-2014,34.99,35.40,34.26,34.72,45500
HABSM,03-Sep-2014,34.99,35.99,34.99,35.45,12500
HABSM,04-Sep-2014,36.40,36.40,35.01,35.48,48500
HABSM,05-Sep-2014,35.70,35.80,35.70,35.80,5000
HABSM,08-Sep-2014,35.80,36.20,35.11,35.90,37000
HABSM,09-Sep-2014,36.50,36.70,36.00,36.33,84500
HABSM,10-Sep-2014,36.10,36.79,36.10,36.57,53000
HABSM,11-Sep-2014,36.50,37.88,36.50,37.32,123000
HABSM,12-Sep-2014,37.50,37.83,36.82,37.02,26000
HABSM,15-Sep-2014,36.75,36.75,36.50,36.50,17500
HABSM,16-Sep-2014,36.60,36.60,36.20,36.28,2500
HABSM,17-Sep-2014,36.30,36.30,35.84,35.90,33500
HABSM,18-Sep-2014,36.00,36.70,36.00,36.31,10500
HABSM,19-Sep-2014,35.70,36.70,35.70,36.25,25000
HABSM,22-Sep-2014,36.90,38.00,36.80,37.80,56000
HABSM,23-Sep-2014,37.99,39.00,37.85,38.43,125000
HABSM,24-Sep-2014,38.74,40.00,38.74,39.31,209000
HABSM,25-Sep-2014,39.60,40.00,38.80,39.74,124000
HABSM,26-Sep-2014,40.35,41.72,39.98,41.21,248000
HABSM,29-Sep-2014,41.50,41.90,40.10,40.40,16000
HABSM,30-Sep-2014,40.29,41.95,40.29,41.64,112000
HABSM,01-Oct-2014,41.50,42.39,41.25,41.37,161500
HABSM,02-Oct-2014,41.80,43.38,41.50,43.10,247500
HABSM,03-Oct-2014,43.75,44.10,43.00,43.64,57000
HABSM,09-Oct-2014,45.50,45.60,44.00,44.81,31000
HABSM,10-Oct-2014,45.40,45.89,44.75,45.45,38000
HABSM,13-Oct-2014,45.87,45.95,44.85,45.85,55000
HABSM,14-Oct-2014,45.95,47.70,45.25,47.55,152000
HABSM,15-Oct-2014,47.75,49.70,47.25,48.67,142500
HABSM,16-Oct-2014,49.00,49.99,47.31,48.37,122000
HABSM,17-Oct-2014,48.70,48.99,45.96,46.03,98500
HABSM,20-Oct-2014,46.00,47.85,43.73,46.66,118000
HABSM,21-Oct-2014,48.00,48.00,44.33,45.20,40000
HABSM,22-Oct-2014,43.75,46.80,43.41,44.24,30500
HABSM,23-Oct-2014,44.00,44.50,43.50,44.36,27000
HABSM,24-Oct-2014,44.50,45.99,43.75,44.92,54000
HABSM,27-Oct-2014,45.00,45.89,43.50,44.31,72000
HABSM,28-Oct-2014,44.94,45.00,43.00,43.74,26500
HABSM,29-Oct-2014,43.00,44.90,42.00,44.66,60500
HABSM,30-Oct-2014,44.65,45.50,43.36,44.27,32500
HABSM,31-Oct-2014,44.30,45.50,43.00,44.47,57000
HABSM,05-Nov-2014,44.39,44.47,43.35,44.00,87000
HABSM,06-Nov-2014,44.89,45.96,44.65,45.78,82000
HABSM,07-Nov-2014,45.90,46.88,44.60,46.53,58000
HABSM,10-Nov-2014,46.98,48.60,46.00,46.74,83500
HABSM,11-Nov-2014,46.95,46.95,45.55,46.70,35500
HABSM,12-Nov-2014,46.90,47.50,45.75,46.80,66500
HABSM,13-Nov-2014,47.89,48.50,46.50,46.72,109000
HABSM,14-Nov-2014,45.71,47.80,45.56,46.00,16500
HABSM,17-Nov-2014,46.00,46.00,45.55,46.00,9500
HABSM,18-Nov-2014,45.00,46.00,45.00,45.35,74500
HABSM,19-Nov-2014,45.79,46.25,44.50,46.14,50000
HABSM,20-Nov-2014,46.50,46.50,44.80,45.49,32000
HABSM,21-Nov-2014,45.89,45.89,45.89,45.89,500
HABSM,24-Nov-2014,45.68,45.69,45.68,45.69,1000
HABSM,25-Nov-2014,45.20,45.20,44.31,44.92,9000
HABSM,26-Nov-2014,44.30,45.39,44.30,44.80,10500
HABSM,27-Nov-2014,44.50,46.49,44.50,45.77,47500
HABSM,28-Nov-2014,46.18,46.89,45.00,45.85,16000
HABSM,01-Dec-2014,45.80,46.25,43.56,43.56,56500
HABSM,02-Dec-2014,43.50,44.00,42.30,43.46,82000
HABSM,03-Dec-2014,43.00,43.70,41.95,43.11,71500
HABSM,04-Dec-2014,43.00,43.38,42.86,43.30,15500
HABSM,05-Dec-2014,43.96,43.97,42.90,43.33,51000
HABSM,08-Dec-2014,43.74,44.74,43.70,44.68,54000
HABSM,09-Dec-2014,44.35,44.77,43.05,43.49,105000
