Symbol,Date,Open,High,Low,Close,Volume
HAFL,31-Jan-2014,81.78,81.78,81.78,81.78,3500
HAFL,06-Feb-2014,85.86,85.86,85.86,85.86,500
HAFL,10-Feb-2014,90.15,90.15,90.15,90.15,500
HAFL,31-Oct-2014,70.63,70.63,70.63,70.63,6000
HAFL,13-Jul-2015,77.00,77.00,77.00,77.00,500
HAFL,18-Aug-2015,73.15,73.15,73.15,73.15,500
HAFL,24-Aug-2015,69.50,69.50,69.50,69.50,500
HAFL,18-Nov-2015,64.60,64.60,64.60,64.60,500
HAFL,24-Nov-2015,61.37,61.37,61.37,61.37,500
HAFL,27-Nov-2015,58.31,58.31,58.31,58.31,500
HAFL,02-Dec-2015,55.40,55.40,55.40,55.40,500
HAFL,03-Dec-2015,52.63,52.63,52.63,52.63,500
HAFL,04-Dec-2015,50.00,50.00,50.00,50.00,500
HAFL,11-Dec-2015,50.00,50.00,50.00,50.00,1000
HAFL,16-May-2016,60.00,60.00,60.00,60.00,500
HAFL,28-Jul-2016,69.45,69.45,69.45,69.45,500
HAFL,03-Nov-2016,166.96,166.96,166.96,166.96,1000
HAFL,15-Nov-2016,175.30,175.30,175.30,175.30,500
HAFL,27-Mar-2018,163.33,163.33,163.33,163.33,100
HAFL,13-Aug-2018,163.33,163.33,163.33,163.33,100
HAFL,16-Aug-2018,163.33,163.33,163.33,163.33,100
HAFL,30-Aug-2018,163.33,163.33,163.33,163.33,100
HAFL,03-Sep-2018,155.17,155.17,155.17,155.17,200
HAFL,04-Sep-2018,147.42,147.42,147.42,147.42,200
HAFL,05-Sep-2018,144.23,144.23,144.23,144.23,100
HAFL,07-Sep-2018,130.17,130.17,130.17,130.17,200
HAFL,11-Sep-2018,130.17,130.17,130.17,130.17,100
HAFL,12-Sep-2018,123.67,123.67,123.67,123.67,500
HAFL,17-Sep-2018,117.49,117.49,117.49,117.49,300
HAFL,24-Apr-2019,115.74,115.74,115.74,115.74,200
HAFL,07-Oct-2019,112.00,112.00,112.00,112.00,300
HAFL,14-Oct-2019,112.00,112.00,112.00,112.00,200
HAFL,06-Aug-2020,110.50,110.50,110.50,110.50,100
HAFL,15-Sep-2020,102.22,102.22,102.22,102.22,300
HAFL,17-Sep-2020,96.00,96.00,95.00,95.75,400
HAFL,21-Sep-2020,88.57,91.00,88.57,90.83,700
HAFL,05-Nov-2020,95.49,95.49,95.49,95.49,900
HAFL,13-Nov-2020,102.65,102.65,102.65,102.65,500
HAFL,16-Nov-2020,102.65,102.65,102.65,102.65,100
HAFL,26-Nov-2020,107.00,110.34,107.00,109.45,400
HAFL,14-Dec-2020,115.00,115.00,115.00,115.00,1300
HAFL,05-Jan-2021,115.00,115.00,115.00,115.00,100
HAFL,07-Jun-2021,115.00,115.00,115.00,115.00,100
HAFL,28-Jun-2021,115.00,115.00,115.00,115.00,200
HAFL,13-Oct-2021,115.00,115.00,115.00,115.00,100
HAFL,30-Dec-2021,113.00,113.00,113.00,113.00,300
HAFL,20-Jan-2022,113.00,113.00,113.00,113.00,100
HAFL,24-Mar-2022,113.00,113.00,113.00,113.00,200
HAFL,13-Jul-2022,110.00,113.00,105.00,113.00,200
HAFL,24-Aug-2022,104.53,104.55,104.53,104.54,2000
HAFL,25-Aug-2022,112.00,112.38,112.00,112.18,400
HAFL,02-Nov-2022,118.44,118.44,110.18,110.18,100
HAFL,07-Dec-2022,120.00,120.00,120.00,120.00,100
HAFL,08-Dec-2022,120.00,120.00,120.00,120.00,100
HAFL,09-Dec-2022,120.00,120.00,120.00,120.00,100
HAFL,05-Jan-2023,129.00,129.00,129.00,129.00,300
HAFL,19-Jan-2023,138.50,138.67,138.50,138.59,200
HAFL,24-Jan-2023,138.59,138.59,138.59,138.59,100
HAFL,26-Jan-2023,138.59,138.59,138.59,138.59,100
HAFL,27-Jan-2023,148.98,148.98,148.98,148.98,200
HAFL,02-May-2023,137.81,137.81,137.81,137.81,200
HAFL,25-Jul-2023,148.15,148.15,148.15,148.15,300
HAFL,24-Oct-2023,157.11,157.11,157.11,157.11,200
HAFL,26-Oct-2023,168.00,168.00,168.00,168.00,200
HAFL,10-Nov-2023,179.95,179.95,179.95,168.00,100
HAFL,07-Dec-2023,175.00,175.00,175.00,168.00,100
HAFL,01-Jan-2024,180.60,180.60,180.60,180.60,200
HAFL,02-Jan-2024,194.15,194.15,194.15,181.08,100
HAFL,03-Jan-2024,167.50,167.50,167.50,167.50,200
HAFL,22-Mar-2024,167.50,167.50,167.50,167.50,100
HAFL,30-Apr-2024,180.00,180.00,180.00,167.50,1
HAFL,16-May-2024,179.00,179.00,179.00,167.50,2
HAFL,23-May-2024,179.00,179.00,179.00,167.50,2
HAFL,05-Jun-2024,179.00,180.90,179.00,179.92,692
HAFL,06-Jun-2024,179.00,194.00,179.00,187.21,212
HAFL,07-Jun-2024,200.00,200.00,200.00,187.21,1
HAFL,14-Jun-2024,187.00,203.12,187.00,195.06,300
HAFL,20-Jun-2024,211.64,211.64,211.64,211.64,1300
HAFL,21-Jun-2024,200.00,200.00,200.00,211.64,5
HAFL,28-Jun-2024,230.69,230.69,210.00,211.64,2
HAFL,06-Aug-2024,190.48,190.48,190.48,211.64,100
HAFL,22-Aug-2024,191.80,191.80,191.80,211.64,1
HAFL,28-Aug-2024,195.00,197.99,195.00,211.64,30
HAFL,30-Aug-2024,195.00,196.00,195.00,211.64,20
HAFL,02-Sep-2024,198.00,199.00,198.00,211.64,20
HAFL,06-Sep-2024,210.99,210.99,210.99,211.64,2
HAFL,09-Sep-2024,210.00,210.00,210.00,211.64,10
HAFL,12-Sep-2024,220.00,220.00,220.00,211.64,10
HAFL,18-Sep-2024,225.00,232.80,225.00,211.64,44
HAFL,20-Sep-2024,232.80,232.80,232.80,232.80,310
HAFL,23-Sep-2024,256.08,256.08,214.00,231.35,874
HAFL,24-Sep-2024,237.86,237.86,237.86,231.35,10
HAFL,25-Sep-2024,237.86,237.86,237.86,231.35,5
