Symbol,Date,Open,High,Low,Close,Volume
HALEON,31-Jan-2023,120.23,129.24,120.00,128.98,303200
HALEON,01-Feb-2023,130.00,136.98,130.00,132.20,21800
HALEON,02-Feb-2023,129.00,134.00,129.00,131.40,8100
HALEON,03-Feb-2023,130.00,130.00,130.00,130.00,1800
HALEON,06-Feb-2023,129.94,130.00,125.00,129.03,16800
HALEON,07-Feb-2023,132.00,135.00,130.31,131.00,7000
HALEON,08-Feb-2023,131.31,140.82,131.31,140.82,44800
HALEON,09-Feb-2023,146.90,151.38,140.82,151.38,183500
HALEON,10-Feb-2023,157.10,157.10,144.20,154.97,96000
HALEON,13-Feb-2023,163.00,166.59,158.00,159.18,55500
HALEON,14-Feb-2023,158.00,158.00,150.00,151.54,11400
HALEON,15-Feb-2023,147.26,155.00,146.61,154.05,4300
HALEON,16-Feb-2023,155.00,157.00,145.00,146.35,24700
HALEON,17-Feb-2023,148.99,148.99,143.60,145.87,3500
HALEON,20-Feb-2023,143.06,143.06,140.00,142.00,7900
HALEON,21-Feb-2023,145.00,146.00,143.00,143.00,2100
HALEON,22-Feb-2023,145.95,150.00,138.00,139.70,17600
HALEON,23-Feb-2023,140.00,141.30,139.00,139.50,5400
HALEON,24-Feb-2023,139.95,140.00,138.01,139.79,3200
HALEON,27-Feb-2023,139.50,139.50,138.75,138.83,3300
HALEON,28-Feb-2023,135.03,140.00,135.00,138.71,2300
HALEON,01-Mar-2023,138.00,138.40,133.00,137.00,3400
HALEON,02-Mar-2023,138.00,138.00,137.00,137.67,25300
HALEON,03-Mar-2023,131.10,145.85,131.10,144.89,176100
HALEON,06-Mar-2023,140.11,144.90,140.00,140.74,6000
HALEON,07-Mar-2023,139.88,140.00,138.10,138.74,1500
HALEON,08-Mar-2023,138.50,140.00,138.50,140.00,1100
HALEON,09-Mar-2023,137.55,139.99,137.55,139.99,500
HALEON,10-Mar-2023,139.99,139.99,139.00,139.50,200
HALEON,13-Mar-2023,139.99,140.00,137.05,138.99,8300
HALEON,14-Mar-2023,138.60,140.00,138.02,139.00,2400
HALEON,15-Mar-2023,133.10,149.42,133.10,143.65,743000
HALEON,16-Mar-2023,144.00,145.00,142.00,144.06,40900
HALEON,17-Mar-2023,144.08,144.95,141.50,142.27,8400
HALEON,20-Mar-2023,139.11,142.00,139.00,139.50,2200
HALEON,21-Mar-2023,139.50,149.95,138.01,138.98,78400
HALEON,22-Mar-2023,138.00,138.00,135.00,135.01,47800
HALEON,24-Mar-2023,132.00,134.99,131.00,131.80,2100
HALEON,27-Mar-2023,132.03,132.10,132.00,132.00,3200
HALEON,28-Mar-2023,134.90,139.70,134.90,136.01,171400
HALEON,29-Mar-2023,135.24,135.99,132.00,132.28,11200
HALEON,30-Mar-2023,130.50,132.00,130.50,131.00,4700
HALEON,31-Mar-2023,131.00,131.00,131.00,131.00,100
HALEON,03-Apr-2023,129.13,133.00,129.00,132.96,15200
HALEON,04-Apr-2023,133.00,133.00,128.90,131.59,2800
HALEON,05-Apr-2023,130.10,130.10,130.05,130.05,1000
HALEON,06-Apr-2023,133.94,135.10,133.94,134.98,67800
HALEON,07-Apr-2023,137.01,137.60,135.00,135.15,119400
HALEON,10-Apr-2023,135.10,135.70,134.00,134.48,3700
HALEON,11-Apr-2023,135.00,135.40,135.00,135.01,2000
HALEON,12-Apr-2023,136.00,139.00,135.50,137.41,19300
HALEON,13-Apr-2023,132.20,140.00,132.20,137.34,14200
HALEON,17-Apr-2023,134.25,136.00,133.00,134.41,1000
HALEON,18-Apr-2023,134.41,134.70,134.41,134.70,3000
HALEON,19-Apr-2023,134.70,134.70,134.70,134.70,100
HALEON,20-Apr-2023,132.00,134.50,132.00,134.49,4100
HALEON,26-Apr-2023,135.00,135.00,134.00,134.00,9200
HALEON,27-Apr-2023,134.00,135.10,133.00,133.21,38600
HALEON,28-Apr-2023,133.00,143.20,129.30,142.39,208900
HALEON,02-May-2023,144.57,147.00,142.00,142.24,47100
HALEON,03-May-2023,142.24,142.50,140.00,140.50,4100
HALEON,04-May-2023,137.00,147.75,137.00,142.84,10900
HALEON,05-May-2023,142.00,142.00,139.00,140.00,15700
HALEON,08-May-2023,140.00,140.00,137.00,138.50,3100
HALEON,09-May-2023,138.00,139.75,135.00,136.91,8600
HALEON,10-May-2023,136.91,136.91,135.00,135.00,2900
HALEON,11-May-2023,134.10,140.00,134.10,140.00,3200
HALEON,12-May-2023,137.00,140.00,135.00,136.01,25700
HALEON,15-May-2023,135.00,135.00,134.00,134.00,4400
HALEON,16-May-2023,136.00,136.00,135.00,135.00,14600
HALEON,17-May-2023,135.99,135.99,133.99,134.00,12600
HALEON,18-May-2023,132.50,132.50,132.50,132.50,500
HALEON,19-May-2023,132.00,142.44,132.00,141.70,207000
HALEON,22-May-2023,141.00,141.00,135.00,135.72,102800
HALEON,23-May-2023,136.00,137.95,135.00,135.21,16100
HALEON,24-May-2023,136.00,137.00,134.10,134.25,15800
HALEON,25-May-2023,135.50,135.70,134.00,135.00,11200
HALEON,26-May-2023,136.40,136.99,132.10,133.48,56500
HALEON,29-May-2023,134.00,135.50,133.99,134.05,14600
HALEON,30-May-2023,134.00,134.89,133.00,133.33,17400
HALEON,31-May-2023,134.00,135.00,132.00,132.00,4700
HALEON,01-Jun-2023,133.99,133.99,132.00,132.00,1000
HALEON,02-Jun-2023,134.00,134.00,134.00,134.00,2000
HALEON,05-Jun-2023,135.10,141.00,134.40,139.71,28300
HALEON,06-Jun-2023,141.99,142.00,138.10,138.34,56000
HALEON,07-Jun-2023,135.25,136.00,134.00,134.68,39200
HALEON,08-Jun-2023,132.20,135.00,132.20,133.24,4300
HALEON,09-Jun-2023,138.00,138.99,138.00,138.99,2000
HALEON,12-Jun-2023,133.10,136.00,133.00,134.11,6400
HALEON,13-Jun-2023,132.00,135.95,132.00,135.24,1500
HALEON,15-Jun-2023,135.90,136.81,135.90,136.30,500
HALEON,19-Jun-2023,131.00,135.00,131.00,134.63,1100
HALEON,20-Jun-2023,133.00,136.00,133.00,134.89,6800
HALEON,21-Jun-2023,132.00,136.99,132.00,136.49,1100
HALEON,22-Jun-2023,132.06,137.00,131.00,135.55,10000
HALEON,23-Jun-2023,131.25,137.90,128.50,133.58,31100
HALEON,26-Jun-2023,135.00,141.00,135.00,140.14,49200
HALEON,03-Jul-2023,148.90,148.94,142.00,148.73,35300
HALEON,04-Jul-2023,147.00,147.00,144.00,145.19,5900
HALEON,05-Jul-2023,144.75,150.00,144.75,148.90,24000
HALEON,06-Jul-2023,150.00,159.45,145.20,158.59,117300
HALEON,07-Jul-2023,158.59,164.85,156.00,161.85,110100
HALEON,10-Jul-2023,162.00,165.00,159.00,163.99,32400
HALEON,11-Jul-2023,164.00,176.29,162.02,172.14,287900
HALEON,12-Jul-2023,173.00,175.00,169.16,172.95,18600
HALEON,13-Jul-2023,173.00,175.00,168.00,168.05,33000
HALEON,14-Jul-2023,168.05,168.05,160.00,160.49,17800
HALEON,17-Jul-2023,156.00,159.98,156.00,157.84,12800
HALEON,18-Jul-2023,159.99,163.00,159.00,159.00,2500
HALEON,19-Jul-2023,158.00,158.00,151.00,153.42,11600
HALEON,20-Jul-2023,153.42,156.00,153.00,155.74,12400
HALEON,21-Jul-2023,154.00,156.50,154.00,155.16,85100
HALEON,24-Jul-2023,155.20,156.00,153.00,153.08,8200
HALEON,25-Jul-2023,150.50,156.99,150.50,151.72,2800
HALEON,26-Jul-2023,154.99,158.25,154.02,154.02,30400
HALEON,27-Jul-2023,157.99,164.00,154.99,160.07,123300
HALEON,31-Jul-2023,160.99,162.99,158.03,162.21,31800
HALEON,01-Aug-2023,160.00,170.00,160.00,168.25,57100
HALEON,02-Aug-2023,168.00,176.38,168.00,171.77,105700
HALEON,03-Aug-2023,172.00,176.50,169.00,169.09,42900
HALEON,04-Aug-2023,169.98,170.00,165.00,169.50,18500
HALEON,07-Aug-2023,169.50,173.00,169.00,169.00,15700
HALEON,08-Aug-2023,169.90,169.90,162.05,163.03,18600
HALEON,09-Aug-2023,163.03,167.00,160.00,160.94,23700
HALEON,10-Aug-2023,157.10,164.90,157.10,164.83,10100
HALEON,11-Aug-2023,164.50,171.80,159.00,165.15,24000
HALEON,15-Aug-2023,165.00,171.00,165.00,168.30,15400
HALEON,16-Aug-2023,168.00,168.00,160.55,160.85,13600
HALEON,17-Aug-2023,160.00,164.00,160.00,164.00,900
HALEON,18-Aug-2023,160.02,163.00,160.00,160.21,5000
HALEON,22-Aug-2023,164.30,164.30,148.19,149.31,25100
HALEON,23-Aug-2023,141.03,150.00,139.00,139.42,126800
HALEON,24-Aug-2023,139.99,141.99,137.50,138.70,10300
HALEON,25-Aug-2023,140.00,140.00,137.90,138.45,300
HALEON,28-Aug-2023,139.75,139.75,134.00,134.00,900
HALEON,29-Aug-2023,131.51,132.00,128.50,131.50,1500
HALEON,30-Aug-2023,131.60,131.60,130.00,130.11,11700
HALEON,31-Aug-2023,128.00,129.96,126.00,126.50,1100
HALEON,01-Sep-2023,121.20,128.00,120.00,127.86,5100
HALEON,04-Sep-2023,125.00,129.50,125.00,127.98,16100
HALEON,05-Sep-2023,130.00,130.00,126.00,126.80,5500
HALEON,06-Sep-2023,130.00,130.00,129.84,130.00,19400
HALEON,07-Sep-2023,129.00,130.00,127.00,129.41,6200
HALEON,08-Sep-2023,126.10,138.00,126.10,129.86,45000
HALEON,11-Sep-2023,127.52,130.00,125.00,130.00,25300
HALEON,12-Sep-2023,127.26,128.00,127.00,127.26,900
HALEON,13-Sep-2023,130.00,133.94,130.00,133.94,6100
HALEON,14-Sep-2023,132.00,132.00,130.00,130.00,15800
HALEON,15-Sep-2023,132.90,138.00,132.50,137.49,23200
HALEON,19-Sep-2023,137.00,147.80,137.00,147.80,71600
HALEON,20-Sep-2023,150.90,155.00,150.03,151.96,220400
HALEON,21-Sep-2023,151.01,153.00,148.00,152.14,26000
HALEON,22-Sep-2023,155.00,155.00,148.10,148.84,9600
HALEON,25-Sep-2023,149.00,150.50,148.00,148.66,10400
HALEON,26-Sep-2023,153.85,153.85,145.50,146.39,31100
HALEON,27-Sep-2023,145.00,146.00,143.12,143.35,3500
HALEON,28-Sep-2023,140.15,143.35,140.12,142.48,900
HALEON,02-Oct-2023,142.50,145.00,141.00,141.01,3700
HALEON,03-Oct-2023,141.00,144.70,141.00,142.99,3200
HALEON,04-Oct-2023,141.10,141.10,141.10,142.99,200
HALEON,05-Oct-2023,144.00,144.90,143.00,144.18,11000
HALEON,06-Oct-2023,144.00,149.00,144.00,148.66,16600
HALEON,09-Oct-2023,145.00,152.00,145.00,151.48,25400
HALEON,10-Oct-2023,151.00,153.00,148.00,149.97,20400
HALEON,11-Oct-2023,150.00,150.00,145.25,147.01,11900
HALEON,12-Oct-2023,149.00,157.00,149.00,152.62,10800
HALEON,13-Oct-2023,155.90,164.07,155.90,164.07,69100
HALEON,16-Oct-2023,170.10,171.98,160.01,167.03,48600
HALEON,17-Oct-2023,168.50,168.50,160.50,161.27,11900
HALEON,18-Oct-2023,160.00,161.00,159.06,160.26,1000
HALEON,19-Oct-2023,160.00,162.40,159.00,160.04,16900
HALEON,20-Oct-2023,160.88,164.01,158.00,160.00,9200
HALEON,23-Oct-2023,162.00,168.00,162.00,163.00,38400
HALEON,24-Oct-2023,166.45,166.45,160.30,163.43,9600
HALEON,25-Oct-2023,164.00,164.00,162.00,162.38,8300
HALEON,26-Oct-2023,164.00,164.00,159.00,159.00,3100
HALEON,27-Oct-2023,158.00,158.00,152.00,152.08,42800
HALEON,30-Oct-2023,154.99,155.00,153.00,153.99,1400
HALEON,31-Oct-2023,153.00,160.00,153.00,156.14,113600
HALEON,01-Nov-2023,159.80,159.80,156.01,157.18,6900
HALEON,02-Nov-2023,158.00,160.00,154.00,155.07,4400
HALEON,03-Nov-2023,159.00,165.00,159.00,164.64,70300
HALEON,06-Nov-2023,167.00,168.00,163.21,164.28,13500
HALEON,07-Nov-2023,160.00,162.50,159.00,159.80,9000
HALEON,08-Nov-2023,163.00,163.00,161.00,161.52,24600
HALEON,10-Nov-2023,164.80,166.00,161.00,162.45,37400
HALEON,13-Nov-2023,165.00,166.00,159.00,162.21,97900
HALEON,14-Nov-2023,160.00,162.00,159.10,161.00,12200
HALEON,15-Nov-2023,161.99,162.00,157.00,157.41,31300
HALEON,16-Nov-2023,155.56,162.00,155.56,160.00,22600
HALEON,17-Nov-2023,159.99,160.00,157.00,158.47,49700
HALEON,20-Nov-2023,158.50,166.00,158.50,162.09,93000
HALEON,21-Nov-2023,166.00,166.00,160.12,161.02,40900
HALEON,22-Nov-2023,161.01,173.10,161.01,173.10,274900
HALEON,23-Nov-2023,181.99,186.08,177.00,186.08,307100
HALEON,24-Nov-2023,180.00,197.00,180.00,187.42,193600
HALEON,27-Nov-2023,187.00,190.00,181.00,185.50,49800
HALEON,28-Nov-2023,190.00,190.00,185.51,186.90,42800
HALEON,29-Nov-2023,185.00,188.00,182.00,182.42,21800
HALEON,30-Nov-2023,180.00,181.60,177.00,180.09,16000
HALEON,01-Dec-2023,179.78,189.98,179.78,185.51,15800
HALEON,04-Dec-2023,184.50,190.00,184.50,187.32,25100
HALEON,05-Dec-2023,183.55,188.00,183.01,187.70,25500
HALEON,06-Dec-2023,187.50,196.00,187.00,192.85,122000
HALEON,07-Dec-2023,190.05,200.50,190.05,199.07,88900
HALEON,08-Dec-2023,197.99,200.00,195.13,198.26,17400
HALEON,11-Dec-2023,197.00,197.00,191.00,194.17,14900
HALEON,12-Dec-2023,191.00,197.00,191.00,195.40,35400
HALEON,13-Dec-2023,193.00,198.55,193.00,194.90,8100
HALEON,14-Dec-2023,189.13,191.00,189.13,190.00,6100
HALEON,15-Dec-2023,193.80,195.00,187.01,190.00,31600
HALEON,18-Dec-2023,187.00,187.00,185.00,186.20,4500
HALEON,19-Dec-2023,181.50,181.50,172.24,174.75,17300
HALEON,20-Dec-2023,172.00,173.00,166.00,173.00,32600
HALEON,21-Dec-2023,171.00,176.80,171.00,175.16,3900
HALEON,22-Dec-2023,178.00,178.00,171.00,171.05,1900
HALEON,26-Dec-2023,170.00,170.00,160.10,161.01,7000
HALEON,27-Dec-2023,163.00,170.00,163.00,167.22,38700
HALEON,28-Dec-2023,174.50,178.40,172.00,174.23,9600
HALEON,29-Dec-2023,167.00,171.80,166.00,169.01,47800
HALEON,01-Jan-2024,171.21,180.00,171.20,179.73,26200
HALEON,02-Jan-2024,180.00,180.00,179.00,179.00,3600
HALEON,03-Jan-2024,179.98,192.43,179.98,192.40,203800
HALEON,04-Jan-2024,195.00,197.99,189.06,194.08,91000
HALEON,05-Jan-2024,192.90,196.50,185.00,191.26,70000
