Symbol,Date,Open,High,Low,Close,Volume
HASCOL,14-May-2014,59.32,59.32,59.32,59.32,214500
HASCOL,15-May-2014,62.28,62.28,62.28,62.28,338000
HASCOL,16-May-2014,65.39,65.39,65.39,65.39,73000
HASCOL,19-May-2014,68.65,68.65,68.65,68.65,25500
HASCOL,20-May-2014,72.08,72.08,67.33,67.78,13718500
HASCOL,21-May-2014,67.20,68.08,64.40,64.40,4777000
HASCOL,22-May-2014,62.56,64.50,61.55,61.78,6574500
HASCOL,23-May-2014,61.97,62.95,61.75,62.12,2041000
HASCOL,26-May-2014,62.67,62.89,61.60,61.75,1158500
HASCOL,27-May-2014,61.98,62.28,61.51,61.65,837500
HASCOL,28-May-2014,61.70,64.73,61.11,64.39,5863500
HASCOL,29-May-2014,65.40,67.60,65.40,67.60,4845500
HASCOL,30-May-2014,69.25,70.10,67.70,67.99,5234000
HASCOL,02-Jun-2014,68.20,71.24,67.32,70.15,5854000
HASCOL,03-Jun-2014,70.30,71.25,66.65,68.60,4974500
HASCOL,04-Jun-2014,68.60,69.89,68.40,69.08,2235000
HASCOL,05-Jun-2014,69.50,71.48,69.25,71.45,6216000
HASCOL,06-Jun-2014,72.48,75.02,72.05,75.02,2727000
HASCOL,09-Jun-2014,77.50,78.77,76.57,78.05,8305000
HASCOL,10-Jun-2014,79.05,81.95,78.50,81.95,5021500
HASCOL,11-Jun-2014,85.50,86.04,84.80,86.04,876000
HASCOL,12-Jun-2014,90.34,90.34,84.06,88.06,8943500
HASCOL,13-Jun-2014,87.06,89.45,85.25,86.09,3204500
HASCOL,16-Jun-2014,85.60,85.90,81.79,81.79,2665000
HASCOL,17-Jun-2014,80.00,80.97,77.71,77.71,3285000
HASCOL,18-Jun-2014,76.50,79.45,74.24,74.76,3383000
HASCOL,19-Jun-2014,75.35,75.65,71.03,71.23,3030500
HASCOL,20-Jun-2014,71.60,74.40,71.50,72.56,3164000
HASCOL,23-Jun-2014,71.50,76.18,70.36,76.18,1958000
HASCOL,24-Jun-2014,79.30,79.98,79.00,79.98,585500
HASCOL,25-Jun-2014,83.89,83.97,81.55,83.53,5485000
HASCOL,26-Jun-2014,85.48,87.70,83.80,87.32,5893500
HASCOL,27-Jun-2014,87.50,87.50,82.96,83.15,3261000
HASCOL,30-Jun-2014,82.90,83.15,79.00,79.14,2468000
HASCOL,01-Jul-2014,79.01,83.09,78.52,83.09,1114000
HASCOL,02-Jul-2014,87.24,87.24,85.03,85.44,4921000
HASCOL,03-Jul-2014,85.45,86.70,84.21,85.17,2344000
HASCOL,04-Jul-2014,85.50,86.25,84.50,84.61,927500
HASCOL,07-Jul-2014,85.50,86.69,85.00,85.48,1418000
HASCOL,08-Jul-2014,85.94,86.60,85.60,86.34,1886500
HASCOL,09-Jul-2014,86.51,87.25,85.10,85.38,1750500
HASCOL,10-Jul-2014,85.35,85.50,82.22,83.20,1658500
HASCOL,11-Jul-2014,83.00,84.24,82.70,83.31,669500
HASCOL,14-Jul-2014,83.74,87.47,83.13,87.47,3274000
HASCOL,15-Jul-2014,88.95,89.27,85.01,86.12,6224000
HASCOL,16-Jul-2014,87.10,88.40,86.30,86.45,2813500
HASCOL,17-Jul-2014,86.70,87.47,86.02,86.44,1812500
HASCOL,18-Jul-2014,86.60,87.19,85.41,85.86,1386000
HASCOL,21-Jul-2014,85.80,86.30,84.60,84.81,1745000
HASCOL,22-Jul-2014,84.90,86.60,84.31,85.01,1766000
HASCOL,23-Jul-2014,85.11,86.16,84.50,84.56,1171500
HASCOL,24-Jul-2014,84.35,85.40,84.05,84.22,1284000
HASCOL,28-Jul-2014,84.75,84.75,83.30,83.54,572000
HASCOL,04-Aug-2014,82.90,82.90,79.37,79.37,1701500
HASCOL,05-Aug-2014,79.00,81.10,78.15,79.55,1903000
HASCOL,06-Aug-2014,79.84,79.97,77.66,77.95,1282500
HASCOL,07-Aug-2014,77.85,80.30,77.39,79.36,1718500
HASCOL,08-Aug-2014,79.00,79.50,78.20,78.86,720000
HASCOL,11-Aug-2014,74.92,74.92,74.92,74.92,122500
HASCOL,12-Aug-2014,72.00,74.09,71.18,72.37,3930500
HASCOL,13-Aug-2014,71.00,75.50,71.00,73.90,2171000
HASCOL,15-Aug-2014,73.25,75.75,73.25,75.40,1347500
HASCOL,18-Aug-2014,74.10,76.70,74.10,75.17,1047000
HASCOL,19-Aug-2014,73.35,74.00,72.51,73.24,1077500
HASCOL,20-Aug-2014,72.90,74.99,72.40,73.23,1577500
HASCOL,21-Aug-2014,75.25,76.50,73.02,73.86,2640500
HASCOL,22-Aug-2014,74.40,74.95,73.78,74.51,840500
HASCOL,25-Aug-2014,73.65,74.90,73.65,74.38,628000
HASCOL,26-Aug-2014,74.00,75.60,71.20,72.88,1504000
HASCOL,27-Aug-2014,72.80,73.24,69.24,70.10,1610500
HASCOL,28-Aug-2014,68.60,70.85,67.52,69.55,1100000
HASCOL,29-Aug-2014,72.00,73.02,71.15,72.25,1887500
HASCOL,01-Sep-2014,70.00,73.30,69.83,72.59,1613000
HASCOL,02-Sep-2014,73.69,76.21,73.69,76.10,2675000
HASCOL,03-Sep-2014,77.50,77.60,76.20,76.50,2885000
HASCOL,04-Sep-2014,76.74,76.93,75.01,75.31,1525000
HASCOL,05-Sep-2014,75.29,77.00,74.75,75.14,2040500
HASCOL,08-Sep-2014,75.75,75.85,74.90,75.24,468500
HASCOL,09-Sep-2014,75.40,76.98,75.40,76.34,1543500
HASCOL,10-Sep-2014,76.95,77.47,75.92,76.05,1302500
HASCOL,11-Sep-2014,76.49,76.49,75.77,76.12,452000
HASCOL,12-Sep-2014,76.01,76.61,75.50,75.96,476000
HASCOL,15-Sep-2014,75.90,76.18,75.35,75.94,399500
HASCOL,16-Sep-2014,75.60,75.99,74.60,74.79,442500
HASCOL,17-Sep-2014,74.80,75.58,73.80,73.99,858500
HASCOL,18-Sep-2014,74.02,74.22,73.00,73.03,503000
HASCOL,19-Sep-2014,73.03,73.74,72.85,73.08,401000
HASCOL,22-Sep-2014,73.29,73.65,72.00,72.16,742500
HASCOL,23-Sep-2014,72.05,75.76,71.70,74.53,2471000
HASCOL,24-Sep-2014,75.00,76.50,74.80,75.03,3130000
HASCOL,25-Sep-2014,75.50,75.50,73.50,73.67,777000
HASCOL,26-Sep-2014,73.55,75.72,72.75,74.73,1201000
HASCOL,29-Sep-2014,74.25,74.35,72.80,72.99,333000
HASCOL,30-Sep-2014,73.00,73.98,72.81,73.47,579500
HASCOL,01-Oct-2014,73.80,74.01,73.00,73.06,467000
HASCOL,02-Oct-2014,73.49,73.75,73.00,73.10,433000
HASCOL,03-Oct-2014,73.30,73.50,73.00,73.13,221500
HASCOL,09-Oct-2014,73.20,73.69,72.57,73.06,441500
HASCOL,10-Oct-2014,73.06,73.90,72.50,73.13,662000
HASCOL,13-Oct-2014,73.11,73.35,72.01,72.38,676000
HASCOL,14-Oct-2014,72.49,72.50,71.80,71.90,427000
HASCOL,15-Oct-2014,71.98,72.00,69.51,69.66,600500
HASCOL,16-Oct-2014,69.76,69.76,67.80,68.55,812000
HASCOL,17-Oct-2014,68.74,69.79,68.41,68.61,321500
HASCOL,20-Oct-2014,68.89,68.89,67.80,67.91,264500
HASCOL,21-Oct-2014,68.48,68.48,67.50,67.70,153500
HASCOL,22-Oct-2014,68.60,68.79,67.76,67.98,350000
HASCOL,23-Oct-2014,67.91,71.37,67.90,71.37,1928500
HASCOL,24-Oct-2014,72.80,74.93,72.00,73.25,4569500
HASCOL,27-Oct-2014,73.05,74.15,71.65,71.83,1078500
HASCOL,28-Oct-2014,71.90,74.10,71.15,73.43,1825500
HASCOL,29-Oct-2014,74.60,76.25,73.70,74.35,5467500
HASCOL,30-Oct-2014,74.99,76.50,74.35,74.91,3532000
HASCOL,31-Oct-2014,77.25,77.25,75.11,75.85,3780500
HASCOL,05-Nov-2014,75.60,76.30,74.25,74.90,2551000
HASCOL,06-Nov-2014,75.38,75.38,73.85,74.11,964500
HASCOL,07-Nov-2014,74.21,75.65,73.75,75.36,1466500
HASCOL,10-Nov-2014,75.80,77.20,75.80,76.10,2977500
HASCOL,11-Nov-2014,76.47,76.80,75.70,76.41,1271500
HASCOL,12-Nov-2014,76.45,79.69,76.45,79.07,4440500
HASCOL,13-Nov-2014,78.95,79.89,78.10,78.39,2559000
HASCOL,14-Nov-2014,78.51,78.77,76.32,76.79,866000
HASCOL,17-Nov-2014,77.80,78.50,76.80,77.53,2149000
HASCOL,18-Nov-2014,77.55,81.40,77.25,81.40,5610500
HASCOL,19-Nov-2014,82.60,85.47,81.95,85.47,3880500
HASCOL,20-Nov-2014,88.00,88.00,81.20,82.39,5895500
