Symbol,Date,Open,High,Low,Close,Volume
HCAR,01-Jan-2014,42.60,43.00,42.00,42.12,137500
HCAR,02-Jan-2014,42.80,43.00,42.10,42.49,107500
HCAR,03-Jan-2014,42.90,43.00,42.35,42.64,55500
HCAR,06-Jan-2014,43.25,44.41,43.02,43.78,366000
HCAR,07-Jan-2014,44.39,45.40,44.00,44.42,201500
HCAR,08-Jan-2014,44.50,44.50,43.86,43.93,61500
HCAR,09-Jan-2014,44.13,45.00,43.40,43.69,117000
HCAR,10-Jan-2014,44.00,45.29,44.00,44.29,204000
HCAR,13-Jan-2014,45.00,45.29,44.18,44.39,91000
HCAR,15-Jan-2014,44.85,45.00,43.15,43.59,142000
HCAR,16-Jan-2014,43.40,45.76,43.40,44.26,1658000
HCAR,17-Jan-2014,44.44,45.93,44.00,45.72,990000
HCAR,20-Jan-2014,46.25,48.00,46.20,48.00,741000
HCAR,21-Jan-2014,49.70,50.10,48.00,49.12,1111500
HCAR,22-Jan-2014,49.05,50.00,48.91,49.19,360000
HCAR,23-Jan-2014,49.20,51.64,47.70,50.84,1457500
HCAR,24-Jan-2014,50.10,52.24,49.40,50.14,948000
HCAR,27-Jan-2014,50.50,50.50,47.70,48.05,302500
HCAR,28-Jan-2014,48.50,48.74,47.40,47.64,249500
HCAR,29-Jan-2014,47.98,48.89,46.00,46.01,441500
HCAR,30-Jan-2014,46.02,46.02,44.45,44.73,202000
HCAR,31-Jan-2014,44.75,46.00,44.56,45.51,213000
HCAR,03-Feb-2014,46.01,46.01,45.25,45.32,122000
HCAR,04-Feb-2014,45.00,45.35,44.85,44.89,114000
HCAR,06-Feb-2014,45.25,46.02,44.40,44.62,210500
HCAR,07-Feb-2014,45.00,45.10,43.80,44.06,153500
HCAR,10-Feb-2014,44.01,44.01,42.31,43.01,99500
HCAR,11-Feb-2014,43.01,45.16,42.50,44.88,268000
HCAR,12-Feb-2014,45.50,47.12,45.50,47.12,422000
HCAR,13-Feb-2014,48.90,48.98,47.50,47.86,636000
HCAR,14-Feb-2014,47.26,47.50,46.22,46.55,268500
HCAR,17-Feb-2014,46.60,47.00,45.40,45.79,144000
HCAR,18-Feb-2014,45.42,46.36,45.10,46.01,129000
HCAR,19-Feb-2014,46.70,47.20,46.50,46.63,171000
HCAR,20-Feb-2014,46.84,46.84,45.11,45.50,67500
HCAR,21-Feb-2014,45.30,46.50,44.60,46.14,168500
HCAR,24-Feb-2014,46.00,46.10,45.50,45.93,51500
HCAR,25-Feb-2014,46.01,46.50,44.75,45.14,96000
HCAR,26-Feb-2014,45.16,45.16,44.30,44.51,45000
HCAR,27-Feb-2014,45.24,45.24,44.00,44.21,82500
HCAR,28-Feb-2014,44.20,45.18,43.81,44.12,44500
HCAR,03-Mar-2014,45.24,45.95,44.65,44.95,82000
HCAR,04-Mar-2014,44.97,46.00,44.80,44.88,125500
HCAR,05-Mar-2014,45.00,46.08,45.00,45.76,233500
HCAR,06-Mar-2014,46.00,46.25,45.40,45.47,105500
HCAR,07-Mar-2014,45.90,46.46,45.50,45.58,143000
HCAR,10-Mar-2014,45.50,47.85,45.50,47.85,532500
HCAR,11-Mar-2014,49.50,50.24,49.13,50.24,1126500
HCAR,12-Mar-2014,52.75,52.75,52.75,52.75,269500
HCAR,13-Mar-2014,55.38,55.38,55.38,55.38,135000
HCAR,14-Mar-2014,56.00,56.15,52.75,54.51,1641000
