Symbol,Date,Open,High,Low,Close,Volume
HGFA,01-Jan-2014,25.45,25.76,25.40,25.53,622500
HGFA,02-Jan-2014,25.49,25.90,25.49,25.81,301500
HGFA,03-Jan-2014,25.95,26.24,25.52,25.90,371500
HGFA,06-Jan-2014,25.90,26.28,25.90,26.15,243000
HGFA,07-Jan-2014,26.00,26.45,25.97,26.40,111500
HGFA,08-Jan-2014,26.45,27.00,26.25,26.80,475500
HGFA,09-Jan-2014,26.70,27.00,26.70,26.86,72500
HGFA,10-Jan-2014,26.75,26.75,25.90,26.00,852500
HGFA,13-Jan-2014,26.40,26.60,26.28,26.40,212500
HGFA,15-Jan-2014,26.60,26.90,26.60,26.86,175500
HGFA,16-Jan-2014,26.85,26.90,26.52,26.89,135500
HGFA,17-Jan-2014,26.80,27.25,26.60,27.24,156000
HGFA,20-Jan-2014,27.22,27.25,27.00,27.23,77500
HGFA,21-Jan-2014,27.24,27.24,27.00,27.18,84500
HGFA,22-Jan-2014,27.01,27.01,26.50,26.58,274000
HGFA,23-Jan-2014,26.51,27.35,26.51,26.65,283500
HGFA,24-Jan-2014,26.42,26.55,26.40,26.50,23500
HGFA,27-Jan-2014,26.50,26.50,25.90,26.18,69500
HGFA,28-Jan-2014,26.65,26.65,26.06,26.06,23000
HGFA,29-Jan-2014,26.01,26.15,25.90,25.93,107000
HGFA,30-Jan-2014,26.00,26.00,25.88,25.95,28500
HGFA,31-Jan-2014,26.19,26.34,26.00,26.04,15500
HGFA,03-Feb-2014,26.10,26.25,26.10,26.13,27500
HGFA,04-Feb-2014,26.35,26.40,26.20,26.36,76500
HGFA,06-Feb-2014,26.00,26.56,26.00,26.50,155000
HGFA,07-Feb-2014,26.25,26.35,26.20,26.20,53500
HGFA,10-Feb-2014,26.10,26.10,25.81,25.99,139000
HGFA,11-Feb-2014,26.00,26.05,25.90,26.00,45500
HGFA,12-Feb-2014,26.16,26.60,26.10,26.51,90000
HGFA,13-Feb-2014,26.69,27.00,25.77,26.00,483500
HGFA,14-Feb-2014,26.00,26.00,25.50,25.53,139500
HGFA,17-Feb-2014,25.90,25.90,25.35,25.49,43000
HGFA,18-Feb-2014,25.15,25.49,25.15,25.41,98500
HGFA,19-Feb-2014,25.50,26.68,25.50,26.12,693500
HGFA,20-Feb-2014,26.35,26.40,26.17,26.17,36500
HGFA,21-Feb-2014,25.90,26.45,25.80,26.20,30000
HGFA,24-Feb-2014,26.14,26.25,26.00,26.02,100500
HGFA,25-Feb-2014,26.00,26.00,25.50,25.57,152500
HGFA,26-Feb-2014,25.99,26.00,25.50,25.50,105000
HGFA,27-Feb-2014,25.70,25.70,25.40,25.40,63500
HGFA,28-Feb-2014,24.50,26.67,24.50,26.33,5483500
HGFA,03-Mar-2014,26.99,27.00,26.25,26.47,253500
HGFA,04-Mar-2014,26.00,26.30,26.00,26.24,64000
HGFA,05-Mar-2014,26.36,26.70,26.11,26.59,242500
HGFA,06-Mar-2014,26.75,26.79,26.35,26.55,714000
HGFA,07-Mar-2014,26.22,27.00,26.22,26.94,269000
HGFA,10-Mar-2014,26.72,27.50,26.70,27.44,1115500
HGFA,11-Mar-2014,27.37,27.75,27.35,27.47,963000
HGFA,12-Mar-2014,27.50,27.74,27.21,27.50,485500
HGFA,13-Mar-2014,27.50,27.65,27.32,27.59,98000
HGFA,14-Mar-2014,27.60,27.65,27.40,27.48,186000
HGFA,17-Mar-2014,27.13,27.79,27.13,27.49,133500
HGFA,18-Mar-2014,27.70,28.00,27.65,27.88,378000
HGFA,19-Mar-2014,27.89,28.19,27.89,28.01,103000
HGFA,20-Mar-2014,28.00,28.10,27.76,27.98,207000
HGFA,21-Mar-2014,28.15,28.20,27.89,27.95,92500
HGFA,24-Mar-2014,27.50,27.76,27.42,27.50,1257500
HGFA,25-Mar-2014,27.90,27.90,27.60,27.80,69000
HGFA,26-Mar-2014,28.14,28.14,27.86,27.99,96000
HGFA,27-Mar-2014,28.15,28.49,28.01,28.46,311000
HGFA,28-Mar-2014,28.30,28.50,28.25,28.26,262000
HGFA,31-Mar-2014,28.39,28.39,28.00,28.16,85000
HGFA,01-Apr-2014,28.00,28.70,28.00,28.54,214500
HGFA,02-Apr-2014,28.30,28.63,28.30,28.51,111500
HGFA,03-Apr-2014,28.96,29.20,28.65,29.06,262500
HGFA,04-Apr-2014,29.10,30.40,29.10,30.36,217000
HGFA,07-Apr-2014,30.01,30.20,29.90,30.15,223500
HGFA,08-Apr-2014,30.15,30.97,30.00,30.82,165000
HGFA,09-Apr-2014,30.51,31.29,30.51,31.07,222500
HGFA,10-Apr-2014,31.20,32.45,31.01,32.06,357500
HGFA,11-Apr-2014,32.28,32.54,31.51,31.84,242500
HGFA,14-Apr-2014,31.95,32.10,31.70,31.76,67500
HGFA,15-Apr-2014,31.70,32.05,31.62,32.01,804000
HGFA,16-Apr-2014,32.44,32.45,31.94,32.01,163500
HGFA,17-Apr-2014,32.45,32.45,31.62,31.73,83000
HGFA,18-Apr-2014,32.00,32.05,30.90,30.99,174500
HGFA,21-Apr-2014,31.01,31.01,29.50,30.68,35500
HGFA,22-Apr-2014,31.00,31.29,30.55,31.15,57500
HGFA,23-Apr-2014,30.77,31.25,29.80,30.15,263500
HGFA,24-Apr-2014,30.30,30.86,30.00,30.04,55000
HGFA,25-Apr-2014,30.15,30.68,30.00,30.53,70500
HGFA,28-Apr-2014,30.70,30.70,30.30,30.51,107500
HGFA,29-Apr-2014,30.50,30.80,30.50,30.54,238000
HGFA,30-Apr-2014,30.98,30.98,30.73,30.77,40500
HGFA,02-May-2014,30.98,31.50,30.98,31.00,24000
HGFA,05-May-2014,31.05,31.99,30.75,31.72,53500
HGFA,06-May-2014,30.85,31.20,30.85,31.01,5500
HGFA,07-May-2014,31.00,31.00,30.50,30.70,59000
HGFA,08-May-2014,31.00,31.20,30.80,31.00,11000
HGFA,09-May-2014,31.43,32.55,30.80,32.32,493000
HGFA,12-May-2014,32.15,33.15,32.15,32.51,426000
HGFA,13-May-2014,32.88,32.95,31.50,31.75,432000
HGFA,14-May-2014,32.10,32.40,31.76,32.00,92000
HGFA,15-May-2014,32.30,32.89,32.25,32.28,304500
HGFA,16-May-2014,32.69,32.69,31.75,32.21,318000
HGFA,19-May-2014,32.60,32.60,32.15,32.15,37500
HGFA,20-May-2014,32.25,32.50,32.01,32.25,135000
