Symbol,Date,Open,High,Low,Close,Volume
HINOON,01-Jan-2014,119.25,123.50,119.25,122.94,27300
HINOON,02-Jan-2014,126.80,128.99,124.00,124.17,23900
HINOON,03-Jan-2014,125.00,125.00,120.05,122.65,12300
HINOON,06-Jan-2014,122.00,124.90,121.00,124.19,16200
HINOON,07-Jan-2014,123.45,127.00,120.00,123.50,42800
HINOON,08-Jan-2014,124.00,125.90,122.75,123.20,18300
HINOON,09-Jan-2014,122.00,124.00,120.00,121.69,8500
HINOON,10-Jan-2014,123.50,123.50,120.66,121.28,5900
HINOON,13-Jan-2014,122.25,122.25,120.00,120.27,3700
HINOON,15-Jan-2014,123.70,123.70,119.50,119.97,15300
HINOON,16-Jan-2014,119.00,125.96,117.50,124.59,43700
HINOON,17-Jan-2014,127.99,130.50,125.00,125.76,54000
HINOON,20-Jan-2014,128.00,132.04,126.90,132.04,96000
HINOON,21-Jan-2014,138.64,138.64,135.01,138.64,52700
HINOON,22-Jan-2014,144.99,145.57,137.00,142.36,99000
HINOON,23-Jan-2014,144.99,149.47,144.99,149.47,60100
HINOON,24-Jan-2014,153.00,156.40,150.00,154.72,56900
HINOON,27-Jan-2014,156.90,161.24,150.00,155.91,49100
HINOON,28-Jan-2014,158.00,158.70,155.00,155.50,11600
HINOON,29-Jan-2014,151.00,155.00,148.00,152.45,7600
HINOON,30-Jan-2014,146.62,152.75,146.50,147.58,26400
HINOON,31-Jan-2014,145.00,149.00,144.00,145.04,10600
HINOON,03-Feb-2014,145.98,152.29,145.00,151.94,32200
HINOON,04-Feb-2014,152.50,159.53,151.51,156.73,69800
HINOON,06-Feb-2014,161.00,163.00,156.00,159.19,25500
HINOON,07-Feb-2014,157.11,157.11,153.00,153.55,7300
HINOON,10-Feb-2014,147.00,149.95,145.88,145.88,9300
HINOON,11-Feb-2014,145.00,147.00,143.00,143.93,3700
HINOON,12-Feb-2014,146.00,151.12,146.00,151.12,31100
HINOON,13-Feb-2014,158.00,158.00,151.10,152.10,19400
HINOON,14-Feb-2014,152.00,152.00,152.00,152.10,400
HINOON,17-Feb-2014,145.65,148.00,144.50,144.82,9600
HINOON,18-Feb-2014,140.00,144.00,137.58,140.00,16800
HINOON,19-Feb-2014,144.95,144.95,139.00,140.00,2300
HINOON,20-Feb-2014,139.00,139.00,139.00,140.00,300
