Symbol,Date,Open,High,Low,Close,Volume
HMM,06-Oct-2017,10.00,10.15,10.00,10.12,23000
HMM,09-Oct-2017,10.00,10.50,10.00,10.50,13500
HMM,10-Oct-2017,10.10,10.60,10.10,10.60,22500
HMM,11-Oct-2017,10.05,10.50,10.05,10.50,13500
HMM,12-Oct-2017,10.45,10.50,10.19,10.24,23500
HMM,13-Oct-2017,10.25,10.25,10.06,10.06,4500
HMM,16-Oct-2017,10.50,10.50,10.02,10.07,13500
HMM,17-Oct-2017,10.05,10.05,10.03,10.03,2500
HMM,18-Oct-2017,10.02,10.02,10.01,10.01,1000
HMM,19-Oct-2017,10.01,10.02,10.00,10.00,9000
HMM,20-Oct-2017,10.00,10.05,10.00,10.05,4000
HMM,23-Oct-2017,10.02,10.05,10.02,10.05,1000
HMM,24-Oct-2017,10.07,10.08,10.05,10.08,2500
HMM,25-Oct-2017,10.90,10.90,10.02,10.02,3000
HMM,26-Oct-2017,10.01,10.05,10.01,10.05,3000
HMM,27-Oct-2017,10.30,10.30,10.00,10.05,5500
HMM,30-Oct-2017,10.02,10.02,10.01,10.01,1500
HMM,31-Oct-2017,10.00,10.01,10.00,10.01,3000
HMM,01-Nov-2017,10.00,10.01,10.00,10.01,2500
HMM,02-Nov-2017,10.05,10.05,10.05,10.05,1500
HMM,03-Nov-2017,10.01,10.50,10.00,10.50,22500
HMM,06-Nov-2017,10.08,10.30,10.08,10.28,3500
HMM,07-Nov-2017,10.30,10.31,10.30,10.30,4000
HMM,08-Nov-2017,10.31,10.36,10.31,10.35,4000
HMM,09-Nov-2017,10.35,10.35,10.30,10.30,9000
HMM,10-Nov-2017,10.25,10.30,10.25,10.30,8000
HMM,13-Nov-2017,10.02,10.30,10.02,10.24,6500
HMM,14-Nov-2017,10.30,10.30,10.30,10.30,1500
HMM,15-Nov-2017,10.13,10.13,10.13,10.13,1000
HMM,16-Nov-2017,10.15,10.15,10.15,10.15,1000
HMM,17-Nov-2017,10.07,10.07,10.07,10.07,1000
HMM,20-Nov-2017,10.10,10.15,10.10,10.15,3000
HMM,21-Nov-2017,10.10,10.15,10.05,10.08,3500
HMM,22-Nov-2017,10.02,10.03,10.02,10.02,2000
HMM,23-Nov-2017,10.00,10.05,10.00,10.05,7000
HMM,27-Nov-2017,10.02,10.03,10.02,10.03,2000
HMM,28-Nov-2017,10.05,10.05,10.05,10.05,4500
HMM,29-Nov-2017,10.05,10.07,10.05,10.07,3500
HMM,30-Nov-2017,10.10,10.10,10.05,10.05,2000
HMM,04-Dec-2017,10.05,10.15,10.05,10.05,4500
HMM,06-Dec-2017,10.05,10.05,10.05,10.05,2500
