Symbol,Date,Open,High,Low,Close,Volume
HRPL,03-Jan-2014,28.02,28.10,27.95,28.05,19000
HRPL,06-Jan-2014,28.49,28.49,28.45,28.45,1000
HRPL,08-Jan-2014,28.75,29.00,28.75,29.00,5500
HRPL,09-Jan-2014,28.94,29.00,28.00,28.03,8500
HRPL,13-Jan-2014,28.40,29.43,28.40,29.43,13500
HRPL,15-Jan-2014,29.00,29.50,29.00,29.50,2000
HRPL,16-Jan-2014,29.25,29.25,29.25,29.25,1000
HRPL,17-Jan-2014,28.25,29.10,28.15,29.05,2500
HRPL,20-Jan-2014,28.05,28.55,28.00,28.43,15500
HRPL,21-Jan-2014,29.25,29.85,29.25,29.56,9000
HRPL,22-Jan-2014,30.50,31.03,30.00,31.03,56500
HRPL,23-Jan-2014,32.50,32.58,32.50,32.58,1500
HRPL,24-Jan-2014,34.20,34.20,34.20,34.20,69500
HRPL,27-Jan-2014,35.91,35.91,35.91,35.91,15500
HRPL,28-Jan-2014,37.70,37.70,34.12,35.00,66000
HRPL,29-Jan-2014,33.26,33.99,33.25,33.50,12000
HRPL,30-Jan-2014,35.00,35.00,32.50,32.78,15000
HRPL,31-Jan-2014,33.95,34.25,33.45,34.00,10000
HRPL,03-Feb-2014,34.00,34.50,34.00,34.50,3500
HRPL,06-Feb-2014,35.00,35.00,35.00,35.00,500
HRPL,07-Feb-2014,34.90,34.90,33.25,33.25,3000
HRPL,13-Feb-2014,32.25,32.25,32.25,32.25,6000
HRPL,14-Feb-2014,33.00,33.86,33.00,33.86,2500
HRPL,17-Feb-2014,32.80,34.40,32.17,34.40,6500
HRPL,18-Feb-2014,34.55,34.55,32.68,32.68,3000
HRPL,20-Feb-2014,31.25,31.45,31.05,31.45,4000
HRPL,21-Feb-2014,29.90,29.90,29.88,29.88,5000
HRPL,24-Feb-2014,31.29,31.29,31.29,31.29,500
HRPL,25-Feb-2014,31.25,31.25,30.00,30.10,4000
HRPL,26-Feb-2014,30.90,31.00,30.90,31.00,1500
HRPL,27-Feb-2014,31.25,31.25,31.00,31.00,11000
HRPL,28-Feb-2014,32.55,32.55,32.55,32.55,35500
HRPL,04-Mar-2014,32.55,32.55,32.00,32.50,6500
HRPL,06-Mar-2014,32.01,32.01,32.00,32.00,3000
HRPL,17-Mar-2014,32.45,32.65,32.45,32.65,5500
HRPL,18-Mar-2014,31.60,31.60,31.60,31.60,500
HRPL,20-Mar-2014,31.11,31.11,31.11,31.11,1000
HRPL,24-Mar-2014,32.00,32.00,32.00,32.00,10500
HRPL,25-Mar-2014,32.50,32.50,32.50,32.50,500
HRPL,26-Mar-2014,32.25,32.50,31.80,32.45,6500
HRPL,27-Mar-2014,32.25,32.25,31.70,31.70,16000
HRPL,28-Mar-2014,32.99,33.00,32.99,32.99,1500
HRPL,31-Mar-2014,32.01,32.01,32.01,32.01,500
HRPL,01-Apr-2014,30.61,31.50,30.61,31.12,2000
HRPL,02-Apr-2014,31.16,31.16,31.16,31.16,1000
HRPL,03-Apr-2014,32.59,32.71,32.59,32.71,2500
HRPL,04-Apr-2014,33.65,33.65,33.00,33.00,1000
HRPL,07-Apr-2014,33.99,34.00,33.10,34.00,6000
HRPL,08-Apr-2014,33.25,34.00,33.25,34.00,7000
HRPL,09-Apr-2014,33.75,33.75,32.50,32.63,5500
HRPL,11-Apr-2014,31.55,31.55,31.00,31.25,7000
HRPL,14-Apr-2014,31.85,32.10,31.80,31.91,4000
HRPL,15-Apr-2014,31.70,31.70,30.60,31.00,11000
HRPL,16-Apr-2014,30.72,31.30,30.72,31.00,2500
HRPL,17-Apr-2014,30.90,30.90,30.50,30.50,6000
HRPL,18-Apr-2014,30.00,30.00,29.61,29.61,5500
HRPL,21-Apr-2014,30.50,30.99,30.50,30.99,5500
HRPL,23-Apr-2014,31.00,31.00,30.70,30.70,2000
HRPL,25-Apr-2014,30.30,30.49,30.00,30.49,7000
HRPL,28-Apr-2014,29.25,30.75,29.10,30.75,2000
HRPL,29-Apr-2014,30.55,30.55,30.50,30.50,7000
