Symbol,Date,Open,High,Low,Close,Volume
HSMPSR,23-Dec-2021,1.01,1.01,0.01,1.01,9500
HSMPSR,24-Dec-2021,2.01,2.01,2.01,2.01,8000
HSMPSR,27-Dec-2021,3.01,3.01,1.56,1.64,823000
HSMPSR,28-Dec-2021,1.53,1.53,1.03,1.08,451500
HSMPSR,29-Dec-2021,1.08,1.08,0.90,0.96,156500
HSMPSR,30-Dec-2021,1.00,1.14,0.79,0.80,219500
HSMPSR,31-Dec-2021,0.50,0.72,0.49,0.57,881500
HSMPSR,03-Jan-2022,0.51,0.60,0.46,0.51,285000
HSMPSR,04-Jan-2022,0.46,0.70,0.44,0.59,285500
HSMPSR,05-Jan-2022,0.69,0.90,0.51,0.64,1561000
HSMPSR,06-Jan-2022,0.73,0.79,0.56,0.58,425000
HSMPSR,07-Jan-2022,0.65,0.67,0.52,0.63,28500
HSMPSR,10-Jan-2022,0.54,0.60,0.47,0.50,290000
HSMPSR,11-Jan-2022,0.50,0.68,0.50,0.59,311500
HSMPSR,12-Jan-2022,0.68,0.68,0.51,0.52,215000
HSMPSR,13-Jan-2022,0.50,0.50,0.33,0.36,794000
HSMPSR,14-Jan-2022,0.21,0.40,0.02,0.07,1522500
