Symbol,Date,Open,High,Low,Close,Volume
HSMR3,30-Aug-2021,3.51,3.51,2.51,3.51,112000
HSMR3,31-Aug-2021,4.51,4.51,4.10,4.51,620500
HSMR3,01-Sep-2021,5.51,5.51,5.16,5.51,618000
HSMR3,02-Sep-2021,6.50,6.51,6.40,6.51,414000
HSMR3,03-Sep-2021,7.40,7.51,5.51,5.51,440500
HSMR3,06-Sep-2021,4.51,5.51,4.51,4.51,61500
HSMR3,07-Sep-2021,3.51,3.51,3.51,3.51,140500
HSMR3,08-Sep-2021,2.53,4.51,2.53,3.82,1252000
HSMR3,09-Sep-2021,4.00,4.00,3.01,3.49,620500
HSMR3,10-Sep-2021,3.45,3.45,3.00,3.12,247500
HSMR3,13-Sep-2021,3.03,3.10,2.61,2.88,288500
HSMR3,14-Sep-2021,2.94,2.94,2.40,2.57,109000
HSMR3,15-Sep-2021,2.45,2.45,1.85,2.10,165500
HSMR3,16-Sep-2021,2.34,2.34,1.89,2.00,307500
HSMR3,17-Sep-2021,2.00,2.27,2.00,2.09,353500
HSMR3,20-Sep-2021,2.01,2.26,1.30,1.45,945000
HSMR3,21-Sep-2021,1.49,1.51,0.45,0.54,3739000
