Symbol,Date,Open,High,Low,Close,Volume
HSM,02-Jan-2014,11.05,11.05,11.05,11.05,3000
HSM,03-Jan-2014,10.50,10.50,10.50,10.50,2000
HSM,13-Jan-2014,11.25,11.25,11.25,11.25,500
HSM,15-Jan-2014,10.60,10.60,10.60,10.60,500
HSM,17-Jan-2014,11.50,11.50,11.50,11.50,500
HSM,20-Jan-2014,11.99,11.99,11.20,11.20,3000
HSM,21-Jan-2014,11.90,12.00,11.90,12.00,2500
HSM,30-Jan-2014,13.00,13.00,13.00,13.00,500
HSM,04-Feb-2014,15.90,15.90,14.10,15.50,5000
HSM,17-Feb-2014,14.50,14.50,14.50,14.50,500
HSM,15-Apr-2014,14.50,14.50,14.50,14.50,500
HSM,27-May-2014,13.50,13.50,13.50,13.50,1000
HSM,29-May-2014,12.50,14.20,12.50,14.20,1500
HSM,30-May-2014,13.20,13.20,13.20,13.20,1500
HSM,11-Jun-2014,12.20,12.20,12.20,12.20,500
HSM,16-Jul-2014,13.20,13.20,13.20,13.20,1500
HSM,17-Jul-2014,13.60,13.94,13.60,13.60,1500
HSM,26-Aug-2014,12.60,12.60,12.60,12.60,500
HSM,02-Oct-2014,12.60,12.60,12.60,12.60,500
HSM,10-Oct-2014,12.00,12.00,12.00,12.00,6000
HSM,13-Oct-2014,13.00,13.00,13.00,13.00,500
HSM,15-Oct-2014,12.00,12.00,12.00,12.00,1500
HSM,27-Oct-2014,11.50,11.50,11.50,11.50,500
HSM,08-Dec-2014,12.50,12.50,12.50,12.50,500
HSM,22-Jan-2015,11.50,11.50,11.50,11.50,500
HSM,04-Feb-2015,11.50,11.50,11.50,11.50,1000
HSM,06-Feb-2015,10.50,10.50,10.50,10.50,500
HSM,09-Feb-2015,10.00,10.00,10.00,10.00,8000
HSM,19-May-2015,9.00,9.00,9.00,9.00,1500
HSM,19-Jun-2015,10.00,10.00,10.00,10.00,500
HSM,23-Jun-2015,11.00,11.00,11.00,11.00,500
HSM,23-Jul-2015,11.00,11.00,11.00,11.00,500
HSM,31-Jul-2015,12.00,12.00,12.00,12.00,500
HSM,03-Aug-2015,12.74,12.74,12.74,12.74,500
HSM,06-Aug-2015,13.74,13.74,13.74,13.74,500
HSM,10-Aug-2015,14.50,14.50,14.50,14.50,500
HSM,19-Aug-2015,14.44,14.44,14.44,14.44,2000
HSM,27-Aug-2015,15.60,15.60,15.60,15.60,500
HSM,23-Sep-2015,16.59,16.59,16.59,16.59,500
HSM,07-Oct-2015,17.00,17.00,17.00,17.00,1000
HSM,12-Oct-2015,17.35,17.35,17.35,17.35,500
HSM,13-Oct-2015,18.14,18.14,17.00,17.99,3500
HSM,14-Oct-2015,18.92,18.92,18.50,18.50,1000
HSM,15-Oct-2015,19.39,19.39,19.39,19.39,1000
HSM,16-Oct-2015,20.39,20.39,20.39,20.39,1000
HSM,19-Oct-2015,21.00,21.00,20.99,21.00,1000
HSM,20-Oct-2015,21.49,22.05,21.00,21.00,3000
HSM,21-Oct-2015,21.69,21.69,21.69,21.69,500
HSM,22-Oct-2015,20.61,22.77,20.61,20.75,4000
HSM,26-Oct-2015,21.49,21.49,19.72,19.72,1500
HSM,27-Oct-2015,20.49,20.49,20.49,20.49,500
HSM,28-Oct-2015,21.24,21.24,21.24,21.24,500
HSM,29-Oct-2015,21.74,21.74,21.74,21.74,500
HSM,30-Oct-2015,22.49,22.49,22.49,22.49,500
HSM,02-Nov-2015,23.49,23.49,23.49,23.49,500
HSM,05-Nov-2015,22.32,24.66,22.32,22.32,7000
HSM,06-Nov-2015,23.24,23.40,23.24,23.40,1000
HSM,09-Nov-2015,24.39,24.39,24.39,24.39,500
HSM,10-Nov-2015,25.39,25.39,25.35,25.35,1000
HSM,11-Nov-2015,26.61,26.61,24.09,26.59,1500
HSM,12-Nov-2015,27.61,27.61,27.61,27.61,500
HSM,13-Nov-2015,28.74,28.74,28.74,28.74,500
HSM,16-Nov-2015,30.00,30.00,30.00,30.00,1000
HSM,17-Nov-2015,31.50,31.50,31.50,31.50,1000
HSM,18-Nov-2015,32.99,33.07,29.93,32.99,6000
HSM,19-Nov-2015,34.47,34.47,31.35,31.35,8000
HSM,20-Nov-2015,32.79,32.79,29.79,32.40,3500
HSM,23-Nov-2015,33.74,33.74,30.80,32.62,1500
HSM,24-Nov-2015,33.99,33.99,30.99,33.79,4500
HSM,25-Nov-2015,35.24,35.24,32.11,32.11,1500
HSM,26-Nov-2015,33.37,33.37,30.51,30.51,5500
HSM,27-Nov-2015,31.47,31.47,28.99,28.99,1000
HSM,30-Nov-2015,29.80,29.80,29.80,29.80,500
HSM,01-Dec-2015,30.60,30.60,30.60,30.60,500
HSM,02-Dec-2015,29.07,32.12,29.07,32.12,2000
HSM,04-Dec-2015,32.69,32.69,30.52,32.50,2000
HSM,07-Dec-2015,33.69,33.69,30.88,30.90,2000
HSM,08-Dec-2015,32.00,32.00,29.36,31.90,1500
HSM,09-Dec-2015,30.31,32.90,30.31,30.31,3000
HSM,10-Dec-2015,31.82,31.82,28.80,31.32,4000
HSM,16-Dec-2015,32.30,32.30,32.30,32.30,500
HSM,22-Dec-2015,33.25,33.25,33.25,33.25,500
HSM,29-Dec-2015,33.50,33.50,33.00,33.00,1000
HSM,30-Dec-2015,31.36,31.36,31.36,31.36,500
HSM,31-Dec-2015,32.91,32.91,32.91,32.91,500
HSM,01-Jan-2016,33.60,33.60,31.27,31.27,1000
HSM,04-Jan-2016,29.71,29.71,29.71,29.71,1000
HSM,06-Jan-2016,27.79,27.79,27.79,27.79,2500
HSM,07-Jan-2016,26.41,26.41,26.41,26.41,1500
HSM,08-Jan-2016,25.09,25.09,25.09,25.09,2500
HSM,26-Jan-2016,25.03,25.03,25.03,25.03,1500
HSM,27-Jan-2016,26.28,26.28,26.28,26.28,500
HSM,28-Jan-2016,27.59,27.59,27.59,27.59,500
HSM,29-Jan-2016,28.96,28.96,26.22,28.96,1000
HSM,01-Feb-2016,30.40,30.40,27.52,27.52,2000
HSM,02-Feb-2016,28.89,28.89,26.15,26.15,1000
HSM,04-Feb-2016,27.35,27.35,24.79,24.79,14500
HSM,08-Feb-2016,25.95,25.95,25.00,25.80,3500
HSM,09-Feb-2016,27.09,27.09,27.09,27.09,9500
HSM,10-Feb-2016,27.99,27.99,27.99,27.99,500
HSM,11-Feb-2016,29.00,29.00,29.00,29.00,500
HSM,12-Feb-2016,30.40,30.40,30.40,30.40,500
HSM,15-Feb-2016,31.88,31.88,31.88,31.88,500
HSM,16-Feb-2016,33.20,33.20,33.20,33.20,500
HSM,17-Feb-2016,34.45,34.45,34.45,34.45,500
HSM,18-Feb-2016,36.10,36.10,36.10,36.10,500
HSM,19-Feb-2016,37.50,37.50,37.50,37.50,500
HSM,25-Feb-2016,38.95,38.95,38.95,38.95,500
HSM,26-Feb-2016,40.45,40.45,40.45,40.45,500
HSM,29-Feb-2016,38.43,41.95,38.43,41.95,1500
HSM,01-Mar-2016,39.86,43.00,39.86,43.00,1000
HSM,02-Mar-2016,40.85,40.85,40.85,40.85,1000
HSM,03-Mar-2016,38.81,38.81,38.81,38.81,500
HSM,07-Mar-2016,40.70,40.70,40.70,40.70,500
HSM,08-Mar-2016,38.67,41.00,38.67,41.00,1500
HSM,09-Mar-2016,38.95,40.98,38.95,40.98,1000
HSM,10-Mar-2016,38.94,40.96,38.94,40.96,1000
HSM,11-Mar-2016,38.92,38.92,38.92,38.92,1000
HSM,14-Mar-2016,36.98,36.98,36.98,36.98,500
HSM,18-Mar-2016,38.80,38.80,38.80,38.80,500
HSM,22-Mar-2016,39.90,39.90,39.90,39.90,500
HSM,01-Apr-2016,36.64,38.49,36.64,38.49,1000
HSM,04-Apr-2016,36.57,38.40,36.57,38.40,1500
HSM,05-Apr-2016,36.48,36.48,36.48,36.48,500
HSM,06-Apr-2016,34.66,34.66,34.66,34.66,1000
HSM,22-Apr-2016,33.88,33.88,33.88,33.88,500
HSM,25-Apr-2016,35.50,35.50,35.50,35.50,500
HSM,26-Apr-2016,33.73,37.25,33.73,37.25,1000
HSM,02-May-2016,38.64,38.64,38.64,38.64,500
HSM,03-May-2016,36.71,36.71,36.71,36.71,500
HSM,05-May-2016,33.92,33.92,33.92,33.92,500
HSM,11-May-2016,31.37,31.37,31.37,31.37,500
HSM,12-May-2016,29.81,29.81,29.81,29.81,500
HSM,13-May-2016,28.32,28.32,28.32,28.32,10000
HSM,16-May-2016,27.00,27.00,26.91,26.91,1500
HSM,17-May-2016,28.25,28.25,28.25,28.25,500
HSM,19-May-2016,29.66,29.66,29.49,29.66,10000
HSM,20-May-2016,31.14,31.14,31.14,31.14,1500
HSM,23-May-2016,32.69,32.69,32.69,32.69,2500
HSM,24-May-2016,34.32,34.32,34.32,34.32,5500
HSM,25-May-2016,36.03,36.03,36.03,36.03,3500
HSM,26-May-2016,37.83,37.83,37.83,37.83,7000
HSM,27-May-2016,39.72,39.72,39.72,39.72,2000
HSM,30-May-2016,41.70,41.70,37.74,40.08,47000
HSM,31-May-2016,39.30,39.30,38.08,39.00,12500
HSM,01-Jun-2016,38.96,38.96,38.96,38.96,500
HSM,07-Jun-2016,37.02,37.02,35.99,35.99,13000
HSM,08-Jun-2016,34.20,34.20,34.20,34.20,1000
HSM,10-Jun-2016,32.49,32.49,32.49,32.49,15000
HSM,13-Jun-2016,30.87,34.11,30.87,31.06,24000
HSM,14-Jun-2016,29.51,29.51,29.51,29.51,12000
HSM,15-Jun-2016,28.04,28.04,28.04,28.04,5500
HSM,16-Jun-2016,26.64,26.64,26.64,26.64,1500
HSM,17-Jun-2016,25.31,26.99,25.31,25.38,112500
HSM,20-Jun-2016,24.12,26.64,24.12,24.12,214500
HSM,21-Jun-2016,24.49,24.93,23.02,24.00,41500
HSM,22-Jun-2016,24.00,24.90,24.00,24.00,9500
HSM,23-Jun-2016,23.60,23.60,22.80,23.39,16000
HSM,24-Jun-2016,22.50,24.49,22.23,23.67,19000
HSM,27-Jun-2016,23.50,23.50,23.50,23.50,500
HSM,29-Jun-2016,23.51,24.64,23.50,24.64,7500
HSM,30-Jun-2016,24.50,25.87,24.50,25.86,69000
HSM,04-Jul-2016,27.15,27.15,26.90,27.15,56000
HSM,11-Jul-2016,27.01,28.50,26.95,28.32,79500
HSM,12-Jul-2016,29.30,29.32,27.45,27.80,17000
HSM,13-Jul-2016,28.49,28.80,27.01,27.63,7500
HSM,14-Jul-2016,26.27,29.01,26.27,28.92,62000
HSM,18-Jul-2016,27.56,30.24,27.56,29.34,12000
HSM,19-Jul-2016,30.15,30.80,29.00,30.80,114500
HSM,20-Jul-2016,32.34,32.34,29.26,29.31,174000
HSM,21-Jul-2016,29.75,29.75,27.85,27.85,42000
HSM,22-Jul-2016,27.01,28.45,26.46,27.72,84000
HSM,25-Jul-2016,27.72,29.10,27.60,28.93,233000
HSM,26-Jul-2016,30.05,30.37,29.55,30.37,103000
HSM,27-Jul-2016,31.85,31.88,28.86,28.86,197000
HSM,28-Jul-2016,27.42,29.25,27.42,28.05,113500
HSM,29-Jul-2016,28.74,29.44,27.55,27.74,57500
