Symbol,Date,Open,High,Low,Close,Volume
HTL,03-Mar-2016,61.00,61.50,59.38,59.38,5506000
HTL,04-Mar-2016,57.74,59.00,57.25,57.63,2424000
HTL,07-Mar-2016,58.00,59.99,57.50,58.92,1710000
HTL,08-Mar-2016,59.39,60.35,58.20,59.21,2324500
HTL,09-Mar-2016,59.00,59.40,58.00,58.04,1005500
HTL,10-Mar-2016,58.30,59.67,58.06,58.95,959000
HTL,11-Mar-2016,58.75,59.33,58.00,58.45,460500
HTL,14-Mar-2016,58.44,58.44,57.06,57.15,386000
HTL,15-Mar-2016,56.71,57.00,54.90,55.09,534500
HTL,16-Mar-2016,55.00,57.74,54.25,56.39,676500
HTL,17-Mar-2016,57.02,59.20,56.90,59.20,1976000
HTL,18-Mar-2016,60.39,61.84,58.86,59.22,2567500
HTL,21-Mar-2016,59.48,60.60,58.83,59.07,850500
HTL,22-Mar-2016,59.11,59.44,57.50,58.05,377000
HTL,24-Mar-2016,57.40,58.00,57.36,57.55,338500
HTL,25-Mar-2016,57.99,58.50,57.50,57.59,251000
HTL,28-Mar-2016,57.00,57.88,56.80,57.03,190000
HTL,29-Mar-2016,57.10,58.80,57.00,57.27,390500
HTL,30-Mar-2016,57.50,57.90,57.12,57.43,161500
HTL,31-Mar-2016,57.50,57.70,56.95,57.03,184500
HTL,01-Apr-2016,56.95,57.50,56.40,57.02,277500
HTL,04-Apr-2016,56.99,57.80,56.75,57.32,447500
HTL,05-Apr-2016,57.20,58.85,57.20,57.52,706000
HTL,06-Apr-2016,57.45,57.95,56.99,57.04,398000
HTL,07-Apr-2016,57.52,58.25,57.00,57.22,488500
HTL,08-Apr-2016,57.20,57.65,56.95,57.08,239000
HTL,11-Apr-2016,57.25,57.64,55.60,55.72,474500
HTL,12-Apr-2016,56.00,56.20,55.00,55.91,447000
HTL,13-Apr-2016,56.30,58.70,56.00,58.35,2604000
HTL,14-Apr-2016,58.50,59.19,57.75,58.01,607500
HTL,15-Apr-2016,58.20,58.99,57.70,58.05,347000
HTL,18-Apr-2016,57.61,58.50,57.20,57.63,361000
HTL,19-Apr-2016,57.51,58.15,57.01,57.53,327500
HTL,20-Apr-2016,58.90,59.98,57.85,58.12,2013000
HTL,21-Apr-2016,58.44,59.30,56.10,57.10,1360000
HTL,22-Apr-2016,57.49,57.70,57.00,57.18,297000
HTL,25-Apr-2016,57.51,57.51,56.80,56.97,115500
HTL,26-Apr-2016,56.90,57.85,56.90,57.14,421500
HTL,27-Apr-2016,57.40,57.49,57.00,57.14,430000
HTL,28-Apr-2016,57.49,57.60,57.01,57.12,249000
HTL,29-Apr-2016,57.13,57.49,56.80,57.08,234000
HTL,02-May-2016,56.93,57.10,56.45,56.52,182500
HTL,03-May-2016,56.99,57.39,56.60,57.01,261500
HTL,04-May-2016,57.20,59.44,57.00,59.04,2616500
HTL,05-May-2016,59.45,59.70,58.14,58.30,509000
HTL,06-May-2016,58.30,58.60,57.45,57.55,315000
HTL,09-May-2016,57.95,58.45,57.60,57.76,354500
HTL,10-May-2016,57.32,58.30,57.15,57.41,255500
HTL,11-May-2016,58.55,60.28,58.49,59.31,3090500
HTL,12-May-2016,59.58,59.79,58.38,58.48,913500
HTL,13-May-2016,58.50,58.95,58.12,58.25,344500
HTL,16-May-2016,58.50,58.70,58.00,58.23,376500
HTL,17-May-2016,58.47,58.47,57.70,57.78,375000
HTL,18-May-2016,57.97,58.20,57.80,58.02,138000
HTL,19-May-2016,58.25,58.45,57.70,57.88,469000
HTL,20-May-2016,58.06,58.69,57.62,58.27,396500
HTL,23-May-2016,58.40,59.70,58.20,59.01,985000
HTL,24-May-2016,59.06,61.96,59.06,61.54,4491500
HTL,25-May-2016,62.15,63.00,61.00,62.73,3619000
HTL,26-May-2016,63.00,63.50,62.00,62.14,2264000
HTL,27-May-2016,62.21,63.10,61.50,61.82,814000
HTL,30-May-2016,62.40,62.84,61.30,61.53,521500
HTL,31-May-2016,61.80,62.35,60.90,61.25,656000
HTL,01-Jun-2016,61.85,64.31,61.55,64.31,4403500
HTL,02-Jun-2016,65.01,65.48,63.05,63.22,4221500
HTL,03-Jun-2016,63.15,64.40,63.15,63.88,1356000
HTL,06-Jun-2016,63.70,64.24,63.25,63.46,354000
HTL,07-Jun-2016,63.69,64.50,63.00,63.14,1166500
HTL,08-Jun-2016,63.36,63.85,63.05,63.66,608500
HTL,09-Jun-2016,63.90,64.48,63.15,63.32,503000
HTL,10-Jun-2016,63.15,63.45,61.51,61.62,543500
HTL,13-Jun-2016,61.79,62.15,60.50,61.92,341500
HTL,14-Jun-2016,62.40,62.50,62.00,62.04,225000
HTL,15-Jun-2016,62.70,63.90,62.00,63.52,953500
HTL,16-Jun-2016,63.80,63.90,62.55,62.71,630500
HTL,17-Jun-2016,62.60,62.98,62.01,62.10,431000
HTL,20-Jun-2016,62.69,62.75,61.79,62.22,220500
HTL,21-Jun-2016,62.55,62.59,61.25,61.45,224500
HTL,22-Jun-2016,62.00,62.00,60.50,61.36,213000
HTL,23-Jun-2016,61.35,61.48,60.81,61.08,74000
HTL,24-Jun-2016,60.51,61.90,58.03,59.23,455000
HTL,27-Jun-2016,59.50,59.60,58.80,59.37,293000
HTL,28-Jun-2016,59.49,59.72,58.51,59.21,135500
HTL,29-Jun-2016,59.69,61.40,59.50,61.18,701500
HTL,30-Jun-2016,61.11,61.40,58.90,59.17,483500
HTL,04-Jul-2016,59.70,60.10,59.20,59.85,185500
HTL,11-Jul-2016,60.00,61.39,60.00,61.10,689500
HTL,12-Jul-2016,61.44,63.90,61.12,63.55,2548500
HTL,13-Jul-2016,63.80,64.24,63.01,63.35,1017000
HTL,14-Jul-2016,63.38,64.70,62.86,64.48,2027000
HTL,15-Jul-2016,64.61,67.25,64.61,66.37,5753500
HTL,18-Jul-2016,66.84,67.55,65.56,65.93,2501500
HTL,19-Jul-2016,65.96,69.22,64.90,69.22,4266500
HTL,20-Jul-2016,70.98,71.70,69.10,71.06,8674500
HTL,21-Jul-2016,71.49,74.61,70.13,74.31,8309000
HTL,22-Jul-2016,74.50,78.02,74.49,78.02,6801000
HTL,25-Jul-2016,79.50,80.98,75.50,76.34,5573000
HTL,26-Jul-2016,77.90,78.80,76.50,76.92,1757500
HTL,27-Jul-2016,77.01,77.35,75.55,76.18,1386500
HTL,28-Jul-2016,76.25,77.80,76.10,76.20,1429500
HTL,29-Jul-2016,75.91,78.10,75.91,77.51,1810500
HTL,01-Aug-2016,78.90,78.90,77.62,77.76,1547000
HTL,02-Aug-2016,77.50,81.64,77.10,80.53,3365000
HTL,03-Aug-2016,82.49,84.55,82.10,84.55,4481500
